dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-18,45.5,50.0,40.0,44.0,29.0318613481,44739900,0.0,1.0
1999-11-19,42.94,43.0,39.81,40.38,26.6433309372,10897100,0.0,1.0
1999-11-22,41.31,44.0,40.06,44.0,29.0318613481,4705200,0.0,1.0
1999-11-23,42.5,43.63,40.25,40.25,26.5575549832,4274400,0.0,1.0
1999-11-24,40.13,41.94,40.0,41.06,27.092005158,3464400,0.0,1.0
1999-11-26,40.88,41.5,40.75,41.19,27.177781112,1237100,0.0,1.0
1999-11-29,41.0,42.44,40.56,42.13,27.7980072408,2914700,0.0,1.0
1999-11-30,42.0,42.94,40.94,42.19,27.8375961426,3083000,0.0,1.0
1999-12-01,42.19,43.44,41.88,42.94,28.3324574156,2115400,0.0,1.0
1999-12-02,43.75,45.0,43.19,44.13,29.1176373021,2195900,0.0,1.0
1999-12-03,44.94,45.69,44.31,44.5,29.3617688634,2175700,0.0,1.0
1999-12-06,45.25,46.44,45.19,45.75,30.1865376517,1610000,0.0,1.0
1999-12-07,45.75,46.0,44.31,45.25,29.8566301364,1585100,0.0,1.0
1999-12-08,45.25,45.63,44.81,45.19,29.8170412345,1350400,0.0,1.0
1999-12-09,45.25,45.94,45.25,45.81,30.2261265535,1451400,0.0,1.0
1999-12-10,45.69,45.94,44.75,44.75,29.5267226211,1190800,0.0,1.0
1999-12-13,45.5,46.25,44.38,45.5,30.021583894,2875900,0.0,1.0
1999-12-14,45.38,45.38,42.06,43.0,28.3720463174,1665900,0.0,1.0
1999-12-15,42.0,42.31,41.0,41.69,27.5076886273,2087100,0.0,1.0
1999-12-16,42.0,48.0,42.0,47.25,31.1762601977,1848300,0.0,1.0
1999-12-17,46.38,47.12,45.44,45.94,30.3119025075,2652400,0.0,1.0
1999-12-20,46.25,46.94,46.13,46.88,30.9321286363,856100,0.0,1.0
1999-12-21,46.69,46.69,46.0,46.63,30.7671748787,1616200,0.0,1.0
1999-12-22,46.63,47.56,46.31,47.56,31.3808028572,1363200,0.0,1.0
1999-12-23,47.5,50.0,47.44,49.75,32.8257977743,1544700,0.0,1.0
1999-12-27,49.94,53.19,49.56,52.81,34.844831768,1451800,0.0,1.0
1999-12-28,54.25,61.5,53.94,61.5,40.5786243843,2546500,0.0,1.0
1999-12-29,63.0,79.06,62.94,72.0,47.506682206,7524000,0.0,1.0
1999-12-30,76.0,80.0,74.25,79.25,52.2903411781,4771900,0.0,1.0
1999-12-31,79.5,79.94,76.25,77.31,51.0103000187,1381400,0.0,1.0
2000-01-03,78.75,78.94,67.38,72.0,47.506682206,3343600,0.0,1.0
2000-01-04,68.13,68.88,64.75,66.5,43.8776995374,3408500,0.0,1.0
2000-01-05,66.25,66.31,61.31,61.56,40.6182132861,4119200,0.0,1.0
2000-01-06,61.63,62.0,58.13,60.0,39.5889018383,1812900,0.0,1.0
2000-01-07,59.06,65.94,59.0,65.0,42.8879769915,2016900,0.0,1.0
2000-01-10,69.0,69.63,67.56,68.94,45.4876482122,1536800,0.0,1.0
2000-01-11,68.94,68.94,66.44,68.0,44.8674220834,1327600,0.0,1.0
2000-01-12,68.0,68.0,64.06,66.63,43.9634754914,1022800,0.0,1.0
2000-01-13,68.38,69.81,66.0,67.63,44.6232905221,811400,0.0,1.0
2000-01-14,67.0,69.38,67.0,68.38,45.118151795,942000,0.0,1.0
2000-01-18,68.63,72.88,68.13,71.5,47.1767746906,1503400,0.0,1.0
2000-01-19,72.0,72.0,69.81,70.0,46.1870521447,1877600,0.0,1.0
2000-01-20,70.75,70.88,67.5,68.13,44.9531980374,1436300,0.0,1.0
2000-01-21,69.13,69.38,66.44,68.75,45.3622833564,1372200,0.0,1.0
2000-01-24,68.5,71.81,68.0,68.5,45.1973295987,1499200,0.0,1.0
2000-01-25,68.75,69.63,66.44,67.69,44.6628794239,825300,0.0,1.0
2000-01-26,67.94,69.25,67.88,68.31,45.0719647429,731300,0.0,1.0
2000-01-27,69.88,70.5,67.25,68.44,45.1577406969,621300,0.0,1.0
2000-01-28,69.5,69.5,67.44,68.06,44.9070109852,1151100,0.0,1.0
