dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-11-29,40.2,43.4,40.15,41.7,12.9146536334,123700,0.0,1.0
2001-11-30,41.7,42.85,41.65,42.85,13.270813146,55100,0.0,1.0
2001-12-03,42.7,42.7,41.35,41.35,12.8062572599,42500,0.0,1.0
2001-12-04,41.35,41.35,39.7,39.7,12.2952457852,31800,0.0,1.0
2001-12-05,40.3,44.35,40.3,44.0,13.6269726587,199400,0.0,1.0
2001-12-06,44.2,44.2,43.71,43.72,13.54025556,52400,0.0,1.0
2001-12-07,44.0,44.0,43.4,44.0,13.6269726587,71700,0.0,1.0
2001-12-10,43.9,43.92,43.76,43.85,13.5805170701,39700,0.0,1.0
2001-12-11,43.8,44.13,43.76,43.76,13.5526437169,126200,0.0,1.0
2001-12-12,43.75,43.75,42.11,42.3,13.1004759878,38200,0.0,1.0
2001-12-13,42.25,42.8,41.9,41.9,12.9765944182,37900,0.0,1.0
2001-12-14,41.85,41.85,40.55,40.89,12.6637934549,77800,0.0,1.0
2001-12-17,40.99,42.0,40.99,41.0,12.6978608865,35400,0.0,1.0
2001-12-18,41.05,41.6,41.0,41.0,12.6978608865,33800,0.0,1.0
2001-12-19,41.0,41.05,40.74,41.05,12.7133460827,52600,0.0,1.0
2001-12-20,41.2,42.69,41.2,42.3,13.1004759878,32400,0.0,1.0
2001-12-21,42.55,45.9,42.5,45.34,14.0419759169,219800,0.0,1.0
2001-12-24,45.3,46.05,45.2,45.8,14.184439722,16900,0.0,1.0
2001-12-26,45.9,46.96,45.8,46.0,14.2463805068,126000,0.0,1.0
2001-12-27,47.25,47.65,46.2,46.95,14.5405992347,116400,0.0,1.0
2001-12-28,47.2,47.2,46.9,47.05,14.5715696271,98500,0.0,1.0
2001-12-31,47.1,49.75,46.7,49.75,15.4077702221,85300,0.0,1.0
2002-01-02,48.5,48.5,47.65,47.78,14.7976534917,44100,0.0,1.0
2002-01-03,47.71,47.71,45.3,45.3,14.02958776,29900,0.0,1.0
2002-01-04,45.6,45.6,41.0,42.5,13.1624167726,115500,0.0,1.0
2002-01-07,42.5,43.1,39.85,41.8,12.9456240258,200500,0.0,1.0
2002-01-08,41.55,41.8,40.5,41.1,12.7288312789,147400,0.0,1.0
2002-01-09,41.15,41.6,41.1,41.2,12.7598016713,20000,0.0,1.0
2002-01-10,41.2,42.4,41.2,42.1,13.038535203,72100,0.0,1.0
2002-01-11,43.0,44.25,42.95,43.5,13.4721206967,113600,0.0,1.0
2002-01-14,43.5,43.7,42.9,42.9,13.2862983422,76900,0.0,1.0
2002-01-15,44.25,46.35,44.25,46.01,14.2494775461,343400,0.0,1.0
2002-01-16,45.93,47.35,45.5,46.9,14.5251140385,175400,0.0,1.0
2002-01-17,47.0,47.8,47.0,47.2,14.6180252157,14300,0.0,1.0
2002-01-18,47.1,48.0,46.7,47.3,14.6489956081,23500,0.0,1.0
2002-01-22,47.31,47.31,45.7,46.7,14.4631732537,43600,0.0,1.0
2002-01-23,47.15,47.15,46.7,46.9,14.5251140385,12900,0.0,1.0
2002-01-24,47.0,47.2,46.0,46.25,14.3238064878,41700,0.0,1.0
2002-01-25,46.4,47.3,45.95,46.9,14.5251140385,29600,0.0,1.0
2002-01-28,47.7,47.7,45.78,46.3,14.339291684,25100,0.0,1.0
2002-01-29,46.35,46.6,46.3,46.36,14.3578739195,9100,0.0,1.0
2002-01-30,46.4,46.7,46.1,46.65,14.4476880575,22600,0.0,1.0
2002-01-31,46.75,47.1,46.45,46.85,14.5096288423,12200,0.0,1.0
2002-02-01,47.2,47.2,46.95,47.1,14.5870548233,3000,0.0,1.0
2002-02-04,47.0,47.0,46.3,46.33,14.3485828018,4400,0.0,1.0
2002-02-05,46.15,46.15,45.85,45.89,14.2123130752,13100,0.0,1.0
2002-02-06,45.79,45.8,45.5,45.7,14.1534693296,18100,0.0,1.0
2002-02-07,44.5,44.85,43.8,44.7,13.8437654055,72000,0.0,1.0
2002-02-08,44.65,44.85,44.5,44.8,13.874735798,23700,0.0,1.0
2002-02-11,44.7,45.5,44.6,45.4,14.0605581524,7200,0.0,1.0
2002-02-12,45.5,46.2,45.5,46.2,14.3083212916,4700,0.0,1.0
2002-02-13,46.0,46.1,44.9,45.0,13.9366765828,24700,0.0,1.0
2002-02-14,45.1,45.1,44.4,44.65,13.8282802093,19500,0.0,1.0
2002-02-15,44.6,44.6,44.5,44.6,13.8127950131,5700,0.0,1.0
2002-02-19,44.7,44.79,44.45,44.5,13.7818246207,3300,0.0,1.0
2002-02-20,45.75,45.75,43.9,44.2,13.6889134435,29500,0.0,1.0
2002-02-21,44.0,44.38,43.8,44.38,13.7446601498,44100,0.0,1.0
2002-02-22,44.38,44.95,44.38,44.9,13.9057061904,15200,0.0,1.0
2002-02-25,44.8,45.3,44.8,45.0,13.9366765828,8600,0.0,1.0
2002-02-26,45.1,45.3,45.0,45.1,13.9676469752,29600,0.0,1.0
2002-02-27,45.15,45.6,44.95,45.1,13.9676469752,42400,0.0,1.0
2002-02-28,45.2,45.2,44.5,44.8,13.874735798,7500,0.0,1.0
2002-03-01,44.8,44.8,43.55,43.9,13.5960022663,73000,0.0,1.0
2002-03-04,43.8,44.2,43.55,43.9,13.5960022663,43100,0.0,1.0
2002-03-05,43.9,43.9,43.2,43.7,13.5340614815,89700,0.0,1.0
2002-03-06,43.6,43.99,43.35,43.6,13.5030910891,167000,0.0,1.0
2002-03-07,41.5,42.2,40.8,40.9,12.6668904941,4510100,0.0,1.0
2002-03-08,41.01,41.59,40.52,41.5,12.8527128486,1045000,0.0,1.0
2002-03-11,41.5,42.2,41.0,41.99,13.0044677713,1049200,0.0,1.0
2002-03-12,41.95,41.95,41.4,41.8,12.9456240258,552600,0.0,1.0
2002-03-13,41.5,41.85,41.5,41.7,12.9146536334,259300,0.0,1.0
2002-03-14,43.2,43.2,41.9,43.1,13.3482391271,901800,0.0,1.0
2002-03-15,43.1,44.45,42.85,44.35,13.7353690321,574400,0.0,1.0
2002-03-18,44.0,44.31,43.75,44.25,13.7043986397,431900,0.0,1.0
2002-03-19,44.15,45.1,44.0,45.0,13.9366765828,309800,0.0,1.0
2002-03-20,45.0,45.0,44.48,44.56,13.8004068562,188400,0.0,1.0
2002-03-21,44.6,44.6,43.8,44.5,13.7818246207,174200,0.0,1.0
