dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-01-04,34.62,34.89,34.25,34.3908,23.7174970666,21372100,0.0,1.0
2013-01-07,34.15,35.45,34.15,34.46,23.7652206088,17897100,0.0,1.0
2013-01-08,34.29,34.64,33.36,33.71,23.2479856856,17863300,0.0,1.0
2013-01-09,33.61,33.95,33.61,33.9,23.3790185328,18800400,0.0,1.0
2013-01-10,33.66,34.0,33.33,34.0,23.4479831892,15658100,0.0,1.0
2013-01-11,33.59,33.9,33.35,33.85,23.6203948303,11191500,0.4,1.0
2013-01-14,34.01,34.25,33.8,34.09,23.787865872,11584900,0.0,1.0
2013-01-15,33.71,34.72,33.71,34.6,24.1437418354,13040200,0.0,1.0
2013-01-16,34.47,35.54,34.45,35.54,24.7996700818,16512700,0.0,1.0
2013-01-17,35.75,36.7,35.75,36.42,25.4137305678,14424800,0.0,1.0
2013-01-18,36.43,37.32,36.04,37.32,26.0417469739,17842200,0.0,1.0
2013-01-22,36.98,37.25,35.93,36.42,25.4137305678,15809700,0.0,1.0
2013-01-23,36.91,37.84,36.5,37.8,26.3766890572,10981600,0.0,1.0
2013-01-24,37.79,38.52,37.23,37.46,26.1394384149,11327100,0.0,1.0
2013-01-25,37.52,37.84,36.64,37.6,26.2371298558,8934600,0.0,1.0
2013-01-28,37.65,37.87,36.71,36.89,25.741694691,7140100,0.0,1.0
2013-01-29,36.71,37.46,36.25,37.31,26.0347690139,8838500,0.0,1.0
2013-01-30,36.81,37.525,36.81,36.93,25.7696065313,10841800,0.0,1.0
2013-01-31,36.84,36.93,36.27,36.69,25.6021354896,10720700,0.0,1.0
2013-02-01,36.84,37.2,36.52,37.18,25.944055533,9527500,0.0,1.0
2013-02-04,36.64,37.3,36.55,37.28,26.0138351337,6348000,0.0,1.0
2013-02-05,37.42,37.73,37.18,37.2,25.9580114531,7284400,0.0,1.0
2013-02-06,36.96,37.28,36.86,37.14,25.9161436927,5738900,0.0,1.0
2013-02-07,37.57,37.57,35.8,36.42,25.4137305678,9872500,0.0,1.0
2013-02-08,36.37,36.42,35.825,36.25,25.2951052467,13858700,0.0,1.0
2013-02-11,36.13,36.18,35.75,35.85,25.0159868439,6032100,0.0,1.0
2013-02-12,35.77,35.9,35.2,35.42,24.715934561,7473800,0.0,1.0
2013-02-13,35.42,35.57,35.15,35.27,24.61126516,4859800,0.0,1.0
2013-02-14,35.05,36.73,35.01,36.57,25.5183999688,7570100,0.0,1.0
2013-02-15,36.93,37.81,36.93,37.58,26.2231739357,13296300,0.0,1.0
2013-02-19,37.54,38.33,37.11,38.19,26.6488294999,8292700,0.0,1.0
2013-02-20,38.16,39.13,37.61,38.61,26.9419038227,8096400,0.0,1.0
2013-02-21,38.49,39.025,38.19,38.78,27.0605291439,7260900,0.0,1.0
2013-02-22,38.79,38.85,38.14,38.46,26.8372344217,4490400,0.0,1.0
2013-02-25,38.54,38.61,37.37,37.37,26.0766367743,4665600,0.0,1.0
2013-02-26,37.6,37.6,36.96,37.09,25.8812538924,4463000,0.0,1.0
2013-02-27,36.97,36.98,36.4,36.73,25.6300473299,12238400,0.0,1.0
2013-02-28,36.66,37.14,36.5,36.92,25.7626285712,10321000,0.0,1.0
2013-03-01,36.8,38.07,36.551,37.81,26.3836670173,8929400,0.0,1.0
2013-03-04,37.53,38.25,37.53,38.24,26.6837193002,5420800,0.0,1.0
2013-03-05,38.45,38.57,37.29,37.51,26.1743282152,6650400,0.0,1.0
2013-03-06,37.56,37.86,37.37,37.74,26.3348212968,5489500,0.0,1.0
2013-03-07,37.65,38.01,37.44,37.49,26.1603722951,4442500,0.0,1.0
2013-03-08,37.64,37.65,37.16,37.34,26.0557028941,4114500,0.0,1.0
2013-03-11,37.25,38.15,37.08,37.67,26.2859755763,4614400,0.0,1.0
2013-03-12,37.7,38.3,37.05,37.17,25.9370775729,6523900,0.0,1.0
2013-03-13,37.2,37.5899,37.04,37.17,25.9370775729,3710600,0.0,1.0
2013-03-14,37.43,37.59,36.86,37.56,26.2092180156,9859700,0.0,1.0
2013-03-15,37.44,38.54,37.28,38.5,26.865146262,12208300,0.0,1.0
2013-03-18,38.05,38.49,37.99,38.16,26.6278956196,5178700,0.0,1.0
2013-03-19,38.25,38.4,37.84,38.36,26.767454821,5108400,0.0,1.0
2013-03-20,38.5,39.19,38.41,39.06,27.2559120258,7072900,0.0,1.0
2013-03-21,38.82,38.97,38.48,38.49,26.8581683019,4736100,0.0,1.0
2013-03-22,38.57,38.97,38.3,38.97,27.1931103852,3323400,0.0,1.0
2013-03-25,39.12,39.52,38.93,39.32,27.4373389875,6065000,0.0,1.0
2013-03-26,39.57,40.52,39.57,40.21,28.0583774336,7249500,0.0,1.0
2013-03-27,40.22,40.29,39.66,40.15,28.0165096732,4274800,0.0,1.0
2013-03-28,40.26,40.8,39.775,40.78,28.4561211575,7263400,0.0,1.0
2013-04-01,39.96,41.14,39.96,41.12,28.6933717998,5740000,0.0,1.0
2013-04-02,41.22,41.22,40.52,40.71,28.407275437,5510700,0.0,1.0
2013-04-03,40.75,41.45,40.35,40.57,28.309583996,4122100,0.0,1.0
2013-04-04,40.77,41.78,40.624,41.6,29.0283138831,20687600,0.0,1.0
2013-04-05,41.31,41.5,41.09,41.31,28.8259530411,14089800,0.0,1.0
2013-04-08,41.27,41.87,41.07,41.77,29.1469392042,16449200,0.0,1.0
2013-04-09,41.96,43.56,41.8,42.55,29.6912200895,8673900,0.0,1.0
2013-04-10,42.65,43.77,42.5,43.62,30.4378618168,7809200,0.0,1.0
2013-04-11,43.42,43.705,43.11,43.2,30.4239058967,6494100,0.4,1.0
2013-04-12,42.97,43.29,42.62,43.09,30.3464376178,4199800,0.0,1.0
2013-04-15,42.87,43.03,41.41,41.44,29.1844134342,7152500,0.0,1.0
2013-04-16,41.67,42.53,41.13,42.45,29.895713086,6998000,0.0,1.0
2013-04-17,42.14,42.43,41.42,42.24,29.747819099,5046200,0.0,1.0
2013-04-18,42.37,42.64,41.89,42.32,29.8041596654,5009000,0.0,1.0
2013-04-19,42.51,42.58,42.2,42.39,29.8534576611,6493200,0.0,1.0
2013-04-22,43.0,44.83,42.88,44.2,31.1281629776,8531300,0.0,1.0
2013-04-23,44.61,46.32,44.4,45.14,31.7901646337,9378100,0.0,1.0
2013-04-24,45.14,45.34,43.94,44.32,31.2126738273,5541300,0.0,1.0
2013-04-25,44.75,44.7899,43.76,44.24,31.1563332608,5236900,0.0,1.0
2013-04-26,44.95,46.31,44.75,45.84,32.2831445903,10096800,0.0,1.0
2013-04-29,45.83,45.93,45.05,45.23,31.853547771,6024700,0.0,1.0
2013-04-30,45.05,46.23,45.01,46.05,32.4310385773,6798600,0.0,1.0
2013-05-01,45.74,46.09,45.55,45.55,32.0789100369,6398100,0.0,1.0
2013-05-02,45.68,45.68,43.86,43.99,30.9802689906,9649400,0.0,1.0
2013-05-03,44.31,44.77,43.83,44.68,31.4662063765,4641200,0.0,1.0
2013-05-06,44.95,44.95,44.15,44.59,31.4028232392,4085700,0.0,1.0
2013-05-07,44.5,45.0,44.4201,44.91,31.6281855051,3745600,0.0,1.0
2013-05-08,45.01,45.05,43.39,43.49,30.6281404501,6973200,0.0,1.0
2013-05-09,43.34,44.45,43.25,44.24,31.1563332608,5046900,0.0,1.0
2013-05-10,44.21,45.01,44.2,45.01,31.6986112132,4455800,0.0,1.0
2013-05-13,44.79,44.79,44.17,44.54,31.3676103851,3738400,0.0,1.0
2013-05-14,44.09,45.52,44.09,45.35,31.9380586207,5760300,0.0,1.0
2013-05-15,45.72,46.93,45.48,46.03,32.4169534357,6702500,0.0,1.0
2013-05-16,46.06,46.9,46.01,46.21,32.5437197103,4605300,0.0,1.0
2013-05-17,46.03,47.34,45.85,47.17,33.219806508,5244800,0.0,1.0
2013-05-20,47.12,47.14,46.0701,46.26,32.5789325643,3537800,0.0,1.0
2013-05-21,46.19,46.96,46.17,46.54,32.776124547,4708800,0.0,1.0
2013-05-22,46.46,48.0,45.85,46.76,32.9310611048,5203500,0.0,1.0
2013-05-23,46.12,46.945,46.02,46.59,32.8113374011,3306200,0.0,1.0
2013-05-24,46.25,46.48,45.3138,45.44,32.001441758,4511700,0.0,1.0
2013-05-28,45.89,46.04,44.7,45.39,31.9662289039,6181800,0.0,1.0
2013-05-29,44.89,45.18,43.79,43.88,30.9028007117,6908400,0.0,1.0
2013-05-30,44.07,45.12,44.07,44.55,31.3746529559,4852200,0.0,1.0
2013-05-31,44.27,44.69,42.6825,42.69,30.0647347854,9308800,0.0,1.0
