dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,15.13,15.13,13.44,13.69,2.68154378795,499000,0.0,1.0
1999-11-02,13.56,14.25,13.56,13.56,2.65607989515,333900,0.0,1.0
1999-11-03,13.88,14.0,11.75,13.12,2.56989441183,1129400,0.0,1.0
1999-11-04,13.25,13.25,12.81,13.0,2.54638928001,1844000,0.0,1.0
1999-11-05,13.0,13.19,12.5,12.62,2.4719563626,503100,0.0,1.0
1999-11-08,12.25,13.0,12.25,12.69,2.48566768949,357900,0.0,1.0
1999-11-09,13.06,13.25,12.13,13.0,2.54638928001,983100,0.0,1.0
1999-11-10,13.06,13.69,12.88,13.5,2.64432732925,940000,0.0,1.0
1999-11-11,13.56,13.56,12.75,12.94,2.53463671411,268300,0.0,1.0
1999-11-12,12.88,13.19,12.75,13.12,2.56989441183,255300,0.0,1.0
1999-11-15,13.12,13.63,13.06,13.25,2.59535830463,780800,0.0,1.0
1999-11-16,13.31,13.44,12.69,12.94,2.53463671411,1008100,0.0,1.0
1999-11-17,12.94,12.94,12.75,12.81,2.50917282131,302300,0.0,1.0
1999-11-18,12.94,14.12,12.88,13.81,2.70504891977,1406000,0.0,1.0
1999-11-19,13.81,13.88,13.63,13.69,2.68154378795,691900,0.0,1.0
1999-11-22,13.5,13.69,13.25,13.25,2.59535830463,293900,0.0,1.0
1999-11-23,13.25,13.25,12.25,12.31,2.41123477207,544800,0.0,1.0
1999-11-24,12.25,12.44,12.13,12.31,2.41123477207,527900,0.0,1.0
1999-11-26,12.31,12.44,12.25,12.31,2.41123477207,171100,0.0,1.0
1999-11-29,12.31,12.38,11.94,12.25,2.39948220617,393000,0.0,1.0
1999-11-30,12.25,12.5,12.25,12.38,2.42494609897,257800,0.0,1.0
1999-12-01,12.5,12.56,12.38,12.44,2.43669866487,347100,0.0,1.0
1999-12-02,12.31,12.38,12.06,12.13,2.37597707435,227000,0.0,1.0
1999-12-03,12.0,12.13,11.56,11.75,2.30154415694,677300,0.0,1.0
1999-12-06,11.75,12.0,11.75,11.94,2.33876061564,196600,0.0,1.0
1999-12-07,11.81,11.94,11.56,11.81,2.31329672284,253200,0.0,1.0
1999-12-08,11.94,11.94,11.69,11.81,2.31329672284,400800,0.0,1.0
1999-12-09,11.75,11.94,11.75,11.87,2.32504928875,376600,0.0,1.0
1999-12-10,12.0,12.88,11.94,12.88,2.5228841482,348100,0.0,1.0
1999-12-13,12.88,12.88,12.44,12.44,2.43669866487,371400,0.0,1.0
1999-12-14,12.69,13.44,12.5,13.06,2.55814184592,364600,0.0,1.0
1999-12-15,12.75,13.06,12.31,13.06,2.55814184592,319000,0.0,1.0
1999-12-16,12.88,12.94,12.5,12.5,2.44845123078,467600,0.0,1.0
1999-12-17,12.94,13.0,12.62,12.81,2.50917282131,316100,0.0,1.0
1999-12-20,12.88,13.0,12.56,12.69,2.48566768949,202400,0.0,1.0
1999-12-21,12.69,13.44,12.69,13.06,2.55814184592,290400,0.0,1.0
1999-12-22,13.0,13.06,12.75,12.88,2.5228841482,537500,0.0,1.0
1999-12-23,12.94,13.44,12.88,13.37,2.61886343644,260700,0.0,1.0
1999-12-27,13.75,14.25,13.69,13.88,2.71876024666,277900,0.0,1.0
1999-12-28,14.0,15.5,13.94,15.13,2.96360536974,591800,0.0,1.0
1999-12-29,15.13,15.13,14.69,14.69,2.87741988642,169000,0.0,1.0
1999-12-30,14.75,15.25,14.62,15.19,2.97535793565,189200,0.0,1.0
1999-12-31,15.19,15.25,15.0,15.19,2.97535793565,66600,0.0,1.0
2000-01-03,15.5,15.75,15.25,15.56,3.04783209208,696200,0.0,1.0
2000-01-04,14.75,14.81,14.0,14.5,2.84020342771,236000,0.0,1.0
2000-01-05,14.62,16.19,14.5,15.62,3.05958465799,202600,0.0,1.0
2000-01-06,16.0,17.12,15.31,16.81,3.29267721516,673800,0.0,1.0
2000-01-07,16.81,19.0,16.63,19.0,3.72164587079,635900,0.0,1.0
2000-01-10,19.0,20.62,19.0,19.5,3.81958392002,633600,0.0,1.0
2000-01-11,19.88,20.5,19.56,20.12,3.94102710107,636300,0.0,1.0
2000-01-12,20.12,20.12,19.63,20.12,3.94102710107,271400,0.0,1.0
2000-01-13,20.12,23.81,20.12,23.69,4.64030477258,562000,0.0,1.0
2000-01-14,23.0,23.31,21.75,22.19,4.34649062489,600800,0.0,1.0
2000-01-18,21.25,21.94,21.0,21.25,4.16236709233,919100,0.0,1.0
2000-01-19,21.25,21.5,21.06,21.31,4.17411965824,253800,0.0,1.0
2000-01-20,20.94,21.0,20.0,20.19,3.95473842796,418500,0.0,1.0
2000-01-21,19.63,19.75,18.75,19.25,3.77061489541,346000,0.0,1.0
2000-01-24,19.5,19.88,19.12,19.44,3.80783135411,214400,0.0,1.0
2000-01-25,19.44,19.44,18.25,18.75,3.67267684617,168100,0.0,1.0
2000-01-26,18.75,18.75,17.87,18.13,3.55123366513,155300,0.0,1.0
2000-01-27,18.25,19.5,18.13,18.75,3.67267684617,850700,0.0,1.0
2000-01-28,19.0,19.12,18.56,18.75,3.67267684617,386300,0.0,1.0
2000-01-31,18.75,18.81,18.06,18.13,3.55123366513,147100,0.0,1.0
2000-02-01,19.75,20.19,18.38,18.69,3.66092428027,386700,0.0,1.0
2000-02-02,18.44,19.12,18.44,18.88,3.69814073897,391100,0.0,1.0
2000-02-03,18.75,18.88,18.5,18.75,3.67267684617,331200,0.0,1.0
2000-02-04,18.75,18.75,18.13,18.44,3.61195525565,176800,0.0,1.0
2000-02-07,18.19,18.38,18.13,18.31,3.58649136285,132000,0.0,1.0
2000-02-08,18.38,18.38,17.75,17.87,3.50030587953,174200,0.0,1.0
2000-02-09,17.62,17.62,16.5,17.25,3.37886269848,362400,0.0,1.0
2000-02-10,17.12,17.25,16.75,17.06,3.34164623977,150600,0.0,1.0
2000-02-11,17.06,17.06,16.31,16.5,3.23195562463,145200,0.0,1.0
2000-02-14,16.88,16.88,16.0,16.37,3.20649173183,222900,0.0,1.0
2000-02-15,16.37,16.37,15.69,15.88,3.11051244359,679900,0.0,1.0
2000-02-16,15.81,16.0,15.75,15.94,3.12226500949,504100,0.0,1.0
2000-02-17,15.94,16.75,15.81,16.75,3.28092464925,333700,0.0,1.0
2000-02-18,16.75,16.75,15.44,15.69,3.07329598488,2636400,0.0,1.0
2000-02-22,15.75,16.0,15.56,15.75,3.08504855079,353900,0.0,1.0
2000-02-23,15.75,15.75,15.38,15.5,3.03607952617,165500,0.0,1.0
2000-02-24,15.44,15.44,14.94,15.0,2.93814147694,269800,0.0,1.0
2000-02-25,14.69,14.81,13.75,14.0,2.74226537848,499400,0.0,1.0
2000-02-28,14.0,14.5,13.75,14.5,2.84020342771,714800,0.0,1.0
2000-02-29,14.5,14.62,14.44,14.56,2.85195599362,827000,0.0,1.0
2000-03-01,14.62,15.13,14.56,14.87,2.91267758414,342900,0.0,1.0
2000-03-02,14.94,15.06,14.87,14.94,2.92638891103,273200,0.0,1.0
2000-03-03,14.87,14.94,14.0,14.31,2.802986969,380300,0.0,1.0
