dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-07-19,15.1,15.29,15.0,15.17,11.108668442,34994300,0.0,1.0
2001-07-20,15.05,15.05,14.8,15.01,10.9915038441,9238500,0.0,1.0
2001-07-23,15.0,15.01,14.55,15.0,10.9841810567,7501000,0.0,1.0
2001-07-24,14.95,14.97,14.7,14.86,10.8816620335,3537300,0.0,1.0
2001-07-25,14.7,14.95,14.65,14.95,10.9475671199,4208100,0.0,1.0
2001-07-26,14.95,14.99,14.5,14.5,10.6180416882,6335300,0.0,1.0
2001-07-27,14.51,14.59,14.5,14.51,10.6253644755,3524000,0.0,1.0
2001-07-30,14.5,14.78,14.5,14.7,10.7644974356,3654300,0.0,1.0
2001-07-31,14.71,15.01,14.6,14.96,10.9548899072,1429000,0.0,1.0
2001-08-01,15.0,15.5,14.9,15.5,11.3503204253,2087900,0.0,1.0
2001-08-02,15.4,15.5,15.1,15.4,11.2770925516,1717400,0.0,1.0
2001-08-03,15.4,15.4,14.98,15.15,11.0940228673,983600,0.0,1.0
2001-08-06,15.15,15.22,15.02,15.1,11.0574089304,777400,0.0,1.0
2001-08-07,15.1,15.55,15.1,15.5,11.3503204253,788900,0.0,1.0
2001-08-08,15.4,15.6,15.0,15.0,10.9841810567,2190300,0.0,1.0
2001-08-09,15.05,15.5,15.0,15.5,11.3503204253,928000,0.0,1.0
2001-08-10,15.4,15.4,15.12,15.19,11.1233140168,703300,0.0,1.0
2001-08-13,15.15,15.34,14.9,15.01,10.9915038441,1770400,0.0,1.0
2001-08-14,15.05,15.06,14.65,14.7,10.7644974356,1000800,0.0,1.0
2001-08-15,14.75,14.9,14.7,14.79,10.8304025219,530900,0.0,1.0
2001-08-16,14.78,14.78,14.05,14.05,10.2885162565,1522700,0.0,1.0
2001-08-17,14.06,14.8,13.9,14.52,10.6326872629,2342400,0.0,1.0
2001-08-20,14.6,15.35,14.49,15.35,11.2404786147,1434900,0.0,1.0
2001-08-21,15.25,15.6,15.01,15.46,11.3210292758,1038200,0.0,1.0
2001-08-22,15.32,15.39,14.78,15.34,11.2331558273,829000,0.0,1.0
2001-08-23,15.45,15.45,15.25,15.25,11.167250741,470000,0.0,1.0
2001-08-24,15.25,15.48,15.0,15.4,11.2770925516,689000,0.0,1.0
2001-08-27,15.48,15.65,15.4,15.48,11.3356748505,827700,0.0,1.0
2001-08-28,15.42,15.58,15.25,15.36,11.2478014021,736900,0.0,1.0
2001-08-29,15.29,15.31,15.0,15.01,10.9915038441,397400,0.0,1.0
2001-08-30,15.04,15.04,14.85,14.95,10.9475671199,640100,0.0,1.0
2001-08-31,15.0,15.1,14.9,14.9,10.910953183,3337900,0.0,1.0
2001-09-04,15.0,15.65,15.0,15.38,11.2624469768,1068600,0.0,1.0
2001-09-05,15.38,15.38,14.9,14.91,10.9182759704,1053200,0.0,1.0
2001-09-06,14.75,15.01,14.4,14.5,10.6180416882,1384500,0.0,1.0
2001-09-07,14.45,14.64,14.35,14.52,10.6326872629,1408500,0.0,1.0
2001-09-10,14.58,15.16,14.55,15.15,11.0940228673,622100,0.0,1.0
2001-09-17,15.14,15.14,14.47,14.6,10.6912695619,1934300,0.0,1.0
2001-09-18,14.6,15.0,14.35,14.55,10.654655625,902800,0.0,1.0
2001-09-19,14.69,14.69,13.72,13.95,10.2152883828,2415400,0.0,1.0
2001-09-20,13.9,13.9,12.84,12.95,9.48300964564,3498900,0.0,1.0
2001-09-21,13.0,13.0,12.16,12.75,9.33655389822,2051800,0.0,1.0
2001-09-24,13.28,13.28,12.95,13.2,9.66607932992,1964200,0.0,1.0
2001-09-25,13.2,13.2,12.7,12.8,9.37316783508,1827300,0.0,1.0
2001-09-26,12.96,12.96,12.2,12.2,8.93380059281,3327200,0.0,1.0
2001-09-27,12.26,12.26,11.61,11.85,8.67750303482,2347500,0.0,1.0
2001-09-28,12.1,13.45,12.1,12.75,9.33655389822,2844000,0.0,1.0
2001-10-01,12.65,13.0,12.65,12.7,9.29993996136,878800,0.0,1.0
2001-10-02,12.55,12.7,12.12,12.58,9.21206651291,1900400,0.0,1.0
2001-10-03,13.06,13.06,12.6,12.95,9.48300964564,2539400,0.0,1.0
2001-10-04,13.8,13.8,12.97,13.49,9.87844016368,3108500,0.0,1.0
2001-10-05,13.74,13.74,13.32,13.55,9.92237688791,2172300,0.0,1.0
2001-10-08,13.69,13.69,13.23,13.23,9.68804769204,576100,0.0,1.0
2001-10-09,13.8,13.8,13.38,13.4,9.81253507734,1601100,0.0,1.0
2001-10-10,13.35,13.75,13.3,13.67,10.0102503364,1700400,0.0,1.0
2001-10-11,15.5,15.5,14.7,15.16,11.1013456547,4214100,0.0,1.0
2001-10-12,15.26,16.55,12.75,16.55,12.1192130993,5193300,0.0,1.0
2001-10-15,16.51,17.95,16.51,17.5,12.8148778995,3277900,0.0,1.0
2001-10-16,17.65,18.05,16.9,17.45,12.7782639627,1996000,0.0,1.0
2001-10-17,17.65,17.74,16.85,16.98,12.4340929562,1877100,0.0,1.0
2001-10-18,16.98,16.98,16.61,16.7,12.2290549098,942000,0.0,1.0
2001-10-19,16.7,16.85,16.54,16.85,12.3388967204,2062500,0.0,1.0
2001-10-22,17.0,17.57,16.97,17.5,12.8148778995,469600,0.0,1.0
2001-10-23,17.5,17.73,17.27,17.62,12.902751348,915400,0.0,1.0
2001-10-24,17.76,17.76,17.57,17.74,12.9906247964,472600,0.0,1.0
2001-10-25,17.74,17.75,17.13,17.74,12.9906247964,265100,0.0,1.0
2001-10-26,17.7,17.78,17.5,17.62,12.902751348,566500,0.0,1.0
2001-10-29,17.72,17.73,17.4,17.55,12.8514918364,616200,0.0,1.0
2001-10-30,17.46,17.46,17.15,17.35,12.7050360889,574700,0.0,1.0
2001-10-31,17.42,17.6,17.1,17.57,12.8661374111,718600,0.0,1.0
2001-11-01,17.52,18.59,17.52,18.31,13.4080236766,1089900,0.0,1.0
2001-11-02,18.5,19.1,18.1,18.25,13.3640869524,2372800,0.0,1.0
2001-11-05,18.25,18.27,17.77,18.1,13.2542451418,1552700,0.0,1.0
2001-11-06,17.98,17.98,17.35,17.97,13.159048906,562600,0.0,1.0
2001-11-07,18.9,18.9,17.96,18.9,13.8400681315,1987000,0.0,1.0
2001-11-08,18.7,19.97,18.7,19.95,14.6089608054,1747200,0.0,1.0
2001-11-09,19.75,19.95,19.65,19.95,14.6089608054,1325400,0.0,1.0
2001-11-12,19.75,19.75,19.0,19.49,14.2721125864,2398300,0.0,1.0
2001-11-13,19.7,21.24,19.66,20.8,15.231397732,1463000,0.0,1.0
2001-11-14,21.0,21.4,19.97,20.21,14.7993532771,1391400,0.0,1.0
2001-11-15,20.05,20.45,20.05,20.25,14.8286444266,628200,0.0,1.0
2001-11-16,20.25,21.25,20.2,21.04,15.4071446289,639100,0.0,1.0
2001-11-19,21.1,22.25,21.1,22.0,16.1101322165,1430000,0.0,1.0
2001-11-20,21.96,21.96,21.15,21.25,15.5609231637,1017400,0.0,1.0
2001-11-21,21.21,21.21,19.8,20.35,14.9018723003,1442600,0.0,1.0
2001-11-23,20.62,20.62,20.26,20.55,15.0483280477,286500,0.0,1.0
2001-11-26,20.68,21.6,20.27,21.5,15.743992848,1064900,0.0,1.0
2001-11-27,21.6,22.75,21.5,22.5,16.4762715851,1210000,0.0,1.0
2001-11-28,22.1,22.1,20.86,21.85,16.000290406,1415900,0.0,1.0
2001-11-29,21.83,22.24,21.01,21.43,15.6927333364,1326400,0.0,1.0
2001-11-30,21.46,22.66,21.41,22.6,16.5494994588,2075400,0.0,1.0
2001-12-03,24.0,24.0,22.5,22.9,16.7691830799,1244400,0.0,1.0
