dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,37.88,38.13,37.81,37.88,13.1062699978,146000,0.0,1.0
1999-11-02,37.94,38.5,37.88,38.06,13.1685489999,178600,0.0,1.0
1999-11-03,38.19,38.19,37.44,37.75,13.0612907185,192500,0.0,1.0
1999-11-04,37.88,38.0,37.25,37.38,12.9332727697,102200,0.0,1.0
1999-11-05,37.81,38.0,37.5,37.5,12.9747921044,148400,0.0,1.0
1999-11-08,37.69,37.69,37.19,37.31,12.9090531578,87800,0.0,1.0
1999-11-09,37.31,37.31,36.94,37.06,12.8225545438,206300,0.0,1.0
1999-11-10,37.06,37.06,36.63,36.81,12.7360559297,156100,0.0,1.0
1999-11-11,36.75,36.88,36.44,36.75,12.7152962624,204500,0.0,1.0
1999-11-12,36.88,37.25,36.75,36.81,12.7360559297,243300,0.0,1.0
1999-11-15,36.5,36.75,36.25,36.44,12.608037981,114200,0.0,1.0
1999-11-16,36.44,36.75,36.31,36.63,12.6737769276,158100,0.0,1.0
1999-11-17,36.69,36.81,36.19,36.38,12.5872783136,193000,0.0,1.0
1999-11-18,36.13,36.69,36.13,36.5,12.6287976483,375100,0.0,1.0
1999-11-19,36.44,36.5,35.75,35.81,12.3900614736,333600,0.0,1.0
1999-11-22,35.81,35.81,35.06,35.19,12.1755449108,294100,0.0,1.0
1999-11-23,35.19,35.19,34.31,34.38,11.8952894014,479900,0.0,1.0
1999-11-24,34.38,34.38,34.13,34.31,11.8710697894,447300,0.0,1.0
1999-11-26,34.31,34.31,34.06,34.13,11.8087907873,104800,0.0,1.0
1999-11-29,34.0,34.0,33.0,33.38,11.5492949452,393000,0.0,1.0
1999-11-30,33.5,34.69,33.38,34.63,11.9817880154,1046600,0.0,1.0
1999-12-01,34.63,34.88,34.19,34.31,11.8710697894,567800,0.0,1.0
1999-12-02,34.38,34.44,34.19,34.38,11.8952894014,583200,0.0,1.0
1999-12-03,34.63,34.69,34.38,34.5,11.9368087361,1501800,0.0,1.0
1999-12-06,34.13,34.19,33.5,33.75,11.8970193736,612800,0.635,1.0
1999-12-07,33.69,33.94,33.38,33.69,11.875869117,829700,0.0,1.0
1999-12-08,33.56,33.63,33.25,33.31,11.7419174914,264800,0.0,1.0
1999-12-09,33.31,33.31,32.81,33.0,11.6326411653,459000,0.0,1.0
1999-12-10,33.0,33.13,32.44,32.75,11.5445150959,467900,0.0,1.0
1999-12-13,32.81,32.81,32.19,32.44,11.4352387698,444500,0.0,1.0
1999-12-14,32.44,32.75,32.44,32.5,11.4563890265,375900,0.0,1.0
1999-12-15,32.5,32.81,32.25,32.75,11.5445150959,274100,0.0,1.0
1999-12-16,32.75,32.81,32.38,32.38,11.4140885131,385900,0.0,1.0
1999-12-17,32.38,32.38,32.38,32.38,11.4140885131,525500,0.0,1.0
1999-12-20,32.31,32.88,32.0,32.48,11.4493389409,399800,0.0,1.0
1999-12-21,32.63,33.19,32.63,33.13,11.6784667214,536100,0.0,1.0
1999-12-22,33.13,33.19,33.0,33.06,11.653791422,322000,0.0,1.0
1999-12-23,33.06,33.19,33.0,33.13,11.6784667214,288500,0.0,1.0
1999-12-27,33.0,33.38,33.0,33.13,11.6784667214,216100,0.0,1.0
1999-12-28,33.19,33.38,33.06,33.19,11.6996169781,759900,0.0,1.0
1999-12-29,33.06,33.19,32.56,32.88,11.590340652,336000,0.0,1.0
1999-12-30,32.94,33.0,32.69,32.81,11.5656653526,447100,0.0,1.0
1999-12-31,32.88,32.94,32.56,32.75,11.5445150959,162100,0.0,1.0
2000-01-03,32.56,32.62,31.56,32.31,11.3894132137,700800,0.0,1.0
2000-01-04,32.31,32.5,32.19,32.31,11.3894132137,455600,0.0,1.0
2000-01-05,32.31,33.31,32.31,33.25,11.7207672348,1293200,0.0,1.0
2000-01-06,33.56,33.69,33.25,33.44,11.7877430475,320400,0.0,1.0
2000-01-07,33.5,34.0,33.44,33.94,11.9639951864,312700,0.0,1.0
2000-01-10,33.94,34.25,33.63,33.69,11.875869117,483300,0.0,1.0
2000-01-11,33.63,33.69,33.44,33.63,11.8547188603,479200,0.0,1.0
2000-01-12,33.75,33.88,33.31,33.81,11.9181696303,240400,0.0,1.0
2000-01-13,33.75,34.06,33.63,33.94,11.9639951864,235100,0.0,1.0
2000-01-14,33.88,33.88,33.19,33.44,11.7877430475,280900,0.0,1.0
2000-01-18,33.44,33.44,32.31,32.31,11.3894132137,416000,0.0,1.0
