dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,35.0,35.13,34.75,35.0,13.0783571545,637600,0.0,1.0
1999-11-04,35.0,35.19,34.44,34.75,12.9849403177,344300,0.0,1.0
1999-11-05,35.0,35.5,34.94,35.19,13.1493539505,1661000,0.0,1.0
1999-11-08,34.31,34.81,34.31,34.44,13.0933038484,644300,0.6,1.0
1999-11-09,34.44,34.44,33.81,34.0,12.9260258666,282600,0.0,1.0
1999-11-10,33.63,33.94,33.44,33.88,12.8804045988,878100,0.0,1.0
1999-11-11,33.69,33.88,33.19,33.81,12.8537921926,442900,0.0,1.0
1999-11-12,33.81,33.88,33.31,33.38,12.6903159831,382700,0.0,1.0
1999-11-15,33.19,33.38,33.0,33.31,12.6637035769,273200,0.0,1.0
1999-11-16,33.38,33.94,33.38,33.75,12.8309815587,438700,0.0,1.0
1999-11-17,33.5,33.56,33.19,33.38,12.6903159831,360600,0.0,1.0
1999-11-18,33.38,33.44,32.94,33.06,12.5686592691,216600,0.0,1.0
1999-11-19,32.94,33.06,32.63,32.69,12.4279936935,818400,0.0,1.0
1999-11-22,32.69,32.69,32.0,32.0,12.1656714038,427200,0.0,1.0
1999-11-23,32.13,32.25,31.69,31.88,12.1200501361,399000,0.0,1.0
1999-11-24,32.0,32.06,31.75,31.94,12.14286077,366500,0.0,1.0
1999-11-26,31.81,32.0,31.75,31.75,12.070627096,156400,0.0,1.0
1999-11-29,31.5,31.56,30.56,30.81,11.7132604985,368400,0.0,1.0
1999-11-30,30.63,31.63,30.63,31.38,11.9299615204,788100,0.0,1.0
1999-12-01,31.13,31.5,31.0,31.44,11.9527721543,421300,0.0,1.0
1999-12-02,31.5,31.75,31.19,31.19,11.8577278464,372200,0.0,1.0
1999-12-03,31.13,31.5,31.06,31.19,11.8577278464,417100,0.0,1.0
1999-12-06,31.19,31.56,31.19,31.5,11.9755827882,515400,0.0,1.0
1999-12-07,31.5,31.88,31.5,31.69,12.0478164621,688000,0.0,1.0
1999-12-08,31.69,31.88,31.56,31.69,12.0478164621,538200,0.0,1.0
1999-12-09,31.75,32.0,31.69,31.94,12.14286077,415800,0.0,1.0
1999-12-10,32.0,32.0,31.75,31.75,12.070627096,539000,0.0,1.0
1999-12-13,31.75,31.81,31.25,31.59,12.009798739,825300,0.0,1.0
1999-12-14,31.38,31.56,31.38,31.5,11.9755827882,524600,0.0,1.0
1999-12-15,31.5,31.81,31.38,31.5,11.9755827882,515800,0.0,1.0
1999-12-16,31.5,31.69,31.38,31.56,11.998393422,320400,0.0,1.0
1999-12-17,31.63,31.63,31.63,31.63,12.0250058282,543000,0.0,1.0
1999-12-20,31.63,31.75,31.5,31.56,11.998393422,440500,0.0,1.0
1999-12-21,31.56,32.63,31.56,32.38,12.3101387518,632300,0.0,1.0
1999-12-22,32.13,32.31,32.0,32.31,12.2835263456,263400,0.0,1.0
1999-12-23,32.31,32.56,32.31,32.56,12.3785706534,248100,0.0,1.0
1999-12-27,32.44,32.69,32.44,32.56,12.3785706534,288900,0.0,1.0
1999-12-28,32.63,32.69,32.5,32.5,12.3557600195,248300,0.0,1.0
1999-12-29,32.69,32.69,32.0,32.0,12.1656714038,300400,0.0,1.0
1999-12-30,32.25,32.81,32.06,32.56,12.3785706534,467200,0.0,1.0
1999-12-31,32.38,32.69,32.06,32.13,12.2150944439,98700,0.0,1.0
2000-01-03,32.0,32.0,31.12,31.44,11.9527721543,396900,0.0,1.0
2000-01-04,31.38,31.94,31.38,31.81,12.0934377299,325500,0.0,1.0
2000-01-05,31.94,33.13,31.88,33.0,12.5458486352,392200,0.0,1.0
2000-01-06,32.75,33.69,32.75,33.19,12.6180823092,433000,0.0,1.0
2000-01-07,33.38,33.75,33.06,33.63,12.785360291,250500,0.0,1.0
2000-01-10,33.63,33.81,33.44,33.5,12.7359372509,307700,0.0,1.0
2000-01-11,33.5,33.69,33.5,33.63,12.785360291,223000,0.0,1.0
2000-01-12,33.56,33.94,33.5,33.88,12.8804045988,252500,0.0,1.0
2000-01-13,33.88,34.0,33.63,33.81,12.8537921926,222400,0.0,1.0
2000-01-14,33.88,33.88,33.5,33.81,12.8537921926,529900,0.0,1.0
2000-01-18,33.69,33.75,33.0,33.0,12.5458486352,363800,0.0,1.0
2000-01-19,33.0,33.63,33.0,33.44,12.713126617,215500,0.0,1.0
2000-01-20,33.38,33.38,33.06,33.06,12.5686592691,278800,0.0,1.0
2000-01-21,33.31,34.0,33.19,34.0,12.9260258666,345000,0.0,1.0
2000-01-24,34.0,34.44,33.88,33.88,12.8804045988,855500,0.0,1.0
2000-01-25,33.88,34.13,32.63,32.88,12.5002273674,964400,0.0,1.0
2000-01-26,33.13,33.69,32.88,33.69,12.8081709249,508500,0.0,1.0
