dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,56.69,56.94,56.06,56.38,19.007904029,568300,0.0,1.0
1999-11-02,56.63,57.38,56.31,57.38,19.3450431568,899900,0.0,1.0
1999-11-03,57.63,57.88,55.88,55.94,18.8595628127,857000,0.0,1.0
1999-11-04,56.19,56.63,55.63,55.75,18.7955063784,363900,0.0,1.0
1999-11-05,56.75,57.88,56.5,56.94,19.1967019406,594800,0.0,1.0
1999-11-08,56.75,57.0,56.5,56.69,19.1124171586,260200,0.0,1.0
1999-11-09,56.81,56.88,56.0,56.56,19.068589072,467700,0.0,1.0
1999-11-10,56.56,57.75,56.56,57.44,19.3652715045,813800,0.0,1.0
1999-11-11,57.38,58.75,57.38,57.81,19.4900129818,993500,0.0,1.0
1999-11-12,57.88,58.5,57.31,58.44,19.7024106324,643000,0.0,1.0
1999-11-15,58.81,59.94,58.5,59.75,20.1440628899,711000,0.0,1.0
1999-11-16,59.25,61.25,59.25,61.13,20.6093148863,1092200,0.0,1.0
1999-11-17,61.0,61.25,60.19,60.31,20.3328608015,766900,0.0,1.0
1999-11-18,60.31,61.56,60.25,61.25,20.6497715817,801000,0.0,1.0
1999-11-19,61.13,61.38,60.88,60.94,20.545258452,608300,0.0,1.0
1999-11-22,62.0,62.31,60.0,60.31,20.3328608015,670100,0.0,1.0
1999-11-23,60.25,60.25,58.44,58.56,19.7428673277,539800,0.0,1.0
1999-11-24,58.56,58.56,55.56,56.69,19.1124171586,824400,0.0,1.0
1999-11-26,56.75,57.25,56.63,56.94,19.1967019406,625600,0.0,1.0
1999-11-29,56.94,57.25,54.31,56.63,19.0921888109,768400,0.0,1.0
1999-11-30,56.63,59.0,56.63,57.94,19.5338410684,843200,0.0,1.0
1999-12-01,57.75,58.0,57.56,58.0,19.5540694161,518200,0.0,1.0
1999-12-02,57.88,58.44,57.63,58.44,19.7024106324,427400,0.0,1.0
1999-12-03,58.44,60.5,58.44,59.31,19.9957216736,694300,0.0,1.0
1999-12-06,60.25,60.5,58.63,58.69,19.7866954143,361900,0.0,1.0
1999-12-07,58.75,60.81,58.5,60.69,20.4609736701,833900,0.0,1.0
1999-12-08,60.75,62.25,60.19,61.5,20.7340563636,1263100,0.0,1.0
1999-12-09,63.0,64.88,63.0,63.69,21.4723910537,720000,0.0,1.0
1999-12-10,63.5,63.5,61.69,61.81,20.8385694933,514400,0.0,1.0
1999-12-13,61.88,62.0,61.06,61.56,20.7542847113,773900,0.0,1.0
1999-12-14,61.31,61.63,60.81,61.5,20.7340563636,871900,0.0,1.0
1999-12-15,61.38,62.88,61.13,62.75,21.1554802735,601400,0.0,1.0
1999-12-16,63.75,63.75,60.94,61.0,20.5654867997,807400,0.0,1.0
