dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,51.06,51.06,49.06,49.06,8.00324364428,898800,0.0,1.0
1999-11-02,49.56,52.19,49.5,50.5,8.23815336396,872400,0.0,1.0
1999-11-03,50.75,51.75,50.63,51.19,8.35071427131,696500,0.0,1.0
1999-11-04,51.19,52.31,51.19,52.13,8.5040581161,717000,0.0,1.0
1999-11-05,52.31,52.69,52.06,52.31,8.53342183106,904800,0.0,1.0
1999-11-08,52.0,52.69,51.75,52.63,8.58562399099,508200,0.0,1.0
1999-11-09,52.5,52.5,51.0,52.0,8.48285098863,627000,0.0,1.0
1999-11-10,51.0,51.44,50.63,51.38,8.38170930377,579800,0.0,1.0
1999-11-11,51.31,51.56,50.94,51.5,8.40128511374,299000,0.0,1.0
1999-11-12,51.5,51.94,51.31,51.63,8.42249224121,956800,0.0,1.0
1999-11-15,51.5,52.81,51.25,52.69,8.59541189598,1034600,0.0,1.0
1999-11-16,52.56,54.25,52.44,54.0,8.82134936943,495300,0.075,1.0
1999-11-17,53.75,53.81,52.88,53.0,8.65799104777,334400,0.0,1.0
1999-11-18,53.0,53.44,52.75,52.88,8.63838804917,487300,0.0,1.0
1999-11-19,52.88,52.88,51.25,51.94,8.48483122682,473200,0.0,1.0
1999-11-22,51.06,51.06,49.5,50.44,8.23979374433,490200,0.0,1.0
1999-11-23,50.38,51.31,49.75,49.88,8.14831308421,549600,0.0,1.0
1999-11-24,50.0,50.13,49.19,49.44,8.07643542268,261800,0.0,1.0
1999-11-26,48.69,49.63,48.31,48.94,7.99475626185,147000,0.0,1.0
1999-11-29,48.69,48.69,47.5,47.88,7.82159644089,303400,0.0,1.0
1999-11-30,47.88,48.0,47.5,47.88,7.82159644089,475100,0.0,1.0
1999-12-01,47.88,48.75,47.75,48.25,7.88203901991,759800,0.0,1.0
1999-12-02,48.25,48.81,47.56,48.75,7.96371818073,687600,0.0,1.0
1999-12-03,49.13,50.44,49.13,50.06,8.1777175821,496100,0.0,1.0
1999-12-06,49.69,50.0,48.56,48.69,7.95391668143,367500,0.0,1.0
1999-12-07,48.06,48.13,47.25,47.63,7.78075686048,407100,0.0,1.0
1999-12-08,47.5,47.75,46.69,46.81,7.64680303672,529400,0.0,1.0
1999-12-09,46.56,46.56,45.13,45.75,7.47364321577,632600,0.0,1.0
1999-12-10,45.88,47.5,45.38,46.94,7.66803961854,570100,0.0,1.0
1999-12-13,46.69,47.5,46.69,47.13,7.69907769965,481700,0.0,1.0
1999-12-14,47.19,47.88,46.63,47.5,7.75952027866,511500,0.0,1.0
1999-12-15,47.38,47.38,45.88,46.63,7.61739853882,455300,0.0,1.0
1999-12-16,46.44,46.44,43.56,45.44,7.42300213605,875900,0.0,1.0
1999-12-17,45.5,46.69,45.38,45.5,7.43280363535,790200,0.0,1.0
1999-12-20,45.75,46.19,45.31,45.75,7.47364321577,304000,0.0,1.0
1999-12-21,44.75,46.19,44.38,45.94,7.50468129688,523200,0.0,1.0
1999-12-22,45.94,45.94,44.56,44.94,7.34132297522,421200,0.0,1.0
1999-12-23,45.88,45.94,45.0,45.13,7.37236105634,342900,0.0,1.0
1999-12-27,45.63,45.94,44.63,44.94,7.34132297522,526600,0.0,1.0
1999-12-28,43.5,45.25,43.5,45.0,7.35112447452,630800,0.0,1.0
1999-12-29,44.63,47.69,44.56,47.25,7.71868069825,527700,0.0,1.0
1999-12-30,46.69,47.19,46.31,46.75,7.63700153742,291100,0.0,1.0
1999-12-31,46.63,47.44,46.38,47.19,7.70887919895,170800,0.0,1.0
2000-01-03,46.94,47.12,44.31,44.75,7.31028489411,597200,0.0,1.0
2000-01-04,43.25,45.13,43.25,43.56,7.11588849134,679100,0.0,1.0
2000-01-05,43.63,44.19,43.31,43.56,7.11588849134,338700,0.0,1.0
2000-01-06,43.13,44.44,42.88,44.19,7.21880423398,506800,0.0,1.0
2000-01-07,44.13,45.13,43.88,45.06,7.36092597382,565500,0.0,1.0
2000-01-10,44.94,45.0,41.81,42.38,6.92312567178,1381700,0.0,1.0
2000-01-11,42.0,42.31,41.06,41.5,6.77937034873,1642400,0.0,1.0
2000-01-12,41.31,41.44,39.56,40.81,6.66665310678,1469400,0.0,1.0
2000-01-13,41.19,42.0,41.0,41.75,6.82020992914,1893800,0.0,1.0
2000-01-14,42.19,43.5,42.19,42.94,7.01460633191,1430000,0.0,1.0
2000-01-18,42.56,42.56,39.88,40.0,6.53433286624,1548100,0.0,1.0
2000-01-19,39.56,39.75,37.5,37.63,6.14717364392,1771700,0.0,1.0
2000-01-20,38.56,41.31,38.0,40.69,6.64705010819,4229400,0.0,1.0
2000-01-21,40.69,40.69,38.38,38.75,6.33013496417,1187500,0.0,1.0
2000-01-24,38.94,39.31,37.88,38.31,6.25825730264,996500,0.0,1.0
2000-01-25,38.25,40.19,38.13,39.94,6.52453136694,1310000,0.0,1.0
2000-01-26,40.25,42.0,39.88,41.94,6.85124801026,1206300,0.0,1.0
2000-01-27,43.0,43.0,40.63,41.19,6.72872926901,762300,0.0,1.0
2000-01-28,40.69,42.88,40.5,42.0,6.86104950956,1295200,0.0,1.0
2000-01-31,42.06,43.88,41.06,43.44,7.09628549274,1171200,0.0,1.0
2000-02-01,43.88,44.69,43.81,44.31,7.23840723258,1389300,0.0,1.0
2000-02-02,44.12,44.38,43.25,44.38,7.2498423151,843800,0.0,1.0
2000-02-03,44.0,45.06,42.63,44.94,7.34132297522,945000,0.0,1.0
2000-02-04,44.25,44.25,43.44,43.94,7.17796465357,768000,0.0,1.0
2000-02-07,43.69,43.69,41.88,42.75,6.9835682508,618400,0.0,1.0
2000-02-08,42.06,42.88,41.75,41.94,6.85124801026,1042300,0.0,1.0
2000-02-09,41.94,41.94,41.19,41.31,6.74833226761,454800,0.0,1.0
2000-02-10,41.06,41.31,40.13,41.25,6.73853076831,1100800,0.0,1.0
2000-02-11,41.13,41.44,39.69,39.88,6.51472986764,873700,0.0,1.0
2000-02-14,39.88,40.31,39.0,39.06,6.38077604389,833100,0.0,1.0
2000-02-15,39.06,39.5,39.0,39.06,6.39302791801,1151200,0.075,1.0
2000-02-16,39.31,39.94,38.56,38.63,6.32264896244,461700,0.0,1.0
2000-02-17,39.0,39.0,37.56,37.81,6.18843793088,541300,0.0,1.0
2000-02-18,37.5,38.38,36.94,37.69,6.16879729211,771500,0.0,1.0
2000-02-22,37.81,37.94,37.0,37.25,6.09678161664,591200,0.0,1.0
2000-02-23,37.0,37.63,36.25,36.63,5.99530498302,1183700,0.0,1.0
2000-02-24,36.56,36.56,34.94,35.63,5.83163299331,816600,0.0,1.0
2000-02-25,36.0,36.06,34.94,35.06,5.73833995918,746300,0.0,1.0
2000-02-28,34.94,37.0,34.56,36.94,6.04604329983,1300600,0.0,1.0
2000-02-29,37.0,37.38,35.19,36.56,5.98384794374,923800,0.0,1.0
2000-03-01,36.56,36.94,35.94,36.94,6.04604329983,881700,0.0,1.0
2000-03-02,36.94,37.25,35.13,36.25,5.93310962693,716900,0.0,1.0
2000-03-03,36.5,37.25,36.19,36.63,5.99530498302,630200,0.0,1.0
2000-03-06,36.44,36.56,35.69,36.19,5.92328930755,571400,0.0,1.0
2000-03-07,36.0,36.0,34.56,34.81,5.69742196175,1430600,0.0,1.0
2000-03-08,34.75,35.25,34.56,34.88,5.70887900103,1700300,0.0,1.0
2000-03-09,34.19,35.44,34.0,35.25,5.76943763722,1132300,0.0,1.0
2000-03-10,35.38,35.69,34.88,35.13,5.74979699846,559000,0.0,1.0
2000-03-13,35.0,35.06,33.56,34.38,5.62704300618,615100,0.0,1.0
2000-03-14,34.19,37.13,34.19,35.81,5.86109395146,984900,0.0,1.0
2000-03-15,36.25,41.44,36.25,41.1,6.72691877702,1859500,0.0,1.0
2000-03-16,42.94,44.5,42.38,44.0,7.20156754717,1356400,0.0,1.0
2000-03-17,43.5,43.56,41.5,41.81,6.84312588971,1107700,0.0,1.0
2000-03-20,41.88,42.56,40.69,41.31,6.76128989485,690300,0.0,1.0
2000-03-21,41.13,43.56,41.0,43.38,7.10009091355,731600,0.0,1.0
2000-03-22,43.0,44.44,43.0,44.13,7.22284490583,1398400,0.0,1.0
2000-03-23,43.5,45.19,43.5,44.94,7.3554192175,902300,0.0,1.0
2000-03-24,44.31,46.62,44.31,45.94,7.5190912072,960800,0.0,1.0
2000-03-27,45.69,45.75,43.56,43.88,7.18192690841,661700,0.0,1.0
2000-03-28,44.19,44.56,43.31,43.69,7.15082923036,535800,0.0,1.0
2000-03-29,43.63,45.19,43.63,44.75,7.32432153945,579500,0.0,1.0
2000-03-30,44.94,46.0,44.06,44.5,7.28340354202,1058300,0.0,1.0
2000-03-31,44.25,46.13,44.06,45.56,7.45689585112,884700,0.0,1.0
2000-04-03,46.0,47.06,45.69,47.0,7.6925835163,895200,0.0,1.0
2000-04-04,47.0,47.5,45.31,46.56,7.62056784082,892900,0.0,1.0
2000-04-05,45.75,47.13,45.56,45.94,7.5190912072,591900,0.0,1.0
2000-04-06,46.06,46.69,45.63,46.25,7.56982952401,475900,0.0,1.0
2000-04-07,46.0,46.31,45.44,45.5,7.44707553173,591200,0.0,1.0
2000-04-10,45.5,47.0,45.5,46.06,7.53873184597,495800,0.0,1.0
2000-04-11,46.0,47.38,46.0,47.06,7.70240383568,439600,0.0,1.0
2000-04-12,47.06,47.88,46.94,47.13,7.71386087496,493100,0.0,1.0
2000-04-13,47.19,47.63,46.38,47.0,7.6925835163,522400,0.0,1.0
2000-04-14,45.88,46.69,45.44,46.06,7.53873184597,1125700,0.0,1.0
2000-04-17,45.5,46.06,44.63,45.63,7.4683528904,949400,0.0,1.0
2000-04-18,45.5,46.38,45.19,45.56,7.45689585112,426400,0.0,1.0
2000-04-19,45.31,45.31,43.75,44.63,7.30468090069,744700,0.0,1.0
2000-04-20,44.31,48.13,44.31,47.56,7.78423983053,855200,0.0,1.0
2000-04-24,47.25,49.31,46.31,48.44,7.92827118148,662300,0.0,1.0
2000-04-25,48.0,48.94,47.75,48.81,7.98882981767,652800,0.0,1.0
2000-04-26,49.25,50.69,49.0,50.19,8.21469716347,1629000,0.0,1.0
2000-04-27,49.5,49.56,48.06,48.5,7.93809150086,1506900,0.0,1.0
2000-04-28,48.0,48.88,46.69,48.81,7.98882981767,1688900,0.0,1.0
2000-05-01,48.56,49.56,48.0,48.31,7.90699382281,788300,0.0,1.0
2000-05-02,46.81,48.25,46.81,47.88,7.83661486724,941000,0.0,1.0
2000-05-03,47.0,47.44,45.81,45.81,7.49781384854,617500,0.0,1.0
2000-05-04,45.69,45.94,45.31,45.56,7.45689585112,535900,0.0,1.0
2000-05-05,45.56,45.75,45.0,45.5,7.44707553173,385300,0.0,1.0
2000-05-08,46.5,46.69,45.5,46.0,7.52891152659,645600,0.0,1.0
2000-05-09,45.88,46.81,45.69,46.75,7.65166551887,890400,0.0,1.0
2000-05-10,46.75,48.0,46.13,47.56,7.78423983053,681600,0.0,1.0
2000-05-11,47.0,48.31,46.75,47.06,7.70240383568,461800,0.0,1.0
2000-05-12,47.06,48.25,47.0,47.75,7.81533750858,480400,0.0,1.0
2000-05-15,48.06,48.81,48.06,48.81,7.98882981767,535100,0.0,1.0
2000-05-16,47.81,49.38,47.81,49.0,8.03383961484,459100,0.085,1.0
2000-05-17,48.25,48.44,47.19,48.25,7.91087268196,483000,0.0,1.0
2000-05-18,48.31,50.44,48.31,50.0,8.19779552534,799000,0.0,1.0
2000-05-19,49.0,49.56,48.13,48.56,7.96169901421,563400,0.0,1.0
2000-05-22,49.0,50.88,48.94,50.44,8.26993612597,833400,0.0,1.0
2000-05-23,50.38,51.94,49.75,51.0,8.36175143585,844000,0.0,1.0
2000-05-24,50.88,51.25,49.56,50.69,8.31092510359,796400,0.0,1.0
2000-05-25,50.19,50.56,49.88,50.25,8.23878450297,617800,0.0,1.0
2000-05-26,50.5,51.31,50.5,50.88,8.34207672659,453700,0.0,1.0
2000-05-30,50.88,52.13,50.63,51.38,8.42405468184,682700,0.0,1.0
2000-05-31,51.38,52.44,51.0,51.69,8.4748810141,433400,0.0,1.0
2000-06-01,51.44,53.13,51.31,53.06,8.6995006115,821300,0.0,1.0
2000-06-02,53.5,53.94,52.38,52.81,8.65851163387,620700,0.0,1.0
2000-06-05,52.5,52.63,50.75,51.19,8.39290305885,455100,0.0,1.0
2000-06-06,51.88,52.31,51.63,51.75,8.48471836873,561500,0.0,1.0
2000-06-07,51.75,52.56,51.44,52.13,8.54702161472,312400,0.0,1.0
2000-06-08,52.19,52.31,50.88,51.56,8.45356674574,471200,0.0,1.0
2000-06-09,51.31,51.63,50.25,50.63,8.30108774896,221900,0.0,1.0
2000-06-12,50.63,51.38,49.94,50.19,8.22894714834,653600,0.0,1.0
2000-06-13,50.13,51.06,50.13,50.75,8.32076245822,533600,0.0,1.0
2000-06-14,50.75,51.31,50.0,50.31,8.2486218576,597300,0.0,1.0
2000-06-15,50.44,50.63,48.81,49.25,8.07482859246,486300,0.0,1.0
2000-06-16,49.25,49.31,47.44,47.81,7.83873208133,544900,0.0,1.0
2000-06-19,47.5,48.13,47.06,47.75,7.8288947267,722500,0.0,1.0
2000-06-20,47.25,47.31,45.63,45.94,7.53213452869,928500,0.0,1.0
2000-06-21,46.25,47.44,46.06,47.06,7.71576514845,896500,0.0,1.0
2000-06-22,46.5,47.25,46.38,47.06,7.71576514845,507600,0.0,1.0
2000-06-23,47.25,48.38,47.06,47.31,7.75675412608,339600,0.0,1.0
2000-06-26,47.25,47.31,46.5,46.69,7.65510146157,460400,0.0,1.0
2000-06-27,46.75,47.75,46.56,47.63,7.80922001744,434300,0.0,1.0
2000-06-28,47.38,48.0,47.25,47.79,7.83545296312,565600,0.0,1.0
