dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-02-05,23.75,24.94,23.25,24.7,18.009896488,27565200,0.0,1.0
2004-02-06,24.71,24.94,24.15,24.85,18.119268329,5284400,0.0,1.0
2004-02-09,24.6,24.7,24.0,24.47,17.8421929984,3252900,0.0,1.0
2004-02-10,24.15,24.47,24.05,24.35,17.7546955256,1651600,0.0,1.0
2004-02-11,24.28,24.5,24.15,24.25,17.6817809649,2010200,0.0,1.0
2004-02-12,24.19,25.0,24.17,24.68,17.9953135758,1637500,0.0,1.0
2004-02-13,24.79,24.84,24.28,24.7,18.009896488,612000,0.0,1.0
2004-02-17,24.75,24.9,24.5,24.6,17.9369819273,592300,0.0,1.0
2004-02-18,24.6,25.4,24.35,25.4,18.5202984127,805700,0.0,1.0
2004-02-19,25.25,25.98,25.25,25.68,18.7244591826,1494600,0.0,1.0
2004-02-20,25.69,25.69,25.0,25.35,18.4838411324,742000,0.0,1.0
2004-02-23,25.39,25.39,24.35,24.55,17.900524647,1331500,0.0,1.0
2004-02-24,24.4,24.97,24.21,24.8,18.0828110487,963600,0.0,1.0
2004-02-25,24.8,25.0,24.7,24.85,18.119268329,321700,0.0,1.0
2004-02-26,24.85,25.27,24.6,25.24,18.4036351156,617200,0.0,1.0
2004-02-27,25.15,25.75,25.11,25.74,18.768207919,1569100,0.0,1.0
2004-03-01,25.74,26.19,25.7,25.8,18.8119566555,851700,0.0,1.0
2004-03-02,25.95,25.95,25.1,25.94,18.9140370404,595600,0.0,1.0
2004-03-03,25.7,25.8,25.35,25.48,18.5786300613,457000,0.0,1.0
2004-03-04,25.48,25.75,24.75,25.21,18.3817607474,1060200,0.0,1.0
2004-03-05,25.02,25.64,25.0,25.55,18.6296702538,450200,0.0,1.0
2004-03-08,25.55,25.65,25.17,25.48,18.5786300613,370100,0.0,1.0
2004-03-09,25.5,25.51,24.71,25.0,18.22864017,816200,0.0,1.0
2004-03-10,24.75,24.85,24.4,24.65,17.9734392076,1034300,0.0,1.0
2004-03-11,24.15,24.65,24.15,24.2,17.6453236846,2538500,0.0,1.0
2004-03-12,24.34,24.65,24.25,24.5,17.8640673666,1501700,0.0,1.0
2004-03-15,24.75,24.75,23.74,24.0,17.4994945632,1595900,0.0,1.0
2004-03-16,24.5,24.55,24.18,24.23,17.6671980528,1525800,0.0,1.0
