dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,17.88,19.13,17.88,19.13,6.63562653988,39600,0.0,1.0
1999-11-02,19.0,19.44,18.75,18.88,6.54890899492,41700,0.0,1.0
1999-11-03,18.88,19.06,18.88,19.0,6.5905334165,20200,0.0,1.0
1999-11-04,19.0,19.0,18.75,18.94,6.56972120571,21000,0.0,1.0
1999-11-05,18.88,19.0,18.69,18.88,6.54890899492,129800,0.0,1.0
1999-11-08,18.75,18.81,18.69,18.81,6.52462808234,49500,0.0,1.0
1999-11-09,18.81,18.88,18.75,18.88,6.54890899492,27500,0.0,1.0
1999-11-10,18.81,19.0,18.81,18.94,6.56972120571,82600,0.0,1.0
1999-11-11,18.88,18.88,18.75,18.81,6.52462808234,37300,0.0,1.0
1999-11-12,18.81,19.0,18.81,18.94,6.56972120571,17100,0.0,1.0
1999-11-15,18.94,19.5,18.75,19.5,6.76396850641,74800,0.0,1.0
1999-11-16,19.31,19.63,18.75,19.31,6.69806317224,40400,0.0,1.0
1999-11-17,19.38,19.5,18.81,19.31,6.69806317224,28400,0.0,1.0
1999-11-18,19.56,19.56,18.81,19.25,6.67725096145,23300,0.0,1.0
1999-11-19,18.88,18.88,18.75,18.81,6.52462808234,56100,0.0,1.0
1999-11-22,18.88,18.88,18.69,18.69,6.48300366076,139600,0.0,1.0
1999-11-23,18.81,18.81,18.19,18.25,6.33038078164,27300,0.0,1.0
1999-11-24,18.13,18.38,18.06,18.38,6.37547390501,28500,0.0,1.0
1999-11-26,18.38,19.06,18.38,19.06,6.61134562729,22700,0.0,1.0
1999-11-29,18.94,18.94,18.13,18.13,6.28875636006,28800,0.0,1.0
1999-11-30,18.25,19.38,18.25,19.38,6.72234408483,60300,0.0,1.0
1999-12-01,19.25,19.25,18.31,18.63,6.46219144997,46800,0.0,1.0
1999-12-02,18.5,19.31,18.5,19.0,6.5905334165,9300,0.0,1.0
1999-12-03,19.13,19.5,18.81,18.88,6.54890899492,17100,0.0,1.0
1999-12-06,18.75,19.38,18.69,18.69,6.48300366076,18500,0.0,1.0
1999-12-07,18.81,18.88,18.0,18.44,6.3962861158,34700,0.0,1.0
1999-12-08,18.38,18.88,18.25,18.63,6.46219144997,41100,0.0,1.0
1999-12-09,18.56,18.56,18.0,18.0,6.24366323668,47000,0.0,1.0
1999-12-10,18.0,18.0,17.56,17.94,6.2228510259,27500,0.0,1.0
1999-12-13,18.19,18.63,18.0,18.13,6.32344337804,104800,0.1,1.0
1999-12-14,18.19,18.44,18.0,18.0,6.27810153363,68900,0.0,1.0
1999-12-15,18.0,18.56,17.94,18.0,6.27810153363,59000,0.0,1.0
1999-12-16,17.94,18.25,17.94,18.25,6.36529738827,57200,0.0,1.0
1999-12-17,18.38,18.44,18.0,18.12,6.31995554386,79500,0.0,1.0
1999-12-20,18.25,18.38,17.5,17.5,6.10370982437,25700,0.0,1.0
1999-12-21,17.38,18.06,17.31,18.06,6.29902853874,31400,0.0,1.0
1999-12-22,18.06,18.19,17.94,17.94,6.25717452852,25700,0.0,1.0
1999-12-23,18.0,18.13,18.0,18.06,6.29902853874,33800,0.0,1.0
1999-12-27,18.19,18.19,17.75,17.88,6.23624752341,59400,0.0,1.0
1999-12-28,17.75,18.38,17.75,18.25,6.36529738827,56900,0.0,1.0
1999-12-29,18.31,19.0,18.25,19.0,6.62688495217,38900,0.0,1.0
1999-12-30,18.88,19.0,18.25,18.44,6.43156623779,44400,0.0,1.0
1999-12-31,18.56,19.44,18.38,19.19,6.69315380169,54900,0.0,1.0
2000-01-03,19.31,19.31,18.0,18.0,6.27810153363,67000,0.0,1.0
2000-01-04,17.75,18.56,17.75,18.0,6.27810153363,34100,0.0,1.0
2000-01-05,18.06,18.5,18.0,18.31,6.38622439338,35000,0.0,1.0
2000-01-06,18.19,19.0,18.06,18.94,6.60595794706,39300,0.0,1.0
2000-01-07,18.88,18.94,18.5,18.63,6.49783508731,35900,0.0,1.0
2000-01-10,18.69,18.69,18.38,18.56,6.47342024801,33500,0.0,1.0
2000-01-11,18.63,18.63,18.5,18.5,6.4524932429,34100,0.0,1.0
2000-01-12,18.5,18.63,18.44,18.63,6.49783508731,46500,0.0,1.0
2000-01-13,18.63,19.0,18.5,18.88,6.58503094194,47200,0.0,1.0
2000-01-14,19.0,19.0,18.5,18.5,6.4524932429,59000,0.0,1.0
2000-01-18,18.38,18.38,17.88,18.13,6.32344337804,37000,0.0,1.0
2000-01-19,18.13,18.44,18.0,18.19,6.34437038315,53000,0.0,1.0
2000-01-20,18.25,18.63,17.75,17.94,6.25717452852,38700,0.0,1.0
2000-01-21,18.06,18.38,17.75,18.19,6.34437038315,55600,0.0,1.0
2000-01-24,18.56,18.56,17.88,17.88,6.23624752341,60200,0.0,1.0
2000-01-25,17.94,17.94,17.13,17.13,5.97465995951,33600,0.0,1.0
2000-01-26,17.19,17.75,17.13,17.75,6.190905679,45600,0.0,1.0
2000-01-27,17.88,18.19,17.88,18.06,6.29902853874,41500,0.0,1.0
2000-01-28,18.06,18.31,17.5,17.63,6.14905166877,45400,0.0,1.0
2000-01-31,17.69,18.38,17.69,18.06,6.29902853874,57300,0.0,1.0
2000-02-01,18.0,18.0,17.31,17.56,6.12463682948,29500,0.0,1.0
2000-02-02,17.44,17.69,17.31,17.63,6.14905166877,61100,0.0,1.0
2000-02-03,17.63,17.75,17.38,17.63,6.14905166877,30800,0.0,1.0
2000-02-04,17.56,17.56,17.13,17.38,6.06185581414,50700,0.0,1.0
2000-02-07,17.13,17.38,17.0,17.38,6.06185581414,31100,0.0,1.0
2000-02-08,17.56,17.69,17.0,17.13,5.97465995951,35400,0.0,1.0
2000-02-09,17.25,17.63,16.63,16.88,5.88746410487,49400,0.0,1.0
2000-02-10,16.81,17.0,16.44,16.88,5.88746410487,261100,0.0,1.0
2000-02-11,16.88,17.06,15.94,16.0,5.58053469656,67500,0.0,1.0
2000-02-14,15.94,16.5,15.81,16.44,5.73399940072,28100,0.0,1.0
2000-02-15,16.63,16.88,16.31,16.88,5.88746410487,38100,0.0,1.0
2000-02-16,16.88,17.06,16.25,16.25,5.6677305512,43000,0.0,1.0
2000-02-17,16.44,16.94,16.38,16.5,5.75492640583,41200,0.0,1.0
2000-02-18,16.56,16.56,15.88,15.94,5.55960769145,30200,0.0,1.0
2000-02-22,15.94,16.0,15.63,15.94,5.55960769145,61900,0.0,1.0
2000-02-23,16.06,16.19,15.38,15.75,5.49333884193,47800,0.0,1.0
2000-02-24,15.75,15.88,15.31,15.38,5.36428897707,20700,0.0,1.0
