dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-11-18,49.75,50.0,47.49,48.475,45.1333958721,587100,0.0,1.0
2013-11-19,48.99,49.0,45.3,45.8,42.6427958936,1682000,0.0,1.0
2013-11-20,45.98,46.0,43.99,44.65,41.5720706692,1106900,0.0,1.0
2013-11-21,44.5,45.15,43.04,43.79,40.7713544145,730200,0.0,1.0
2013-11-22,43.9,44.1,43.25,43.99,40.957567497,947600,0.0,1.0
2013-11-25,44.28,45.62,43.7,44.18,41.1344699253,727300,0.0,1.0
2013-11-26,45.0,45.0,43.04,43.2,40.2220258211,873700,0.0,1.0
2013-11-27,43.55,43.55,42.5,43.24,40.2592684376,1153300,0.0,1.0
2013-11-29,42.75,43.85,42.75,43.24,40.2592684376,949900,0.0,1.0
2013-12-02,43.9,44.74,41.52,43.14,40.1661618963,5130700,0.0,1.0
2013-12-03,42.8,44.9,42.7,42.9,39.9427061973,3239300,0.0,1.0
2013-12-04,42.43,42.605,41.6501,41.83,38.9464662059,2777700,0.0,1.0
2013-12-05,42.28,42.28,40.63,41.05,38.2202351841,3380500,0.0,1.0
2013-12-06,40.75,41.06,40.64,40.7,37.8943622898,4662300,0.0,1.0
2013-12-09,40.7,41.27,40.24,41.18,38.3412736878,3074000,0.0,1.0
2013-12-10,41.07,42.84,41.04,42.56,39.6261439571,3289400,0.0,1.0
2013-12-11,42.32,43.015,42.0,42.46,39.5330374158,3367300,0.0,1.0
2013-12-12,42.01,43.1,42.0,42.97,40.0078807762,1770500,0.0,1.0
2013-12-13,42.92,43.8,42.92,43.25,40.2685790917,683800,0.0,1.0
2013-12-16,43.01,43.99,42.11,43.69,40.6782478732,1953900,0.0,1.0
2013-12-17,43.43,44.0,43.16,43.75,40.734111798,1396700,0.0,1.0
2013-12-18,43.65,44.5,43.1,44.27,41.2182658125,1225200,0.0,1.0
2013-12-19,43.96,44.5,43.82,44.45,41.3858575867,593000,0.0,1.0
2013-12-20,44.3,44.45,43.91,44.26,41.2089551583,2878600,0.0,1.0
2013-12-23,44.17,44.85,43.55,44.65,41.5720706692,773600,0.0,1.0
2013-12-24,44.76,45.02,44.25,44.58,41.5068960904,304700,0.0,1.0
2013-12-26,44.86,45.01,44.44,44.7,41.6186239399,513200,0.0,1.0
2013-12-27,44.77,44.97,44.09,44.64,41.5627600151,393300,0.0,1.0
2013-12-30,44.45,44.88,44.0,44.12,41.0786060006,381500,0.0,1.0
2013-12-31,44.23,44.5,43.76,44.19,41.1437805795,874200,0.0,1.0
2014-01-02,44.08,44.18,43.27,43.65,40.6410052567,992900,0.0,1.0
2014-01-03,43.57,44.32,43.17,43.96,40.9296355346,378400,0.0,1.0
2014-01-06,43.97,43.98,43.37,43.68,40.6689372191,597800,0.0,1.0
2014-01-07,42.16,43.98,42.16,43.87,40.8458396475,1371300,0.0,1.0
2014-01-08,44.02,44.36,43.4,43.88,40.8551503016,1407100,0.0,1.0
2014-01-09,43.89,44.25,43.84,44.13,41.0879166547,1093500,0.0,1.0
2014-01-10,44.17,46.08,44.02,45.73,42.5776213148,2008600,0.0,1.0
2014-01-13,45.7,47.44,45.2,47.04,43.7973170052,2278500,0.0,1.0
2014-01-14,47.16,47.894,46.91,47.8,44.5049267187,2338200,0.0,1.0
2014-01-15,47.97,49.19,47.26,47.5,44.2256070949,1733000,0.0,1.0
2014-01-16,47.28,47.68,47.04,47.4,44.1325005537,1178700,0.0,1.0
2014-01-17,47.52,48.24,47.0,48.0,44.6911398012,1572100,0.0,1.0
2014-01-21,49.38,49.38,47.94,48.17,44.8494209213,1570400,0.0,1.0
2014-01-22,48.11,49.16,48.08,48.51,45.1659831616,682200,0.0,1.0
2014-01-23,48.68,48.68,47.58,47.72,44.4304414857,867600,0.0,1.0
2014-01-24,47.62,47.71,45.8275,46.84,43.6111039227,1417500,0.0,1.0
2014-01-27,45.2,48.0,45.2,46.6,43.3876482237,717800,0.0,1.0
2014-01-28,46.77,47.88,46.77,47.73,44.4397521398,721700,0.0,1.0
2014-01-29,47.35,48.48,47.1301,47.78,44.4863054104,800900,0.0,1.0
2014-01-30,47.91,49.63,47.83,49.42,46.013252687,1247100,0.0,1.0
2014-01-31,49.25,49.96,49.03,49.35,45.9480781081,2011100,0.0,1.0
2014-02-03,49.35,49.94,47.2,47.44,44.1697431702,1184800,0.0,1.0
2014-02-04,47.44,48.48,47.3164,48.05,44.7376930718,891300,0.0,1.0
2014-02-05,47.84,48.65,47.152,47.6,44.3187136362,823100,0.0,1.0
2014-02-06,47.5,49.27,47.5,49.24,45.8456609127,1168400,0.0,1.0
2014-02-07,49.33,50.2699,49.33,49.94,46.4974067015,1837500,0.0,1.0
2014-02-10,49.99,50.12,49.45,49.84,46.4043001602,763400,0.0,1.0
2014-02-11,49.73,50.41,49.33,49.89,46.4508534309,1446100,0.0,1.0
2014-02-12,49.92,51.0,49.7275,50.0,46.5532706262,1405300,0.0,1.0
2014-02-13,49.98,50.435,49.59,50.12,46.6649984757,695000,0.0,1.0
2014-02-14,50.15,50.25,49.59,49.63,46.2087764236,891700,0.0,1.0
2014-02-18,49.72,50.86,49.72,50.11,46.6556878216,2748500,0.0,1.0
2014-02-19,49.84,50.34,49.03,49.16,45.7711756797,1076100,0.0,1.0
2014-02-20,50.23,52.78,49.1,51.52,47.9684900533,2623600,0.0,1.0
2014-02-21,51.75,52.79,51.75,52.37,48.7598956539,2198700,0.0,1.0
2014-02-24,52.36,53.11,52.36,52.86,49.2161177061,667900,0.0,1.0
2014-02-25,53.0,54.58,52.9301,54.56,50.7989289074,1117600,0.0,1.0
2014-02-26,54.83,55.78,54.18,54.66,50.8920354486,1880100,0.0,1.0
2014-02-27,54.69,55.53,54.21,55.35,51.5344705832,1139900,0.0,1.0
2014-02-28,55.09,55.32,53.82,54.35,50.6034051707,1198500,0.0,1.0
2014-03-03,54.67,54.93,53.08,53.49,49.802688916,659600,0.0,1.0
2014-03-04,53.71,55.0,53.48,54.0,50.2775322763,1189900,0.0,1.0
2014-03-05,53.9,54.312,53.38,53.95,50.2309790057,395000,0.0,1.0
2014-03-06,53.99,54.1,53.04,53.19,49.5233692922,617400,0.0,1.0
2014-03-07,53.44,53.78,52.59,53.39,49.7095823747,776100,0.0,1.0
2014-03-10,53.2,53.67,52.24,53.29,49.6164758334,1155300,0.0,1.0
2014-03-11,53.49,54.8,53.45,54.5,50.7430649826,874700,0.0,1.0
2014-03-12,54.42,54.74,52.77,54.28,50.5382305918,1255500,0.0,1.0
2014-03-13,54.46,54.71,53.131,53.6,49.9795913443,946400,0.08,1.0
2014-03-14,53.62,53.95,53.25,53.3,49.6998548256,1071800,0.0,1.0
2014-03-17,53.44,53.825,52.93,52.96,49.3828201044,1011700,0.0,1.0
2014-03-18,52.945,53.4875,52.71,53.28,49.6812057244,880800,0.0,1.0
2014-03-19,53.18,54.0,52.92,53.28,49.6812057244,645000,0.0,1.0
2014-03-20,53.41,54.22,52.82,54.17,50.5110907299,628100,0.0,1.0
2014-03-21,54.38,54.81,53.74,53.81,50.1754069074,1356800,0.0,1.0
2014-03-24,54.0,54.23,53.04,53.47,49.8583721862,895600,0.0,1.0
2014-03-25,53.7,53.9,53.165,53.21,49.61593387,708000,0.0,1.0
2014-03-26,53.32,53.5,52.01,52.04,48.524961447,691100,0.0,1.0
2014-03-27,51.87,51.97,51.19,51.45,47.9748129602,492900,0.0,1.0
2014-03-28,51.62,52.435,51.54,52.16,48.6368560545,346100,0.0,1.0
2014-03-31,52.38,52.58,51.91,52.17,48.6461806051,334600,0.0,1.0
2014-04-01,52.44,54.055,52.29,53.92,50.2779769643,593600,0.0,1.0
2014-04-02,53.92,54.81,53.59,54.67,50.9773182611,500500,0.0,1.0
2014-04-03,54.77,55.0,54.58,54.95,51.2384056786,427900,0.0,1.0
2014-04-04,54.82,55.35,53.0,53.73,50.1008105024,492000,0.0,1.0
2014-04-07,53.71,54.0,51.53,51.62,48.1333303208,1054200,0.0,1.0
2014-04-08,51.34,51.78,50.81,51.41,47.9375147577,1213700,0.0,1.0
2014-04-09,51.46,51.59,51.23,51.5,48.0214357133,1212800,0.0,1.0
2014-04-10,51.52,51.79,50.12,50.68,47.2568225621,1488500,0.0,1.0
2014-04-11,50.53,50.9,49.86,50.01,46.6320776703,1184600,0.0,1.0
2014-04-14,50.28,50.61,49.18,49.77,46.4082884554,605900,0.0,1.0
2014-04-15,49.88,50.43,48.93,49.96,46.5854549172,419300,0.0,1.0
2014-04-16,50.16,50.718,49.84,50.23,46.8372177841,254000,0.0,1.0
2014-04-17,50.07,50.54,49.43,50.15,46.7626213791,427200,0.0,1.0
2014-04-21,49.98,50.65,49.6,50.63,47.210199809,225700,0.0,1.0
2014-04-22,50.71,51.15,50.36,51.0,47.5552081821,422500,0.0,1.0
2014-04-23,50.89,50.96,49.976,50.4,46.9957351447,507800,0.0,1.0
2014-04-24,50.62,50.78,49.715,50.24,46.8465423347,659800,0.0,1.0
