dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,20.13,20.13,19.81,20.06,2.55433750692,22993,0.0,1.0
1999-11-04,20.0,20.19,20.0,20.19,2.57089104012,12281,0.0,1.0
1999-11-05,20.25,20.5,20.19,20.25,2.57853113236,22000,0.0,1.0
1999-11-08,20.19,20.31,19.94,20.06,2.55433750692,29881,0.0,1.0
1999-11-09,20.0,20.13,20.0,20.13,2.56325094787,13793,0.0,1.0
1999-11-10,20.13,20.13,20.0,20.13,2.56325094787,6089,0.0,1.0
1999-11-11,20.06,20.06,19.63,19.75,2.514863697,17289,0.0,1.0
1999-11-12,19.69,20.13,19.69,20.13,2.56325094787,10000,0.0,1.0
1999-11-15,20.0,20.13,19.88,20.13,2.56325094787,13081,0.0,1.0
1999-11-16,20.0,20.0,19.94,19.94,2.53905732243,46089,0.0,1.0
1999-11-17,20.0,20.25,20.0,20.06,2.55433750692,24000,0.0,1.0
1999-11-18,20.0,20.25,20.0,20.25,2.57853113236,17481,0.0,1.0
1999-11-19,20.25,20.31,19.94,20.13,2.56325094787,8281,0.0,1.0
1999-11-22,20.19,20.19,19.44,19.5,2.48302997931,19881,0.0,1.0
1999-11-23,19.5,19.63,19.38,19.63,2.49958351251,25600,0.0,1.0
1999-11-24,19.56,19.56,19.19,19.25,2.45119626163,13393,0.0,1.0
1999-11-26,19.25,19.69,19.19,19.69,2.50722360475,10489,0.0,1.0
1999-11-29,19.63,19.63,19.44,19.5,2.48302997931,10400,0.0,1.0
1999-11-30,19.5,20.0,19.5,20.0,2.54669741468,34089,0.0,1.0
1999-12-01,19.88,19.88,19.69,19.81,2.52250378924,30593,0.0,1.0
1999-12-02,19.75,19.94,19.75,19.94,2.53905732243,13200,0.0,1.0
1999-12-03,19.88,20.31,19.81,19.88,2.53141723019,23481,0.0,1.0
1999-12-06,19.88,20.0,19.88,20.0,2.54669741468,31689,0.0,1.0
1999-12-07,20.0,20.0,19.88,19.94,2.54669741468,8089,0.06,1.0
1999-12-08,19.75,19.88,19.19,19.44,2.48283840227,29081,0.0,1.0
1999-12-09,19.31,19.31,18.81,19.19,2.45090889607,23881,0.0,1.0
1999-12-10,19.06,19.19,19.0,19.19,2.45090889607,26800,0.0,1.0
1999-12-13,19.19,19.5,19.13,19.5,2.49050148376,16993,0.0,1.0
1999-12-14,19.38,19.44,18.88,19.19,2.45090889607,32993,0.0,1.0
1999-12-15,19.06,19.31,18.94,19.31,2.46623505905,64800,0.0,1.0
1999-12-16,19.25,19.75,19.25,19.63,2.50710482699,36400,0.0,1.0
1999-12-17,19.69,19.69,19.56,19.63,2.50710482699,143481,0.0,1.0
1999-12-20,19.44,19.63,19.13,19.13,2.44324581458,24800,0.0,1.0
1999-12-21,19.0,19.25,18.88,19.19,2.45090889607,12993,0.0,1.0
1999-12-22,19.19,19.19,18.31,18.44,2.35512037747,38681,0.0,1.0
1999-12-23,18.31,18.44,18.19,18.25,2.33085395275,35481,0.0,1.0
1999-12-27,18.19,18.25,18.06,18.13,2.31552778978,32593,0.0,1.0
1999-12-28,18.13,18.38,18.0,18.25,2.33085395275,144000,0.0,1.0
1999-12-29,18.25,19.13,18.25,18.81,2.40237604665,54889,0.0,1.0
1999-12-30,18.69,18.94,18.69,18.81,2.40237604665,27289,0.0,1.0
1999-12-31,18.81,19.13,18.69,19.06,2.43430555285,23689,0.0,1.0
2000-01-03,19.0,19.0,18.88,19.0,2.42664247136,85393,0.0,1.0
2000-01-04,19.0,19.13,18.88,18.94,2.41897938987,37689,0.0,1.0
2000-01-05,18.88,19.0,18.81,18.94,2.41897938987,20889,0.0,1.0
2000-01-06,19.13,19.19,18.5,19.0,2.42664247136,19289,0.0,1.0
2000-01-07,18.88,19.44,18.88,19.25,2.45857197756,27200,0.0,1.0
2000-01-10,19.38,20.0,19.31,19.88,2.53903433319,13289,0.0,1.0
2000-01-11,19.75,19.75,19.19,19.31,2.46623505905,76400,0.0,1.0
2000-01-12,19.19,19.38,19.13,19.38,2.47517532079,11689,0.0,1.0
2000-01-13,19.25,19.44,19.0,19.13,2.44324581458,18681,0.0,1.0
2000-01-14,19.13,19.25,18.88,18.94,2.41897938987,27600,0.0,1.0
2000-01-18,19.0,19.88,18.94,19.88,2.53903433319,40681,0.0,1.0
2000-01-19,19.81,19.91,19.38,19.5,2.49050148376,87793,0.0,1.0
2000-01-20,19.5,19.69,19.38,19.63,2.50710482699,34889,0.0,1.0
2000-01-21,19.5,19.56,19.44,19.56,2.49816456525,66993,0.0,1.0
2000-01-24,19.56,19.63,18.81,18.81,2.40237604665,27793,0.0,1.0
2000-01-25,18.63,18.63,18.19,18.5,2.36278345895,36800,0.0,1.0
2000-01-26,18.63,19.0,18.44,19.0,2.42664247136,34089,0.0,1.0
2000-01-27,19.25,20.13,19.13,20.06,2.56202357766,80193,0.0,1.0
2000-01-28,20.0,20.44,19.75,20.44,2.61055642708,69600,0.0,1.0
2000-01-31,20.75,22.0,20.63,22.0,2.80979654578,64089,0.0,1.0
2000-02-01,22.0,22.13,19.75,19.75,2.52243098997,77481,0.0,1.0
2000-02-02,19.88,19.88,18.63,18.63,2.37938680218,124400,0.0,1.0
2000-02-03,18.63,18.69,18.06,18.31,2.33851703424,49689,0.0,1.0
2000-02-04,18.25,18.38,18.0,18.19,2.32319087126,23289,0.0,1.0
2000-02-07,18.19,18.19,17.81,17.94,2.29126136506,18400,0.0,1.0
2000-02-08,18.0,18.25,17.5,17.88,2.28359828357,94681,0.0,1.0
2000-02-09,17.94,17.94,17.19,17.5,2.23506543415,35200,0.0,1.0
2000-02-10,17.5,17.5,16.31,16.5,2.10734740934,64281,0.0,1.0
2000-02-11,16.5,17.94,16.5,17.94,2.29126136506,160089,0.0,1.0
2000-02-14,17.88,17.94,17.69,17.94,2.29126136506,22089,0.0,1.0
2000-02-15,18.0,18.19,17.81,17.94,2.29126136506,77689,0.0,1.0
2000-02-16,17.88,18.0,17.69,17.69,2.25933185886,44681,0.0,1.0
2000-02-17,17.63,18.0,17.63,17.94,2.29126136506,57081,0.0,1.0
2000-02-18,17.94,17.94,17.63,17.69,2.25933185886,17200,0.0,1.0
2000-02-22,17.69,18.13,17.31,18.13,2.31552778978,29200,0.0,1.0
2000-02-23,18.13,18.13,17.31,17.5,2.23506543415,52400,0.0,1.0
2000-02-24,17.44,17.44,17.13,17.13,2.18780976497,33881,0.0,1.0
2000-02-25,17.0,17.69,16.75,17.25,2.20313592794,52000,0.0,1.0
2000-02-28,17.13,17.13,16.63,16.81,2.14693999703,29081,0.0,1.0
2000-02-29,16.81,17.06,16.69,16.94,2.16354334025,49481,0.0,1.0
2000-03-01,16.94,18.5,16.25,18.5,2.36278345895,109481,0.0,1.0
2000-03-02,18.38,18.38,17.75,17.81,2.27465802184,37081,0.0,1.0
2000-03-03,17.75,17.75,17.25,17.44,2.22740235266,38281,0.0,1.0
2000-03-06,17.44,17.56,17.25,17.56,2.24272851563,45689,0.0,1.0
2000-03-07,17.56,17.56,17.25,17.44,2.22740235266,84889,0.0,1.0
2000-03-08,17.31,17.81,17.31,17.75,2.26699494035,47793,0.0,1.0
2000-03-09,17.81,17.81,17.38,17.44,2.22740235266,61689,0.0,1.0
2000-03-10,17.19,17.25,16.75,16.75,2.13927691554,46593,0.0,1.0
2000-03-13,16.81,17.38,16.75,17.19,2.19547284646,37200,0.0,1.0
2000-03-14,17.31,17.31,15.5,16.0,2.04348839693,148593,0.0,1.0
2000-03-15,16.0,16.13,15.75,16.13,2.06775482165,80000,0.06,1.0
2000-03-16,16.13,17.06,16.13,17.06,2.18697441149,85881,0.0,1.0
2000-03-17,16.56,17.81,16.56,17.81,2.283119242,75289,0.0,1.0
2000-03-20,17.69,17.94,17.69,17.88,2.29209275952,24593,0.0,1.0
2000-03-21,17.75,17.81,17.31,17.56,2.25107096517,24089,0.0,1.0
2000-03-22,17.69,18.19,17.69,18.19,2.3318326228,65289,0.0,1.0
2000-03-23,18.31,18.94,18.31,18.44,2.36388089964,63881,0.0,1.0
2000-03-24,18.81,18.94,18.56,18.75,2.40362076292,48489,0.0,1.0
2000-03-27,18.88,19.0,18.63,18.63,2.38823759004,56800,0.0,1.0
2000-03-28,18.5,18.5,17.63,17.69,2.26773606912,25393,0.0,1.0
2000-03-29,17.81,17.88,17.19,17.44,2.23568779228,22681,0.0,1.0
2000-03-30,17.5,19.44,17.5,19.0,2.43566903976,64281,0.0,1.0
2000-03-31,19.06,20.0,19.06,19.25,2.4677173166,95481,0.0,1.0
2000-04-03,19.06,19.75,18.94,19.69,2.52412228383,100089,0.0,1.0
2000-04-04,19.69,19.75,19.56,19.63,2.51643069739,45881,0.0,1.0
2000-04-05,19.63,19.94,19.56,19.63,2.51643069739,38000,0.0,1.0
2000-04-06,19.63,20.0,19.63,20.0,2.56386214711,60089,0.0,1.0
2000-04-07,20.0,20.25,20.0,20.19,2.58821883751,14000,0.0,1.0
2000-04-10,20.38,21.25,20.13,20.13,2.58052725107,59081,0.0,1.0
2000-04-11,20.0,20.13,19.63,19.94,2.55617056067,26193,0.0,1.0
2000-04-12,19.94,20.13,19.75,19.88,2.54847897423,8193,0.0,1.0
2000-04-13,20.0,20.13,19.75,19.88,2.54847897423,15081,0.0,1.0
2000-04-14,19.88,20.0,19.69,20.0,2.56386214711,23200,0.0,1.0
2000-04-17,19.88,20.0,19.13,19.44,2.49207400699,72681,0.0,1.0
2000-04-18,19.69,20.13,19.56,19.88,2.54847897423,25600,0.0,1.0
2000-04-19,20.0,20.5,19.88,20.44,2.62026711435,40889,0.0,1.0
2000-04-20,20.44,20.88,20.31,20.75,2.66000697763,86281,0.0,1.0
2000-04-24,20.88,20.88,20.13,20.19,2.58821883751,31689,0.0,1.0
2000-04-25,20.44,20.75,20.19,20.63,2.64462380475,189393,0.0,1.0
2000-04-26,20.69,20.75,20.56,20.56,2.63565028723,46993,0.0,1.0
2000-04-27,20.44,20.69,20.13,20.63,2.64462380475,27289,0.0,1.0
2000-04-28,20.69,20.75,20.25,20.56,2.63565028723,43600,0.0,1.0
2000-05-01,20.19,21.56,20.19,20.81,2.66769856407,71289,0.0,1.0
2000-05-02,20.69,20.75,20.38,20.56,2.63565028723,45881,0.0,1.0
2000-05-03,20.31,20.44,19.94,19.94,2.55617056067,30193,0.0,1.0
2000-05-04,20.06,21.0,19.94,20.69,2.65231539119,76193,0.0,1.0
2000-05-05,20.63,21.13,20.63,21.0,2.69205525447,37793,0.0,1.0
2000-05-08,21.0,21.0,20.56,20.75,2.66000697763,38400,0.0,1.0
2000-05-09,20.88,20.88,20.38,20.69,2.65231539119,61289,0.0,1.0
2000-05-10,20.56,20.63,20.0,20.31,2.60360201039,14400,0.0,1.0
2000-05-11,20.44,20.63,20.19,20.25,2.59591042395,23289,0.0,1.0
2000-05-12,20.31,20.38,20.0,20.25,2.59591042395,25200,0.0,1.0
2000-05-15,20.25,20.56,20.19,20.56,2.63565028723,33689,0.0,1.0
2000-05-16,20.69,21.19,20.69,21.0,2.69205525447,53793,0.0,1.0
2000-05-17,20.94,20.94,20.63,20.75,2.66000697763,30000,0.0,1.0
2000-05-18,20.69,21.0,20.44,20.56,2.63565028723,19793,0.0,1.0
2000-05-19,20.44,20.44,19.94,20.0,2.56386214711,12400,0.0,1.0
2000-05-22,19.88,20.0,19.13,20.0,2.56386214711,35481,0.0,1.0
2000-05-23,20.0,20.0,19.31,19.31,2.47540890304,23289,0.0,1.0
2000-05-24,19.31,19.63,18.94,19.5,2.49976559344,34993,0.0,1.0
2000-05-25,19.5,19.63,19.38,19.5,2.49976559344,18193,0.0,1.0
2000-05-26,19.5,19.5,19.13,19.13,2.45233414371,9793,0.0,1.0
2000-05-30,19.38,20.25,19.38,20.25,2.59591042395,33481,0.0,1.0
2000-05-31,20.38,20.38,20.13,20.13,2.58052725107,119881,0.0,1.0
2000-06-01,20.75,21.0,20.63,20.81,2.66769856407,94281,0.0,1.0
2000-06-02,20.94,21.13,20.81,20.94,2.68436366803,49793,0.0,1.0
2000-06-05,21.0,21.0,20.5,20.5,2.62795870079,12800,0.0,1.0
2000-06-06,20.63,20.94,20.63,20.75,2.66000697763,15793,0.0,1.0
2000-06-07,20.5,20.63,20.38,20.5,2.62795870079,15689,0.0,1.0
2000-06-08,20.44,20.44,20.06,20.19,2.58821883751,17200,0.0,1.0
2000-06-09,20.25,20.63,20.25,20.5,2.62795870079,10000,0.0,1.0
2000-06-12,20.63,20.75,20.25,20.44,2.62026711435,44281,0.0,1.0
2000-06-13,20.06,20.38,19.94,19.94,2.55617056067,156681,0.0,1.0
2000-06-14,19.5,20.0,19.5,19.56,2.51514876632,61200,0.06,1.0
2000-06-15,19.56,20.13,19.44,20.06,2.57944193519,29600,0.0,1.0
2000-06-16,19.81,20.13,19.56,19.75,2.53958017049,82281,0.0,1.0
2000-06-19,19.88,20.0,19.75,19.88,2.5562963944,63793,0.0,1.0
2000-06-20,20.0,20.0,19.63,19.88,2.5562963944,24800,0.0,1.0
2000-06-21,19.94,20.0,19.69,20.0,2.57172675493,20089,0.0,1.0
2000-06-22,19.94,20.0,19.81,19.81,2.54729535076,52089,0.0,1.0
2000-06-23,19.94,19.94,19.75,19.81,2.54729535076,10400,0.0,1.0
2000-06-26,20.0,20.38,20.0,20.31,2.61158851963,8089,0.0,1.0
2000-06-27,20.44,20.63,20.38,20.38,2.62058956327,45481,0.0,1.0
2000-06-28,20.5,20.5,20.19,20.25,2.60387333936,9081,0.0,1.0
2000-06-29,20.31,20.88,20.31,20.69,2.66045132797,11600,0.0,1.0
2000-06-30,20.75,20.75,17.5,17.5,2.25026091056,145393,0.0,1.0
2000-07-03,18.5,20.25,18.5,20.0,2.57172675493,117481,0.0,1.0
2000-07-05,19.94,20.0,19.63,19.69,2.53186499023,35200,0.0,1.0
2000-07-06,19.81,20.19,19.44,19.56,2.51514876632,39393,0.0,1.0
2000-07-07,19.44,19.5,19.0,19.38,2.49200322552,25481,0.0,1.0
2000-07-10,19.38,19.38,19.0,19.19,2.46757182135,13481,0.0,1.0
2000-07-11,19.25,20.13,19.0,19.94,2.56401157466,46281,0.0,1.0
2000-07-12,20.19,21.0,20.06,20.81,2.6758816885,79200,0.0,1.0
2000-07-13,21.0,21.0,20.69,20.75,2.66816650824,40889,0.0,1.0
2000-07-14,20.63,20.81,20.63,20.81,2.6758816885,99289,0.0,1.0
2000-07-17,21.0,21.13,20.88,20.88,2.68488273214,18400,0.0,1.0
2000-07-18,20.88,21.06,20.88,20.94,2.69259791241,24400,0.0,1.0
2000-07-19,20.94,21.13,20.81,20.88,2.68488273214,20281,0.0,1.0
2000-07-20,20.88,21.13,20.63,20.63,2.65273614771,26889,0.0,1.0
2000-07-21,20.88,21.19,20.63,20.63,2.65273614771,12993,0.0,1.0
2000-07-24,20.56,20.56,20.0,20.0,2.57172675493,12889,0.0,1.0
2000-07-25,20.0,20.38,19.94,20.38,2.62058956327,19881,0.0,1.0
2000-07-26,20.5,20.5,19.63,19.63,2.52414980996,31600,0.0,1.0
2000-07-27,19.63,19.94,19.44,19.44,2.49971840579,25081,0.0,1.0
2000-07-28,19.44,20.0,19.44,19.56,2.51514876632,26489,0.0,1.0
2000-07-31,19.81,21.0,19.81,20.81,2.6758816885,45481,0.0,1.0
2000-08-01,20.94,21.13,19.94,20.06,2.57944193519,72800,0.0,1.0
2000-08-02,19.94,20.94,19.81,20.69,2.66045132797,36089,0.0,1.0
2000-08-03,20.56,20.81,20.5,20.69,2.66045132797,19689,0.0,1.0
2000-08-04,20.94,20.94,20.63,20.81,2.6758816885,27200,0.0,1.0
2000-08-07,20.88,21.19,20.75,21.19,2.72474449685,113393,0.0,1.0
2000-08-08,21.25,21.5,21.25,21.44,2.75689108128,29289,0.0,1.0
2000-08-09,21.5,21.5,21.06,21.31,2.74017485737,14089,0.0,1.0
2000-08-10,21.25,21.25,20.88,20.88,2.68488273214,14193,0.0,1.0
2000-08-11,20.94,21.5,20.88,21.44,2.75689108128,31600,0.0,1.0
2000-08-14,21.44,21.5,21.19,21.31,2.74017485737,137481,0.0,1.0
2000-08-15,21.56,21.75,21.31,21.31,2.74017485737,28281,0.0,1.0
2000-08-16,21.44,21.63,21.44,21.63,2.78132248545,27881,0.0,1.0
2000-08-17,21.56,21.56,21.25,21.25,2.73245967711,16089,0.0,1.0
2000-08-18,21.38,21.75,21.38,21.69,2.78903766572,95393,0.0,1.0
2000-08-21,21.81,21.88,21.69,21.75,2.79675284598,6193,0.0,1.0
2000-08-22,21.56,21.63,21.13,21.25,2.73245967711,25793,0.0,1.0
2000-08-23,21.31,21.31,20.5,20.5,2.6360199238,35793,0.0,1.0
2000-08-24,20.75,21.5,20.75,21.44,2.75689108128,25289,0.0,1.0
2000-08-25,21.44,21.5,21.25,21.38,2.74917590102,63289,0.0,1.0
2000-08-28,21.38,21.5,21.31,21.38,2.74917590102,24000,0.0,1.0
2000-08-29,21.38,21.63,21.38,21.5,2.76460626155,26000,0.0,1.0
2000-08-30,21.38,21.5,21.25,21.38,2.74917590102,30193,0.0,1.0
