dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,82.69,83.75,78.44,78.56,30.6510567583,5830400,0.0,1.0
1999-11-04,79.25,83.88,79.19,83.81,32.6994025829,8207400,0.0,1.0
1999-11-05,85.63,87.75,85.0,85.13,33.2144152474,6776500,0.0,1.0
1999-11-08,84.88,87.0,84.0,85.44,33.3353651913,4977700,0.0,1.0
1999-11-09,87.38,87.94,85.5,85.88,33.5070360795,4668600,0.0,1.0
1999-11-10,86.13,88.88,85.63,87.75,34.2366373541,4785100,0.0,1.0
1999-11-11,88.25,91.31,88.25,90.5,35.3095804051,5527400,0.0,1.0
1999-11-12,91.88,92.5,89.0,91.94,35.8714124027,3690200,0.0,1.0
1999-11-15,92.5,92.88,89.63,89.75,35.016959573,3249600,0.0,1.0
1999-11-16,90.44,91.5,90.0,91.0,35.5046609598,5680400,0.0,1.0
1999-11-17,90.94,91.56,90.0,91.13,35.5553819041,5000300,0.0,1.0
1999-11-18,91.69,91.69,89.5,91.19,35.5787915706,5338100,0.0,1.0
1999-11-19,91.13,95.13,90.75,94.69,36.9443554537,5699900,0.0,1.0
1999-11-22,47.75,48.75,45.75,48.19,37.6037277287,4762700,0.0,2.0
1999-11-23,49.06,49.19,47.0,47.56,37.1121247308,7793100,0.0,1.0
1999-11-24,47.63,49.5,46.63,49.44,38.5791305023,5368100,0.0,1.0
1999-11-26,50.0,50.06,48.81,49.38,38.5323111692,3638900,0.0,1.0
1999-11-29,49.56,49.88,47.0,48.75,38.0407081713,5844000,0.0,1.0
1999-11-30,47.5,47.56,45.0,45.56,35.551480293,9557900,0.0,1.0
1999-12-01,45.0,46.44,44.0,44.31,34.5760775194,7485700,0.0,1.0
1999-12-02,44.63,45.5,44.25,44.75,34.9194192957,7278200,0.0,1.0
1999-12-03,45.69,47.94,45.19,46.25,36.089902624,9474000,0.0,1.0
1999-12-06,46.13,46.75,44.0,45.0,35.1144998504,5201200,0.0,1.0
1999-12-07,45.05,45.56,44.0,44.81,34.9662386288,6460700,0.0,1.0
1999-12-08,44.38,48.0,44.25,45.25,35.3095804051,6491400,0.0,1.0
1999-12-09,46.75,48.0,42.63,44.0,34.3341776315,10458800,0.0,1.0
1999-12-10,44.25,45.81,44.13,44.75,34.9194192957,7321500,0.0,1.0
1999-12-13,45.25,47.25,43.75,46.63,36.3864250672,8103900,0.0,1.0
1999-12-14,47.31,47.5,45.25,46.06,35.9416414024,8081900,0.0,1.0
1999-12-15,45.63,46.25,43.94,45.88,35.801183403,8709800,0.0,1.0
1999-12-16,45.5,45.63,43.5,44.44,34.6775194078,9175200,0.0,1.0
1999-12-17,45.75,46.38,44.75,45.56,35.551480293,10599200,0.0,1.0
1999-12-20,45.63,49.63,45.13,48.88,38.1421500597,9173100,0.0,1.0
1999-12-21,49.0,50.44,48.63,50.13,39.1175528333,8224800,0.0,1.0
1999-12-22,50.67,53.06,50.25,52.94,41.3102582684,9230500,0.0,1.0
1999-12-23,54.0,54.81,52.75,54.19,42.2856610421,6669000,0.0,1.0
1999-12-27,54.94,55.0,51.13,53.19,41.5053388232,5246100,0.0,1.0
1999-12-28,55.06,58.25,54.88,57.69,45.0167888082,7643600,0.0,1.0
1999-12-29,58.75,62.0,57.5,61.81,48.2317163501,6529300,0.0,1.0
1999-12-30,63.75,66.44,63.56,64.88,50.6273055621,5499100,0.0,1.0
1999-12-31,65.38,65.5,59.88,60.06,46.866152467,2610400,0.0,1.0
2000-01-03,70.0,70.0,62.88,62.94,49.1134804574,22914900,0.0,1.0
2000-01-04,62.0,64.13,57.69,58.13,45.3601305845,15052600,0.0,1.0
2000-01-05,59.19,60.25,58.25,59.94,46.7725138007,15071400,0.0,1.0
2000-01-06,60.75,61.94,60.25,61.13,47.7010972412,11118400,0.0,1.0
2000-01-07,62.75,68.5,62.63,68.0,53.061910885,15953900,0.0,1.0
2000-01-10,69.5,72.69,69.5,72.13,56.2846416491,10555300,0.0,1.0
2000-01-11,72.06,72.38,64.13,66.44,51.8446082236,14103100,0.0,1.0
2000-01-12,67.63,67.75,62.56,63.56,49.5972802331,11576800,0.0,1.0
2000-01-13,64.75,67.75,63.81,66.81,52.1333274446,10552600,0.0,1.0
2000-01-14,68.88,70.0,67.38,68.31,53.3038107729,8971200,0.0,1.0
2000-01-18,70.0,70.13,68.25,69.06,53.8890524371,8658100,0.0,1.0
2000-01-19,70.0,72.94,69.88,72.0,56.1831997606,12070900,0.0,1.0
2000-01-20,74.38,74.5,69.63,71.81,56.034938539,9460900,0.0,1.0
2000-01-21,73.38,75.0,72.0,74.69,58.2822665295,8154300,0.0,1.0
2000-01-24,75.88,76.5,69.13,69.25,54.0373136587,9853500,0.0,1.0
2000-01-25,70.75,70.81,66.0,69.38,54.1387555471,11251900,0.0,1.0
2000-01-26,67.88,68.88,64.06,64.13,50.0420638979,16000800,0.0,1.0
2000-01-27,65.0,65.06,59.13,61.38,47.8961777959,14797000,0.0,1.0
2000-01-28,61.44,61.44,59.38,59.69,46.577433246,10899900,0.0,1.0
2000-01-31,61.0,63.88,59.88,63.69,49.6987221216,12619500,0.0,1.0
2000-02-01,64.75,66.0,62.75,65.31,50.9628441162,9902700,0.0,1.0
2000-02-02,65.13,65.13,61.88,63.75,49.7455414547,9976900,0.0,1.0
2000-02-03,64.75,65.0,62.38,64.0,49.9406220095,7613000,0.0,1.0
2000-02-04,64.75,66.5,64.13,64.63,50.4322250074,8069600,0.0,1.0
