dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2005-09-15,38.02,38.1,37.0,37.01,26.3403678337,1529800,0.0,1.0
2005-09-16,37.0,37.0,36.6,36.6,26.0485669471,62400,0.0,1.0
2005-09-19,36.6,36.7,36.45,36.7,26.1197378951,1162300,0.0,1.0
2005-09-20,36.6,37.0,36.6,36.7,26.1197378951,654900,0.0,1.0
2005-09-21,36.6,36.6,36.0,36.4,25.9062250512,424300,0.0,1.0
2005-09-22,36.4,37.2,36.4,37.2,26.4755926348,864800,0.0,1.0
2005-09-23,37.2,38.1,37.2,37.68,26.8172131849,1249900,0.0,1.0
2005-09-26,37.75,38.15,37.75,37.75,26.8670328485,821400,0.0,1.0
2005-09-27,37.75,37.9,37.14,37.25,26.5111781087,1514000,0.0,1.0
2005-09-28,37.24,37.4,36.8,37.0,26.3332507389,875700,0.0,1.0
2005-09-29,36.91,36.91,36.25,36.6,26.0485669471,2659200,0.0,1.0
2005-09-30,36.6,36.6,35.6,35.8,25.4791993636,4014800,0.0,1.0
2005-10-03,35.3,35.9,34.17,34.7,24.6963189362,10007600,0.0,1.0
2005-10-04,34.0,34.3,33.25,33.9,24.1269513526,8040300,0.0,1.0
2005-10-05,34.0,34.1,33.32,33.65,23.9490239828,6304400,0.0,1.0
2005-10-06,33.4,33.65,33.21,33.37,23.7497453286,7552200,0.0,1.0
2005-10-07,33.28,33.6,33.13,33.6,23.9134385088,7055200,0.0,1.0
2005-10-10,33.6,33.6,33.0,33.03,23.5077641055,3400800,0.0,1.0
2005-10-11,33.04,33.39,32.98,33.0,23.4864128212,3675400,0.0,1.0
2005-10-12,32.9,33.3,32.72,32.77,23.3227196409,4134500,0.0,1.0
2005-10-13,32.53,32.7,32.48,32.55,23.1661435554,3184100,0.0,1.0
2005-10-14,32.52,32.75,32.38,32.39,23.0522700387,2487500,0.0,1.0
2005-10-17,32.34,32.77,32.0,32.48,23.1163238919,1910400,0.0,1.0
2005-10-18,32.3,32.55,32.15,32.43,23.0807384179,1737900,0.0,1.0
2005-10-19,32.28,33.16,32.21,33.16,23.6002863379,1784400,0.0,1.0
2005-10-20,33.16,34.06,33.1,33.58,23.8992043192,2789600,0.0,1.0
2005-10-21,33.78,34.501,33.63,34.0,24.1981223006,2881800,0.0,1.0
2005-10-24,35.25,36.48,34.93,36.29,25.8279370085,4013400,0.0,1.0
2005-10-25,35.34,37.47,35.28,37.18,26.4613584452,2900400,0.0,1.0
2005-10-26,36.85,37.72,36.7,37.0,26.3332507389,2208000,0.0,1.0
2005-10-27,36.95,37.0,35.8,36.28,25.8208199137,2033000,0.0,1.0
2005-10-28,36.5,37.2,36.21,37.1,26.4044216868,1430200,0.0,1.0
2005-10-31,37.21,37.6,36.96,37.22,26.4898268244,1211600,0.0,1.0
2005-11-01,36.9,36.96,36.46,36.56,26.0200985679,1574900,0.0,1.0
2005-11-02,36.22,36.9,36.18,36.8,26.2691968857,1201600,0.11,1.0
2005-11-03,36.72,37.62,36.72,37.42,26.7117757463,1887900,0.0,1.0
2005-11-04,37.33,37.42,37.02,37.17,26.5333165283,1731900,0.0,1.0
2005-11-07,37.1,37.17,36.8245,37.02,26.4262409975,1658700,0.0,1.0
2005-11-08,36.65,37.2,36.65,36.96,26.3834107852,2119200,0.0,1.0
2005-11-09,36.96,38.18,36.9,37.88,27.0401407074,2152200,0.0,1.0
2005-11-10,37.75,39.3,37.7499,38.92,27.7825310541,2513200,0.0,1.0
2005-11-11,38.5,38.96,38.47,38.91,27.7753926854,1229800,0.0,1.0
2005-11-14,38.8,39.4,38.51,39.34,28.0823425403,1160000,0.0,1.0
2005-11-15,39.0,39.4,38.47,39.21,27.989543747,1793000,0.0,1.0
2005-11-16,39.35,40.0,39.09,39.83,28.4321226076,2568800,0.0,1.0
2005-11-17,40.1,41.18,39.78,40.0,28.5534748758,2628100,0.0,1.0
2005-11-18,40.45,40.87,39.64,39.92,28.496367926,1556000,0.0,1.0
2005-11-21,40.17,42.0,40.17,41.58,29.6813371334,2906900,0.0,1.0
2005-11-22,41.4,42.39,41.29,42.15,30.0882241504,2368700,0.0,1.0
2005-11-23,42.2,43.76,42.2,43.47,31.0304888213,2149100,0.0,1.0
2005-11-25,44.1,44.25,42.95,43.45,31.0162120838,468300,0.0,1.0
2005-11-28,43.4,44.2,43.1,43.9,31.3374386762,2377400,0.0,1.0
2005-11-29,43.75,43.99,41.7301,42.55,30.3737588991,2962200,0.0,1.0
2005-11-30,42.9,43.25,41.3,42.05,30.0168404632,2761100,0.0,1.0
2005-12-01,41.95,43.88,41.89,43.31,30.9162749218,1833000,0.0,1.0
2005-12-02,43.25,43.74,42.6,43.23,30.859167972,1057900,0.0,1.0
2005-12-05,43.22,43.7,42.91,43.52,31.0661806649,1042900,0.0,1.0
2005-12-06,43.7,43.84,43.48,43.61,31.1304259833,1154900,0.0,1.0
2005-12-07,43.59,44.78,43.22,43.36,30.9519667654,2063900,0.0,1.0
2005-12-08,43.65,44.05,43.31,43.65,31.1589794582,1227800,0.0,1.0
2005-12-09,43.64,44.02,43.36,43.76,31.2375015141,515400,0.0,1.0
2005-12-12,43.75,43.76,42.88,43.13,30.7877842848,1504900,0.0,1.0
2005-12-13,42.9,43.37,42.51,42.83,30.5736332233,1321300,0.0,1.0
2005-12-14,42.83,43.03,41.52,41.53,29.6456452898,1701600,0.0,1.0
2005-12-15,41.43,41.9,41.09,41.19,29.4029407533,1220600,0.0,1.0
2005-12-16,41.44,42.41,41.41,42.26,30.1667462063,1305600,0.0,1.0
2005-12-19,42.31,42.63,41.12,41.31,29.488601178,676200,0.0,1.0
2005-12-20,41.25,42.4,41.0,41.57,29.6741987647,1121000,0.0,1.0
2005-12-21,41.57,42.6,40.97,41.55,29.6599220272,1313300,0.0,1.0
2005-12-22,41.57,42.39,41.2,41.93,29.9311800386,808300,0.0,1.0
2005-12-23,39.42,42.56,39.42,41.93,29.9311800386,576000,0.0,1.0
2005-12-27,41.9,42.08,40.8,40.9,29.1959280605,941900,0.0,1.0
2005-12-28,40.9,41.33,40.8,41.05,29.3030035913,562800,0.0,1.0
2005-12-29,41.15,41.17,40.58,40.84,29.1530978482,718300,0.0,1.0
2005-12-30,40.51,41.08,40.4575,41.0,29.2673117477,511700,0.0,1.0
2006-01-03,41.3,42.2,40.9,42.1,30.0525323068,1351600,0.0,1.0
2006-01-04,43.0,44.39,42.88,43.42,30.9947969777,3492100,0.0,1.0
2006-01-05,43.54,44.5,43.17,43.93,31.3588537823,1777200,0.0,1.0
2006-01-06,43.94,44.2,43.38,43.6,31.1232876146,2265200,0.0,1.0
2006-01-09,43.6,45.1,43.6,45.09,32.1869045537,1310800,0.0,1.0
2006-01-10,44.8,44.87,44.461,44.66,31.8799546988,1254200,0.0,1.0
2006-01-11,44.73,44.78,43.96,44.2,31.5515897378,915500,0.0,1.0
2006-01-12,44.21,44.58,43.95,44.16,31.5230362629,1161500,0.0,1.0
2006-01-13,44.1,44.25,43.707,43.88,31.3231619387,907200,0.0,1.0
2006-01-17,43.65,43.9,42.97,43.53,31.0733190336,684400,0.0,1.0
2006-01-18,43.3,43.9,42.27,43.402,30.981947914,976600,0.0,1.0
2006-01-19,42.45,42.91,42.03,42.6,30.4094507427,947100,0.0,1.0
2006-01-20,42.5,42.55,41.88,42.2,30.123915994,1223300,0.0,1.0
2006-01-23,42.44,43.9,42.42,43.5,31.0519039274,1574200,0.0,1.0
2006-01-24,42.1,43.7,41.69,43.48,31.03762719,2090500,0.0,1.0
2006-01-25,43.49,43.49,42.94,43.21,30.8448912346,1058600,0.0,1.0
2006-01-26,43.95,44.3,43.01,43.3,30.909136553,1300600,0.0,1.0
2006-01-27,42.88,43.69,41.76,42.4,30.2666833683,2305000,0.0,1.0
2006-01-30,42.4,42.45,41.5,41.55,29.6599220272,1937300,0.0,1.0
2006-01-31,41.4,41.45,40.51,40.69,29.1245443733,2449400,0.11,1.0
2006-02-01,40.74,43.12,40.3,41.25,29.5253736888,1414900,0.0,1.0
2006-02-02,41.3,42.69,41.3,42.51,30.4272396488,1530900,0.0,1.0
2006-02-03,42.15,43.05,41.57,42.6,30.4916586459,2156700,0.0,1.0
2006-02-06,42.6,43.45,42.39,43.33,31.0141682894,1148500,0.0,1.0
2006-02-07,43.18,43.8,43.07,43.55,31.1716369491,773400,0.0,1.0
2006-02-08,43.4,43.95,43.4,43.81,31.3577362741,923500,0.0,1.0
2006-02-09,43.95,44.24,43.73,43.92,31.436470604,514700,0.0,1.0
2006-02-10,43.7,43.94,43.28,43.57,31.1859522818,659700,0.0,1.0
2006-02-13,43.58,43.59,42.86,42.88,30.6920733037,712100,0.0,1.0
2006-02-14,42.82,44.11,42.53,43.94,31.4507859367,1260200,0.0,1.0
2006-02-15,43.6,43.61,42.76,43.27,30.9712222913,1072400,0.0,1.0
2006-02-16,43.29,43.48,42.77,43.43,31.0857449529,720500,0.0,1.0
2006-02-17,43.41,44.26,43.41,44.02,31.5080472675,758500,0.0,1.0
2006-02-21,43.14,44.35,43.14,43.92,31.436470604,436000,0.0,1.0
2006-02-22,44.08,45.65,44.08,45.46,32.5387512217,1485900,0.0,1.0
2006-02-23,44.58,47.25,44.58,46.42,33.2258871912,1164800,0.0,1.0
2006-02-24,45.55,46.48,45.55,46.26,33.1113645296,869000,0.0,1.0
2006-02-27,46.2,46.96,45.87,46.8,33.4978785124,938400,0.0,1.0
2006-02-28,45.92,47.16,45.36,45.48,32.5530665544,1065900,0.0,1.0
2006-03-01,45.59,46.19,45.53,45.89,32.8465308747,525800,0.0,1.0
2006-03-02,45.77,45.8,44.5,44.57,31.9017189166,1151800,0.0,1.0
2006-03-03,44.32,44.79,43.67,44.0,31.4937319348,1331500,0.0,1.0
2006-03-06,43.9,43.94,42.65,42.77,30.6133389739,916100,0.0,1.0
2006-03-07,42.73,43.77,42.68,43.65,31.2432136126,1619600,0.0,1.0
2006-03-08,43.65,43.95,43.19,43.34,31.0213259557,1085300,0.0,1.0
2006-03-09,43.44,43.86,43.05,43.33,31.0141682894,867200,0.0,1.0
2006-03-10,43.25,43.37,42.86,43.3,30.9926952903,911500,0.0,1.0
2006-03-13,43.68,43.89,43.33,43.8,31.3505786078,754600,0.0,1.0
2006-03-14,43.75,45.13,43.75,45.03,32.2309715687,1289200,0.0,1.0
2006-03-15,44.84,45.55,44.76,45.39,32.4886475573,671400,0.0,1.0
2006-03-16,45.6,46.13,45.56,46.05,32.9610535363,844200,0.0,1.0
2006-03-17,46.31,46.59,45.78,45.9,32.853688541,1275700,0.0,1.0
2006-03-20,46.06,46.15,45.22,45.35,32.4600168919,981900,0.0,1.0
2006-03-21,45.3,45.52,43.88,43.92,31.436470604,1028500,0.0,1.0
2006-03-22,43.87,44.34,43.87,44.25,31.6726735935,1277300,0.0,1.0
2006-03-23,44.25,44.53,43.79,44.05,31.5295202665,721300,0.0,1.0
2006-03-24,44.25,44.43,43.88,44.25,31.6726735935,953200,0.0,1.0
2006-03-27,44.42,44.62,44.2,44.46,31.8229845868,837100,0.0,1.0
2006-03-28,44.47,44.47,43.1,43.13,30.8710149624,4579900,0.0,1.0
2006-03-29,43.2,43.38,42.8,42.91,30.7135463027,1331900,0.0,1.0
2006-03-30,42.91,44.98,42.91,44.8,32.0663452427,2895500,0.0,1.0
2006-03-31,45.0,45.56,44.75,45.06,32.2524445677,1603400,0.0,1.0
2006-04-03,45.05,45.7,44.61,44.66,31.9661379138,1010700,0.0,1.0
2006-04-04,44.6,45.04,44.5,45.0,32.2094985696,686400,0.0,1.0
2006-04-05,45.1,45.52,44.9,45.1,32.2810752331,715700,0.0,1.0
2006-04-06,45.1,45.1499,44.51,44.93,32.1593949052,1162400,0.0,1.0
2006-04-07,44.97,45.34,44.11,44.2,31.6368852617,949900,0.0,1.0
2006-04-10,44.25,45.61,44.2,45.38,32.4814898909,1271800,0.0,1.0
2006-04-11,45.47,45.74,45.2,45.3,32.4242285601,1102900,0.0,1.0
2006-04-12,45.37,45.9,45.23,45.55,32.6031702188,944500,0.0,1.0
2006-04-13,45.56,45.9,45.4,45.48,32.5530665544,559100,0.0,1.0
2006-04-17,45.6,45.99,45.13,45.33,32.4457015592,520900,0.0,1.0
2006-04-18,45.36,46.89,45.21,46.8,33.4978785124,985100,0.0,1.0
2006-04-19,46.95,48.4255,46.92,47.65,34.1062801521,1413300,0.0,1.0
2006-04-20,47.57,47.73,47.18,47.25,33.8199734981,1062400,0.0,1.0
2006-04-21,47.32,47.546,46.87,47.12,33.7269238356,712600,0.0,1.0
2006-04-24,46.85,47.454,46.83,46.91,33.5766128423,757600,0.0,1.0
2006-04-25,46.94,47.75,46.75,47.22,33.7985004991,724700,0.0,1.0
2006-04-26,47.75,49.2,47.34,48.75,34.8936234505,1263600,0.0,1.0
2006-04-27,48.66,50.08,47.99,50.0,35.7883317441,862100,0.0,1.0
