dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,19.31,19.44,18.56,18.94,15.811578669,577800,0.0,1.0
1999-11-02,19.0,20.06,19.0,19.38,16.1789015103,942200,0.0,1.0
1999-11-03,19.5,20.0,19.44,19.75,16.4877866268,1599200,0.0,1.0
1999-11-04,20.25,20.38,19.75,19.94,16.6464033083,758700,0.0,1.0
1999-11-05,20.13,20.81,20.13,20.75,17.3226112662,2583300,0.0,1.0
1999-11-08,20.75,21.19,20.69,21.06,17.5814069044,2423200,0.0,1.0
1999-11-09,22.5,22.88,22.0,22.88,19.100787748,1695300,0.0,1.0
1999-11-10,22.25,23.31,22.25,23.31,19.4597623429,1090300,0.0,1.0
1999-11-11,23.5,23.94,23.13,23.81,19.8771746625,1733800,0.0,1.0
1999-11-12,24.0,24.0,23.06,23.5,19.6183790243,907200,0.0,1.0
1999-11-15,23.75,24.81,23.5,24.5,20.4532036637,1352100,0.0,1.0
1999-11-16,24.5,25.5,24.38,25.5,21.288028303,1243800,0.0,1.0
1999-11-17,25.31,26.31,25.19,25.63,21.3965555061,913700,0.0,1.0
1999-11-18,25.94,27.25,25.81,27.06,22.5903547404,2400200,0.0,1.0
1999-11-19,27.19,27.25,26.63,26.88,22.4400863053,1112400,0.0,1.0
1999-11-22,27.06,27.06,26.69,26.88,22.4400863053,404000,0.0,1.0
1999-11-23,26.88,26.88,25.25,25.94,21.6553511443,798100,0.0,1.0
1999-11-24,25.81,26.19,24.25,25.88,21.605261666,882800,0.0,1.0
1999-11-26,26.13,26.38,26.0,26.25,21.9141467825,214400,0.0,1.0
1999-11-29,27.0,27.0,26.13,26.56,22.1729424207,686800,0.0,1.0
1999-11-30,26.56,26.69,26.0,26.13,21.8139678258,1074500,0.0,1.0
1999-12-01,26.06,26.5,25.69,26.38,22.0226739856,745300,0.0,1.0
1999-12-02,26.38,27.38,26.38,26.5,22.1228529424,1298700,0.0,1.0
1999-12-03,27.0,27.63,26.75,27.13,22.6487924651,519500,0.0,1.0
1999-12-06,27.38,27.88,26.75,27.0,22.540265262,843400,0.0,1.0
1999-12-07,27.0,27.5,27.0,27.5,22.9576775817,1084500,0.0,1.0
1999-12-08,27.5,28.0,27.31,28.0,23.3750899014,1556100,0.0,1.0
1999-12-09,28.0,28.88,28.0,28.75,24.0012083809,2774700,0.0,1.0
1999-12-10,29.0,29.25,28.75,29.0,24.2099145407,987900,0.0,1.0
1999-12-13,28.88,28.88,28.38,28.69,23.9511189025,577600,0.0,1.0
1999-12-14,28.75,29.19,27.75,27.75,23.1663837415,977600,0.0,1.0
1999-12-15,29.38,31.38,29.25,30.81,25.7209471379,2975500,0.0,1.0
1999-12-16,31.0,31.25,29.75,30.19,25.2033558615,1272800,0.0,1.0
1999-12-17,30.56,32.0,30.38,31.75,26.5056822989,1142800,0.0,1.0
1999-12-20,31.88,33.25,31.75,31.94,26.6642989803,1343600,0.0,1.0
1999-12-21,31.81,31.81,29.75,30.63,25.5706787028,363900,0.0,1.0
1999-12-22,30.56,30.94,30.06,30.19,25.2033558615,374700,0.0,1.0
1999-12-23,30.38,30.69,29.19,30.69,25.6207681812,350800,0.0,1.0
1999-12-27,30.44,30.44,29.38,29.63,24.7358540635,300100,0.0,1.0
1999-12-28,29.25,30.63,29.25,30.06,25.0948286584,336900,0.0,1.0
1999-12-29,30.5,31.5,30.38,31.31,26.1383594575,342700,0.0,1.0
1999-12-30,31.38,31.63,30.5,30.88,25.7793848626,310300,0.0,1.0
1999-12-31,30.94,31.0,30.5,30.56,25.512240978,206100,0.0,1.0
2000-01-03,30.5,30.62,29.0,29.31,24.4687101789,433900,0.0,1.0
2000-01-04,29.0,30.13,28.75,29.0,24.2099145407,522300,0.0,1.0
2000-01-05,29.0,29.81,28.56,29.75,24.8360330202,674000,0.0,1.0
2000-01-06,29.44,29.88,28.75,29.56,24.6774163387,911700,0.0,1.0
2000-01-07,29.75,31.25,29.5,31.19,26.0381805008,606000,0.0,1.0
2000-01-10,32.0,34.13,32.0,33.94,28.333948259,1012300,0.0,1.0
2000-01-11,33.94,37.56,33.81,36.5,30.4710993357,2893100,0.0,1.0
2000-01-12,36.81,38.25,36.63,38.0,31.7233362947,1479400,0.0,1.0
2000-01-13,38.25,38.94,37.0,37.0,30.8885116554,1507000,0.0,1.0
2000-01-14,37.75,38.5,37.5,38.13,31.8318634978,609200,0.0,1.0
2000-01-18,39.5,40.0,38.13,38.44,32.090659136,2728900,0.0,1.0
2000-01-19,39.0,39.38,38.5,39.0,32.558160934,469400,0.0,1.0
2000-01-20,39.5,41.31,39.5,40.5,33.810397893,1205200,0.0,1.0
2000-01-21,41.44,43.25,41.31,43.13,36.0059866945,2353300,0.0,1.0
2000-01-24,43.13,44.63,41.81,42.0,35.062634852,2161100,0.0,1.0
