dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-10-30,40.5,40.9,40.35,40.9,17.2921848611,22720900,0.0,1.0
2001-10-31,41.1,42.5,41.01,41.88,17.7065208309,5552200,0.0,1.0
2001-11-01,42.25,42.6,41.8,42.17,17.8291304546,1950900,0.0,1.0
2001-11-02,42.05,43.1,42.02,42.9,18.1377684729,2037500,0.0,1.0
2001-11-05,43.5,43.5,42.75,42.89,18.1335405548,1381900,0.0,1.0
2001-11-06,42.95,44.3,42.15,44.05,18.6239790497,1624100,0.0,1.0
2001-11-07,43.75,43.75,42.49,43.25,18.2857456049,1337600,0.0,1.0
2001-11-08,43.0,43.1,42.0,42.7,18.0532101117,1702000,0.0,1.0
2001-11-09,42.5,42.5,41.0,42.0,17.7572558476,1645800,0.0,1.0
2001-11-12,42.0,42.85,41.7,42.85,18.1166288826,486800,0.0,1.0
2001-11-13,43.4,43.4,42.52,42.75,18.074349702,860900,0.0,1.0
2001-11-14,44.0,46.0,43.55,45.95,19.4272834809,2106500,0.0,1.0
2001-11-15,45.7,46.75,45.45,46.75,19.7655169256,1155200,0.0,1.0
2001-11-16,46.9,47.2,46.3,46.8,19.7866565159,1088100,0.0,1.0
2001-11-19,46.75,47.57,46.4,47.5,20.08261078,1003600,0.0,1.0
2001-11-20,47.3,49.25,47.25,48.8,20.6322401277,1401500,0.0,1.0
2001-11-21,48.7,49.7,48.41,49.01,20.7210264069,1342000,0.0,1.0
2001-11-23,48.95,49.35,48.95,49.18,20.7929010139,143900,0.0,1.0
2001-11-26,49.7,50.25,48.3,48.55,20.5265421762,958700,0.0,1.0
2001-11-27,48.8,49.85,48.27,48.6,20.5476817665,574000,0.0,1.0
2001-11-28,48.55,49.2,47.51,48.95,20.6956588985,312600,0.0,1.0
2001-11-29,49.5,50.1,49.08,50.01,21.1438182128,568400,0.0,1.0
2001-11-30,50.1,51.0,49.8,50.85,21.4989633297,1480100,0.0,1.0
2001-12-03,50.8,51.3,50.1,51.3,21.6892196424,635400,0.0,1.0
2001-12-04,51.35,51.5,50.5,51.5,21.7737780036,397000,0.0,1.0
2001-12-05,51.8,51.9,48.7,48.86,20.657607636,678100,0.0,1.0
2001-12-06,48.9,49.0,47.35,48.49,20.5011746678,451300,0.0,1.0
2001-12-07,48.5,48.7,47.6,48.6,20.5476817665,324800,0.0,1.0
2001-12-10,48.6,48.87,48.15,48.25,20.3997046344,154000,0.0,1.0
2001-12-11,48.25,48.69,47.71,48.2,20.3785650441,446400,0.0,1.0
2001-12-12,48.25,48.25,47.85,47.86,20.2348158301,239400,0.0,1.0
2001-12-13,47.61,48.1,46.9,48.1,20.3362858635,480300,0.0,1.0
2001-12-14,48.0,48.1,47.35,48.0,20.2940066829,406800,0.0,1.0
2001-12-17,48.1,49.3,47.92,49.25,20.8224964403,210600,0.0,1.0
2001-12-18,49.5,49.6,49.22,49.3,20.8436360306,404600,0.0,1.0
2001-12-19,49.3,49.35,47.75,48.0,20.2940066829,736600,0.0,1.0
2001-12-20,47.76,48.0,46.8,46.9,19.8289356965,656000,0.0,1.0
2001-12-21,46.8,46.8,45.25,45.75,19.3427251197,2141900,0.0,1.0
2001-12-24,45.75,45.95,45.6,45.6,19.2793063488,450100,0.0,1.0
2001-12-26,45.85,46.48,45.85,46.25,19.5541210226,595800,0.0,1.0
2001-12-27,46.35,47.3,46.35,46.9,19.8289356965,962700,0.0,1.0
2001-12-28,46.95,48.5,46.95,48.5,20.5054025859,857400,0.0,1.0
2001-12-31,48.7,50.25,48.7,49.5,20.9281943918,896400,0.0,1.0
2002-01-02,49.68,49.68,48.71,48.8,20.6322401277,966500,0.0,1.0
2002-01-03,48.8,49.28,48.45,48.45,20.4842629956,312800,0.0,1.0
2002-01-04,48.5,48.8,46.9,47.86,20.2348158301,1159300,0.0,1.0
2002-01-07,47.86,47.94,47.0,47.02,19.8796707132,958200,0.0,1.0
2002-01-08,46.85,47.85,46.4,47.4,20.0403315994,466000,0.0,1.0
2002-01-09,47.55,48.25,47.5,47.6,20.1248899606,427500,0.0,1.0
2002-01-10,47.6,50.74,47.57,50.1,21.1818694753,1275200,0.0,1.0
2002-01-11,50.1,51.8,49.9,51.5,21.7737780036,555900,0.0,1.0
2002-01-14,51.6,52.4,50.85,51.9,21.9428947259,682300,0.0,1.0
2002-01-15,51.7,51.71,49.4,50.7,21.4355445589,713400,0.0,1.0
2002-01-16,50.45,51.7,49.6,50.99,21.5581541826,860600,0.0,1.0
2002-01-17,51.0,51.05,50.0,50.3,21.2664278365,456000,0.0,1.0
2002-01-18,50.05,51.0,49.82,50.98,21.5539262645,703000,0.0,1.0
2002-01-22,50.73,51.88,50.05,51.75,21.8794759551,806500,0.0,1.0
2002-01-23,51.4,52.87,51.4,52.26,22.0950997761,812700,0.0,1.0
2002-01-24,52.05,53.09,52.05,52.8,22.3234073512,923400,0.0,1.0
2002-01-25,53.0,54.1,52.85,53.88,22.7800225016,835200,0.0,1.0
2002-01-28,53.4,54.5,53.2,53.75,22.7250595668,702100,0.0,1.0
2002-01-29,53.05,53.75,52.95,53.2,22.4925240736,676700,0.0,1.0
2002-01-30,52.5,53.3,51.95,52.52,22.2050256456,650700,0.0,1.0
2002-01-31,52.6,53.2,51.8,53.2,22.4925240736,1035900,0.0,1.0
2002-02-01,53.25,54.1,53.0,53.15,22.4713844833,784700,0.0,1.0
2002-02-04,52.97,53.0,51.4,52.2,22.0697322677,527600,0.0,1.0
2002-02-05,52.3,54.25,51.5,54.24,22.9322275517,865900,0.0,1.0
2002-02-06,56.5,57.94,55.53,56.5,23.8877370331,2630500,0.0,1.0
2002-02-07,56.5,58.84,56.32,57.6,24.3528080195,907700,0.0,1.0
2002-02-08,57.75,58.02,57.36,57.7,24.3950872001,896400,0.0,1.0
2002-02-11,57.53,58.1,57.36,57.55,24.3316684292,751900,0.0,1.0
2002-02-12,57.0,57.1,56.55,56.9,24.0568537554,1063500,0.0,1.0
2002-02-13,57.1,57.25,55.85,56.05,23.6974807204,777600,0.0,1.0
2002-02-14,56.2,56.75,55.75,56.41,23.8496857705,828000,0.0,1.0
2002-02-15,56.4,56.5,56.02,56.1,23.7186203107,763300,0.0,1.0
2002-02-19,56.0,56.07,53.45,54.37,22.9871904865,1103600,0.0,1.0
2002-02-20,53.8,54.7,53.75,54.0,22.8307575183,758300,0.0,1.0
2002-02-21,53.95,56.55,53.7,55.55,23.4860848175,823000,0.0,1.0
2002-02-22,55.45,57.1,55.45,56.35,23.8243182622,652700,0.0,1.0
2002-02-25,56.2,57.52,56.07,57.05,24.1202725263,506500,0.0,1.0
2002-02-26,57.5,58.96,57.5,58.25,24.6276226934,996000,0.0,1.0
2002-02-27,58.1,58.5,57.6,57.98,24.5134689058,1005600,0.0,1.0
2002-02-28,57.8,58.25,57.35,58.1,24.5642039225,939400,0.0,1.0
2002-03-01,57.85,58.05,57.7,58.05,24.5430643322,576500,0.0,1.0
2002-03-04,57.8,58.45,55.45,55.5,23.4649452272,1362900,0.0,1.0
2002-03-05,55.33,55.78,54.4,54.65,23.1055721921,840100,0.0,1.0
2002-03-06,54.75,57.1,54.5,56.35,23.8243182622,955700,0.0,1.0
2002-03-07,56.7,57.2,56.22,56.26,23.7862669996,527700,0.0,1.0
2002-03-08,56.27,56.7,55.5,56.25,23.7820390816,778700,0.0,1.0
2002-03-11,56.0,56.66,55.7,56.6,23.9300162136,762900,0.0,1.0
2002-03-12,56.4,56.5,56.05,56.49,23.883509115,423400,0.0,1.0
2002-03-13,56.45,56.75,56.1,56.55,23.9088766233,497100,0.0,1.0
2002-03-14,56.45,57.05,56.25,56.5,23.8877370331,435500,0.0,1.0
2002-03-15,56.5,57.22,56.4,56.9,24.0568537554,815800,0.0,1.0
2002-03-18,56.75,58.45,56.75,58.3,24.6487622837,923600,0.0,1.0
2002-03-19,58.1,58.4,56.4,56.4,23.8454578525,495600,0.0,1.0
2002-03-20,56.3,56.74,55.75,56.4,23.8454578525,472500,0.0,1.0
2002-03-21,56.5,57.71,56.5,57.3,24.2259704778,533100,0.0,1.0
