dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,35.75,35.75,33.94,34.63,24.7753520788,663600,0.0,1.0
1999-11-02,33.0,34.5,32.0,34.19,24.4605627368,2341600,0.0,1.0
1999-11-03,35.0,35.38,34.25,34.31,24.5464143755,1502900,0.0,1.0
1999-11-04,34.31,37.38,34.25,35.88,25.6696399823,1475200,0.0,1.0
1999-11-05,36.75,41.88,36.75,40.0,28.6172129123,2278600,0.0,1.0
1999-11-08,40.0,40.38,39.0,39.56,28.3024235702,1326400,0.0,1.0
1999-11-09,39.25,39.94,38.0,38.31,27.4081356667,1205900,0.0,1.0
1999-11-10,38.0,38.5,37.94,38.5,27.5440674281,1170600,0.0,1.0
1999-11-11,38.38,39.0,37.56,37.63,26.9216430472,637700,0.0,1.0
1999-11-12,38.38,39.19,37.94,38.69,27.6799991894,592200,0.0,1.0
1999-11-15,38.63,39.13,38.5,38.94,27.8588567701,321200,0.0,1.0
1999-11-16,39.0,39.94,38.94,39.81,28.4812811509,526200,0.0,1.0
1999-11-17,39.69,39.75,37.88,38.5,27.5440674281,553300,0.0,1.0
1999-11-18,38.25,38.44,37.0,38.0,27.1863522667,729200,0.0,1.0
1999-11-19,37.5,37.63,37.0,37.0,26.4709219439,273500,0.0,1.0
1999-11-22,36.88,37.0,36.5,37.0,26.4709219439,477300,0.0,1.0
1999-11-23,36.75,38.25,36.75,38.19,27.322284028,865000,0.0,1.0
1999-11-24,38.25,38.25,37.88,38.19,27.322284028,805000,0.0,1.0
1999-11-26,37.63,37.75,36.88,37.25,26.6497795246,438200,0.0,1.0
1999-11-29,37.0,37.0,35.63,35.81,25.6195598597,1085500,0.0,1.0
1999-11-30,35.81,36.63,35.56,35.69,25.533708221,496300,0.0,1.0
1999-12-01,35.44,36.38,35.38,35.63,25.4907824016,477100,0.0,1.0
1999-12-02,35.38,35.88,34.75,35.31,25.2618446983,427000,0.0,1.0
1999-12-03,35.5,36.41,35.25,35.75,25.5766340404,776400,0.0,1.0
1999-12-06,35.81,35.81,34.94,35.06,25.0829871176,360200,0.0,1.0
1999-12-07,34.31,35.25,34.31,35.06,25.0829871176,587400,0.0,1.0
1999-12-08,35.06,35.13,34.44,34.44,24.6394203175,346300,0.0,1.0
1999-12-09,34.31,35.13,34.31,34.63,24.7753520788,441300,0.0,1.0
1999-12-10,34.63,35.44,34.63,35.0,25.0400612982,416500,0.0,1.0
1999-12-13,34.75,35.31,34.75,35.13,25.1330672402,382300,0.0,1.0
1999-12-14,35.25,36.0,34.88,35.06,25.0829871176,657900,0.0,1.0
1999-12-15,34.88,34.88,33.88,33.88,24.2387793367,330000,0.0,1.0
1999-12-16,33.5,34.94,33.5,34.94,24.9971354789,691400,0.0,1.0
1999-12-17,35.0,38.19,35.0,37.94,27.1434264473,1624600,0.0,1.0
1999-12-20,38.0,40.13,37.94,39.38,28.1736461121,1822500,0.0,1.0
1999-12-21,39.19,39.69,39.0,39.5,28.2594977509,992400,0.0,1.0
1999-12-22,39.0,39.88,39.0,39.69,28.3954295122,678500,0.0,1.0
1999-12-23,39.75,40.25,39.38,40.13,28.7102188542,903400,0.0,1.0
1999-12-27,40.38,41.06,40.06,40.25,28.796070493,485600,0.0,1.0
1999-12-28,40.06,40.56,39.94,40.19,28.7531446736,660400,0.0,1.0
1999-12-29,40.06,40.13,39.75,40.06,28.6601387316,267100,0.0,1.0
1999-12-30,40.31,40.75,39.63,39.88,28.5313612735,502900,0.0,1.0
1999-12-31,39.94,40.13,39.75,40.0,28.6172129123,432700,0.0,1.0
2000-01-03,39.38,39.5,38.31,39.0,27.9017825895,659800,0.0,1.0
2000-01-04,38.88,38.94,38.0,38.13,27.2793582086,1160500,0.0,1.0
2000-01-05,38.75,39.5,38.19,39.0,27.9017825895,2717300,0.0,1.0
