dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,59.88,60.25,58.5,59.5,1.67647274364,58400,0.0,1.0
1999-11-02,59.5,60.75,59.0,60.25,1.69760475302,60600,0.0,1.0
1999-11-03,60.38,61.25,59.5,59.75,1.68351674677,40000,0.0,1.0
1999-11-04,60.25,63.5,60.25,61.06,1.72042732314,100000,0.0,1.0
1999-11-05,61.0,62.0,61.0,61.56,1.73451532939,41600,0.0,1.0
1999-11-08,61.38,63.0,61.0,62.56,1.76269134189,53000,0.0,1.0
1999-11-09,62.56,63.69,62.56,63.69,1.79453023601,35800,0.0,1.0
1999-11-10,63.25,64.5,63.25,64.25,1.81030880301,44600,0.0,1.0
1999-11-11,64.25,64.44,64.0,64.31,1.81199936376,21200,0.0,1.0
1999-11-12,64.38,64.38,63.63,64.0,1.80326479989,55000,0.0,1.0
1999-11-15,64.0,69.25,64.0,68.0,1.91596884988,161200,0.0,1.0
1999-11-16,67.94,68.0,67.63,67.75,1.90892484675,11200,0.0,1.0
1999-11-17,67.69,67.75,67.69,67.75,1.90892484675,28800,0.0,1.0
1999-11-18,67.5,69.5,66.5,68.0,1.91596884988,345800,0.0,1.0
1999-11-19,68.0,68.0,66.5,66.5,1.87370483113,29200,0.0,1.0
1999-11-22,66.25,68.25,66.25,67.75,1.90892484675,36400,0.0,1.0
1999-11-23,67.63,68.44,67.0,67.88,1.91258772838,57400,0.0,1.0
1999-11-24,67.88,67.88,66.63,66.63,1.87736771276,36400,0.0,1.0
1999-11-26,66.63,66.63,65.69,66.13,1.86327970651,12600,0.0,1.0
1999-11-29,66.13,67.75,65.88,67.5,1.90188084363,58200,0.0,1.0
1999-11-30,67.5,68.5,67.5,68.31,1.92470341375,39000,0.0,1.0
1999-12-01,68.19,68.19,67.75,68.0,1.91596884988,34000,0.0,1.0
1999-12-02,68.0,68.5,68.0,68.19,1.92132229225,27200,0.0,1.0
1999-12-03,68.19,68.81,68.0,68.38,1.92667573463,29600,0.0,1.0
1999-12-06,68.5,69.0,68.5,68.75,1.93710085925,24800,0.0,1.0
1999-12-07,69.0,70.25,69.0,69.56,1.95992342938,123600,0.0,1.0
1999-12-08,70.0,71.5,69.56,69.63,1.96189575025,5515000,0.0,1.0
1999-12-09,69.56,69.56,63.5,63.5,1.78917679364,967600,0.0,1.0
1999-12-10,66.5,67.38,64.0,66.0,1.85961682488,1395000,0.0,1.0
