dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,29.63,30.38,29.63,30.38,14.0581508498,24000,0.0,1.0
1999-11-04,30.25,30.44,29.88,30.0,13.8823082783,19900,0.0,1.0
1999-11-05,30.19,30.5,29.69,29.88,13.8267790451,12200,0.0,1.0
1999-11-08,29.94,30.13,29.94,30.0,13.8823082783,6900,0.0,1.0
1999-11-09,30.0,30.0,29.63,29.94,13.8545436617,9600,0.0,1.0
1999-11-10,29.81,30.0,29.56,29.56,13.6787010902,25300,0.0,1.0
1999-11-11,29.69,29.94,29.5,29.63,13.7110931428,8600,0.0,1.0
1999-11-12,29.63,30.0,29.56,30.0,13.8823082783,11200,0.0,1.0
1999-11-15,29.94,30.0,29.5,29.75,13.7666223759,10900,0.0,1.0
1999-11-16,29.81,29.94,29.63,29.63,13.7110931428,9800,0.0,1.0
1999-11-17,29.56,29.69,29.5,29.63,13.7110931428,11800,0.0,1.0
1999-11-18,29.69,29.94,29.31,29.94,13.8545436617,76800,0.0,1.0
1999-11-19,30.25,30.25,29.63,29.88,13.8267790451,41000,0.0,1.0
1999-11-22,30.13,30.25,29.94,30.0,13.8823082783,65100,0.0,1.0
1999-11-23,30.06,30.06,29.63,29.81,13.7943869925,105900,0.0,1.0
1999-11-24,29.81,29.94,29.44,29.5,13.6509364736,21700,0.0,1.0
1999-11-26,29.63,29.69,29.25,29.25,13.5352505713,12000,0.0,1.0
1999-11-29,29.13,29.25,28.88,29.0,13.419564669,15200,0.0,1.0
1999-11-30,28.94,29.56,28.75,29.31,13.5630151879,21900,0.0,1.0
1999-12-01,29.31,29.81,29.31,29.56,13.6787010902,56000,0.0,1.0
1999-12-02,29.69,29.81,29.25,29.44,13.6231718571,60000,0.0,1.0
1999-12-03,29.56,29.69,29.31,29.31,13.5630151879,16100,0.0,1.0
1999-12-06,29.38,29.5,29.0,29.06,13.4473292855,104400,0.0,1.0
1999-12-07,29.13,29.19,29.06,29.13,13.4797213382,12100,0.0,1.0
1999-12-08,29.25,29.63,29.19,29.63,13.7110931428,43700,0.0,1.0
1999-12-09,29.5,29.5,29.19,29.31,13.5630151879,3900,0.0,1.0
1999-12-10,29.56,29.69,29.13,29.13,13.4797213382,26400,0.0,1.0
1999-12-13,29.38,29.5,28.81,28.81,13.3316433832,12000,0.0,1.0
1999-12-14,28.94,28.94,28.44,28.56,13.2159574809,5700,0.0,1.0
1999-12-15,28.69,28.75,28.56,28.69,13.2761141501,7900,0.0,1.0
1999-12-16,28.81,28.81,28.0,28.25,13.072506962,28900,0.0,1.0
1999-12-17,27.88,29.0,27.88,29.0,13.419564669,43400,0.0,1.0
1999-12-20,29.06,29.13,28.69,28.69,13.2761141501,11000,0.0,1.0
1999-12-21,28.81,29.0,28.56,28.69,13.2761141501,91800,0.0,1.0
1999-12-22,28.88,29.19,28.81,29.0,13.419564669,50200,0.0,1.0
1999-12-23,29.13,29.13,28.63,28.88,13.3640354359,20400,0.0,1.0
1999-12-27,29.0,29.13,28.88,29.13,13.4797213382,6300,0.0,1.0
1999-12-28,29.13,30.0,29.0,30.0,13.8823082783,20400,0.0,1.0
1999-12-29,30.0,31.13,30.0,30.81,14.2571306018,74900,0.0,1.0
1999-12-30,30.75,32.0,30.75,32.0,14.8077954968,31200,0.0,1.0
1999-12-31,31.44,31.94,31.44,31.81,14.918853963,15100,0.43,1.0
2000-01-03,31.81,31.81,31.25,31.25,14.6562145974,48500,0.0,1.0
2000-01-04,31.13,31.13,30.5,30.56,14.3326053791,25200,0.0,1.0
2000-01-05,30.5,30.56,30.0,30.06,14.0981059456,12900,0.0,1.0
2000-01-06,29.88,29.88,29.38,29.44,13.807326648,20300,0.0,1.0
2000-01-07,29.38,30.0,29.38,30.0,14.0699660135,18700,0.0,1.0
2000-01-10,30.13,30.5,30.0,30.38,14.248185583,19600,0.0,1.0
2000-01-11,30.44,30.44,30.25,30.44,14.2763255151,18500,0.0,1.0
2000-01-12,30.38,30.38,29.81,30.0,14.0699660135,43900,0.0,1.0
2000-01-13,30.0,30.13,29.5,30.13,14.1309358663,10500,0.0,1.0
2000-01-14,30.25,30.38,30.13,30.31,14.2153556624,4500,0.0,1.0
2000-01-18,30.31,30.38,30.0,30.38,14.248185583,101800,0.0,1.0
2000-01-19,30.63,30.63,30.19,30.25,14.1872157303,26800,0.0,1.0
2000-01-20,30.13,30.38,30.13,30.25,14.1872157303,14300,0.0,1.0
2000-01-21,30.13,30.19,30.06,30.13,14.1309358663,7600,0.0,1.0
2000-01-24,30.19,30.25,30.0,30.0,14.0699660135,18600,0.0,1.0
2000-01-25,30.0,30.0,29.88,29.94,14.0418260815,11600,0.0,1.0
2000-01-26,29.88,30.25,29.63,29.69,13.9245763647,33700,0.0,1.0
2000-01-27,29.75,30.19,29.56,30.06,14.0981059456,22400,0.0,1.0
2000-01-28,30.13,30.19,29.5,29.56,13.863606512,7900,0.0,1.0
2000-01-31,29.63,29.69,29.5,29.5,13.83546658,14300,0.0,1.0
2000-02-01,29.56,29.75,29.56,29.75,13.9527162968,6600,0.0,1.0
