dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,22.75,23.0,22.69,23.0,9.64546681717,34100,0.0,1.0
1999-11-02,22.94,23.12,22.94,23.06,9.67062890452,17900,0.0,1.0
1999-11-03,23.0,23.31,23.0,23.12,9.69579099187,25600,0.0,1.0
1999-11-04,23.25,23.62,23.12,23.19,9.72514676044,17200,0.0,1.0
1999-11-05,23.0,23.19,22.56,22.62,9.48610693063,53500,0.0,1.0
1999-11-08,22.62,23.0,22.62,22.62,9.48610693063,27000,0.0,1.0
1999-11-09,22.56,22.94,22.56,22.62,9.48610693063,52300,0.0,1.0
1999-11-10,22.75,23.06,22.56,22.94,9.62030472982,31500,0.0,1.0
1999-11-11,22.75,23.12,22.75,22.81,9.5657868739,12000,0.0,1.0
1999-11-12,22.56,22.81,22.38,22.69,9.5154626992,302300,0.0,1.0
1999-11-15,22.81,23.06,22.56,22.75,9.54062478655,54900,0.0,1.0
1999-11-16,22.62,22.88,22.56,22.75,9.54062478655,26300,0.0,1.0
1999-11-17,22.62,22.81,22.5,22.56,9.46094484328,78300,0.0,1.0
1999-11-18,22.69,22.69,22.25,22.5,9.43578275593,65400,0.0,1.0
1999-11-19,22.62,22.75,22.5,22.62,9.48610693063,145100,0.0,1.0
1999-11-22,22.56,22.56,22.25,22.38,9.50288165552,103400,0.28,1.0
1999-11-23,22.38,22.5,22.31,22.5,9.55383544456,24900,0.0,1.0
1999-11-24,22.44,22.5,22.38,22.5,9.55383544456,1715200,0.0,1.0
1999-11-26,22.38,22.5,22.19,22.38,9.50288165552,23900,0.0,1.0
1999-11-29,22.25,22.31,22.0,22.25,9.4476817174,36300,0.0,1.0
1999-11-30,22.12,22.31,22.0,22.31,9.47315861192,41600,0.0,1.0
1999-12-01,22.31,22.31,21.88,22.25,9.4476817174,48800,0.0,1.0
1999-12-02,22.12,22.5,22.12,22.44,9.52835855004,14200,0.0,1.0
1999-12-03,22.38,22.5,22.25,22.44,9.52835855004,29600,0.0,1.0
1999-12-06,22.38,22.69,22.12,22.31,9.47315861192,182900,0.0,1.0
1999-12-07,22.12,22.38,22.0,22.06,9.36700488476,35100,0.0,1.0
1999-12-08,22.06,22.06,21.69,21.88,9.2905742012,28600,0.0,1.0
1999-12-09,21.75,21.75,21.0,21.06,8.94238997611,70700,0.0,1.0
1999-12-10,21.19,21.19,20.88,21.19,8.99758991423,29000,0.0,1.0
1999-12-13,20.94,21.0,20.75,20.88,8.86595929255,87800,0.0,1.0
1999-12-14,20.88,21.12,20.81,21.12,8.96786687063,46200,0.0,1.0
