dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,62.63,62.69,60.94,60.94,34.7898395785,322100,0.0,1.0
1999-11-02,60.94,61.94,60.5,60.94,34.7898395785,385700,0.0,1.0
1999-11-03,60.69,62.44,60.38,61.69,35.2180046537,173000,0.0,1.0
1999-11-04,62.06,62.88,60.94,61.13,34.8983080642,254100,0.0,1.0
1999-11-05,60.88,63.88,60.88,62.81,35.8573978327,210100,0.0,1.0
1999-11-08,62.69,63.44,62.38,62.75,35.8231446267,269500,0.0,1.0
1999-11-09,62.69,62.69,61.25,61.56,35.143789374,224600,0.0,1.0
1999-11-10,61.5,61.75,60.5,61.13,34.8983080642,234600,0.0,1.0
1999-11-11,61.88,62.44,61.38,62.31,35.5719544492,142400,0.0,1.0
1999-11-12,62.31,62.44,61.5,62.44,35.6461697289,136100,0.0,1.0
1999-11-15,62.19,62.94,61.19,62.63,35.7546382147,118900,0.0,1.0
1999-11-16,62.88,63.44,61.81,62.0,35.3949795515,493100,0.0,1.0
1999-11-17,61.75,62.13,60.69,62.0,35.3949795515,376700,0.0,1.0
1999-11-18,62.06,63.38,61.69,63.19,36.0743348042,244200,0.0,1.0
1999-11-19,62.19,62.19,61.06,61.75,35.2522578597,263500,0.0,1.0
1999-11-22,61.63,61.94,60.69,60.69,34.6471178868,207200,0.0,1.0
1999-11-23,60.63,60.88,60.13,60.25,34.3959277093,166100,0.0,1.0
1999-11-24,59.75,59.75,59.06,59.75,34.1104843258,343100,0.0,1.0
1999-11-26,59.88,59.88,59.56,59.63,34.0419779138,142800,0.0,1.0
1999-11-29,59.25,59.31,58.88,59.0,33.8364586777,315900,0.27,1.0
1999-11-30,58.5,61.06,58.5,59.38,34.0543884115,494000,0.0,1.0
1999-12-01,59.38,59.38,58.38,58.81,33.7274938108,181400,0.0,1.0
1999-12-02,58.56,59.75,58.56,59.31,34.0142434606,204100,0.0,1.0
1999-12-03,59.38,59.88,59.19,59.5,34.1232083275,241800,0.0,1.0
1999-12-06,59.56,59.56,58.81,58.94,33.8020487197,238000,0.0,1.0
1999-12-07,59.19,59.69,58.0,58.75,33.6930838528,257700,0.0,1.0
1999-12-08,58.63,59.56,58.56,58.75,33.6930838528,149400,0.0,1.0
1999-12-09,59.13,59.81,58.81,59.38,34.0543884115,285900,0.0,1.0
1999-12-10,59.63,61.69,59.44,61.69,35.3791717937,305700,0.0,1.0
1999-12-13,61.94,61.94,60.94,61.56,35.3046168847,365600,0.0,1.0
1999-12-14,61.38,62.88,61.38,62.69,35.9526710933,309600,0.0,1.0
1999-12-15,62.69,64.88,62.69,63.81,36.5949903089,625500,0.0,1.0
1999-12-16,64.19,65.25,63.38,64.94,37.2430445174,513700,0.0,1.0
1999-12-17,66.25,68.94,66.0,67.88,38.9291324583,647100,0.0,1.0
1999-12-20,67.75,69.5,67.0,67.81,38.8889875073,428100,0.0,1.0
1999-12-21,68.0,68.75,67.88,67.94,38.9635424163,497300,0.0,1.0
1999-12-22,68.0,69.06,67.94,68.75,39.428076849,278100,0.0,1.0
1999-12-23,68.75,69.94,67.81,68.38,39.2158821081,324700,0.0,1.0
1999-12-27,68.75,69.25,68.19,69.25,39.7148264988,352500,0.0,1.0
1999-12-28,69.0,70.5,69.0,70.06,40.1793609315,291200,0.0,1.0
1999-12-29,70.13,72.25,70.13,71.88,41.2231296568,194100,0.0,1.0
1999-12-30,71.63,72.25,71.5,71.81,41.1829847058,116500,0.0,1.0
1999-12-31,71.63,73.0,71.63,72.88,41.7966289564,102800,0.0,1.0
2000-01-03,72.25,72.38,71.38,71.38,40.936380007,420200,0.0,1.0
2000-01-04,68.63,70.94,68.31,70.44,40.3972906654,642700,0.0,1.0
2000-01-05,70.13,73.88,70.13,73.0,41.8654488724,477700,0.0,1.0
2000-01-06,72.0,75.44,71.88,75.31,43.1902322545,536100,0.0,1.0
2000-01-07,75.31,76.63,74.63,75.56,43.3336070794,679900,0.0,1.0
2000-01-10,75.81,78.13,75.63,78.0,44.7329453705,883400,0.0,1.0
2000-01-11,77.75,78.5,76.88,77.56,44.4806056787,724100,0.0,1.0
2000-01-12,77.31,77.31,75.94,76.88,44.0906261549,603400,0.0,1.0
2000-01-13,76.88,77.19,74.38,76.25,43.7293215962,374800,0.0,1.0
2000-01-14,76.5,76.63,74.25,76.5,43.8726964211,349300,0.0,1.0
2000-01-18,74.69,75.69,73.25,74.94,42.9780375137,490200,0.0,1.0
2000-01-19,73.0,73.25,67.13,68.69,39.393666891,1630200,0.0,1.0
2000-01-20,68.25,68.25,66.38,66.5,38.1377034248,815700,0.0,1.0
2000-01-21,67.25,69.5,67.25,69.5,39.8582013237,473700,0.0,1.0
2000-01-24,69.25,69.31,67.13,67.31,38.6022378575,261900,0.0,1.0
2000-01-25,67.31,68.38,66.88,68.25,39.1413271992,382200,0.0,1.0
2000-01-26,68.25,70.69,67.31,68.88,39.5026317579,425700,0.0,1.0
2000-01-27,69.13,70.56,67.63,68.44,39.2502920661,289100,0.0,1.0
2000-01-28,68.44,68.44,66.5,66.5,38.1377034248,259800,0.0,1.0
2000-01-31,66.5,68.5,65.38,67.75,38.8545775494,303900,0.0,1.0
2000-02-01,67.25,67.25,66.13,67.06,38.4588630326,293300,0.0,1.0
2000-02-02,67.31,67.38,66.19,66.63,38.2122583338,261800,0.0,1.0
2000-02-03,66.13,67.75,66.0,66.06,37.885363733,363500,0.0,1.0
2000-02-04,66.0,67.94,64.5,67.13,38.4990079836,418800,0.0,1.0
2000-02-07,67.13,67.13,64.31,65.81,37.7419889081,291400,0.0,1.0
2000-02-08,65.56,66.0,64.5,65.75,37.7075789501,207200,0.0,1.0
2000-02-09,65.5,65.5,64.0,64.63,37.0652597346,182400,0.0,1.0
2000-02-10,64.63,65.06,63.38,65.0,37.2774544754,247100,0.0,1.0
2000-02-11,65.06,65.75,62.63,63.44,36.382795568,236100,0.0,1.0
2000-02-14,63.44,66.0,62.69,65.69,37.6731689922,272600,0.0,1.0
2000-02-15,65.56,67.75,64.88,67.5,38.7112027245,353100,0.0,1.0
2000-02-16,67.75,67.75,64.13,65.69,37.6731689922,208700,0.0,1.0
2000-02-17,65.56,66.94,64.19,66.94,38.3900431167,237600,0.0,1.0
2000-02-18,66.88,66.88,61.88,63.25,36.2738307011,327800,0.0,1.0
2000-02-22,63.25,65.25,63.25,64.69,37.0996696925,278800,0.0,1.0
2000-02-23,64.5,65.5,63.38,64.5,36.9907048256,330000,0.0,1.0
2000-02-24,64.5,64.5,60.88,61.88,35.4881366606,404200,0.0,1.0
2000-02-25,61.25,61.38,59.69,60.75,34.840082452,362400,0.0,1.0
2000-02-28,60.5,60.81,59.56,59.94,34.5303928302,384000,0.27,1.0
2000-02-29,60.0,60.81,59.5,60.69,34.9624548026,393600,0.0,1.0
2000-03-01,60.19,60.19,58.13,58.69,33.810289543,339700,0.0,1.0
2000-03-02,59.38,60.5,58.69,60.13,34.6398485299,545700,0.0,1.0
2000-03-03,62.0,63.88,61.69,63.38,36.5121170767,351400,0.0,1.0
2000-03-06,63.13,63.25,58.31,58.44,33.6662688855,503700,0.0,1.0
2000-03-07,58.5,58.5,55.25,55.31,31.8631302542,648800,0.0,1.0
2000-03-08,55.38,57.5,54.81,57.38,33.0556212979,567200,0.0,1.0
2000-03-09,57.5,59.75,57.13,59.69,34.3863721728,597400,0.0,1.0
2000-03-10,59.56,61.5,59.5,60.5,34.8529991029,347000,0.0,1.0
2000-03-13,60.63,60.63,57.69,58.94,33.9543102004,480600,0.0,1.0
2000-03-14,58.69,58.88,56.25,58.06,33.4473574862,374900,0.0,1.0
2000-03-15,58.31,63.25,58.31,62.81,36.1837499778,459500,0.0,1.0
2000-03-16,63.0,70.0,62.81,67.69,38.9950332112,553500,0.0,1.0
2000-03-17,67.0,67.25,63.25,63.31,36.4717912927,486200,0.0,1.0
2000-03-20,63.44,66.81,63.44,64.0,36.8692883072,299000,0.0,1.0
2000-03-21,63.94,64.5,61.63,64.0,36.8692883072,374700,0.0,1.0
2000-03-22,63.13,63.25,60.25,62.13,35.7920137895,399000,0.0,1.0
2000-03-23,61.63,64.69,61.5,64.56,37.1918945799,443100,0.0,1.0
2000-03-24,63.94,64.12,58.88,60.62,34.9221290185,657000,0.0,1.0
2000-03-27,60.0,62.5,56.88,58.44,33.6662688855,451700,0.0,1.0
2000-03-28,58.56,59.75,57.19,57.44,33.0901862557,417600,0.0,1.0
2000-03-29,57.94,59.25,57.25,58.94,33.9543102004,507300,0.0,1.0
2000-03-30,59.19,61.75,58.81,60.94,35.10647546,478200,0.0,1.0
2000-03-31,60.31,62.63,60.31,61.06,35.1756053756,268300,0.0,1.0
2000-04-03,60.81,60.94,58.75,59.44,34.2423515153,470800,0.0,1.0
2000-04-04,58.81,61.13,57.44,59.38,34.2077865575,381200,0.0,1.0
2000-04-05,59.13,60.5,58.06,58.38,33.6317039277,205300,0.0,1.0
2000-04-06,58.19,58.44,57.63,58.13,33.4876832703,247000,0.0,1.0
2000-04-07,57.25,57.94,56.25,57.75,33.268771871,581500,0.0,1.0
2000-04-10,57.88,61.5,57.69,59.75,34.4209371306,315300,0.0,1.0
2000-04-11,59.5,64.25,59.44,63.75,36.7252676498,478000,0.0,1.0
2000-04-12,63.5,67.38,63.13,66.19,38.1309092665,561900,0.0,1.0
2000-04-13,65.94,68.0,65.63,67.38,38.8164475959,649600,0.0,1.0
2000-04-14,66.75,66.75,60.81,61.19,35.2504961175,472600,0.0,1.0
2000-04-17,61.25,62.63,59.5,62.38,35.9360344469,400500,0.0,1.0
2000-04-18,62.13,62.69,60.06,62.0,35.7171230476,413600,0.0,1.0
2000-04-19,61.75,62.25,60.06,60.63,34.9278898448,257000,0.0,1.0
2000-04-20,60.56,63.0,59.13,62.63,36.0800551044,325700,0.0,1.0
2000-04-24,62.38,63.5,59.63,60.31,34.7435434033,281400,0.0,1.0
2000-04-25,60.38,63.69,59.19,63.44,36.5466820345,872700,0.0,1.0
2000-04-26,63.19,65.0,61.81,64.69,37.2667853218,601700,0.0,1.0
2000-04-27,62.81,67.0,62.81,65.19,37.5548266367,590900,0.0,1.0
2000-04-28,63.5,68.75,63.5,65.63,37.8083029938,630700,0.0,1.0
2000-05-01,65.13,67.56,65.13,65.69,37.8428679516,331400,0.0,1.0
