dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2008-04-25,21.0,21.25,20.7,21.17,15.0485307736,1956800,0.0,1.0
2008-04-28,21.49,21.49,20.81,21.0,14.9276875884,709400,0.0,1.0
2008-04-29,21.39,21.39,20.82,21.07,14.977446547,859700,0.0,1.0
2008-04-30,21.08,21.2,20.92,21.15,15.0343139283,893300,0.0,1.0
2008-05-01,21.22,22.0,21.0,21.91,15.5745540506,2999000,0.0,1.0
2008-05-02,22.16,22.16,21.49,22.01,15.6456382772,1639400,0.0,1.0
2008-05-05,22.45,22.45,21.56,21.91,15.5745540506,579000,0.0,1.0
2008-05-06,21.8,21.86,21.37,21.55,15.3186508348,1040200,0.0,1.0
2008-05-07,21.5,21.6,20.65,21.21,15.0769644643,1240100,0.0,1.0
2008-05-08,21.23,21.3,21.03,21.25,15.1053981549,888100,0.0,1.0
2008-05-09,21.25,21.84,21.03,21.67,15.4039519067,550400,0.0,1.0
2008-05-12,21.7,21.74,21.28,21.5,15.2831087215,1168000,0.0,1.0
2008-05-13,21.53,21.54,20.8,21.32,15.1551571136,1783900,0.0,1.0
2008-05-14,20.51,21.48,20.51,21.3,15.1409402682,649200,0.0,1.0
2008-05-15,21.45,21.46,21.1,21.16,15.041422351,470400,0.0,1.0
2008-05-16,21.43,21.65,21.1,21.62,15.3684097934,1002400,0.0,1.0
2008-05-19,21.89,22.09,21.55,21.75,15.460819288,802900,0.0,1.0
2008-05-20,21.97,21.97,21.45,21.65,15.3897350614,504100,0.0,1.0
2008-05-21,21.85,21.85,21.05,21.16,15.041422351,407100,0.0,1.0
2008-05-22,21.37,21.45,21.12,21.35,15.1764823815,274600,0.0,1.0
2008-05-23,21.25,21.25,21.0,21.14,15.0272055057,464200,0.0,1.0
2008-05-27,21.49,21.49,21.05,21.23,15.0911813096,320300,0.0,1.0
2008-05-28,21.1,21.42,21.07,21.41,15.2191329175,403800,0.0,1.0
2008-05-29,21.39,21.5,21.05,21.06,14.9703381244,384600,0.0,1.0
2008-05-30,21.1,21.5,21.05,21.5,15.2831087215,784300,0.0,1.0
2008-06-02,22.37,22.37,21.2,21.6,15.3541929481,414900,0.0,1.0
2008-06-03,21.86,21.9,21.29,21.32,15.1551571136,446000,0.0,1.0
2008-06-04,21.1,21.64,21.07,21.57,15.3328676801,850300,0.0,1.0
2008-06-05,21.49,21.89,21.49,21.8,15.4963614013,567400,0.0,1.0
2008-06-06,21.75,22.25,21.75,22.1,15.7096140811,1588900,0.0,1.0
2008-06-09,22.3,22.39,22.1,22.33,15.8731078023,377700,0.0,1.0
2008-06-10,22.11,22.25,21.84,21.85,15.5319035146,594000,0.0,1.0
2008-06-11,21.72,22.43,21.2,21.71,15.4323855973,692300,0.0,1.0
2008-06-12,22.11,22.11,21.47,21.85,15.5319035146,394400,0.0,1.0
2008-06-13,22.14,22.4,21.71,22.39,15.9157583383,460500,0.0,1.0
2008-06-16,22.47,23.0,22.24,22.75,16.1716615541,783000,0.0,1.0
2008-06-17,22.75,23.51,22.3,23.18,16.4773237285,1194300,0.0,1.0
2008-06-18,23.0,23.19,22.41,23.04,16.3778058113,723300,0.0,1.0
2008-06-19,23.09,23.09,22.7,22.89,16.2711794714,683500,0.0,1.0
2008-06-20,22.7,23.2,22.38,23.0,16.3493721206,1330300,0.0,1.0
2008-06-23,22.96,22.96,22.67,22.75,16.1716615541,390500,0.0,1.0
2008-06-24,22.78,22.96,22.31,22.88,16.2640710487,666900,0.0,1.0
2008-06-25,23.08,23.37,22.85,23.37,16.6123837591,717000,0.0,1.0
2008-06-26,23.05,23.65,22.14,22.62,16.0792520595,1993100,0.0,1.0
2008-06-27,22.0,23.14,21.95,22.52,16.0081678329,4484900,0.0,1.0
2008-06-30,22.99,22.99,21.19,22.18,15.7664814624,861700,0.0,1.0
2008-07-01,22.4,23.09,22.21,22.88,16.2640710487,476800,0.0,1.0
2008-07-02,23.0,23.23,22.46,22.65,16.1005773275,492400,0.0,1.0
2008-07-03,22.46,22.61,21.17,21.8,15.4963614013,325300,0.0,1.0
2008-07-07,21.8,22.06,21.31,21.49,15.2760002988,246800,0.0,1.0
2008-07-08,21.39,21.7,21.29,21.7,15.4252771747,281500,0.0,1.0
2008-07-09,21.73,21.76,21.41,21.59,15.3470845254,182900,0.0,1.0
2008-07-10,21.69,21.69,20.3,21.26,15.1125065776,530200,0.0,1.0
2008-07-11,20.74,20.81,19.24,20.03,14.2381705903,1062500,0.0,1.0
2008-07-14,20.03,20.19,19.62,19.71,14.0107010651,543100,0.0,1.0
2008-07-15,19.42,19.43,18.09,18.91,13.4420272522,1191800,0.0,1.0
2008-07-16,18.97,19.55,18.9,19.4,13.7903399626,464600,0.0,1.0
2008-07-17,19.79,19.79,19.07,19.7,14.0035926425,232300,0.0,1.0
2008-07-18,19.0,19.83,19.0,19.55,13.8969663025,308500,0.0,1.0
2008-07-21,19.83,19.9,19.45,19.72,14.0178094878,148500,0.0,1.0
2008-07-22,19.58,20.05,19.58,19.93,14.1670863637,144400,0.0,1.0
2008-07-23,19.85,19.99,19.63,19.69,13.9964842198,214900,0.0,1.0
2008-07-24,19.93,19.96,18.55,18.87,13.4135935616,518300,0.0,1.0
2008-07-25,19.15,19.26,18.59,19.15,13.6126293961,241000,0.0,1.0
2008-07-28,19.25,19.66,18.5,18.63,13.2429914177,241900,0.0,1.0
2008-07-29,18.89,19.23,18.72,19.0,13.5060030562,289100,0.0,1.0
2008-07-30,19.34,19.67,19.1,19.46,13.8329904986,251400,0.0,1.0
2008-07-31,20.48,20.48,18.63,19.25,13.6837136227,579200,0.0,1.0
2008-08-01,19.39,19.83,19.25,19.29,13.7121473133,389700,0.0,1.0
2008-08-04,19.44,19.87,19.05,19.6,13.9325084158,324400,0.0,1.0
2008-08-05,19.85,20.34,19.65,20.34,14.4585316928,336500,0.0,1.0
