dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,64.13,64.63,63.38,63.88,11.9752776038,881400,0.0,1.0
1999-11-04,64.5,64.5,63.38,63.56,11.9152887366,679400,0.0,1.0
1999-11-05,64.81,67.13,64.63,65.31,12.2433528538,866500,0.0,1.0
1999-11-08,65.38,65.94,64.25,64.5,12.0915060339,412500,0.0,1.0
1999-11-09,64.75,64.75,62.88,63.69,11.9396592139,686100,0.0,1.0
1999-11-10,63.63,63.75,63.06,63.19,11.845926609,801500,0.0,1.0
1999-11-11,63.38,65.19,63.31,64.56,12.1027539465,535400,0.0,1.0
1999-11-12,64.81,65.75,64.63,65.69,12.3145896336,593300,0.0,1.0
1999-11-15,64.63,65.75,64.56,65.75,12.3258375462,615500,0.0,1.0
1999-11-16,65.63,68.13,65.63,67.63,12.6782721406,689400,0.0,1.0
1999-11-17,67.63,68.0,67.25,67.63,12.6782721406,808400,0.0,1.0
1999-11-18,68.63,69.63,65.0,67.0,12.5601690585,1431900,0.0,1.0
1999-11-19,67.0,69.25,67.0,68.75,12.8882331757,1306300,0.0,1.0
1999-11-22,68.56,69.31,68.0,68.54,12.8488654816,396700,0.0,1.0
1999-11-23,68.13,68.25,65.75,65.88,12.3502080235,505200,0.0,1.0
1999-11-24,65.88,67.69,65.75,67.5,12.6539016634,886300,0.0,1.0
1999-11-26,67.5,67.94,67.31,67.63,12.6782721406,258400,0.0,1.0
1999-11-29,67.63,68.0,67.25,67.94,12.7363863557,720800,0.0,1.0
1999-11-30,67.75,68.75,67.44,67.56,12.665149576,1016000,0.0,1.0
1999-12-01,67.75,68.5,67.75,68.13,12.7720047456,1348200,0.0,1.0
1999-12-02,67.94,68.0,66.88,67.69,12.6895200532,467800,0.0,1.0
1999-12-03,67.69,68.44,67.19,67.44,12.6426537508,741100,0.0,1.0
1999-12-06,67.69,67.69,65.75,65.94,12.361455936,661300,0.0,1.0
1999-12-07,65.88,65.94,63.5,64.31,12.055887644,915600,0.0,1.0
1999-12-08,63.75,63.94,61.69,62.63,11.7954984676,1437700,0.291,1.0
1999-12-09,62.75,62.81,62.13,62.38,11.7484144085,579300,0.0,1.0
1999-12-10,62.5,62.75,62.0,62.0,11.6768466388,704500,0.0,1.0
1999-12-13,62.5,62.63,61.5,62.05,11.6862634506,573700,0.0,1.0
1999-12-14,61.06,63.0,61.06,62.75,11.8180988159,685800,0.0,1.0
1999-12-15,62.88,63.0,61.88,62.0,11.6768466388,984200,0.0,1.0
1999-12-16,61.88,62.0,59.0,60.31,11.3585583998,1400200,0.0,1.0
1999-12-17,60.31,60.62,59.62,60.44,11.3830421105,1497400,0.0,1.0
1999-12-20,59.94,60.88,59.25,60.13,11.3246578773,1410100,0.0,1.0
1999-12-21,59.69,60.13,58.56,59.69,11.2417899334,1409400,0.0,1.0
1999-12-22,60.25,61.5,60.25,60.94,11.4772102285,782600,0.0,1.0
1999-12-23,60.94,62.81,60.88,62.63,11.7954984676,1122100,0.0,1.0
1999-12-27,62.0,62.13,59.5,61.25,11.5355944617,1580600,0.0,1.0
1999-12-28,60.63,61.31,60.0,60.56,11.4056424588,709100,0.0,1.0
1999-12-29,60.38,62.25,60.38,61.44,11.5713783466,657500,0.0,1.0
1999-12-30,61.56,63.25,61.5,62.94,11.8538827008,770300,0.0,1.0
1999-12-31,62.5,62.88,62.06,62.81,11.8293989901,233800,0.0,1.0
2000-01-03,61.56,62.13,60.31,61.38,11.5600781724,1053300,0.0,1.0
2000-01-04,60.38,61.0,59.75,60.0,11.3001741666,472700,0.0,1.0
2000-01-05,60.0,63.38,59.5,63.13,11.8896665856,1140800,0.0,1.0
2000-01-06,61.88,64.5,61.88,63.94,12.0422189369,910000,0.0,1.0
2000-01-07,64.38,67.69,64.13,67.56,12.7239961116,1214000,0.0,1.0
2000-01-10,67.75,67.75,64.75,65.0,12.2418553472,520500,0.0,1.0
2000-01-11,64.25,65.63,63.81,65.0,12.2418553472,662300,0.0,1.0
2000-01-12,65.19,65.38,64.25,64.25,12.1006031701,505800,0.0,1.0
2000-01-13,64.75,66.88,64.5,65.75,12.3831075242,745200,0.0,1.0
2000-01-14,65.0,65.5,62.31,63.75,12.006435052,1149000,0.0,1.0
2000-01-18,63.5,64.0,62.5,62.94,11.8538827008,646700,0.0,1.0
2000-01-19,62.94,63.38,62.31,62.81,11.8293989901,707200,0.0,1.0
2000-01-20,62.56,62.88,60.5,61.0,11.4885104027,1447700,0.0,1.0
2000-01-21,61.0,61.0,60.38,60.75,11.4414263437,1626500,0.0,1.0
2000-01-24,60.75,60.94,58.88,59.31,11.1702221637,927100,0.0,1.0
2000-01-25,59.13,59.19,56.25,58.0,10.9235016944,1943500,0.0,1.0
2000-01-26,57.75,58.88,56.0,58.0,10.9235016944,2675400,0.0,1.0
2000-01-27,59.5,64.0,59.0,63.06,11.8764830491,3051500,0.0,1.0
2000-01-28,63.06,66.44,62.0,62.69,11.8067986417,2061200,0.0,1.0
2000-01-31,64.0,64.38,62.94,63.88,12.0309187627,2156800,0.0,1.0
2000-02-01,63.88,63.88,62.63,63.13,11.8896665856,806000,0.0,1.0
2000-02-02,62.88,63.5,62.13,63.38,11.9367506447,1273800,0.0,1.0
2000-02-03,63.5,63.75,62.81,63.5,11.959350993,974100,0.0,1.0
2000-02-04,63.25,63.88,63.25,63.5,11.959350993,1273100,0.0,1.0
2000-02-07,63.25,63.63,62.5,63.06,11.8764830491,873500,0.0,1.0
2000-02-08,62.81,63.81,62.44,62.94,11.8538827008,744200,0.0,1.0
2000-02-09,62.0,63.0,60.13,62.88,11.8425825266,1235900,0.0,1.0
2000-02-10,62.88,62.88,59.63,60.56,11.4056424588,846900,0.0,1.0
2000-02-11,60.38,60.44,59.0,59.25,11.1589219895,717900,0.0,1.0
2000-02-14,59.63,60.56,59.0,59.75,11.2530901076,734800,0.0,1.0
2000-02-15,59.25,59.75,58.25,59.13,11.1363216412,1506800,0.0,1.0
2000-02-16,59.0,59.13,57.5,57.88,10.900901346,1125300,0.0,1.0
2000-02-17,57.88,58.0,57.06,57.69,10.8651174612,1107900,0.0,1.0
2000-02-18,57.44,57.44,55.56,55.88,10.5242288738,1157900,0.0,1.0
2000-02-22,55.63,58.13,55.19,57.0,10.7351654583,1476500,0.0,1.0
2000-02-23,56.88,57.5,55.88,56.69,10.6767812251,893700,0.0,1.0
2000-02-24,56.69,56.69,54.0,55.13,10.3829766967,1196100,0.0,1.0
2000-02-25,55.63,57.69,53.75,54.19,10.2059406348,1345300,0.0,1.0
2000-02-28,54.69,56.19,54.25,54.88,10.3358926377,818600,0.0,1.0
2000-02-29,55.38,56.38,54.5,54.5,10.264324868,970900,0.0,1.0
2000-03-01,54.81,57.38,54.81,56.06,10.5581293963,1304300,0.0,1.0
2000-03-02,56.31,57.5,55.63,56.81,10.6993815734,2085800,0.0,1.0
2000-03-03,57.06,58.63,56.63,56.63,10.6654810509,2304000,0.0,1.0
2000-03-06,56.75,56.75,54.38,54.38,10.2417245197,947700,0.0,1.0
2000-03-07,54.88,55.0,51.75,51.81,9.75770039286,1284000,0.0,1.0
2000-03-08,53.0,55.0,53.0,54.13,10.1946404606,1186600,0.0,1.0
2000-03-09,54.13,55.88,53.81,55.75,10.4997451631,1907900,0.0,1.0
2000-03-10,55.75,56.94,55.75,56.06,10.5581293963,2162000,0.0,1.0
2000-03-13,55.06,55.63,53.56,53.75,10.1230726909,1366600,0.0,1.0
2000-03-14,54.0,54.69,53.75,54.0,10.1701567499,1130900,0.0,1.0
2000-03-15,54.63,59.63,54.5,58.94,11.1005377563,1554600,0.0,1.0
2000-03-16,59.75,62.69,59.31,62.38,11.7484144085,2781900,0.0,1.0
2000-03-17,62.75,62.75,61.38,61.75,11.6297625798,1310800,0.0,1.0
2000-03-20,61.75,62.75,61.25,61.69,11.6184624056,1492600,0.0,1.0
2000-03-21,61.19,63.88,61.06,62.88,11.8425825266,1573200,0.0,1.0
2000-03-22,62.19,63.13,61.56,62.75,11.8180988159,1977100,0.0,1.0
2000-03-23,62.38,64.88,61.63,63.94,12.0422189369,2573700,0.0,1.0
2000-03-24,63.44,63.44,61.06,61.5,11.5826785208,2199000,0.0,1.0
2000-03-27,61.0,61.19,59.13,60.21,11.3397247762,1503500,0.0,1.0
2000-03-28,60.13,61.63,59.63,60.31,11.3585583998,1450000,0.0,1.0
2000-03-29,60.19,61.94,59.75,60.25,11.3472582256,1447900,0.0,1.0
2000-03-30,60.25,62.19,60.13,61.5,11.5826785208,1660400,0.0,1.0
2000-03-31,61.75,62.94,61.56,62.69,11.8067986417,1056200,0.0,1.0
2000-04-03,59.94,63.5,59.94,62.19,11.7126305237,1132800,0.0,1.0
2000-04-04,62.0,63.38,60.13,62.06,11.688146813,1423100,0.0,1.0
2000-04-05,62.56,63.5,61.5,61.88,11.6542462905,1719800,0.0,1.0
2000-04-06,61.75,61.94,59.44,60.0,11.3001741666,1023300,0.0,1.0
2000-04-07,59.88,60.31,59.13,59.44,11.1947058744,542700,0.0,1.0
2000-04-10,59.44,61.19,59.13,60.63,11.4188259954,972300,0.0,1.0
2000-04-11,60.63,63.94,60.63,61.69,11.6184624056,990100,0.0,1.0
2000-04-12,61.94,62.81,60.38,60.94,11.4772102285,1029500,0.0,1.0
2000-04-13,60.69,61.38,59.81,60.06,11.3114743408,931400,0.0,1.0
2000-04-14,59.0,59.5,56.5,56.56,10.6522975144,1474800,0.0,1.0
2000-04-17,56.81,57.44,55.5,56.44,10.629697166,1276600,0.0,1.0
2000-04-18,57.0,58.31,56.75,57.88,10.900901346,1106500,0.0,1.0
2000-04-19,59.13,59.81,58.0,58.25,10.9705857534,945400,0.0,1.0
2000-04-20,59.0,60.13,56.63,59.81,11.2643902817,1640500,0.0,1.0
2000-04-24,59.31,63.19,59.31,62.0,11.6768466388,2167000,0.0,1.0
2000-04-25,63.5,66.5,63.44,66.5,12.5243597013,3354900,0.0,1.0
2000-04-26,66.25,66.25,64.75,65.06,12.2531555213,1784500,0.0,1.0
2000-04-27,64.75,65.81,64.75,65.56,12.3473236394,1749300,0.0,1.0
2000-04-28,65.56,65.75,65.06,65.13,12.2663390578,1672900,0.0,1.0
2000-05-01,65.13,65.19,63.5,63.56,11.9706511672,1153200,0.0,1.0
2000-05-02,62.75,64.88,62.5,63.75,12.006435052,924600,0.0,1.0
2000-05-03,63.69,64.0,62.0,62.31,11.735230872,717100,0.0,1.0
2000-05-04,62.06,62.19,60.63,61.56,11.5939786949,952900,0.0,1.0
2000-05-05,61.31,63.0,60.94,61.81,11.641062754,749500,0.0,1.0
2000-05-08,62.88,65.44,62.31,64.0,12.053519111,1684200,0.0,1.0
2000-05-09,64.0,67.0,64.0,65.94,12.4188914091,1974400,0.0,1.0
2000-05-10,65.25,66.88,65.25,66.44,12.5130595271,1101100,0.0,1.0
2000-05-11,67.5,68.88,67.0,67.81,12.7710801706,1948000,0.0,1.0
2000-05-12,67.5,67.75,66.0,66.0,12.4301915833,1100000,0.0,1.0
2000-05-15,66.44,67.63,66.0,66.88,12.595927471,1466700,0.0,1.0
2000-05-16,67.25,68.5,66.38,67.5,12.7126959374,1823200,0.0,1.0
2000-05-17,67.13,67.44,66.5,66.69,12.5601435862,489400,0.0,1.0
2000-05-18,66.75,67.13,66.13,67.0,12.6185278194,608200,0.0,1.0
2000-05-19,66.63,67.38,66.06,66.88,12.595927471,837700,0.0,1.0
2000-05-22,66.63,67.44,65.94,67.0,12.6185278194,800800,0.0,1.0
2000-05-23,67.0,68.25,67.0,67.69,12.7484798223,715100,0.0,1.0
2000-05-24,67.69,69.44,67.69,68.88,12.9725999433,970200,0.0,1.0
2000-05-25,68.38,68.56,67.19,67.63,12.7371796481,772400,0.0,1.0
2000-05-26,67.38,67.75,65.56,65.56,12.3473236394,573200,0.0,1.0
2000-05-30,66.0,66.25,64.94,66.19,12.4659754681,741400,0.0,1.0
2000-05-31,66.0,68.0,66.0,67.19,12.6543117042,1073500,0.0,1.0
2000-06-01,66.38,68.19,66.38,67.69,12.7484798223,762300,0.0,1.0
2000-06-02,67.56,68.0,62.81,63.56,11.9706511672,1689400,0.0,1.0
2000-06-05,63.75,67.13,63.44,65.88,12.4075912349,936300,0.0,1.0
2000-06-06,65.94,66.19,64.13,64.86,12.2154882741,854600,0.0,1.0
2000-06-07,64.63,64.88,62.81,63.0,11.8651828749,605000,0.0,1.0
2000-06-08,63.0,64.63,61.5,63.88,12.0309187627,829600,0.0,1.0
2000-06-09,64.0,65.25,63.56,64.75,12.1947712881,722500,0.0,1.0
2000-06-12,64.75,65.88,64.63,65.34,12.3058896674,688000,0.0,1.0
2000-06-13,65.38,67.88,65.38,66.88,12.595927471,573200,0.0,1.0
2000-06-14,67.0,68.81,67.0,67.63,12.7371796481,2483300,0.0,1.0
2000-06-15,68.25,68.81,67.0,67.25,12.6656118784,803500,0.0,1.0
2000-06-16,67.38,67.5,65.38,66.25,12.4772756423,1071300,0.0,1.0
2000-06-19,66.31,66.44,65.31,66.38,12.501759353,588700,0.0,1.0
2000-06-20,66.13,66.88,65.56,66.69,12.5601435862,771200,0.0,1.0
2000-06-21,66.13,68.13,65.81,68.0,12.8068640555,583100,0.0,1.0
2000-06-22,68.0,68.0,66.06,66.5,12.5243597013,636600,0.0,1.0
2000-06-23,66.25,67.63,65.81,66.06,12.4414917574,577800,0.0,1.0
2000-06-26,66.25,69.25,66.13,68.0,12.8068640555,1631700,0.0,1.0
2000-06-27,68.13,69.88,67.81,68.94,12.9839001174,1331300,0.0,1.0
2000-06-28,70.0,71.75,69.25,71.25,13.4189568228,1582300,0.0,1.0
2000-06-29,71.38,72.0,70.81,72.0,13.5602089999,1795500,0.0,1.0
2000-06-30,72.0,72.06,70.06,70.31,13.2419207609,2213600,0.0,1.0
2000-07-03,70.75,71.5,70.75,71.0,13.3718727638,426600,0.0,1.0
2000-07-05,71.0,74.44,70.94,74.31,13.9952657053,1910000,0.0,1.0
2000-07-06,74.31,75.0,70.5,70.81,13.3360888789,2280400,0.0,1.0
2000-07-07,71.0,72.44,70.31,70.5,13.2777046458,2212700,0.0,1.0
2000-07-10,71.0,72.25,71.0,71.56,13.477341056,929700,0.0,1.0
2000-07-11,71.5,72.88,71.31,71.94,13.5489088258,1194900,0.0,1.0
2000-07-12,74.63,74.63,71.75,71.94,13.5489088258,1540000,0.0,1.0
2000-07-13,72.13,73.0,70.63,70.69,13.3134885306,1636800,0.0,1.0
2000-07-14,70.75,71.25,67.5,69.5,13.0893684096,1809800,0.0,1.0
2000-07-17,70.5,73.94,70.19,72.63,13.6788608287,1375600,0.0,1.0
2000-07-18,73.13,73.63,72.44,72.81,13.7127613512,810700,0.0,1.0
2000-07-19,73.06,74.25,73.06,73.56,13.8540135283,1124100,0.0,1.0
2000-07-20,73.75,75.5,72.88,74.81,14.0894338234,1923400,0.0,1.0
2000-07-21,75.19,79.5,74.5,78.63,14.8088782453,2937200,0.0,1.0
2000-07-24,78.63,80.25,77.44,78.03,14.6958765037,1680000,0.0,1.0
2000-07-25,77.19,77.38,74.25,74.63,14.0555333009,1221600,0.0,1.0
2000-07-26,74.31,75.19,73.38,74.5,14.0310495902,1677600,0.0,1.0
2000-07-27,75.5,77.25,74.5,74.5,14.0310495902,1693600,0.0,1.0
2000-07-28,75.25,78.5,74.94,76.94,14.4905900063,1989200,0.0,1.0
2000-07-31,77.31,78.25,76.81,77.75,14.6431423576,1339600,0.0,1.0
2000-08-01,78.0,78.38,77.13,77.94,14.6789262424,1071600,0.0,1.0
2000-08-02,78.13,79.75,77.88,79.06,14.8898628269,1117800,0.0,1.0
2000-08-03,79.0,80.0,78.63,78.94,14.8672624785,1254100,0.0,1.0
2000-08-04,79.13,79.38,76.75,77.44,14.5847581244,1104600,0.0,1.0
2000-08-07,77.19,78.88,77.13,78.29,14.7448439251,852800,0.0,1.0
2000-08-08,77.0,77.5,74.81,75.81,14.2777700595,1785500,0.0,1.0
2000-08-09,75.75,75.81,73.63,75.06,14.1365178824,1855700,0.0,1.0
2000-08-10,78.5,81.25,77.88,80.0,15.0668988888,1898800,0.0,1.0
2000-08-11,80.13,80.75,78.5,78.94,14.8672624785,988300,0.0,1.0
2000-08-14,78.75,80.13,78.0,80.0,15.0668988888,753500,0.0,1.0
2000-08-15,80.0,81.5,79.38,81.31,15.3136193581,1353400,0.0,1.0
2000-08-16,80.88,81.31,78.88,79.94,15.0555987146,1169000,0.0,1.0
2000-08-17,78.5,79.38,78.0,79.38,14.9501304224,714700,0.0,1.0
2000-08-18,80.0,80.0,78.28,79.38,14.9501304224,1423500,0.0,1.0
2000-08-21,79.38,80.44,79.25,80.0,15.0668988888,976200,0.0,1.0
2000-08-22,80.5,80.5,79.75,80.19,15.1026827737,1483600,0.0,1.0
2000-08-23,80.19,81.81,79.75,81.81,15.4077874762,1204600,0.0,1.0
2000-08-24,82.13,85.0,82.13,84.5,15.9144119513,3146600,0.0,1.0
2000-08-25,84.44,85.0,83.94,84.53,15.9200620384,1268500,0.0,1.0
2000-08-28,84.63,85.25,83.81,84.13,15.8447275439,1390900,0.0,1.0
2000-08-29,84.13,84.69,83.5,84.0,15.8202438332,1016800,0.0,1.0
2000-08-30,84.06,84.88,83.75,84.75,15.9614960103,909400,0.0,1.0
2000-08-31,84.63,85.63,82.13,83.27,15.6827583809,1573300,0.0,1.0
2000-09-01,83.06,84.38,82.63,84.13,15.8447275439,1178400,0.0,1.0
2000-09-05,83.0,83.0,81.5,82.63,15.5622231898,977000,0.0,1.0
2000-09-06,82.88,83.38,80.81,81.5,15.349403243,1040700,0.0,1.0
2000-09-07,81.38,82.38,80.75,81.53,15.35505333,876600,0.0,1.0
