dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,41.12,42.0,39.75,39.81,5.75632898748,765700,0.0,1.0
1999-11-02,39.88,39.94,39.06,39.12,5.65655840216,611500,0.0,1.0
1999-11-03,39.62,39.62,38.06,38.31,5.53943641071,693800,0.0,1.0
1999-11-04,38.44,39.19,37.31,37.56,5.43099012232,1288100,0.0,1.0
1999-11-05,38.06,38.19,37.0,37.5,5.42231441925,450300,0.0,1.0
1999-11-08,37.25,37.62,36.75,36.94,5.34134119059,519000,0.0,1.0
1999-11-09,36.94,37.5,36.5,36.5,5.27771936807,941600,0.0,1.0
1999-11-10,36.62,38.0,36.31,36.81,5.32254383394,1351500,0.0,1.0
1999-11-11,37.0,37.38,35.0,36.38,5.26036796193,879500,0.0,1.0
1999-11-12,36.81,37.94,35.88,37.69,5.44978747898,437800,0.0,1.0
1999-11-15,37.5,38.94,37.5,38.5,5.56690947043,761600,0.0,1.0
1999-11-16,38.75,39.19,37.75,38.56,5.5755851735,967400,0.0,1.0
1999-11-17,38.44,39.0,38.19,38.69,5.59438253016,570700,0.0,1.0
1999-11-18,38.75,38.75,37.81,38.19,5.52208500457,485200,0.0,1.0
1999-11-19,38.0,39.5,38.0,39.0,5.63920699602,817900,0.0,1.0
1999-11-22,38.62,39.0,38.38,38.75,5.60305823323,536300,0.0,1.0
1999-11-23,38.56,38.75,37.97,38.12,5.51196335098,750700,0.0,1.0
1999-11-24,38.31,39.38,38.12,38.88,5.62185558988,404500,0.0,1.0
1999-11-26,38.94,39.62,38.69,39.5,5.71150452161,421300,0.0,1.0
1999-11-29,39.44,42.12,39.44,41.69,6.0281676837,1358900,0.0,1.0
1999-11-30,41.56,42.69,41.25,42.14,6.09323545673,1096200,0.0,1.0
1999-12-01,42.44,42.62,41.38,42.0,6.09468140724,1194100,0.15,1.0
1999-12-02,42.0,42.19,40.75,41.69,6.04969685399,1210600,0.0,1.0
1999-12-03,42.0,42.19,41.25,41.31,5.99455449841,546600,0.0,1.0
1999-12-06,41.5,41.69,40.94,40.94,5.94086325744,809400,0.0,1.0
1999-12-07,40.94,41.75,40.0,40.62,5.89442758957,784700,0.0,1.0
1999-12-08,40.38,41.69,40.12,40.12,5.82187185853,814200,0.0,1.0
1999-12-09,40.19,40.38,39.31,39.69,5.75947392984,672400,0.0,1.0
1999-12-10,39.62,41.75,39.19,41.75,6.05840354172,1118100,0.0,1.0
1999-12-13,41.5,41.5,40.5,41.0,5.94956994516,479000,0.0,1.0
1999-12-14,41.12,42.5,40.62,41.69,6.04969685399,1083200,0.0,1.0
1999-12-15,41.94,43.12,41.88,42.81,6.21222169152,1030700,0.0,1.0
1999-12-16,42.5,44.06,42.5,43.81,6.3573331536,591800,0.0,1.0
1999-12-17,43.88,43.88,41.75,41.75,6.05840354172,1179400,0.0,1.0
1999-12-20,42.12,42.94,41.75,41.81,6.06711022944,473100,0.0,1.0
1999-12-21,41.62,42.44,41.12,41.44,6.01341898848,589700,0.0,1.0
1999-12-22,41.31,42.0,41.31,41.5,6.0221256762,616000,0.0,1.0
1999-12-23,41.94,43.0,41.38,43.0,6.23979286932,479500,0.0,1.0
1999-12-27,42.12,43.12,42.0,42.25,6.13095927276,325300,0.0,1.0
1999-12-28,42.88,43.06,42.44,42.94,6.23108618159,238800,0.0,1.0
1999-12-29,42.81,43.0,42.06,42.38,6.14982376283,402200,0.0,1.0
1999-12-30,42.38,42.56,42.31,42.56,6.175943826,399200,0.0,1.0
1999-12-31,42.38,43.31,42.06,43.31,6.28477742256,162800,0.0,1.0
2000-01-03,43.44,43.69,40.31,40.56,5.88572090185,963500,0.0,1.0
2000-01-04,40.44,41.12,39.62,39.75,5.76818061756,1200200,0.0,1.0
2000-01-05,39.62,39.94,39.19,39.19,5.6869181988,435400,0.0,1.0
2000-01-06,40.06,40.06,37.88,38.56,5.59549797769,1056900,0.0,1.0
2000-01-07,39.12,39.25,38.38,38.81,5.63177584321,780800,0.0,1.0
2000-01-10,38.69,39.0,38.25,38.31,5.55922011217,684400,0.0,1.0
2000-01-11,38.38,38.62,36.88,37.12,5.3865374723,886300,0.0,1.0
2000-01-12,37.25,37.69,36.19,36.69,5.32413954361,728800,0.0,1.0
2000-01-13,36.62,36.69,34.94,35.06,5.08760786042,1146300,0.0,1.0
2000-01-14,34.62,36.19,34.62,35.12,5.09631454815,1047200,0.0,1.0
2000-01-18,34.94,35.62,33.88,34.19,4.96136088842,521100,0.0,1.0
2000-01-19,34.25,34.5,33.5,34.0,4.93378971062,825500,0.0,1.0
2000-01-20,33.75,34.31,32.78,34.06,4.94249639835,751400,0.0,1.0
2000-01-21,34.44,34.44,33.12,33.31,4.83366280179,1265100,0.0,1.0
2000-01-24,33.31,33.31,31.81,32.75,4.75240038303,541000,0.0,1.0
2000-01-25,32.38,33.12,32.31,32.56,4.72482920523,1255600,0.0,1.0
2000-01-26,33.25,33.44,32.44,32.62,4.73353589296,710600,0.0,1.0
2000-01-27,33.12,33.44,31.5,31.81,4.61599560867,1500300,0.0,1.0
2000-01-28,31.88,31.94,30.19,30.5,4.42589959335,1869600,0.0,1.0
2000-01-31,30.75,30.94,30.31,30.69,4.45347077115,663200,0.0,1.0
2000-02-01,30.88,32.12,30.75,31.12,4.51586869984,1524000,0.0,1.0
2000-02-02,32.0,35.0,31.62,33.25,4.82495611406,1787500,0.0,1.0
2000-02-03,35.0,36.0,33.75,34.81,5.0513299949,2328300,0.0,1.0
2000-02-04,35.06,35.56,34.56,35.5,5.15145690374,1731100,0.0,1.0
2000-02-07,35.69,35.69,34.81,34.94,5.07019448497,1334800,0.0,1.0
2000-02-08,35.5,35.62,34.88,35.5,5.15145690374,1101200,0.0,1.0
2000-02-09,35.5,35.56,34.25,34.5,5.00634544166,649000,0.0,1.0
2000-02-10,34.75,34.75,34.06,34.31,4.97877426387,704800,0.0,1.0
2000-02-11,34.38,34.38,33.12,33.31,4.83366280179,586800,0.0,1.0
2000-02-14,33.38,33.62,32.69,33.5,4.86123397958,704000,0.0,1.0
2000-02-15,33.75,34.12,33.69,33.81,4.90621853283,692500,0.0,1.0
2000-02-16,33.75,33.75,30.5,31.12,4.51586869984,1295200,0.0,1.0
2000-02-17,31.38,31.81,30.62,30.69,4.45347077115,926500,0.0,1.0
2000-02-18,30.44,30.88,30.19,30.62,4.4433129688,702400,0.0,1.0
2000-02-22,31.5,31.69,30.69,31.44,4.5623043677,703100,0.0,1.0
2000-02-23,31.69,32.25,30.5,30.69,4.45347077115,1301200,0.0,1.0
2000-02-24,30.75,30.81,28.88,29.19,4.23580357803,1571700,0.0,1.0
2000-02-25,29.12,30.25,29.12,30.12,4.37075723776,1459100,0.0,1.0
2000-02-28,31.25,31.62,30.38,31.31,4.54343987763,1195300,0.0,1.0
2000-02-29,32.0,34.0,31.62,34.0,4.93378971062,1315700,0.0,1.0
2000-03-01,33.31,33.75,32.56,33.62,4.90041407434,1276900,0.15,1.0
2000-03-02,33.62,33.81,33.06,33.62,4.90041407434,1708600,0.0,1.0
2000-03-03,33.62,33.81,33.06,33.81,4.92810826453,807900,0.0,1.0
2000-03-06,33.5,33.69,32.81,33.5,4.88292300686,788500,0.0,1.0
2000-03-07,33.81,33.81,31.88,31.94,4.65553912952,1159100,0.0,1.0
2000-03-08,32.38,32.44,31.56,32.25,4.7007243872,883900,0.0,1.0
2000-03-09,32.0,34.0,32.0,34.0,4.95580245472,962500,0.0,1.0
2000-03-10,34.0,34.06,33.44,34.0,4.95580245472,613400,0.0,1.0
2000-03-13,33.88,33.88,32.88,33.44,4.87417747311,612100,0.0,1.0
2000-03-14,33.44,33.75,32.81,33.38,4.86543193937,780600,0.0,1.0
2000-03-15,33.19,36.44,33.19,35.69,5.2021349885,960900,0.0,1.0
2000-03-16,35.69,39.56,35.69,39.5,5.75747638122,1574800,0.0,1.0
2000-03-17,38.75,38.81,37.25,37.38,5.44846752228,889100,0.0,1.0
2000-03-20,37.0,38.62,36.88,37.94,5.53009250388,633100,0.0,1.0
2000-03-21,38.44,39.5,38.31,38.56,5.62046301924,1386700,0.0,1.0
2000-03-22,38.5,38.5,37.5,38.25,5.57527776156,1171100,0.0,1.0
2000-03-23,38.25,38.44,37.94,38.31,5.5840232953,1021700,0.0,1.0
2000-03-24,38.31,38.94,38.12,38.69,5.63941167568,317000,0.0,1.0
2000-03-27,38.44,39.56,38.31,39.38,5.73998531373,867400,0.0,1.0
2000-03-28,39.75,39.88,38.38,38.56,5.62046301924,603400,0.0,1.0
2000-03-29,38.69,39.31,38.62,39.31,5.72978219103,356000,0.0,1.0
2000-03-30,39.44,41.38,39.06,41.31,6.02129998248,1199400,0.0,1.0
2000-03-31,40.5,42.81,40.5,42.12,6.13936468802,1330800,0.0,1.0
2000-04-03,42.19,43.88,42.19,43.44,6.33176643038,1337200,0.0,1.0
2000-04-04,43.44,43.5,39.31,41.19,6.003808915,1442600,0.0,1.0
2000-04-05,40.88,41.94,40.56,41.69,6.07668836286,656000,0.0,1.0
2000-04-06,45.0,47.5,43.88,46.81,6.82297390898,3732500,0.0,1.0
2000-04-07,47.0,51.5,46.94,48.75,7.10574616669,2805800,0.0,1.0
2000-04-10,48.62,49.5,47.31,48.81,7.11449170044,1193400,0.0,1.0
2000-04-11,48.88,51.75,48.81,51.44,7.4978375962,1572600,0.0,1.0
2000-04-12,50.5,50.75,47.81,47.81,6.96873280471,863900,0.0,1.0
2000-04-13,48.0,49.5,46.88,46.88,6.83317703168,691500,0.0,1.0
2000-04-14,46.56,46.81,44.0,44.19,6.44108560218,885600,0.0,1.0
2000-04-17,44.19,44.75,41.88,42.94,6.25888698252,1554300,0.0,1.0
2000-04-18,43.5,44.81,43.12,44.0,6.41339141199,1088700,0.0,1.0
2000-04-19,43.75,44.94,43.75,44.75,6.52271058379,744100,0.0,1.0
2000-04-20,44.5,44.75,43.06,43.94,6.40464587825,817800,0.0,1.0
2000-04-24,43.38,46.62,43.38,46.25,6.74134892738,924900,0.0,1.0
2000-04-25,47.0,47.38,46.06,46.69,6.8054828415,900000,0.0,1.0
2000-04-26,46.81,47.75,46.25,46.69,6.8054828415,1344000,0.0,1.0
2000-04-27,46.12,46.69,44.38,44.94,6.55040477397,1468100,0.0,1.0
2000-04-28,45.0,45.81,44.88,45.19,6.58684449791,971400,0.0,1.0
2000-05-01,45.44,48.69,45.38,48.62,7.08679751025,1263100,0.0,1.0
2000-05-02,48.38,50.0,46.81,50.0,7.28794478635,1418600,0.0,1.0
2000-05-03,46.56,47.31,44.12,44.5,6.48627085985,1561700,0.0,1.0
2000-05-04,44.5,46.06,44.44,45.69,6.65972394577,1146500,0.0,1.0
2000-05-05,45.44,47.38,45.12,47.38,6.90605647955,1022000,0.0,1.0
2000-05-08,47.12,47.81,46.75,47.81,6.96873280471,479400,0.0,1.0
2000-05-09,48.0,49.38,48.0,49.38,7.197574271,589900,0.0,1.0
2000-05-10,49.12,49.12,48.56,49.12,7.15967695811,1314000,0.0,1.0
2000-05-11,49.12,49.38,48.62,49.38,7.197574271,437900,0.0,1.0
2000-05-12,49.88,50.0,49.44,49.62,7.23255640598,508300,0.0,1.0
2000-05-15,47.5,50.12,47.5,50.12,7.30543585384,1384700,0.0,1.0
2000-05-16,49.25,50.88,48.94,49.62,7.23255640598,1140200,0.0,1.0
2000-05-17,49.62,49.62,47.19,48.44,7.06056090902,1384100,0.0,1.0
2000-05-18,47.88,48.94,47.88,48.5,7.06930644276,325500,0.0,1.0
2000-05-19,47.62,48.62,47.25,48.62,7.08679751025,504300,0.0,1.0
2000-05-22,48.62,49.62,48.5,49.25,7.17862561456,589700,0.0,1.0
2000-05-23,49.0,49.69,48.31,48.75,7.10574616669,631600,0.0,1.0
2000-05-24,48.75,48.75,46.25,47.94,6.98768146116,995900,0.0,1.0
2000-05-25,48.19,51.69,48.19,49.5,7.21506533849,1859600,0.0,1.0
2000-05-26,49.31,50.0,47.06,47.38,6.90605647955,2385100,0.0,1.0
2000-05-30,47.5,48.56,47.5,48.12,7.01391806239,1171200,0.0,1.0
2000-05-31,24.0,24.44,23.81,24.12,7.03140912987,806450,0.0,2.0
2000-06-01,24.31,24.38,23.25,23.62,6.88565023415,1284100,0.0,1.0
2000-06-02,23.62,24.31,23.62,23.81,6.94103861452,3052200,0.0,1.0
2000-06-05,23.88,24.5,23.69,24.25,7.06930644276,1466400,0.0,1.0
2000-06-06,24.0,24.19,22.88,23.0,6.70490920344,1467500,0.0,1.0
2000-06-07,22.62,24.12,22.38,22.88,6.69179090283,5579300,0.075,1.0
2000-06-08,23.5,23.5,22.81,22.88,6.69179090283,992700,0.0,1.0
2000-06-09,23.25,23.38,22.31,22.44,6.56310261624,635500,0.0,1.0
2000-06-12,22.62,22.62,21.81,22.12,6.46951113508,1614700,0.0,1.0
2000-06-13,21.88,22.19,21.69,22.0,6.43441432964,1063400,0.0,1.0
2000-06-14,22.0,22.44,21.88,22.12,6.46951113508,388700,0.0,1.0
2000-06-15,22.38,22.62,22.38,22.62,6.61574782439,2768700,0.0,1.0
2000-06-16,22.5,22.62,22.06,22.19,6.48998427158,1415700,0.0,1.0
2000-06-19,22.81,22.81,21.75,21.81,6.37884438771,908000,0.0,1.0
2000-06-20,21.75,22.12,21.69,21.94,6.41686592693,932400,0.0,1.0
2000-06-21,22.19,22.19,21.56,21.62,6.32327444577,547400,0.0,1.0
2000-06-22,21.25,21.44,21.12,21.25,6.21505929568,895000,0.0,1.0
2000-06-23,21.94,21.94,21.25,21.25,6.21505929568,1145100,0.0,1.0
2000-06-26,21.75,21.81,21.22,21.38,6.2530808349,895300,0.0,1.0
2000-06-27,21.62,22.12,21.19,21.94,6.41686592693,1428400,0.0,1.0
2000-06-28,22.0,22.0,20.94,21.45,6.2735539714,1434700,0.0,1.0
2000-06-29,21.69,21.69,20.94,21.38,6.2530808349,1054800,0.0,1.0
2000-06-30,21.44,22.38,21.31,21.62,6.32327444577,1931000,0.0,1.0
2000-07-03,21.94,21.94,21.38,21.56,6.30572604305,471200,0.0,1.0
2000-07-05,21.94,21.94,21.31,21.75,6.36129598499,725700,0.0,1.0
2000-07-06,21.94,22.31,21.62,21.88,6.39931752421,960600,0.0,1.0
2000-07-07,22.12,23.25,22.06,23.12,6.7619845137,1715500,0.0,1.0
2000-07-10,23.5,23.94,23.12,23.69,6.92869433951,1632300,0.0,1.0
2000-07-11,23.94,23.94,23.12,23.81,6.96379114495,1130800,0.0,1.0
2000-07-12,23.31,23.75,23.31,23.62,6.90822120301,507500,0.0,1.0
2000-07-13,23.44,23.81,23.38,23.75,6.94624274223,425700,0.0,1.0
2000-07-14,23.56,23.69,23.06,23.25,6.80000605292,943000,0.0,1.0
2000-07-17,23.06,23.56,23.0,23.5,6.87312439757,632700,0.0,1.0
2000-07-18,23.56,23.62,23.19,23.31,6.81755445564,527400,0.0,1.0
2000-07-19,23.5,23.5,22.81,22.88,6.69179090283,540000,0.0,1.0
2000-07-20,23.0,23.31,22.69,23.19,6.7824576502,572900,0.0,1.0
2000-07-21,23.31,23.38,22.81,22.88,6.69179090283,569500,0.0,1.0
2000-07-24,23.19,23.19,22.5,22.5,6.58065101895,558000,0.0,1.0
2000-07-25,22.69,22.75,21.94,22.19,6.48998427158,619800,0.0,1.0
2000-07-26,22.62,22.81,22.19,22.44,6.56310261624,1268300,0.0,1.0
2000-07-27,22.44,22.88,22.06,22.31,6.52508107702,478500,0.0,1.0
2000-07-28,22.06,22.31,21.38,21.56,6.30572604305,734400,0.0,1.0
2000-07-31,21.56,21.62,20.25,20.44,5.978155859,1679900,0.0,1.0
2000-08-01,20.56,20.62,19.5,20.19,5.90503751434,1415700,0.0,1.0
2000-08-02,20.0,20.19,19.44,19.62,5.73832768853,1837800,0.0,1.0
2000-08-03,19.44,19.81,19.38,19.44,5.68568248038,1020900,0.0,1.0
2000-08-04,19.5,19.88,19.31,19.62,5.73832768853,1161300,0.0,1.0
2000-08-07,19.62,19.88,19.5,19.75,5.77634922775,1376100,0.0,1.0
2000-08-08,19.5,21.0,19.44,21.0,6.14194095102,2032200,0.0,1.0
2000-08-09,20.81,21.12,20.62,20.88,6.10684414559,1495500,0.0,1.0
2000-08-10,20.88,20.94,20.44,20.62,6.03080106715,2264600,0.0,1.0
2000-08-11,20.75,20.94,20.25,20.38,5.96060745628,2057600,0.0,1.0
2000-08-14,20.38,20.88,20.38,20.75,6.06882260637,825900,0.0,1.0
2000-08-15,20.5,20.5,20.06,20.06,5.86701597512,899200,0.0,1.0
2000-08-16,19.5,19.62,18.69,19.19,5.61256413572,2113500,0.0,1.0
2000-08-17,19.25,19.94,19.12,19.25,5.63011253844,1418100,0.0,1.0
2000-08-18,19.25,19.56,18.88,19.22,5.62133833708,2098100,0.0,1.0
2000-08-21,19.0,19.31,18.31,18.88,5.52189738835,2053300,0.0,1.0
