dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,55.31,55.5,50.0,51.56,15.2301882735,2910267,0.0,1.0
1999-11-02,51.63,53.81,50.19,50.88,15.0293246578,4395600,0.0,1.0
1999-11-03,51.94,53.31,51.0,51.63,15.2508654104,2474978,0.0,1.0
1999-11-04,53.94,54.31,51.69,52.0,15.3601588484,2052444,0.0,1.0
1999-11-05,54.25,54.5,50.0,50.63,14.9554777403,3824000,0.0,1.0
1999-11-08,50.0,50.44,47.13,49.0,14.4739958379,4679778,0.0,1.0
1999-11-09,48.0,49.63,45.88,48.5,14.3263020028,3498400,0.0,1.0
1999-11-10,48.5,49.56,48.0,48.5,14.3263020028,1523867,0.0,1.0
1999-11-11,49.13,54.44,49.06,54.38,16.0631815034,5191867,0.0,1.0
1999-11-12,54.56,55.25,50.88,52.75,15.581699601,2138000,0.0,1.0
1999-11-15,52.69,53.44,52.06,52.06,15.3778821086,1246844,0.0,1.0
1999-11-16,52.88,53.94,51.25,52.38,15.4724061631,1356578,0.0,1.0
1999-11-17,52.5,53.63,50.94,51.13,15.1031715754,1295778,0.0,1.0
1999-11-18,51.0,51.81,49.5,49.75,14.6955365905,2056667,0.0,1.0
1999-11-19,49.63,50.56,49.0,50.25,14.8432304256,1872044,0.0,1.0
1999-11-22,50.75,52.13,50.13,51.5,15.2124650133,1795378,0.0,1.0
1999-11-23,52.0,56.44,51.94,53.94,15.9332109285,4222267,0.0,1.0
1999-11-24,55.5,56.0,53.56,55.56,16.4117389542,2317644,0.0,1.0
1999-11-26,56.0,58.94,55.88,57.88,17.0970383489,1633200,0.0,1.0
1999-11-29,61.94,67.0,61.75,66.63,19.6816804629,5910400,0.0,1.0
1999-11-30,65.88,65.88,62.25,62.5,18.4617293851,3078178,0.0,1.0
1999-12-01,63.0,66.56,62.75,66.5,19.6432800657,2560667,0.0,1.0
1999-12-02,61.25,62.81,60.0,62.0,18.31403555,5758444,0.0,1.0
1999-12-03,60.88,63.25,56.25,56.5,16.6894033641,4892178,0.0,1.0
1999-12-06,56.56,57.0,50.25,53.0,15.6555465186,9910400,0.0,1.0
1999-12-07,51.0,51.81,50.0,50.81,15.0086475209,3813067,0.0,1.0
1999-12-08,50.5,50.56,46.0,47.63,14.0693147298,7012000,0.0,1.0
1999-12-09,48.0,49.63,42.88,43.75,12.9232105696,7325200,0.0,1.0
1999-12-10,44.38,48.25,44.13,48.13,14.2170085649,6948844,0.0,1.0
1999-12-13,47.5,51.56,47.06,51.56,15.2301882735,5265778,0.0,1.0
1999-12-14,50.0,50.0,46.44,49.0,14.4739958379,10839378,0.0,1.0
1999-12-15,46.06,48.38,45.69,47.25,13.9570674151,3591200,0.0,1.0
1999-12-16,51.94,51.94,48.88,50.44,14.8993540829,5742400,0.0,1.0
1999-12-17,48.69,49.19,46.62,47.25,13.9570674151,4347778,0.0,1.0
1999-12-20,46.63,48.75,45.06,45.56,13.4578622526,2914178,0.0,1.0
1999-12-21,45.38,45.38,43.0,44.5,13.1447513222,3098978,0.0,1.0
1999-12-22,43.94,45.81,42.56,44.31,13.0886276649,3486667,0.0,1.0
1999-12-23,45.63,45.94,44.44,45.0,13.2924451573,1910044,0.0,1.0
