dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,25.69,25.69,24.69,25.38,18.0113793243,1340100,0.0,1.0
1999-11-02,25.44,26.19,25.13,25.88,18.3662134323,970500,0.0,1.0
1999-11-03,26.25,26.69,25.94,26.5,18.8062077263,664600,0.0,1.0
1999-11-04,26.75,29.0,25.94,28.81,20.4455413055,1564200,0.0,1.0
1999-11-05,28.94,29.25,27.0,28.0,19.8707100505,1815200,0.0,1.0
1999-11-08,28.63,29.25,28.63,29.0,20.5803782665,1014000,0.0,1.0
1999-11-09,29.0,29.25,28.5,28.75,20.4029612125,1022000,0.0,1.0
1999-11-10,28.63,29.38,28.63,29.06,20.6229583595,964500,0.0,1.0
1999-11-11,29.0,29.38,28.75,29.0,20.5803782665,699500,0.0,1.0
1999-11-12,29.13,29.19,28.56,28.81,20.4455413055,370100,0.0,1.0
1999-11-15,29.0,29.69,28.69,29.25,20.7577953206,1061000,0.0,1.0
1999-11-16,29.38,30.31,29.13,29.81,21.1552095216,1331300,0.0,1.0
1999-11-17,29.63,29.94,29.5,29.69,21.0700493356,562800,0.0,1.0
1999-11-18,29.69,29.75,29.13,29.31,20.8003754135,554300,0.0,1.0
1999-11-19,29.19,29.63,28.88,29.25,20.7577953206,660600,0.0,1.0
1999-11-22,29.0,29.56,28.38,28.5,20.2255441585,716100,0.0,1.0
1999-11-23,28.56,28.56,27.5,27.63,19.6081328105,1102100,0.0,1.0
1999-11-24,27.38,27.38,26.88,27.19,19.2958787954,1219600,0.0,1.0
1999-11-26,27.31,27.88,27.25,27.56,19.5584560354,296700,0.0,1.0
1999-11-29,27.31,27.38,26.94,27.06,19.2036219273,533400,0.0,1.0
1999-11-30,27.06,27.38,27.0,27.38,19.4307157565,756600,0.0,1.0
1999-12-01,27.25,27.44,27.0,27.19,19.2958787954,1386800,0.0,1.0
1999-12-02,27.19,27.44,27.0,27.19,19.2958787954,461600,0.0,1.0
1999-12-03,27.06,27.25,26.75,26.94,19.1184617414,1129900,0.0,1.0
1999-12-06,26.5,26.56,25.81,26.5,18.8062077263,943500,0.0,1.0
1999-12-07,25.75,27.19,25.75,26.88,19.0758816484,1094400,0.0,1.0
1999-12-08,26.63,26.81,25.94,26.56,18.8487878193,1146900,0.0,1.0
1999-12-09,26.0,26.38,25.88,26.06,18.4939537112,855400,0.0,1.0
1999-12-10,26.0,26.44,25.69,26.13,18.6092747964,1181600,0.0925,1.0
1999-12-13,25.88,26.44,25.88,26.0,18.5166913397,1342600,0.0,1.0
