dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,34.88,34.88,33.69,34.25,6.83968236371,384600,0.0,1.0
1999-11-02,34.25,34.44,33.38,33.38,6.66594444673,372200,0.0,1.0
1999-11-03,33.0,33.0,31.63,32.13,6.4163210028,639700,0.0,1.0
1999-11-04,32.13,33.38,32.13,32.81,6.5521161563,358400,0.0,1.0
1999-11-05,33.38,34.06,32.94,33.13,6.61601975794,309000,0.0,1.0
1999-11-08,33.31,33.31,31.44,31.63,6.31647162523,399000,0.0,1.0
1999-11-09,31.75,32.38,31.75,32.0,6.39036016463,390300,0.0,1.0
1999-11-10,31.25,31.44,30.94,30.94,6.17867948418,190000,0.0,1.0
1999-11-11,31.13,31.19,30.5,30.81,6.15271864601,158000,0.0,1.0
1999-11-12,30.81,33.25,30.38,33.0,6.59005891977,374600,0.0,1.0
1999-11-15,32.88,32.88,32.25,32.63,6.51617038037,184600,0.0,1.0
1999-11-16,32.75,34.38,32.75,33.69,6.72785106082,413300,0.0,1.0
1999-11-17,33.25,33.38,32.5,32.88,6.56609506916,308700,0.0,1.0
1999-11-18,32.13,33.0,32.06,32.81,6.5521161563,188700,0.0,1.0
1999-11-19,32.88,33.63,32.63,33.63,6.71586913552,409600,0.0,1.0
1999-11-22,33.19,33.63,32.94,33.44,6.67792637204,467800,0.0,1.0
1999-11-23,33.56,34.19,32.31,32.94,6.57807699447,947100,0.0,1.0
1999-11-24,32.88,34.0,32.75,33.75,6.73983298613,1302400,0.0,1.0
1999-11-26,33.5,33.5,32.56,32.75,6.54013423099,226900,0.0,1.0
1999-11-29,32.0,32.38,31.06,31.56,6.30249271237,396100,0.0,1.0
1999-11-30,31.5,32.44,31.31,31.44,6.27852886175,720000,0.0,1.0
1999-12-01,31.13,31.75,31.06,31.56,6.30249271237,360900,0.0,1.0
1999-12-02,31.31,31.94,30.88,30.88,6.16669755887,261300,0.0,1.0
1999-12-03,31.13,32.56,31.13,32.0,6.39036016463,364400,0.0,1.0
1999-12-06,31.75,31.75,30.94,31.06,6.20264333479,307500,0.0,1.0
1999-12-07,30.81,31.56,30.5,31.5,6.29051078706,346900,0.0,1.0
1999-12-08,31.56,32.13,30.56,30.69,6.12875479539,360400,0.0,1.0
1999-12-09,30.69,31.5,30.69,31.19,6.22860417296,241200,0.0,1.0
1999-12-10,31.19,32.19,31.19,31.5,6.29051078706,354100,0.0,1.0
1999-12-13,32.38,32.38,30.25,30.31,6.05286926844,1511400,0.0,1.0
1999-12-14,30.13,30.75,30.13,30.63,6.11677287008,704600,0.0,1.0
1999-12-15,30.5,31.31,30.44,30.81,6.15271864601,834400,0.0,1.0
1999-12-16,30.88,30.88,30.13,30.44,6.0788301066,592900,0.0,1.0
