dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2017-07-05,40.8,40.82,37.25,37.25,32.4461500904,5883326,17.5,1.0
2017-07-06,38.09,38.09,36.52,37.01,32.2371010697,5088097,0.0,1.0
2017-07-07,38.14,38.59,36.12,37.91,33.0210348974,6014535,0.0,1.0
2017-07-10,37.63,38.17,36.8,37.23,32.4287293387,4721508,0.0,1.0
2017-07-11,37.31,37.78,36.89,37.35,32.533253849,2791176,0.0,1.0
2017-07-12,37.77,37.99,37.25,37.37,32.5506746008,3260591,0.0,1.0
2017-07-13,37.45,37.65,36.69,36.84,32.08902468,3860643,0.0,1.0
2017-07-14,37.0,37.495,36.91,37.35,32.533253849,2872910,0.0,1.0
2017-07-17,37.71,38.37,37.64,37.64,32.7858547491,3917588,0.0,1.0
2017-07-18,37.52,37.78,36.73,36.75,32.0106312972,3198593,0.0,1.0
2017-07-19,36.59,37.09,36.36,36.54,31.8277134041,4230853,0.0,1.0
2017-07-20,36.59,36.9,34.86,34.97,30.4601843936,6397004,0.0,1.0
2017-07-21,34.73,34.88,33.44,34.12,29.7198024452,7737292,0.0,1.0
2017-07-24,34.26,34.46,33.88,34.36,29.9288514659,2850884,0.0,1.0
2017-07-25,34.81,35.28,34.77,35.25,30.7040749178,2871897,0.0,1.0
2017-07-26,35.58,36.18,35.22,36.05,31.4009049868,3826003,0.0,1.0
2017-07-27,35.97,37.04,35.7,36.16,31.4967191213,4593651,0.0,1.0
2017-07-28,34.85,37.5,34.2257,37.1,32.3154944524,4261445,0.0,1.0
2017-07-31,37.14,37.17,36.43,36.89,32.1325765593,3318805,0.0,1.0
2017-08-01,36.82,36.83,35.41,35.7,31.0960418316,2955189,0.0,1.0
2017-08-02,35.36,35.55,35.035,35.35,30.7911786764,3405697,0.0,1.0
2017-08-03,35.26,35.51,35.07,35.31,30.7563371729,3181029,0.0,1.0
2017-08-04,35.42,35.54,35.06,35.23,30.686654166,3110626,0.0,1.0
2017-08-07,35.1,35.27,34.4,34.56,30.1030589832,2054097,0.0,1.0
2017-08-08,34.75,35.47,34.6442,34.94,30.434053266,2155678,0.0,1.0
2017-08-09,34.79,35.29,34.76,35.02,30.6518126626,2252626,0.17,1.0
2017-08-10,35.01,35.29,34.57,34.7,30.3717275669,1971691,0.0,1.0
2017-08-11,34.51,34.89,34.28,34.29,30.012868538,1185973,0.0,1.0
2017-08-14,34.51,34.54,34.135,34.26,29.9866105602,1927835,0.0,1.0
2017-08-15,34.03,34.42,34.03,34.31,30.0303738565,2153221,0.0,1.0
2017-08-16,34.37,34.51,33.76,33.83,29.6102462129,1367515,0.0,1.0
2017-08-17,33.79,34.09,32.75,32.8,28.708722311,2200268,0.0,1.0
2017-08-18,32.74,33.13,32.4301,32.77,28.6824643333,3179783,0.0,1.0
2017-08-21,32.77,32.99,32.46,32.54,28.4811531708,2340815,0.0,1.0
2017-08-22,32.62,32.945,32.43,32.69,28.6124430594,1872479,0.0,1.0
2017-08-23,32.51,33.24,32.51,33.04,28.9187861328,1565407,0.0,1.0
2017-08-24,33.09,33.09,32.54,32.82,28.7262276295,1781949,0.0,1.0
2017-08-25,32.88,33.41,32.8701,33.26,29.1113446361,2035870,0.0,1.0
2017-08-28,33.27,33.4,32.82,33.25,29.1025919769,2510523,0.0,1.0
2017-08-29,33.1,33.81,33.1,33.75,29.5402249389,2192874,0.0,1.0
2017-08-30,33.6,33.73,33.2376,33.51,29.3301611172,1637279,0.0,1.0
2017-08-31,33.99,34.35,33.46,33.9,29.6715148276,3592925,0.0,1.0
2017-09-01,33.97,34.44,33.73,34.3,30.0216211972,1723282,0.0,1.0
2017-09-05,34.83,35.45,34.49,34.97,30.6080493664,4386834,0.0,1.0
2017-09-06,35.39,35.74,34.72,34.74,30.4067382038,3285802,0.0,1.0
2017-09-07,34.77,35.25,34.29,34.75,30.4154908631,2064761,0.0,1.0
2017-09-08,34.77,34.98,34.06,34.42,30.1266531081,3018954,0.0,1.0
2017-09-11,34.52,35.6,34.37,35.48,31.0544349877,2825224,0.0,1.0
2017-09-12,35.38,36.4,35.24,35.96,31.4745626312,3537032,0.0,1.0
2017-09-13,35.94,36.73,35.9,36.09,31.5883472014,4296996,0.0,1.0
2017-09-14,36.35,37.14,36.2,36.38,31.8421743194,4785692,0.0,1.0
2017-09-15,36.37,36.91,36.37,36.9,32.2973125999,7621328,0.0,1.0
2017-09-18,36.91,37.49,36.78,37.36,32.699934925,3251876,0.0,1.0
2017-09-19,37.31,37.45,37.06,37.39,32.7261929027,2958567,0.0,1.0
2017-09-20,37.55,37.68,37.24,37.5,32.8224721544,2138025,0.0,1.0
2017-09-21,37.17,37.26,36.365,36.58,32.0172275042,2565040,0.0,1.0
2017-09-22,36.53,36.74,36.28,36.67,32.0960014374,3587582,0.0,1.0
2017-09-25,36.85,38.1,36.63,37.52,32.8399774729,4722920,0.0,1.0
2017-09-26,37.34,37.34,36.6597,37.04,32.4198498293,2621187,0.0,1.0
2017-09-27,37.1,37.2,36.69,36.93,32.3235705776,1991726,0.0,1.0
2017-09-28,37.12,37.24,36.56,37.03,32.41109717,2119848,0.0,1.0
2017-09-29,36.8,37.05,36.32,36.62,32.0522381412,3244297,0.0,1.0
2017-10-02,35.96,36.91,35.92,36.86,32.262301963,1906955,0.0,1.0
2017-10-03,36.84,37.1,36.39,36.67,32.0960014374,2465816,0.0,1.0
2017-10-04,36.75,37.09,36.53,36.71,32.1310120743,1970215,0.0,1.0
2017-10-05,36.84,36.92,36.46,36.48,31.9297009118,1901599,0.0,1.0
2017-10-06,36.16,36.71,36.04,36.53,31.973464208,1826297,0.0,1.0
2017-10-09,36.59,36.67,35.8,35.84,31.3695307204,3157903,0.0,1.0
2017-10-10,36.06,36.23,34.92,34.97,30.6080493664,4200133,0.0,1.0
2017-10-11,34.81,34.9,34.23,34.39,30.1003951304,4178147,0.0,1.0
2017-10-12,34.14,34.3,33.78,33.92,29.689020146,4645410,0.0,1.0
2017-10-13,34.26,34.6,33.71,33.73,29.5227196205,2853566,0.0,1.0
2017-10-16,34.04,34.225,33.641,33.7,29.4964616427,2891032,0.0,1.0
2017-10-17,33.64,34.07,33.3,33.79,29.5752355759,4621612,0.0,1.0
2017-10-18,33.84,34.26,33.75,33.8,29.5839882352,2626085,0.0,1.0
2017-10-19,33.55,33.89,33.05,33.15,29.0150653845,4573949,0.0,1.0
2017-10-20,32.01,33.43,31.44,33.26,29.1113446361,7142298,0.0,1.0
2017-10-23,33.1,33.26,31.4,31.47,27.544618632,5762277,0.0,1.0
2017-10-24,31.56,31.66,30.63,30.69,26.8619112111,4114200,0.0,1.0
2017-10-25,30.7,30.86,30.0,30.05,26.3017410197,4168498,0.0,1.0
2017-10-26,30.12,30.34,29.73,29.94,26.2054617681,2594872,0.0,1.0
2017-10-27,29.79,31.31,29.62,31.3,27.3958234249,4619981,0.0,1.0
2017-10-30,31.18,31.77,31.09,31.5,27.5708766097,4545491,0.0,1.0
2017-10-31,31.29,31.53,31.0504,31.43,27.509607995,3136367,0.0,1.0
2017-11-01,31.75,32.34,31.56,31.85,27.8772196831,3125507,0.0,1.0
2017-11-02,31.79,32.17,31.095,31.28,27.3783181064,3894079,0.0,1.0
2017-11-03,30.91,31.46,30.8511,31.18,27.4483393803,4534328,0.18,1.0
2017-11-06,31.55,33.98,31.54,33.92,29.8604128217,8114101,0.0,1.0
2017-11-07,34.04,34.08,33.31,33.4,29.4026470591,4435277,0.0,1.0
2017-11-08,33.24,33.72,32.79,32.84,28.9096685455,3206453,0.0,1.0
2017-11-09,32.69,32.95,32.19,32.74,28.8216366681,3857358,0.0,1.0
2017-11-10,32.65,33.14,32.4,32.95,29.0065036107,2400842,0.0,1.0
2017-11-13,32.74,32.79,31.84,31.88,28.0645625223,3664950,0.0,1.0
2017-11-14,31.46,31.75,29.95,30.51,26.8585258016,6303303,0.0,1.0
2017-11-15,29.85,30.83,29.62,30.6,26.9377544913,4624683,0.0,1.0
2017-11-16,30.61,31.15,30.11,30.15,26.5416110429,3926933,0.0,1.0
2017-11-17,30.2,31.02,30.16,30.91,27.2106533113,2689424,0.0,1.0
2017-11-20,30.92,30.92,30.31,30.44,26.7969034874,3925683,0.0,1.0
