dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,40.5,40.5,40.06,40.13,2.03914831176,81400,0.0,1.0
1999-11-04,40.19,40.38,39.06,39.44,2.0040869528,102600,0.0,1.0
1999-11-05,39.63,39.81,39.19,39.56,2.01018458044,148100,0.0,1.0
1999-11-08,39.31,40.06,39.25,39.81,2.02288797137,72300,0.0,1.0
1999-11-09,39.81,39.81,37.88,38.38,1.95022457526,275000,0.0,1.0
1999-11-10,38.38,40.31,37.75,39.75,2.01983915755,147500,0.0,1.0
1999-11-11,39.5,40.75,39.44,40.44,2.05490051651,153800,0.0,1.0
1999-11-12,40.44,40.81,38.25,39.13,1.98833474805,139300,0.0,1.0
1999-11-15,39.0,39.88,39.0,39.5,2.00713576662,204000,0.0,1.0
1999-11-16,39.69,39.88,39.38,39.44,2.0040869528,173600,0.0,1.0
1999-11-17,39.38,39.56,38.88,39.5,2.00713576662,95800,0.0,1.0
1999-11-18,39.38,40.56,38.94,39.31,1.99748118952,88400,0.0,1.0
1999-11-19,38.81,39.44,38.06,38.88,1.97563135712,169100,0.0,1.0
1999-11-22,39.13,39.31,38.06,38.13,1.93752118434,65200,0.0,1.0
1999-11-23,38.25,39.0,37.81,39.0,1.98172898477,169800,0.0,1.0
1999-11-24,38.63,38.63,37.88,38.19,1.94056999816,65600,0.0,1.0
1999-11-26,38.44,38.44,37.75,37.75,1.91821203013,19600,0.0,1.0
1999-11-29,37.81,38.31,37.44,37.44,1.91008185993,176100,0.15,1.0
1999-11-30,37.19,37.69,36.31,37.19,1.89732757401,159000,0.0,1.0
1999-12-01,36.94,38.0,36.25,37.75,1.92589717448,233900,0.0,1.0
1999-12-02,38.0,38.69,37.69,38.5,1.96416003225,134600,0.0,1.0
1999-12-03,38.75,39.44,38.75,39.19,1.9993618614,87300,0.0,1.0
1999-12-06,39.0,39.75,38.75,39.44,2.01211614732,112900,0.0,1.0
1999-12-07,39.19,39.94,38.81,39.38,2.0090551187,81100,0.0,1.0
1999-12-08,39.13,39.31,38.44,38.56,1.96722106087,43100,0.0,1.0
1999-12-09,38.44,38.63,37.19,37.44,1.91008185993,59800,0.0,1.0
1999-12-10,37.69,38.25,37.31,38.13,1.94528368908,79800,0.0,1.0
1999-12-13,37.94,38.63,36.19,36.38,1.85600368762,173900,0.0,1.0
1999-12-14,36.13,36.41,35.69,35.81,1.82692391571,262200,0.0,1.0
1999-12-15,36.0,37.69,36.0,37.25,1.90038860263,66600,0.0,1.0
1999-12-16,37.06,37.06,36.44,36.63,1.86875797354,73300,0.0,1.0
1999-12-17,36.75,37.0,36.25,36.38,1.85600368762,124700,0.0,1.0
1999-12-20,36.38,36.38,35.38,36.0,1.83661717301,138900,0.0,1.0
1999-12-21,36.0,36.63,35.94,36.38,1.85600368762,99100,0.0,1.0
1999-12-22,36.5,37.19,36.31,36.5,1.86212574486,66900,0.0,1.0
1999-12-23,36.56,37.94,36.56,37.69,1.92283614586,112700,0.0,1.0
1999-12-27,37.63,37.63,36.88,37.13,1.89426654539,58000,0.0,1.0
1999-12-28,37.0,39.13,36.94,38.63,1.97079226093,83700,0.0,1.0
1999-12-29,38.25,39.38,37.44,38.25,1.95140574632,99000,0.0,1.0
1999-12-30,38.13,38.31,37.38,37.81,1.9289582031,59800,0.0,1.0
1999-12-31,38.06,39.44,38.0,39.38,2.0090551187,58300,0.0,1.0
2000-01-03,39.25,40.06,38.94,39.81,2.03099249049,204600,0.0,1.0
2000-01-04,39.56,40.31,38.44,38.5,1.96416003225,152900,0.0,1.0
2000-01-05,38.38,39.63,38.38,39.31,2.00548391864,72800,0.0,1.0
2000-01-06,39.31,40.5,39.31,39.81,2.03099249049,67100,0.0,1.0
2000-01-07,39.94,40.38,38.38,38.69,1.97385328955,125800,0.0,1.0
2000-01-10,42.19,42.19,39.75,39.94,2.03762471917,473900,0.0,1.0
2000-01-11,40.0,40.94,39.81,40.69,2.07588757694,309700,0.0,1.0
2000-01-12,40.69,40.75,38.94,38.94,1.98660757547,169600,0.0,1.0
2000-01-13,39.63,41.75,39.5,39.81,2.03099249049,276200,0.0,1.0
2000-01-14,41.75,42.44,41.44,42.06,2.1457810638,195900,0.0,1.0
2000-01-18,42.31,43.25,41.94,42.38,2.16210654978,177400,0.0,1.0
2000-01-19,42.63,42.63,41.38,41.69,2.12690472063,255900,0.0,1.0
2000-01-20,41.94,42.31,41.56,41.94,2.13965900656,211400,0.0,1.0
2000-01-21,42.63,42.88,41.0,41.0,2.09170289149,268100,0.0,1.0
2000-01-24,41.25,41.31,39.0,39.38,2.0090551187,165900,0.0,1.0
2000-01-25,39.25,39.38,37.5,37.5,1.91314288855,200400,0.0,1.0
2000-01-26,37.0,38.44,37.0,38.0,1.9386514604,180300,0.0,1.0
2000-01-27,38.06,38.19,37.19,37.44,1.91008185993,230000,0.0,1.0
2000-01-28,37.5,37.5,36.0,36.0,1.83661717301,153700,0.0,1.0
2000-01-31,36.06,36.81,35.31,36.38,1.85600368762,139600,0.0,1.0
2000-02-01,36.13,36.56,35.5,35.94,1.83355614439,65700,0.0,1.0
2000-02-02,36.13,36.19,35.0,35.31,1.80141534386,112600,0.0,1.0
2000-02-03,36.13,36.25,35.06,35.44,1.80804757254,114500,0.0,1.0
2000-02-04,35.31,35.31,34.5,34.75,1.77284574339,133700,0.0,1.0
2000-02-07,34.94,35.0,33.94,34.0,1.73458288562,110400,0.0,1.0
2000-02-08,34.13,34.31,32.94,32.94,1.68050471331,87600,0.0,1.0
2000-02-09,33.0,33.75,32.38,33.13,1.69019797061,206900,0.0,1.0
2000-02-10,33.13,33.13,32.31,32.56,1.6611181987,84500,0.0,1.0
2000-02-11,32.56,32.75,31.69,32.31,1.64836391278,103700,0.0,1.0
2000-02-14,32.31,32.81,32.19,32.56,1.6611181987,87800,0.0,1.0
2000-02-15,32.31,32.88,32.06,32.06,1.63560962685,173500,0.0,1.0
2000-02-16,32.5,32.56,31.19,31.63,1.61367225507,126500,0.0,1.0
2000-02-17,31.75,32.06,31.56,31.75,1.61979431231,52600,0.0,1.0
2000-02-18,31.31,31.56,29.31,29.63,1.51163796768,181600,0.0,1.0
2000-02-22,30.38,30.44,29.75,30.25,1.54326859677,85000,0.0,1.0
2000-02-23,30.06,30.75,29.94,29.94,1.52745328222,117800,0.0,1.0
2000-02-24,29.94,29.94,28.38,28.69,1.4636818526,120500,0.0,1.0
2000-02-25,28.94,29.0,28.13,28.25,1.44123430938,56000,0.0,1.0
2000-02-28,28.31,28.38,27.63,28.13,1.44276482369,68600,0.15,1.0
2000-02-29,28.13,28.25,26.81,26.81,1.37506309716,117300,0.0,1.0
2000-03-01,27.25,27.31,26.31,26.88,1.37865334023,183300,0.0,1.0
2000-03-02,26.94,26.94,26.0,26.5,1.35916344926,148400,0.0,1.0
2000-03-03,26.44,28.5,26.38,26.75,1.37198574595,164200,0.0,1.0
2000-03-06,26.75,27.63,26.75,27.06,1.38788539385,138800,0.0,1.0
2000-03-07,27.25,28.0,26.31,26.81,1.37506309716,191600,0.0,1.0
2000-03-08,27.06,29.38,27.06,28.25,1.4489195261,317100,0.0,1.0
2000-03-09,28.75,29.38,28.5,28.88,1.48123171376,143200,0.0,1.0
2000-03-10,28.63,29.0,28.19,28.44,1.45866447159,118600,0.0,1.0
2000-03-13,28.44,28.94,28.0,28.81,1.47764147069,135200,0.0,1.0
2000-03-14,29.0,29.69,28.69,29.31,1.50328606407,120100,0.0,1.0
2000-03-15,29.5,31.44,29.38,31.0,1.5899647897,208300,0.0,1.0
2000-03-16,31.44,33.88,31.19,33.75,1.73101005331,283700,0.0,1.0
2000-03-17,33.75,33.75,32.5,32.56,1.66997592106,173800,0.0,1.0
2000-03-20,31.63,33.38,31.5,31.56,1.61868673429,246400,0.0,1.0
2000-03-21,31.5,32.19,30.81,31.94,1.63817662526,190600,0.0,1.0
2000-03-22,32.13,32.19,31.0,31.63,1.62227697736,216500,0.0,1.0
2000-03-23,31.38,32.81,31.25,32.38,1.66074386744,132000,0.0,1.0
2000-03-24,32.38,32.38,31.75,32.0,1.64125397647,136500,0.0,1.0
2000-03-27,32.0,32.31,31.88,31.94,1.63817662526,142500,0.0,1.0
2000-03-28,31.94,32.38,31.94,31.94,1.63817662526,128400,0.0,1.0
2000-03-29,31.94,32.44,31.38,31.69,1.62535432857,103500,0.0,1.0
2000-03-30,31.88,32.94,31.88,32.63,1.67356616413,92800,0.0,1.0
2000-03-31,32.38,34.69,32.06,34.56,1.77255429458,185600,0.0,1.0
2000-04-03,34.38,35.81,34.38,35.38,1.81461142773,275500,0.0,1.0
2000-04-04,35.25,35.25,33.5,34.69,1.77922188886,182100,0.0,1.0
2000-04-05,34.25,35.75,34.13,35.5,1.82076613014,199500,0.0,1.0
2000-04-06,36.0,36.94,35.81,36.5,1.87205531691,384200,0.0,1.0
2000-04-07,37.13,37.13,35.88,36.0,1.84641072353,202700,0.0,1.0
2000-04-10,35.75,36.44,35.56,36.25,1.85923302022,97900,0.0,1.0
2000-04-11,36.25,36.63,36.25,36.5,1.87205531691,112800,0.0,1.0
2000-04-12,36.5,37.63,36.38,36.69,1.88180026239,129700,0.0,1.0
2000-04-13,36.5,37.06,36.5,37.0,1.89769991029,97400,0.0,1.0
2000-04-14,36.88,36.88,35.5,35.81,1.83666577804,192100,0.0,1.0
2000-04-17,35.56,35.63,33.25,34.25,1.75665464669,247700,0.0,1.0
2000-04-18,34.06,34.06,32.69,33.06,1.69562051444,144400,0.0,1.0
2000-04-19,33.06,35.5,33.0,33.63,1.72485535089,121800,0.0,1.0
2000-04-20,33.81,34.0,32.38,32.94,1.68946581203,134100,0.0,1.0
2000-04-24,32.94,32.94,31.5,32.25,1.65407627316,134900,0.0,1.0
2000-04-25,34.0,34.0,32.0,33.06,1.69562051444,137300,0.0,1.0
2000-04-26,33.31,33.31,32.19,32.63,1.67356616413,137300,0.0,1.0
2000-04-27,32.38,33.0,31.38,31.94,1.63817662526,116900,0.0,1.0
2000-04-28,32.25,32.25,31.25,31.5,1.61560938308,110100,0.0,1.0
2000-05-01,30.88,31.63,30.19,30.31,1.55457525083,253600,0.0,1.0
2000-05-02,30.25,31.5,30.06,30.63,1.5709877906,200900,0.0,1.0
2000-05-03,30.88,31.63,30.5,30.69,1.57406514181,137500,0.0,1.0
2000-05-04,30.56,31.44,30.56,30.81,1.58021984422,129900,0.0,1.0
2000-05-05,30.81,31.75,30.75,31.56,1.61868673429,110500,0.0,1.0
2000-05-08,31.44,31.94,31.13,31.31,1.6058644376,74800,0.0,1.0
2000-05-09,31.31,32.0,31.31,31.88,1.63509927406,58800,0.0,1.0
2000-05-10,31.88,32.38,31.88,32.06,1.64433132767,110400,0.0,1.0
2000-05-11,31.94,33.38,31.94,33.06,1.69562051444,133500,0.0,1.0
2000-05-12,33.25,33.88,32.56,33.38,1.7120330542,124300,0.0,1.0
2000-05-15,33.56,33.88,33.44,33.81,1.73408740451,123300,0.0,1.0
2000-05-16,32.75,33.94,32.63,33.94,1.74075499879,131300,0.0,1.0
2000-05-17,33.69,34.38,33.19,33.88,1.73767764758,79800,0.0,1.0
2000-05-18,33.88,33.88,32.44,32.75,1.67972086654,236600,0.0,1.0
2000-05-19,32.5,32.5,31.88,31.94,1.63817662526,104800,0.0,1.0
2000-05-22,32.19,32.63,31.31,31.63,1.62227697736,134800,0.0,1.0
2000-05-23,31.63,31.63,29.81,30.06,1.54175295414,147100,0.0,1.0
2000-05-24,30.19,30.63,30.06,30.06,1.54175295414,150500,0.0,1.0
2000-05-25,30.13,30.5,29.69,30.13,1.54534319722,74100,0.0,1.0
2000-05-26,30.0,30.25,29.81,30.13,1.54534319722,96800,0.0,1.0
2000-05-30,29.94,30.19,29.25,29.94,1.54329162975,138100,0.15,1.0
2000-05-31,29.94,29.94,29.75,29.75,1.53349786189,69300,0.0,1.0
2000-06-01,29.63,30.63,29.56,30.44,1.56906470306,111400,0.0,1.0
2000-06-02,30.56,31.19,30.56,30.81,1.5881367773,156300,0.0,1.0
2000-06-05,30.94,31.25,30.31,31.0,1.59793054516,154300,0.0,1.0
2000-06-06,31.0,31.56,30.5,31.25,1.61081708182,126500,0.0,1.0
2000-06-07,31.25,31.25,30.5,30.75,1.58504400851,106500,0.0,1.0
2000-06-08,30.63,30.94,30.44,30.63,1.57885847091,72100,0.0,1.0
2000-06-09,30.75,31.63,30.69,30.88,1.59174500757,144500,0.0,1.0
2000-06-12,30.94,31.44,30.88,31.13,1.60463154422,127700,0.0,1.0
2000-06-13,31.06,31.38,31.06,31.19,1.60772431302,139200,0.0,1.0
2000-06-14,31.19,32.0,31.19,31.69,1.63349738633,70600,0.0,1.0
2000-06-15,31.75,31.75,31.13,31.38,1.61751808088,72300,0.0,1.0
2000-06-16,31.38,31.94,31.31,31.65,1.63143554046,76400,0.0,1.0
2000-06-19,31.75,31.75,31.06,31.06,1.60102331396,129200,0.0,1.0
2000-06-20,31.06,31.5,31.06,31.44,1.62061084967,71600,0.0,1.0
2000-06-21,31.31,31.44,31.0,31.13,1.60463154422,79900,0.0,1.0
2000-06-22,31.38,31.81,30.88,31.81,1.63968292392,128600,0.0,1.0
2000-06-23,31.56,32.56,31.5,32.06,1.65256946058,90400,0.0,1.0
2000-06-26,32.06,32.94,31.56,31.56,1.62679638727,144200,0.0,1.0
2000-06-27,31.13,31.5,30.44,31.25,1.61081708182,326400,0.0,1.0
2000-06-28,31.5,33.13,31.0,32.59,1.67988891828,192000,0.0,1.0
2000-06-29,32.38,36.19,32.38,35.31,1.82009443709,342000,0.0,1.0
2000-06-30,35.31,35.31,31.31,32.17,1.65823953671,719500,0.0,1.0
2000-07-03,32.44,33.0,32.13,33.0,1.7010228384,100000,0.0,1.0
2000-07-05,33.25,33.5,32.56,32.69,1.68504353295,90700,0.0,1.0
2000-07-06,32.69,32.75,31.75,32.38,1.66906422749,327700,0.0,1.0
2000-07-07,32.44,32.44,31.94,32.06,1.65256946058,167300,0.0,1.0
2000-07-10,31.94,33.5,31.88,33.19,1.71081660626,69600,0.0,1.0
2000-07-11,34.63,34.63,33.88,34.19,1.76236275287,178300,0.0,1.0
2000-07-12,34.06,34.06,33.44,33.81,1.74277521716,140900,0.0,1.0
2000-07-13,33.5,35.13,33.5,34.88,1.79792959404,94100,0.0,1.0
2000-07-14,34.75,35.38,34.75,35.06,1.80720790043,76800,0.0,1.0
2000-07-17,35.13,35.13,34.38,34.81,1.79432136378,79900,0.0,1.0
2000-07-18,34.69,35.38,34.56,34.63,1.78504305739,84700,0.0,1.0
2000-07-19,34.63,35.63,34.56,35.44,1.82679543615,174600,0.0,1.0
2000-07-20,35.56,36.06,35.44,35.81,1.84586751039,130900,0.0,1.0
2000-07-21,35.69,35.75,35.25,35.31,1.82009443709,82900,0.0,1.0
2000-07-24,35.38,35.38,34.75,35.19,1.81390889949,92000,0.0,1.0
2000-07-25,35.31,35.94,35.31,35.5,1.82988820494,222800,0.0,1.0
2000-07-26,34.63,35.69,34.63,35.19,1.81390889949,184100,0.0,1.0
2000-07-27,35.25,35.88,34.94,35.63,1.836589204,82700,0.0,1.0
2000-07-28,35.63,35.63,34.31,34.63,1.78504305739,77800,0.0,1.0
2000-07-31,34.75,36.38,34.38,34.69,1.78813582618,107800,0.0,1.0
2000-08-01,34.5,35.25,33.5,34.13,1.75926998408,183700,0.0,1.0
2000-08-02,34.19,35.13,34.19,34.38,1.77215652073,100200,0.0,1.0
2000-08-03,33.63,34.13,33.63,33.81,1.74277521716,163800,0.0,1.0
2000-08-04,33.94,34.38,33.81,34.31,1.76854829047,82600,0.0,1.0
2000-08-07,34.25,34.25,33.88,33.94,1.74947621622,137400,0.0,1.0
2000-08-08,33.5,34.63,33.5,34.5,1.77834205833,58600,0.0,1.0
2000-08-09,34.5,34.5,33.81,33.81,1.74277521716,90100,0.0,1.0
2000-08-10,33.81,34.25,33.69,33.81,1.74277521716,58000,0.0,1.0
2000-08-11,33.44,34.63,33.44,34.19,1.76236275287,88200,0.0,1.0
2000-08-14,34.19,34.69,34.06,34.56,1.78143482712,195700,0.0,1.0
2000-08-15,34.56,35.13,34.38,34.38,1.77215652073,94600,0.0,1.0
2000-08-16,34.38,34.44,34.38,34.44,1.77524928953,62400,0.0,1.0
2000-08-17,34.44,34.44,33.63,34.13,1.75926998408,105600,0.0,1.0
