dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,78.25,78.25,76.75,77.25,34.7749822388,2752500,0.0,1.0
1999-11-02,78.25,78.25,74.75,74.75,33.6495782829,3148300,0.0,1.0
1999-11-03,75.38,76.5,75.06,76.13,34.2708012666,4209200,0.0,1.0
1999-11-04,76.88,77.06,75.0,76.25,34.3248206565,4286200,0.0,1.0
1999-11-05,77.38,77.56,75.63,76.13,34.2708012666,3506100,0.0,1.0
1999-11-08,76.88,77.5,76.31,76.94,34.6354321483,2590600,0.0,1.0
1999-11-09,78.75,78.75,75.19,75.63,34.0457204754,5565000,0.0,1.0
1999-11-10,75.25,77.5,75.06,76.94,34.6354321483,3515400,0.0,1.0
1999-11-11,77.25,77.81,76.69,77.0,34.6624418432,2377500,0.0,1.0
1999-11-12,77.25,77.31,76.0,77.13,34.7209628489,1842000,0.0,1.0
1999-11-15,77.0,77.25,76.25,76.5,34.437361052,2631800,0.0,1.0
1999-11-16,76.5,77.81,76.5,77.63,34.9460436401,2963500,0.0,1.0
1999-11-17,77.0,77.56,75.56,75.88,34.158260871,3324800,0.0,1.0
1999-11-18,76.0,76.5,74.56,75.13,33.8206396842,2962300,0.0,1.0
1999-11-19,75.0,76.25,74.44,76.0,34.2122802609,3319100,0.0,1.0
1999-11-22,76.25,76.38,74.69,75.5,33.9871994697,2527600,0.0,1.0
1999-11-23,75.63,75.88,73.88,74.25,33.4244974917,2399000,0.0,1.0
1999-11-24,74.5,75.69,74.31,74.88,33.7080992886,1554900,0.0,1.0
1999-11-26,75.75,75.88,75.19,75.19,33.8476493791,898500,0.0,1.0
1999-11-29,75.06,75.06,73.5,74.56,33.5640475822,2932700,0.0,1.0
1999-11-30,74.0,74.19,72.69,73.0,32.8617955137,2988700,0.0,1.0
1999-12-01,72.63,73.06,71.56,72.13,32.470154937,3304900,0.0,1.0
1999-12-02,72.31,72.31,71.25,71.76,32.3035951516,2808700,0.0,1.0
1999-12-03,72.0,74.56,72.0,73.0,32.8617955137,3134000,0.0,1.0
1999-12-06,71.0,71.19,69.25,70.18,31.5923398514,4850000,0.0,1.0
1999-12-07,68.94,68.94,66.69,66.69,30.0212759289,6203300,0.0,1.0
1999-12-08,68.13,68.25,66.19,67.61,30.4354245847,4646300,0.0,1.0
1999-12-09,67.88,67.88,66.44,66.56,29.9627549232,3711700,0.0,1.0
1999-12-10,67.88,68.94,66.94,68.25,30.7235279974,3376300,0.0,1.0
1999-12-13,67.88,67.94,66.38,66.56,29.9627549232,4292900,0.0,1.0
1999-12-14,66.31,67.5,66.0,66.06,29.737674132,4593700,0.0,1.0
1999-12-15,66.06,68.69,65.81,67.5,30.3859068106,5513500,0.0,1.0
1999-12-16,65.75,66.13,63.31,64.56,29.0624317584,6335600,0.0,1.0
1999-12-17,63.63,63.94,62.0,62.13,27.9685391133,7900200,0.0,1.0
1999-12-20,62.19,62.88,59.94,61.41,27.6444227739,4945900,0.0,1.0
1999-12-21,60.31,61.63,59.94,60.13,27.0682159485,5337000,0.0,1.0
1999-12-22,60.63,64.38,60.63,63.19,28.4457103906,3912600,0.0,1.0
1999-12-23,64.88,68.0,64.69,66.69,30.0212759289,4994700,0.0,1.0
1999-12-27,66.0,68.0,65.63,68.0,30.6109876018,3504900,0.0,1.0
1999-12-28,68.0,68.0,66.19,67.25,30.273366415,2856200,0.0,1.0
1999-12-29,66.5,66.63,64.63,65.5,29.4855836459,1953100,0.0,1.0
1999-12-30,64.75,65.75,64.5,65.25,29.3730432503,2202700,0.0,1.0
1999-12-31,65.44,65.44,64.19,64.19,28.895871973,1181000,0.0,1.0
2000-01-03,64.25,64.88,63.63,64.44,29.0084123685,3568500,0.0,1.0
2000-01-04,60.88,61.06,58.94,59.56,26.8116238465,10592000,0.0,1.0
2000-01-05,60.0,60.25,58.5,58.94,26.6428132531,7222700,0.245,1.0
2000-01-06,59.0,60.06,58.25,59.75,27.0089598214,7321900,0.0,1.0
2000-01-07,61.5,69.5,61.25,68.5,30.9642468246,10913500,0.0,1.0
2000-01-10,68.63,68.63,66.75,67.75,30.6252222243,7113400,0.0,1.0
2000-01-11,67.75,68.0,66.5,66.81,30.200311392,5687500,0.0,1.0
2000-01-12,66.81,67.63,66.56,66.63,30.1189454879,3727900,0.0,1.0
2000-01-13,67.25,67.31,65.06,65.38,29.5539044875,4402000,0.0,1.0
