dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,39.44,39.94,39.25,39.88,3.95193917097,76300,0.0,1.0
1999-11-02,40.25,40.94,40.13,40.31,3.9945503506,132000,0.0,1.0
1999-11-03,40.69,40.69,40.25,40.44,4.00743280025,114900,0.0,1.0
1999-11-04,40.44,40.75,40.25,40.44,4.00743280025,80500,0.0,1.0
1999-11-05,40.44,40.75,40.38,40.5,4.01337854625,80800,0.0,1.0
1999-11-08,40.75,40.88,40.44,40.5,4.01337854625,85400,0.0,1.0
1999-11-09,40.75,41.0,39.25,39.5,3.91428277967,108200,0.0,1.0
1999-11-10,39.75,40.38,39.5,39.63,3.92716522933,122000,0.0,1.0
1999-11-11,39.38,39.63,38.88,39.44,3.90833703368,41200,0.0,1.0
1999-11-12,39.69,41.25,39.25,41.25,4.08770037118,236000,0.0,1.0
1999-11-15,41.5,42.63,41.5,41.81,4.14319400046,175100,0.0,1.0
1999-11-16,42.0,42.38,41.38,41.94,4.15607645011,142500,0.0,1.0
1999-11-17,42.06,42.06,41.5,41.56,4.11842005882,83100,0.0,1.0
1999-11-18,41.75,42.0,41.19,41.44,4.10652856683,66500,0.0,1.0
1999-11-19,41.5,42.19,41.06,42.19,4.18085039176,204600,0.0,1.0
1999-11-22,42.31,42.81,41.81,42.0,4.16202219611,306900,0.0,1.0
1999-11-23,41.81,41.88,39.88,39.88,3.95193917097,169900,0.0,1.0
1999-11-24,40.0,40.63,39.44,40.25,3.9886046046,213800,0.0,1.0
1999-11-26,40.25,40.56,39.5,40.44,4.00743280025,47900,0.0,1.0
1999-11-29,40.5,41.0,40.0,40.63,4.0262609959,93200,0.0,1.0
1999-11-30,40.63,41.0,40.06,40.5,4.01337854625,49300,0.0,1.0
1999-12-01,40.56,41.13,40.38,40.75,4.03815248789,197500,0.0,1.0
1999-12-02,40.75,40.75,40.0,40.19,3.98265885861,92300,0.0,1.0
1999-12-03,40.44,40.75,40.38,40.56,4.01932429224,88800,0.0,1.0
1999-12-06,40.25,40.25,39.81,39.88,3.95193917097,209100,0.0,1.0
1999-12-07,39.81,40.5,39.75,40.0,3.96383066296,154300,0.0,1.0
1999-12-08,40.0,40.19,39.81,40.13,3.97671311262,168000,0.0,1.0
1999-12-09,40.06,40.13,39.75,40.0,3.96383066296,137400,0.0,1.0
1999-12-10,40.0,40.31,39.75,39.88,3.95193917097,62900,0.0,1.0
1999-12-13,39.94,39.94,38.75,39.0,3.86473489639,176300,0.0,1.0
1999-12-14,39.0,39.44,39.0,39.25,3.88950883803,65000,0.0,1.0
1999-12-15,39.25,39.75,39.25,39.75,3.93905672132,107500,0.0,1.0
1999-12-16,39.75,40.25,39.75,40.06,3.96977640896,87300,0.0,1.0
1999-12-17,40.12,40.12,39.0,39.0,3.86473489639,286600,0.0,1.0
1999-12-20,39.19,39.25,38.75,38.88,3.8528434044,157600,0.0,1.0
1999-12-21,39.0,39.25,38.75,39.25,3.88950883803,65200,0.0,1.0
1999-12-22,39.38,39.5,38.63,39.38,3.90239128768,129500,0.0,1.0
1999-12-23,39.25,40.5,39.25,40.19,3.98265885861,68500,0.0,1.0
1999-12-27,40.19,40.19,39.13,39.31,3.89545458402,110900,0.0,1.0
1999-12-28,39.56,41.0,39.44,40.56,4.01932429224,57300,0.0,1.0
1999-12-29,40.5,40.63,40.25,40.44,4.00743280025,109500,0.0,1.0
1999-12-30,40.5,40.56,40.38,40.44,4.00743280025,80600,0.0,1.0
