dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,26.31,26.44,25.44,25.81,9.36836101178,722500,0.0,1.0
1999-11-02,25.94,26.13,25.81,25.88,9.3937691974,789000,0.0,1.0
1999-11-03,25.63,25.75,24.81,25.19,9.21718230735,986500,0.2035,1.0
1999-11-04,25.19,25.38,24.25,24.31,8.89518467215,1023100,0.0,1.0
1999-11-05,24.31,24.63,24.19,24.25,8.87323028794,762500,0.0,1.0
1999-11-08,24.06,24.63,24.0,24.63,9.01227472131,604600,0.0,1.0
1999-11-09,24.94,24.94,23.63,23.94,8.75979930281,682800,0.0,1.0
1999-11-10,23.5,24.25,23.31,23.75,8.69027708612,875500,0.0,1.0
1999-11-11,23.38,23.69,23.0,23.19,8.48536950009,1027200,0.0,1.0
1999-11-12,23.19,24.56,23.0,24.44,8.94275250463,1891500,0.0,1.0
1999-11-15,24.38,24.44,24.0,24.13,8.8293215195,845300,0.0,1.0
1999-11-16,24.13,25.44,24.0,24.88,9.10375132222,991200,0.0,1.0
1999-11-17,24.88,26.25,24.75,25.63,9.37818112494,1327300,0.0,1.0
1999-11-18,25.69,26.25,25.5,25.81,9.44404427759,1334500,0.0,1.0
1999-11-19,25.56,25.94,25.31,25.56,9.35256767669,969100,0.0,1.0
1999-11-22,25.06,25.31,24.5,24.56,8.98666127306,613400,0.0,1.0
1999-11-23,24.19,24.5,24.0,24.44,8.94275250463,729500,0.0,1.0
1999-11-24,24.44,24.5,24.06,24.31,8.89518467215,365700,0.0,1.0
1999-11-26,24.13,24.19,23.88,23.88,8.7378449186,414300,0.0,1.0
1999-11-29,23.75,24.0,23.38,23.94,8.75979930281,875800,0.0,1.0
1999-11-30,23.13,24.63,23.13,24.13,8.8293215195,1075700,0.0,1.0
1999-12-01,23.56,24.06,23.44,23.5,8.59880048522,1288200,0.0,1.0
1999-12-02,23.25,23.56,23.13,23.25,8.50732388431,1548100,0.0,1.0
1999-12-03,23.44,24.44,23.25,23.56,8.62075486943,1492800,0.0,1.0
1999-12-06,23.38,23.63,23.0,23.06,8.43780166762,1013200,0.0,1.0
1999-12-07,23.19,23.19,22.75,22.88,8.37193851497,1364600,0.0,1.0
1999-12-08,22.5,22.94,22.44,22.5,8.23289408159,1391200,0.0,1.0
1999-12-09,22.56,22.81,22.0,22.31,8.1633718649,1160300,0.0,1.0
1999-12-10,22.06,22.25,22.0,22.0,8.04994087978,990500,0.0,1.0
1999-12-13,21.69,22.0,21.69,21.88,8.00603211134,803800,0.0,1.0
1999-12-14,21.75,21.94,21.56,21.75,7.95846427887,1183000,0.0,1.0
1999-12-15,21.5,22.63,21.5,22.56,8.25484846581,1368600,0.0,1.0
1999-12-16,22.56,22.56,21.25,21.5,7.86698767796,1721900,0.0,1.0
1999-12-17,21.13,21.13,21.13,21.13,7.73160230862,3033400,0.0,1.0
1999-12-20,20.94,21.75,20.88,21.69,7.93650989465,1774500,0.0,1.0
1999-12-21,21.5,21.75,20.63,20.88,7.64012570772,2415100,0.0,1.0
1999-12-22,21.13,21.69,20.75,21.25,7.77551107706,2609400,0.0,1.0
1999-12-23,21.56,21.63,21.38,21.44,7.84503329375,1225000,0.0,1.0
1999-12-27,21.5,22.88,21.38,22.56,8.25484846581,1704500,0.0,1.0
