dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-03-19,12.0,12.0,12.0,12.0,11.8005744061,100,0.0,1.0
2020-03-20,13.0,13.0,12.0,12.75,12.5381103064,2348,0.0,1.0
2020-03-23,12.75,12.75,11.5,11.54,11.3482190538,18710,0.0,1.0
2020-03-24,12.9,12.9,11.5,11.7,11.5055600459,96074,0.0,1.0
2020-03-25,11.8,13.45,11.8,13.45,13.2264771468,19242,0.0,1.0
2020-03-26,14.0,15.45,14.0,15.45,15.1932395478,76379,0.0,1.0
2020-03-27,15.0,16.0,14.55,14.55,14.3081964673,114014,0.0,1.0
2020-03-30,15.25,16.5,15.25,15.9,15.635761088,209978,0.0,1.0
2020-03-31,16.39,17.25,14.56,17.25,16.9633257087,461468,0.0,1.0
2020-04-01,16.0,16.0,14.56,15.05,14.7998870676,2998918,0.0,1.0
2020-04-02,15.66,15.9,12.12,13.28,13.0593023427,15965880,0.0,1.0
2020-04-03,13.75,17.0,13.38,16.92,16.6388099125,66927998,0.0,1.0
2020-04-06,17.06,17.15,14.85,15.44,15.1834057358,37134054,0.0,1.0
2020-04-07,15.2,15.8,14.55,15.25,14.9965633077,23484053,0.0,1.0
2020-04-08,14.5,15.25,13.73,14.26,14.0230159192,49372245,0.0,1.0
2020-04-09,14.0,15.5,13.9,14.78,14.5343741435,34923923,0.0,1.0
2020-04-13,14.5,14.5,13.98,13.99,13.7575029951,21496433,0.0,1.0
2020-04-14,14.0,14.2,13.78,13.87,13.639497251,22348627,0.0,1.0
2020-04-15,13.53,13.655,12.94,13.36,13.1379728387,14988852,0.0,1.0
2020-04-16,13.15,13.25,12.26,12.89,12.6757836745,21687002,0.0,1.0
2020-04-17,13.3,13.83,12.93,13.74,13.5116576949,21332013,0.0,1.0
2020-04-20,13.5,14.74,13.475,14.45,14.2098583473,20020359,0.0,1.0
2020-04-21,14.22,15.25,14.18,14.69,14.4458698354,16233901,0.0,1.0
2020-04-22,14.95,15.16,14.22,14.79,14.5442079555,12539535,0.0,1.0
2020-04-23,14.7,15.92,14.61,15.72,15.4587524719,12222199,0.0,1.0
2020-04-24,15.6,16.67,15.29,16.25,15.9799445082,17389952,0.0,1.0
2020-04-27,16.17,16.81,15.975,16.8,16.5208041685,12185807,0.0,1.0
2020-04-28,16.88,17.75,16.61,17.0,16.7174804086,12978732,0.0,1.0
2020-04-29,17.46,18.08,17.17,17.64,17.3468443769,12519805,0.0,1.0
2020-04-30,17.22,17.84,16.985,17.71,17.4156810609,19091336,0.0,1.0
2020-05-01,17.33,17.35,16.62,16.77,16.4913027325,10726038,0.0,1.0
2020-05-04,16.15,16.52,15.69,16.4,16.1274516883,9700273,0.0,1.0
2020-05-05,16.68,16.76,15.84,15.97,15.7045977721,16295857,0.0,1.0
2020-05-06,16.0,16.37,15.43,16.29,16.0192797562,10645404,0.0,1.0
2020-05-07,16.21,17.04,15.88,16.41,16.1372855003,12454069,0.0,1.0
2020-05-08,17.04,18.4,16.935,18.36,18.0548788413,18117278,0.0,1.0
2020-05-11,18.43,18.75,18.02,18.35,18.0450450293,9573862,0.0,1.0
2020-05-12,18.39,18.4,17.69,17.8,17.504185369,7741942,0.0,1.0
2020-05-13,17.21,17.437,16.1,16.44,16.1667869363,10676260,0.0,1.0
2020-05-14,16.02,16.715,15.72,16.55,16.2749588684,7796502,0.0,1.0
2020-05-15,16.3,16.965,16.0,16.71,16.4322998604,7353832,0.0,1.0
