dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-06-15,32.8,33.75,32.3,32.49,26.6195100287,17022500,0.0,1.0
2010-06-16,32.37,32.79,31.97,32.07,26.2753981724,2158800,0.0,1.0
2010-06-17,32.35,32.48,31.25,31.5,25.8083892245,1467700,0.0,1.0
2010-06-18,31.45,31.6494,30.76,31.01,25.4069253922,1132200,0.0,1.0
2010-06-21,31.66,33.0,31.01,32.04,26.2508187541,1066900,0.0,1.0
2010-06-22,32.38,33.15,31.81,32.69,26.7833728175,1008800,0.0,1.0
2010-06-23,33.0,33.5,32.0,33.48,27.4306308329,1029400,0.0,1.0
2010-06-24,33.49,34.18,32.76,33.29,27.2749611837,1600800,0.0,1.0
2010-06-25,33.3,33.35,32.07,32.07,26.2753981724,640100,0.0,1.0
2010-06-28,32.47,33.05,31.76,32.78,26.8571110724,718200,0.0,1.0
2010-06-29,32.25,32.3,31.27,31.76,26.0214108499,622300,0.0,1.0
2010-06-30,31.99,32.65,31.65,32.55,26.6686688654,402400,0.0,1.0
2010-07-01,32.25,32.5,30.0,30.31,24.8334056316,1023200,0.0,1.0
2010-07-02,30.25,31.0,30.02,30.86,25.2840283006,483700,0.0,1.0
2010-07-06,31.4,31.4,29.7,29.8,24.4155555204,805200,0.0,1.0
2010-07-07,29.8,30.43,29.17,29.23,23.9485465725,583700,0.0,1.0
2010-07-08,29.05,30.32,28.45,29.01,23.7682975049,2176300,0.0,1.0
2010-07-09,29.22,29.3299,28.66,28.97,23.7355249471,448600,0.0,1.0
2010-07-12,28.75,28.84,26.67,26.8,21.9576136895,1194500,0.0,1.0
2010-07-13,27.38,27.97,26.92,27.85,22.8178933303,877900,0.0,1.0
2010-07-14,27.87,27.87,27.13,27.34,22.400043219,885100,0.0,1.0
2010-07-15,27.2,27.25,26.1,26.5,21.7118195064,642100,0.0,1.0
2010-07-16,26.26,27.15,26.215,26.45,21.6708538092,708700,0.0,1.0
2010-07-19,26.93,26.93,26.06,26.49,21.7036263669,306000,0.0,1.0
2010-07-20,26.24,26.7,26.0,26.08,21.36770765,490100,0.0,1.0
2010-07-21,26.11,27.08,26.11,26.61,21.8019440402,854200,0.0,1.0
2010-07-22,26.9,27.6,26.75,27.03,22.1460558965,322600,0.0,1.0
2010-07-23,26.89,27.19,26.63,27.15,22.2443735697,233300,0.0,1.0
2010-07-26,27.0,27.1399,26.11,26.5,21.7118195064,631200,0.0,1.0
2010-07-27,26.41,27.65,26.25,27.19,22.2771461275,537900,0.0,1.0
2010-07-28,27.05,27.22,26.57,27.15,22.2443735697,131300,0.0,1.0
2010-07-29,27.0,27.21,26.3,26.67,21.8511028768,296200,0.0,1.0
2010-07-30,26.47,27.19,26.32,26.6,21.7937509007,220100,0.0,1.0
2010-08-02,27.14,27.63,26.68,27.54,22.5639060077,356600,0.0,1.0
2010-08-03,27.34,27.63,27.15,27.25,22.3263049641,254100,0.0,1.0
2010-08-04,27.3,27.5,26.65,26.71,21.8838754345,412500,0.0,1.0
2010-08-05,26.26,26.26,24.24,24.8,20.3189858022,1554200,0.0,1.0
2010-08-06,24.25,24.356,23.12,23.8,19.4996718585,1221700,0.0,1.0
2010-08-09,24.0,24.19,23.53,23.97,19.638955229,436800,0.0,1.0
2010-08-10,23.89,23.89,23.0,23.0,18.8442207036,396600,0.0,1.0
2010-08-11,22.86,23.17,22.38,22.95,18.8032550065,578900,0.0,1.0
2010-08-12,22.94,23.55,22.7,23.31,19.0982080262,515200,0.0,1.0
2010-08-13,23.1,23.36,22.8,23.0,18.8442207036,322000,0.0,1.0
2010-08-16,22.79,23.22,22.73,22.79,18.6721647755,190700,0.0,1.0
2010-08-17,22.87,23.15,22.46,23.12,18.9425383769,329500,0.0,1.0
