dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,19.5,20.0,19.19,19.69,14.9081641547,518400,0.0,1.0
1999-11-02,19.75,19.94,18.06,18.12,13.7194481708,417400,0.0,1.0
1999-11-03,18.56,18.81,17.87,17.94,13.5831622618,1063700,0.0,1.0
1999-11-04,17.94,18.12,17.87,18.0,13.6285908981,1744900,0.0,1.0
1999-11-05,19.0,20.5,18.25,20.19,15.2867361241,2979800,0.0,1.0
1999-11-08,20.62,23.62,20.62,23.37,17.6944538494,1813600,0.0,1.0
1999-11-09,23.94,23.94,21.94,22.31,16.8918812743,1114000,0.0,1.0
1999-11-10,21.81,23.0,20.62,21.12,15.9908799872,713000,0.0,1.0
1999-11-11,21.37,21.37,20.56,20.75,15.7107367298,642000,0.0,1.0
1999-11-12,20.75,20.87,19.0,19.06,14.4311634733,992600,0.0,1.0
1999-11-15,19.12,19.75,19.06,19.25,14.5750208216,867400,0.0,1.0
1999-11-16,19.44,19.5,18.37,19.06,14.4311634733,429700,0.0,1.0
1999-11-17,19.16,19.37,18.62,19.06,14.4311634733,754100,0.0,1.0
1999-11-18,19.31,20.5,19.19,19.81,14.9990214273,1024100,0.0,1.0
1999-11-19,20.0,21.0,19.81,20.0,15.1428787757,1769200,0.0,1.0
1999-11-22,20.37,20.37,19.75,19.81,14.9990214273,698100,0.0,1.0
1999-11-23,20.0,20.06,19.25,19.5,14.7643068063,2252300,0.0,1.0
1999-11-24,19.47,20.25,19.37,20.0,15.1428787757,787300,0.0,1.0
1999-11-26,20.0,20.25,19.87,20.0,15.1428787757,192000,0.0,1.0
1999-11-29,20.12,20.5,19.81,20.12,15.2337360484,1804900,0.0,1.0
1999-11-30,20.19,21.25,20.12,21.06,15.9454513508,1053600,0.0,1.0
1999-12-01,21.12,21.12,20.19,20.25,15.3321647604,367300,0.0,1.0
1999-12-02,20.69,22.25,19.75,20.87,15.8015940025,627500,0.0,1.0
1999-12-03,21.25,23.62,21.12,23.25,17.6035965768,755200,0.0,1.0
1999-12-06,23.25,23.25,21.0,21.25,16.0893086992,576900,0.0,1.0
1999-12-07,21.75,22.37,21.5,22.19,16.8010240017,789100,0.0,1.0
1999-12-08,22.25,22.25,21.94,22.0,16.6571666533,554400,0.0,1.0
1999-12-09,22.19,22.75,22.0,22.69,17.1795959711,1073800,0.0,1.0
1999-12-10,22.81,24.12,22.56,24.0,18.1714545309,1166900,0.0,1.0
1999-12-13,24.06,25.0,23.19,25.0,18.9285984696,977700,0.0,1.0
1999-12-14,25.0,27.5,24.5,27.31,20.6776009682,1234400,0.0,1.0
1999-12-15,27.37,27.5,25.87,27.0,20.4428863472,991700,0.0,1.0
1999-12-16,27.12,29.19,24.62,24.69,18.6938838486,1944300,0.0,1.0
1999-12-17,24.75,26.94,24.5,26.62,20.1551716505,1600400,0.0,1.0
1999-12-20,26.31,26.44,24.06,26.31,19.9204570295,891300,0.0,1.0
1999-12-21,26.25,28.62,26.19,28.56,21.6240308917,1226900,0.0,1.0
1999-12-22,28.5,32.75,28.5,31.56,23.8954627081,1689800,0.0,1.0
1999-12-23,31.25,31.5,29.56,30.5,23.092890133,2325300,0.0,1.0
1999-12-27,30.44,32.19,29.87,31.62,23.9408913444,243100,0.0,1.0
1999-12-28,31.5,33.5,31.25,32.38,24.5163207379,734700,0.0,1.0
1999-12-29,32.38,32.38,30.5,30.56,23.1383187693,980500,0.0,1.0
1999-12-30,31.12,31.56,30.62,31.06,23.5168907387,697800,0.0,1.0
1999-12-31,30.94,32.13,30.75,32.13,24.3270347532,260200,0.0,1.0
2000-01-03,31.69,32.13,30.0,30.53,23.1156044511,1084800,0.0,1.0
2000-01-04,30.44,30.87,29.94,30.5,23.092890133,983500,0.0,1.0
2000-01-05,30.56,30.56,29.81,30.06,22.7597467999,701200,0.0,1.0
2000-01-06,29.87,29.94,28.19,29.0,21.9571742248,843300,0.0,1.0
2000-01-07,29.5,30.5,29.0,30.5,23.092890133,597200,0.0,1.0
2000-01-10,32.75,34.13,31.75,31.94,24.1831774048,1136600,0.0,1.0
2000-01-11,32.19,32.25,30.25,30.44,23.0474614966,450600,0.0,1.0
2000-01-12,31.12,31.12,29.69,30.0,22.7143181636,471800,0.0,1.0
2000-01-13,30.12,30.25,29.94,30.0,22.7143181636,1046000,0.0,1.0
2000-01-14,30.12,30.25,28.5,28.87,21.8587455128,1402600,0.0,1.0
2000-01-18,29.03,30.25,29.0,30.06,22.7597467999,1920200,0.0,1.0
2000-01-19,30.25,30.5,29.31,30.0,22.7143181636,1027100,0.0,1.0
2000-01-20,30.06,30.25,29.69,30.19,22.8581755119,1357500,0.0,1.0
2000-01-21,30.37,31.31,30.25,31.0,23.4714621024,2206200,0.0,1.0
2000-01-24,31.5,35.63,31.5,34.13,25.8413226308,2574500,0.0,1.0
2000-01-25,34.38,34.38,33.0,33.75,25.553607934,1161100,0.0,1.0
2000-01-26,33.78,34.25,33.5,34.0,25.7428939187,1422300,0.0,1.0
2000-01-27,34.25,34.38,32.63,32.88,24.8948927073,1616200,0.0,1.0
2000-01-28,33.0,33.94,32.19,33.13,25.084178692,1236000,0.0,1.0
2000-01-31,32.88,33.25,30.25,31.62,23.9408913444,970700,0.0,1.0
2000-02-01,31.44,32.38,31.31,31.87,24.1301773291,1085900,0.0,1.0
2000-02-02,31.94,33.25,31.87,33.25,25.1750359646,1175200,0.0,1.0
2000-02-03,33.44,33.75,33.06,33.06,25.0311786163,2666500,0.0,1.0
2000-02-04,33.25,33.25,31.37,32.09,24.2967489956,730500,0.0,1.0
2000-02-07,32.13,32.13,31.25,31.62,23.9408913444,949200,0.0,1.0
2000-02-08,31.56,32.38,31.5,32.38,24.5163207379,1040500,0.0,1.0
2000-02-09,32.88,33.88,32.63,33.81,25.5990365704,2288000,0.0,1.0
2000-02-10,33.88,40.13,33.81,39.94,30.2403289151,2879400,0.0,1.0
2000-02-11,39.38,39.5,35.38,38.97,29.5058992945,2731600,0.0,1.0
2000-02-14,38.94,39.0,35.75,36.94,27.9688970988,1256700,0.0,1.0
2000-02-15,37.0,37.0,34.69,35.75,27.0678958116,1697000,0.0,1.0
2000-02-16,36.0,36.0,34.0,34.06,25.7883225551,755900,0.0,1.0
2000-02-17,34.38,35.25,33.38,33.69,25.5081792977,1919400,0.0,1.0
