dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,14.88,15.5,14.81,14.94,1.81720194776,137700,0.0,1.0
1999-11-02,14.94,15.31,14.94,15.19,1.84761028022,62700,0.0,1.0
1999-11-03,15.16,15.25,14.94,15.25,1.85490828001,133800,0.0,1.0
1999-11-04,15.0,15.31,15.0,15.25,1.85490828001,139700,0.0,1.0
1999-11-05,15.22,15.31,15.13,15.19,1.84761028022,65900,0.0,1.0
1999-11-08,15.13,15.69,15.0,15.38,1.87072061289,116200,0.0,1.0
1999-11-09,15.19,15.88,15.19,15.63,1.90112894535,168500,0.0,1.0
1999-11-10,15.5,15.75,15.5,15.69,1.90842694514,127000,0.0,1.0
1999-11-11,15.63,16.0,15.63,15.88,1.93153727781,185200,0.0,1.0
1999-11-12,15.88,16.88,15.88,16.19,1.96924361006,233700,0.0,1.0
1999-11-15,16.25,17.94,16.25,17.31,2.10547293947,617800,0.0,1.0
1999-11-16,17.5,17.5,16.75,17.38,2.11398727256,185200,0.0,1.0
1999-11-17,17.13,17.63,16.81,17.38,2.11398727256,218400,0.0,1.0
1999-11-18,17.38,19.16,17.13,19.0,2.3110332669,454500,0.0,1.0
1999-11-19,19.0,19.25,18.88,18.94,2.30373526711,241800,0.0,1.0
1999-11-22,19.44,20.75,19.44,19.69,2.39496026449,539900,0.0,1.0
1999-11-23,19.63,19.75,18.88,18.88,2.29643726732,194100,0.0,1.0
1999-11-24,18.63,18.66,18.0,18.38,2.2356206024,187300,0.0,1.0
1999-11-26,18.31,18.44,18.25,18.44,2.24291860219,35600,0.0,1.0
1999-11-29,18.31,18.44,17.63,18.31,2.22710626931,151800,0.0,1.0
1999-11-30,18.34,19.31,18.25,19.0,2.3110332669,161100,0.0,1.0
1999-12-01,18.88,19.13,18.88,19.0,2.3110332669,91000,0.0,1.0
1999-12-02,18.88,19.25,18.88,19.19,2.33414359957,94900,0.0,1.0
1999-12-03,19.0,19.25,18.25,18.38,2.2356206024,124900,0.0,1.0
1999-12-06,18.28,19.0,18.28,18.56,2.25751460177,67600,0.0,1.0
1999-12-07,18.63,19.0,18.25,18.5,2.25021660198,128600,0.0,1.0
1999-12-08,18.25,20.38,18.25,19.94,2.42536859695,435600,0.0,1.0
1999-12-09,20.19,20.25,18.81,18.88,2.29643726732,130100,0.0,1.0
1999-12-10,18.88,20.25,18.84,19.69,2.39496026449,180900,0.0,1.0
1999-12-13,19.63,20.69,19.5,20.0,2.43266659674,251900,0.0,1.0
1999-12-14,20.0,20.13,19.69,19.75,2.40225826428,151400,0.0,1.0
1999-12-15,19.69,20.06,19.56,20.06,2.43996459653,337300,0.0,1.0
1999-12-16,19.88,20.13,19.69,20.0,2.43266659674,136900,0.0,1.0
1999-12-17,20.06,21.38,19.94,20.44,2.48618526186,469600,0.0,1.0
1999-12-20,20.44,21.81,20.38,20.75,2.52389159411,228200,0.0,1.0
1999-12-21,20.75,20.94,19.63,19.75,2.40225826428,323600,0.0,1.0
1999-12-22,19.88,20.63,19.38,19.88,2.41807059716,209500,0.0,1.0
1999-12-23,19.88,20.25,19.63,19.75,2.40225826428,99100,0.0,1.0
1999-12-27,19.88,20.25,19.06,20.16,2.45212792951,268400,0.0,1.0
1999-12-28,20.13,20.19,19.75,19.88,2.41807059716,95400,0.0,1.0
1999-12-29,19.84,20.31,19.75,19.88,2.41807059716,39600,0.0,1.0
1999-12-30,20.13,20.25,19.75,19.88,2.41807059716,131000,0.0,1.0
1999-12-31,20.0,20.13,19.63,19.69,2.39496026449,35400,0.0,1.0
2000-01-03,19.69,20.69,19.69,20.44,2.48618526186,92100,0.0,1.0
2000-01-04,20.25,20.44,19.88,20.06,2.43996459653,135400,0.0,1.0
2000-01-05,20.13,20.13,19.75,19.88,2.41807059716,140200,0.0,1.0
2000-01-06,19.94,20.06,19.63,19.94,2.42536859695,158400,0.0,1.0
2000-01-07,19.78,20.38,19.5,20.31,2.47037292899,239300,0.0,1.0
2000-01-10,20.06,21.25,19.94,21.0,2.55429992657,309800,0.0,1.0
2000-01-11,21.13,23.0,21.13,22.63,2.75256225421,392000,0.0,1.0
2000-01-12,22.94,23.19,21.38,21.94,2.66863525662,299800,0.0,1.0
2000-01-13,21.88,22.81,21.88,22.19,2.69904358908,182100,0.0,1.0
2000-01-14,22.16,24.25,22.0,24.13,2.93501224896,385800,0.0,1.0
2000-01-18,23.94,24.13,23.0,23.5,2.85838325116,268500,0.0,1.0
2000-01-19,23.5,23.5,20.06,21.44,2.6078185917,572300,0.0,1.0
2000-01-20,21.25,22.06,20.88,21.38,2.60052059191,611000,0.0,1.0
2000-01-21,21.88,21.88,20.81,20.84,2.5348385938,343700,0.0,1.0
2000-01-24,20.75,21.0,19.38,19.75,2.40225826428,513100,0.0,1.0
2000-01-25,19.88,19.88,18.69,18.75,2.28062493444,332500,0.0,1.0
2000-01-26,18.63,19.5,18.38,18.38,2.2356206024,180400,0.0,1.0
2000-01-27,18.38,20.06,17.88,19.5,2.37184993182,183800,0.0,1.0
2000-01-28,22.5,24.0,21.31,21.44,2.6078185917,1537400,0.0,1.0
2000-01-31,21.5,21.88,19.63,19.88,2.41807059716,313400,0.0,1.0
2000-02-01,20.0,21.63,19.81,20.56,2.50078126144,754600,0.0,1.0
2000-02-02,20.5,22.5,20.25,22.38,2.72215392175,403000,0.0,1.0
2000-02-03,21.88,23.5,21.81,23.19,2.82067691891,292900,0.0,1.0
2000-02-04,22.94,24.25,22.94,23.88,2.9046039165,349200,0.0,1.0
2000-02-07,24.13,25.75,23.25,25.5,3.10164991084,603400,0.0,1.0
2000-02-08,25.69,26.19,23.75,24.53,2.9836655809,338900,0.0,1.0
2000-02-09,24.75,24.88,23.63,24.0,2.91919991608,182400,0.0,1.0
2000-02-10,23.88,24.75,23.44,24.75,3.01042491346,223600,0.0,1.0
2000-02-11,24.75,25.0,24.19,24.75,3.01042491346,265100,0.0,1.0
2000-02-14,26.88,30.5,26.88,30.0,3.6489998951,2124300,0.0,1.0
2000-02-15,29.38,31.88,28.5,31.75,3.86185822232,957400,0.0,1.0
2000-02-16,31.63,31.75,29.5,29.69,3.61129356285,516000,0.0,1.0
2000-02-17,29.63,31.0,29.25,30.69,3.73292689269,313700,0.0,1.0
2000-02-18,30.44,30.75,29.25,29.25,3.55777489773,206800,0.0,1.0
2000-02-22,29.19,30.19,28.44,29.88,3.63440389552,242900,0.0,1.0
2000-02-23,30.0,32.0,29.75,31.25,3.8010415574,396300,0.0,1.0
2000-02-24,31.13,32.63,30.81,32.31,3.92997288703,289700,0.0,1.0
2000-02-25,32.13,34.13,31.88,33.63,4.09052888241,506700,0.0,1.0
2000-02-28,33.38,33.63,32.5,33.38,4.06012054995,196900,0.0,1.0
2000-02-29,33.25,35.75,32.38,35.44,4.31068520942,331000,0.0,1.0
2000-03-01,35.63,35.63,33.63,33.94,4.12823521466,305700,0.0,1.0
2000-03-02,33.75,35.69,33.75,35.38,4.30338720963,210800,0.0,1.0
2000-03-03,36.63,40.88,36.25,38.0,4.6220665338,996800,0.0,1.0
2000-03-06,37.75,37.88,34.25,35.94,4.37150187433,966000,0.0,1.0
2000-03-07,36.0,36.0,32.5,33.63,4.09052888241,627100,0.0,1.0
2000-03-08,33.88,34.0,32.25,32.56,3.96038121949,604000,0.0,1.0
2000-03-09,32.5,34.5,32.0,32.88,3.99930388503,1662500,0.0,1.0
2000-03-10,33.25,33.38,32.25,32.5,3.9530832197,279300,0.0,1.0
2000-03-13,32.25,32.63,31.63,32.0,3.89226655478,106900,0.0,1.0
2000-03-14,32.0,32.06,27.63,28.63,3.48236223323,261600,0.0,1.0
2000-03-15,28.75,30.94,28.5,29.88,3.63440389552,259200,0.0,1.0
2000-03-16,29.5,30.81,29.38,30.44,3.70251856023,384400,0.0,1.0
2000-03-17,30.38,31.0,29.75,30.44,3.70251856023,47400,0.0,1.0
2000-03-20,30.5,31.25,28.25,28.25,3.43614156789,294500,0.0,1.0
2000-03-21,28.5,28.56,25.75,25.94,3.15516857597,840200,0.0,1.0
2000-03-22,25.94,25.94,25.13,25.5,3.10164991084,529600,0.0,1.0
2000-03-23,25.63,26.5,25.5,25.75,3.1320582433,527000,0.0,1.0
2000-03-24,25.75,28.75,25.56,27.56,3.3522145703,655200,0.0,1.0
2000-03-27,26.75,27.5,26.56,27.06,3.29139790538,166900,0.0,1.0
2000-03-28,26.88,27.25,26.75,26.94,3.2768019058,87600,0.0,1.0
2000-03-29,27.0,27.25,26.5,26.63,3.23909557355,122500,0.0,1.0
2000-03-30,26.44,26.56,24.94,26.13,3.17827890864,389300,0.0,1.0
2000-03-31,26.0,27.88,25.75,27.0,3.28409990559,370400,0.0,1.0
2000-04-03,26.94,27.25,26.13,26.38,3.20868724109,312200,0.0,1.0
2000-04-04,26.75,26.75,21.56,24.44,2.97271858121,336900,0.0,1.0
2000-04-05,24.38,25.81,24.13,24.94,3.03353524613,92800,0.0,1.0
2000-04-06,24.63,25.75,24.63,25.0,3.04083324592,198300,0.0,1.0
2000-04-07,28.38,32.13,28.25,32.0,3.89226655478,746800,0.0,1.0
2000-04-10,32.0,32.06,26.88,26.88,3.26950390601,355200,0.0,1.0
2000-04-11,26.44,28.13,25.75,27.19,3.30721023826,261600,0.0,1.0
2000-04-12,28.31,28.31,26.0,26.75,3.25369157313,86500,0.0,1.0
2000-04-13,26.38,27.0,26.0,26.25,3.19287490822,329600,0.0,1.0
2000-04-14,26.0,26.0,23.25,24.31,2.95690624833,263400,0.0,1.0
2000-04-17,23.5,25.13,23.13,23.63,2.87419558404,227000,0.0,1.0
2000-04-18,23.25,25.5,23.25,25.25,3.07124157838,251100,0.0,1.0
