dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,35.59,35.63,34.0,35.06,16.4247211699,162900,0.0,1.0
1999-11-02,35.0,35.56,34.25,34.38,16.1061584091,515300,0.0,1.0
1999-11-03,34.69,34.94,34.38,34.56,16.1904838458,250700,0.0,1.0
1999-11-04,34.81,35.25,34.56,35.13,16.4575143953,200500,0.0,1.0
1999-11-05,35.38,36.88,35.25,36.0,16.8650873394,365500,0.0,1.0
1999-11-08,35.94,36.63,35.81,36.56,17.1274331424,303600,0.0,1.0
1999-11-09,37.0,37.13,36.13,36.13,16.9259890436,515400,0.0,1.0
1999-11-10,36.03,36.03,35.38,35.44,16.6027415363,205300,0.0,1.0
1999-11-11,35.44,35.88,34.88,34.94,16.3685042122,237800,0.0,1.0
1999-11-12,35.06,35.94,35.06,35.69,16.7198601984,153800,0.0,1.0
1999-11-15,35.63,35.69,34.38,35.19,16.4856228742,204800,0.0,1.0
1999-11-16,35.25,36.06,35.19,35.63,16.6917517195,368300,0.0,1.0
1999-11-17,35.44,35.56,34.38,34.75,16.279494029,174900,0.0,1.0
1999-11-18,34.69,34.81,34.31,34.5,16.1623753669,221300,0.0,1.0
1999-11-19,34.38,34.88,33.88,34.63,16.2232770712,697900,0.0,1.0
1999-11-22,34.59,34.75,34.19,34.56,16.1904838458,287200,0.0,1.0
1999-11-23,34.5,34.75,34.06,34.06,15.9562465216,306000,0.0,1.0
1999-11-24,34.16,35.0,34.0,34.5,16.1623753669,398200,0.0,1.0
1999-11-26,34.44,34.44,33.25,33.25,15.5767820565,94400,0.0,1.0
1999-11-29,33.19,33.69,31.75,33.69,15.7829109018,979600,0.0,1.0
1999-11-30,33.56,33.75,32.63,33.5,15.6939007186,216000,0.0,1.0
1999-12-01,32.94,33.25,32.56,32.63,15.2863277745,226200,0.0,1.0
1999-12-02,32.63,33.13,31.69,31.75,14.874070084,224900,0.0,1.0
1999-12-03,31.75,33.69,31.69,32.25,15.1083074082,578000,0.0,1.0
1999-12-06,32.38,32.5,32.06,32.25,15.1083074082,766800,0.0,1.0
1999-12-07,32.19,33.5,32.06,32.31,15.1364158871,335000,0.0,1.0
1999-12-08,32.25,32.94,32.19,32.25,15.1083074082,262800,0.0,1.0
1999-12-09,32.31,32.38,30.94,31.63,14.8178531262,161000,0.0,1.0
1999-12-10,31.66,32.25,31.63,31.94,14.9630802672,168400,0.0,1.0
1999-12-13,31.81,32.0,31.81,32.0,14.9911887461,367200,0.0,1.0
1999-12-14,31.88,32.75,31.88,32.13,15.0520904504,370800,0.0,1.0
1999-12-15,31.88,32.25,31.63,31.63,14.8974938164,544200,0.17,1.0
1999-12-16,31.75,31.75,30.63,30.75,14.4830203875,590300,0.0,1.0
1999-12-17,31.13,31.63,30.75,31.56,14.8645243391,703100,0.0,1.0
1999-12-20,31.63,31.88,30.88,30.88,14.5442494167,480900,0.0,1.0
1999-12-21,31.31,32.88,30.63,32.88,15.4862344826,372400,0.0,1.0
1999-12-22,32.5,33.0,32.38,32.63,15.3684863494,188000,0.0,1.0
1999-12-23,32.69,33.38,32.47,32.63,15.3684863494,137900,0.0,1.0
1999-12-27,32.38,32.63,30.13,30.13,14.1910050171,546800,0.0,1.0
1999-12-28,30.38,31.56,30.25,30.75,14.4830203875,171100,0.0,1.0
1999-12-29,30.63,31.13,30.63,31.0,14.6007685207,153500,0.0,1.0
1999-12-30,31.06,31.25,30.69,31.13,14.66199755,123900,0.0,1.0
1999-12-31,31.25,31.38,30.5,31.19,14.690257102,73600,0.0,1.0
2000-01-03,30.88,30.91,30.25,30.53,14.3794020302,323000,0.0,1.0
2000-01-04,30.13,30.5,29.75,30.5,14.3652722542,472100,0.0,1.0
2000-01-05,30.38,31.19,30.38,30.88,14.5442494167,333000,0.0,1.0
2000-01-06,30.75,31.52,30.69,31.0,14.6007685207,574200,0.0,1.0
2000-01-07,31.06,31.63,31.0,31.63,14.8974938164,302900,0.0,1.0
2000-01-10,31.5,31.69,30.75,30.75,14.4830203875,352500,0.0,1.0
2000-01-11,30.88,31.0,30.13,30.5,14.3652722542,296200,0.0,1.0
2000-01-12,30.38,31.5,30.13,30.75,14.4830203875,754500,0.0,1.0
2000-01-13,30.91,31.25,30.06,31.13,14.66199755,156400,0.0,1.0
2000-01-14,31.13,31.63,30.38,30.38,14.3087531503,251600,0.0,1.0
2000-01-18,30.38,30.75,29.31,29.5,13.8942797213,367300,0.0,1.0
2000-01-19,29.69,30.63,29.5,29.88,14.0732568838,775700,0.0,1.0
2000-01-20,29.69,30.19,28.94,28.94,13.6305239029,342900,0.0,1.0
2000-01-21,30.0,30.31,29.63,30.06,14.1580355397,664600,0.0,1.0
2000-01-24,30.25,30.25,29.63,29.72,13.9978980786,384000,0.0,1.0
2000-01-25,29.63,30.13,29.44,29.56,13.9225392733,266300,0.0,1.0
2000-01-26,29.63,30.44,29.63,30.31,14.275783673,397200,0.0,1.0
2000-01-27,30.25,30.44,29.0,29.13,13.7200124841,194200,0.0,1.0
2000-01-28,29.0,29.0,27.38,27.63,13.0135236847,268800,0.0,1.0
2000-01-31,27.66,29.5,27.5,28.75,13.5410353216,303200,0.0,1.0
2000-02-01,28.75,30.13,28.25,29.06,13.6870430068,449100,0.0,1.0
2000-02-02,28.81,28.81,27.75,28.56,13.4515467404,259700,0.0,1.0
2000-02-03,28.63,30.0,28.38,29.5,13.8942797213,392800,0.0,1.0
2000-02-04,29.44,30.5,29.38,29.88,14.0732568838,659700,0.0,1.0
2000-02-07,29.88,30.03,28.75,28.81,13.5692948736,761500,0.0,1.0
2000-02-08,28.75,29.75,28.75,28.75,13.5410353216,414800,0.0,1.0
2000-02-09,28.63,30.0,28.63,29.28,13.7906613641,559100,0.0,1.0
2000-02-10,29.09,29.13,28.81,28.97,13.6446536789,474400,0.0,1.0
2000-02-11,29.06,29.06,28.56,28.88,13.6022643509,294200,0.0,1.0
2000-02-14,28.88,29.06,28.69,28.72,13.5269055456,373100,0.0,1.0
2000-02-15,28.88,30.19,28.69,30.19,14.219264569,543000,0.0,1.0
2000-02-16,30.13,30.44,29.94,30.31,14.275783673,465800,0.0,1.0
2000-02-17,30.34,31.06,30.25,30.75,14.4830203875,329600,0.0,1.0
2000-02-18,30.81,30.88,30.0,30.69,14.4547608355,590500,0.0,1.0
2000-02-22,30.5,31.5,30.31,30.56,14.3935318062,401500,0.0,1.0
2000-02-23,30.56,31.31,30.5,30.88,14.5442494167,536300,0.0,1.0
2000-02-24,30.81,31.0,30.19,30.19,14.219264569,389600,0.0,1.0
2000-02-25,30.19,30.75,29.75,29.75,14.0120278545,309100,0.0,1.0
2000-02-28,29.91,30.69,29.88,29.94,14.1015164358,297800,0.0,1.0
2000-02-29,29.91,30.31,29.88,29.88,14.0732568838,347700,0.0,1.0
2000-03-01,29.88,30.38,29.69,30.38,14.3087531503,543600,0.0,1.0
2000-03-02,30.13,32.25,30.0,31.75,14.9540129204,771800,0.0,1.0
2000-03-03,32.06,32.25,31.0,31.81,14.9822724724,284200,0.0,1.0
2000-03-06,31.69,31.94,29.0,29.38,13.8377606174,408600,0.0,1.0
2000-03-07,29.56,29.59,27.5,28.06,13.2160504739,431600,0.0,1.0
2000-03-08,28.25,28.36,26.25,26.69,12.5707907038,361000,0.0,1.0
2000-03-09,26.69,28.13,26.19,28.13,13.2490199512,690200,0.0,1.0
2000-03-10,28.0,28.0,26.88,26.88,12.660279285,526000,0.0,1.0
2000-03-13,26.38,27.56,26.38,27.38,12.8957755515,408600,0.0,1.0
2000-03-14,27.38,27.5,26.5,27.22,12.8204167462,306900,0.0,1.0
2000-03-15,27.19,28.88,27.13,28.75,13.5410353216,347400,0.0,1.0
2000-03-16,28.84,32.25,28.75,32.19,15.1612496349,592900,0.0,1.0
2000-03-17,32.0,32.5,30.81,31.0,14.6007685207,818600,0.0,1.0
2000-03-20,30.63,32.38,30.63,31.94,15.0435015016,434100,0.0,1.0
2000-03-21,31.97,33.88,31.81,32.56,15.3355168721,348700,0.0,1.0
2000-03-22,32.56,32.75,31.75,32.06,15.1895091869,316100,0.19,1.0
2000-03-23,31.94,32.63,31.25,32.56,15.4264010956,381300,0.0,1.0
2000-03-24,32.37,34.12,32.0,34.0,16.1086497927,201400,0.0,1.0
