dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,40.81,43.88,40.62,42.88,24.0896865115,1264200,0.0,1.0
1999-11-02,42.31,43.31,41.44,41.81,23.4885679349,936300,0.0,1.0
1999-11-03,41.81,41.81,40.12,40.81,22.9267748726,683800,0.0,1.0
1999-11-04,41.0,41.5,40.56,40.56,22.786326607,728100,0.0,1.0
1999-11-05,41.12,41.38,40.06,40.25,22.6121707577,454000,0.0,1.0
1999-11-08,40.38,41.25,40.25,40.31,22.6458783414,395200,0.0,1.0
1999-11-09,43.75,44.5,42.5,43.12,24.2245168465,1816600,0.0,1.0
1999-11-10,44.0,46.5,43.94,45.94,25.8087732822,1936100,0.0,1.0
1999-11-11,46.0,47.0,45.06,45.12,25.3481029711,1520900,0.0,1.0
1999-11-12,45.31,45.56,44.0,45.06,25.3143953873,537800,0.0,1.0
1999-11-15,45.31,45.81,44.5,45.38,25.4941691673,567000,0.0,1.0
1999-11-16,46.38,47.56,46.31,47.31,26.5784297775,747600,0.0,1.0
1999-11-17,47.25,50.31,47.25,49.0,27.5278600528,1451900,0.0,1.0
1999-11-18,49.31,49.38,46.75,47.19,26.5110146101,1247300,0.0,1.0
1999-11-19,45.62,45.69,44.12,45.0,25.2806878036,1410100,0.0,1.0
1999-11-22,45.25,45.25,43.62,44.25,24.8593430069,1417500,0.0,1.0
1999-11-23,44.75,45.5,44.25,44.69,25.1065319543,857100,0.0,1.0
1999-11-24,45.12,45.25,44.56,45.0,25.2806878036,796500,0.0,1.0
1999-11-26,44.75,44.81,44.25,44.38,24.932376105,307700,0.0,1.0
1999-11-29,43.25,43.69,42.94,43.44,24.4042906264,979900,0.0,1.0
1999-11-30,44.0,45.25,44.0,44.56,25.0334988562,1128800,0.0,1.0
1999-12-01,44.81,45.25,44.31,44.31,24.8930505906,794100,0.0,1.0
1999-12-02,45.0,45.25,44.25,44.75,25.140239538,498000,0.0,1.0
1999-12-03,45.31,47.44,45.12,46.81,26.2975332464,1480200,0.0,1.0
1999-12-06,50.0,50.0,48.0,48.19,27.0728076724,2269500,0.0,1.0
1999-12-07,48.19,49.5,47.94,49.5,27.808756584,1099200,0.0,1.0
1999-12-08,49.5,49.5,48.81,49.06,27.5615676366,1006800,0.0,1.0
1999-12-09,49.06,49.31,48.12,49.12,27.5952752203,527000,0.0,1.0
1999-12-10,49.25,49.38,48.25,48.56,27.2806711054,1207200,0.0,1.0
1999-12-13,49.0,49.88,49.0,49.44,27.7750490002,1334500,0.0,1.0
1999-12-14,50.12,53.0,49.94,51.25,28.791894443,2197400,0.0,1.0
1999-12-15,51.31,52.25,50.5,51.38,28.8649275411,1309700,0.0,1.0
1999-12-16,51.12,51.12,49.5,50.25,28.2301013807,1280300,0.0,1.0
1999-12-17,51.12,52.5,50.25,52.06,29.2469468235,1387200,0.0,1.0
1999-12-20,51.81,51.81,47.88,50.38,28.3031344788,2152300,0.0,1.0
1999-12-21,50.0,52.06,49.5,51.88,29.1458240722,1203800,0.0,1.0
1999-12-22,51.62,56.0,50.62,54.12,30.4042405318,1442300,0.0,1.0
1999-12-23,53.94,53.94,50.5,53.5,30.0559288332,977300,0.0,1.0
1999-12-27,53.12,53.25,50.62,51.12,28.7188613449,1154900,0.0,1.0
1999-12-28,51.06,51.44,49.5,49.81,27.9829124333,858400,0.0,1.0
1999-12-29,49.94,51.0,49.25,50.88,28.5840310099,435100,0.0,1.0
1999-12-30,50.62,52.25,50.31,50.75,28.5109979118,422300,0.0,1.0
1999-12-31,50.75,50.75,49.62,50.38,28.3031344788,142400,0.0,1.0
2000-01-03,49.75,49.88,48.75,49.19,27.6346007347,721300,0.0,1.0
2000-01-04,48.75,49.0,47.56,47.88,26.898651823,614000,0.0,1.0
2000-01-05,48.12,50.25,47.5,49.12,27.5952752203,743400,0.0,1.0
2000-01-06,47.56,50.5,47.06,49.56,27.8424641677,1038500,0.0,1.0
2000-01-07,49.75,52.88,49.19,52.31,29.387395089,1013300,0.0,1.0
2000-01-10,52.81,53.25,51.38,51.75,29.0727909742,445400,0.0,1.0
2000-01-11,50.94,52.75,50.38,52.25,29.3536875053,882600,0.0,1.0
2000-01-12,52.0,52.62,51.0,52.19,29.3199799216,657500,0.0,1.0
2000-01-13,52.81,56.38,52.0,55.0,30.8986184266,2040300,0.0,1.0
2000-01-14,54.12,55.5,53.75,54.25,30.4772736299,938500,0.0,1.0
2000-01-18,52.88,53.75,52.19,52.75,29.6345840365,733900,0.0,1.0
2000-01-19,53.25,53.25,50.25,51.94,29.179531656,1142200,0.0,1.0
2000-01-20,53.5,53.5,50.62,52.0,29.2132392397,851000,0.0,1.0
2000-01-21,52.0,52.0,49.88,50.62,28.4379648137,1225200,0.0,1.0
2000-01-24,50.5,50.56,48.5,48.88,27.4604448853,1138800,0.0,1.0
2000-01-25,48.88,49.94,45.94,47.25,26.5447221938,1151600,0.0,1.0
2000-01-26,47.44,48.12,47.38,47.81,26.8593263087,579500,0.0,1.0
2000-01-27,49.75,49.75,46.75,47.25,26.6570808063,1877800,0.2,1.0
2000-01-28,48.0,48.0,45.0,46.88,26.448337528,1265100,0.0,1.0
2000-01-31,46.88,48.38,46.88,47.75,26.9391663174,1083400,0.0,1.0
2000-02-01,47.69,48.19,47.12,48.0,27.080209073,1054000,0.0,1.0
2000-02-02,47.94,49.94,47.88,48.31,27.2551020899,1077300,0.0,1.0
2000-02-03,48.5,49.19,45.5,46.62,26.3016530622,1224900,0.0,1.0
2000-02-04,46.06,46.75,43.19,43.88,24.7558244609,1816500,0.0,1.0
2000-02-07,42.0,43.38,41.81,42.69,24.0844609443,1296700,0.0,1.0
2000-02-08,43.5,45.56,42.88,45.0,25.387696006,1128200,0.0,1.0
2000-02-09,45.38,45.5,44.62,44.81,25.2805035117,1096400,0.0,1.0
2000-02-10,44.56,44.56,41.62,41.88,23.6274824162,853000,0.0,1.0
2000-02-11,41.81,41.88,39.56,40.5,22.8489264054,1540100,0.0,1.0
2000-02-14,40.56,41.12,39.69,40.94,23.0971616552,913600,0.0,1.0
2000-02-15,41.25,41.62,39.69,41.0,23.1310119165,1114000,0.0,1.0
2000-02-16,40.88,41.69,40.25,40.62,22.916626928,728200,0.0,1.0
2000-02-17,41.0,41.5,40.31,40.81,23.0238194223,890100,0.0,1.0
2000-02-18,40.0,40.31,38.25,39.0,22.0026698718,1267400,0.0,1.0
2000-02-22,39.12,39.75,38.56,39.31,22.1775628888,945100,0.0,1.0
2000-02-23,39.25,40.5,38.94,39.56,22.3186056443,1225400,0.0,1.0
2000-02-24,40.25,40.25,37.75,38.81,21.8954773776,1066500,0.0,1.0
2000-02-25,38.56,38.75,36.44,37.31,21.049220844,974700,0.0,1.0
2000-02-28,37.12,39.5,37.06,39.0,22.0026698718,967200,0.0,1.0
2000-02-29,39.06,42.0,39.0,40.44,22.815076144,1423100,0.0,1.0
2000-03-01,40.94,41.19,40.0,40.12,22.6345414169,717000,0.0,1.0
2000-03-02,40.25,40.81,40.0,40.25,22.7078836498,659500,0.0,1.0
2000-03-03,40.62,41.5,40.19,41.19,23.2382044108,851100,0.0,1.0
2000-03-06,40.69,40.88,40.0,40.06,22.6006911555,673400,0.0,1.0
2000-03-07,38.5,38.5,34.56,36.25,20.4511995604,3258600,0.0,1.0
2000-03-08,36.19,36.38,31.5,33.38,18.8320287262,4021000,0.0,1.0
2000-03-09,33.5,34.5,33.0,33.81,19.0746222658,1583200,0.0,1.0
2000-03-10,32.5,32.56,29.06,29.88,16.857430148,4337100,0.0,1.0
2000-03-13,29.88,30.81,29.5,30.62,17.2749167045,2371300,0.0,1.0
2000-03-14,31.0,31.25,29.88,29.88,16.857430148,1388100,0.0,1.0
2000-03-15,30.75,34.5,30.12,33.56,18.9335795102,2451600,0.0,1.0
2000-03-16,34.12,38.25,33.81,36.62,20.6599428386,2741100,0.0,1.0
2000-03-17,36.88,36.88,34.0,35.12,19.8136863051,1403400,0.0,1.0
2000-03-20,34.62,34.94,33.0,33.94,19.1479644987,920800,0.0,1.0
2000-03-21,34.38,36.5,33.5,36.44,20.5583920546,1196400,0.0,1.0
2000-03-22,36.25,36.38,34.19,34.75,19.6049430268,1579000,0.0,1.0
2000-03-23,34.75,35.56,33.62,35.56,20.0619215549,1397800,0.0,1.0
2000-03-24,35.56,35.88,31.62,33.0,18.6176437377,2484100,0.0,1.0
2000-03-27,32.75,32.88,29.94,30.44,17.1733659205,3173600,0.0,1.0
2000-03-28,30.38,31.38,30.38,31.38,17.7036866815,1990900,0.0,1.0
2000-03-29,31.5,32.62,31.31,32.06,18.0873229767,1556900,0.0,1.0
2000-03-30,32.06,33.0,31.62,32.5,18.3355582265,1645100,0.0,1.0
2000-03-31,32.44,33.81,32.31,33.0,18.6176437377,1311700,0.0,1.0
2000-04-03,32.38,35.19,32.38,34.56,19.4977505326,1453400,0.0,1.0
2000-04-04,34.56,36.38,33.5,35.44,19.9942210322,1834600,0.0,1.0
2000-04-05,36.0,36.56,34.12,35.5,20.0280712936,1788300,0.0,1.0
2000-04-06,35.38,35.44,34.12,34.56,19.4977505326,1132200,0.0,1.0
2000-04-07,35.38,35.75,34.81,35.62,20.0957718163,844800,0.0,1.0
2000-04-10,35.62,36.31,35.06,36.0,20.3101568048,995500,0.0,1.0
2000-04-11,36.12,37.31,35.62,37.31,21.049220844,966600,0.0,1.0
2000-04-12,37.81,41.5,37.56,40.06,22.6006911555,2217400,0.0,1.0
2000-04-13,39.81,40.81,38.5,40.44,22.815076144,1206800,0.0,1.0
2000-04-14,40.44,40.44,35.38,35.88,20.2424562821,1234600,0.0,1.0
2000-04-17,37.88,40.75,37.5,40.62,22.916626928,1685800,0.0,1.0
2000-04-18,40.06,40.12,37.81,38.19,21.5456913437,1206600,0.0,1.0
2000-04-19,35.94,37.5,35.94,36.38,20.5245417933,953600,0.0,1.0
2000-04-20,36.38,37.81,36.38,37.12,20.9420283498,647000,0.0,1.0
2000-04-24,37.81,38.94,37.62,38.0,21.4384988495,833800,0.0,1.0
2000-04-25,38.0,38.06,36.5,37.25,21.0153705827,896600,0.0,1.0
2000-04-26,37.06,37.06,34.5,34.81,19.7516274926,1148400,0.2,1.0
2000-04-27,34.25,38.62,33.56,37.56,21.3120117387,2592900,0.0,1.0
2000-04-28,37.62,37.62,36.31,36.75,20.8524076517,1453500,0.0,1.0
2000-05-01,36.5,37.19,35.56,36.88,20.9261712706,983000,0.0,1.0
2000-05-02,35.5,36.44,35.5,36.25,20.5687014251,725700,0.0,1.0
2000-05-03,36.0,36.94,35.38,35.62,20.2112315796,840400,0.0,1.0
2000-05-04,35.62,36.75,35.5,36.12,20.4949378062,444400,0.0,1.0
2000-05-05,35.81,36.94,35.56,36.56,20.7445992856,395200,0.0,1.0
2000-05-08,36.0,37.94,35.75,37.31,21.1701586254,917700,0.0,1.0
2000-05-09,37.62,39.25,37.38,38.94,22.095040924,837800,0.0,1.0
2000-05-10,39.0,40.25,38.88,39.56,22.4468366449,1173700,0.0,1.0
2000-05-11,39.69,41.44,39.25,41.19,23.3717189434,801200,0.0,1.0
2000-05-12,41.0,41.0,39.0,39.69,22.5206002638,843800,0.0,1.0
2000-05-15,40.81,40.81,39.0,39.5,22.4127918977,764700,0.0,1.0
2000-05-16,39.62,39.69,38.31,38.38,21.7772899502,986800,0.0,1.0
2000-05-17,38.56,40.19,38.56,39.56,22.4468366449,1058700,0.0,1.0
2000-05-18,39.31,41.0,39.31,40.81,23.1561022113,563800,0.0,1.0
2000-05-19,39.81,40.0,38.56,38.94,22.095040924,512900,0.0,1.0
2000-05-22,39.81,40.25,39.44,39.62,22.4808813921,571500,0.0,1.0
2000-05-23,39.75,39.94,38.06,38.62,21.913468939,679000,0.0,1.0
2000-05-24,39.12,40.44,39.0,39.81,22.5886897582,903800,0.0,1.0
2000-05-25,39.94,40.0,37.75,38.19,21.6694815841,860200,0.0,1.0
2000-05-26,37.88,38.38,37.62,38.0,21.561673218,786500,0.0,1.0
2000-05-30,38.81,38.88,37.94,38.81,22.0212773051,1215000,0.0,1.0
2000-05-31,38.5,40.44,38.44,39.62,22.4808813921,1085900,0.0,1.0
2000-06-01,40.12,41.75,40.12,40.5,22.9802043508,1126500,0.0,1.0
2000-06-02,41.75,42.44,41.31,41.88,23.7632335361,1087100,0.0,1.0
2000-06-05,41.19,41.19,40.19,40.94,23.2298658302,614900,0.0,1.0
2000-06-06,40.88,41.88,40.5,41.38,23.4795273095,412700,0.0,1.0
2000-06-07,41.12,42.56,41.06,41.81,23.7235146644,574300,0.0,1.0
2000-06-08,39.75,41.5,39.31,41.19,23.3717189434,1256800,0.0,1.0
2000-06-09,41.5,42.0,40.12,40.44,22.9461596036,437200,0.0,1.0
2000-06-12,41.0,41.62,40.44,40.5,22.9802043508,762100,0.0,1.0
2000-06-13,41.75,43.88,41.38,43.5,24.6824417101,1551800,0.0,1.0
2000-06-14,43.5,45.0,43.06,44.69,25.3576625293,924400,0.0,1.0
2000-06-15,44.69,47.0,44.12,46.81,26.5605769299,1409800,0.0,1.0
2000-06-16,46.31,46.44,44.56,44.81,25.4257520237,801700,0.0,1.0
2000-06-19,44.56,45.75,44.25,44.56,25.2838989104,555900,0.0,1.0
2000-06-20,44.12,44.31,42.44,43.69,24.7902500762,1076600,0.0,1.0
2000-06-21,43.75,43.88,42.5,43.81,24.8583395706,475100,0.0,1.0
2000-06-22,42.69,43.81,42.69,43.19,24.5065438497,423000,0.0,1.0
