dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2002-12-10,42.05,43.3,41.65,42.75,5.0088740565,344600,0.0,1.0
2002-12-11,42.7,45.5,42.3,45.06,5.27952900552,509800,0.0,1.0
2002-12-12,45.06,45.06,43.6,43.91,5.14478736424,271100,0.0,1.0
2002-12-13,43.91,43.97,43.25,43.65,5.11432403664,197500,0.0,1.0
2002-12-16,43.5,43.75,42.95,43.1,5.04988238211,159600,0.0,1.0
2002-12-17,43.0,44.0,42.8,43.27,5.06980071169,329200,0.0,1.0
2002-12-18,43.2,43.2,42.55,42.67,4.99950072494,148400,0.0,1.0
2002-12-19,42.55,42.7,42.17,42.3,4.95614906644,136800,0.0,1.0
2002-12-20,42.4,44.6,42.0,44.45,5.20805735232,180900,0.0,1.0
2002-12-23,44.35,44.55,43.35,43.4,5.08503237549,127700,0.0,1.0
2002-12-24,43.6,43.6,42.96,43.05,5.04402404988,43600,0.0,1.0
2002-12-26,43.1,43.15,42.55,42.6,4.99129905981,65000,0.0,1.0
2002-12-27,42.5,42.5,41.75,42.0,4.92099907306,166100,0.0,1.0
2002-12-30,42.3,42.85,42.1,42.32,4.95849239933,215300,0.0,1.0
2002-12-31,42.27,43.8,42.27,43.66,5.11549570309,355600,0.0,1.0
2003-01-02,43.66,43.95,43.45,43.72,5.12252570176,63000,0.0,1.0
2003-01-03,43.72,45.8,43.52,45.8,5.36623232252,172300,0.0,1.0
2003-01-06,45.03,48.35,45.03,48.1,5.6357156051,374900,0.0,1.0
2003-01-07,48.0,48.6,47.25,48.02,5.62634227353,276600,0.0,1.0
2003-01-08,48.03,48.27,47.67,48.01,5.62517060708,82200,0.0,1.0
2003-01-09,48.1,49.2,47.66,49.05,5.74702391746,129800,0.0,1.0
2003-01-10,48.85,49.35,48.71,48.99,5.73999391879,168800,0.0,1.0
2003-01-13,49.0,49.68,48.87,49.62,5.81380890488,162000,0.0,1.0
2003-01-14,49.62,50.0,49.07,49.1,5.75288224969,110800,0.0,1.0
2003-01-15,48.4,48.4,46.76,47.05,5.51269062827,291800,0.0,1.0
2003-01-16,47.0,47.0,45.27,45.38,5.31702233179,145000,0.0,1.0
2003-01-17,45.25,45.52,44.8,45.02,5.27484233974,118100,0.0,1.0
2003-01-21,45.05,45.2,44.26,44.45,5.20805735232,93600,0.0,1.0
2003-01-22,44.3,44.4,44.1,44.15,5.17290735894,32700,0.0,1.0
2003-01-23,44.2,45.75,44.13,45.43,5.32288066402,95200,0.0,1.0
2003-01-24,45.35,47.1,45.0,46.99,5.50566062959,137000,0.0,1.0
2003-01-27,46.79,46.9,46.2,46.25,5.41895731259,41800,0.0,1.0
2003-01-28,46.3,46.58,46.0,46.01,5.39083731789,72900,0.0,1.0
2003-01-29,46.3,46.58,46.0,46.01,5.39083731789,80300,0.0,1.0
2003-01-30,46.5,46.59,43.8,44.2,5.17876569117,147000,0.0,1.0
2003-01-31,44.0,44.05,42.01,42.5,4.97958239535,577200,0.0,1.0
