dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,50.69,50.94,49.56,50.19,7.48044799668,260000,0.0,1.0
1999-11-02,51.0,51.5,50.81,50.81,7.57285440748,180400,0.0,1.0
1999-11-03,47.5,47.5,45.31,46.0,6.8559595108,733200,0.0,1.0
1999-11-04,46.0,46.5,44.13,44.56,6.6413381696,507100,0.0,1.0
1999-11-05,44.94,44.94,43.69,44.0,6.55787431468,337200,0.0,1.0
1999-11-08,43.94,43.94,42.56,43.13,6.42820725437,233700,0.0,1.0
1999-11-09,43.13,43.13,41.5,41.56,6.19421037541,247500,0.0,1.0
1999-11-10,41.5,43.25,41.25,42.38,6.31642530582,338600,0.0,1.0
1999-11-11,43.0,43.0,42.19,42.25,6.29704976807,398900,0.0,1.0
1999-11-12,42.0,42.19,41.25,41.94,6.25084656268,272400,0.0,1.0
1999-11-15,41.69,43.5,41.25,43.38,6.46546790388,274400,0.0,1.0
1999-11-16,43.13,44.25,43.13,43.88,6.53998920291,178400,0.0,1.0
1999-11-17,43.75,43.94,42.19,42.31,6.30599232396,321800,0.0,1.0
1999-11-18,42.5,42.75,40.63,42.63,6.35368595534,362800,0.0,1.0
1999-11-19,42.63,43.56,42.0,42.75,6.37157106711,231700,0.0,1.0
1999-11-22,42.88,43.5,42.63,43.25,6.44609236614,196900,0.0,1.0
1999-11-23,43.63,43.63,42.56,43.13,6.42820725437,203000,0.0,1.0
1999-11-24,43.0,43.25,41.63,42.19,6.28810721219,130200,0.0,1.0
1999-11-26,42.38,44.0,41.75,42.13,6.27916465631,61000,0.0,1.0
1999-11-29,41.69,42.31,41.5,41.75,6.26724124846,180400,0.3,1.0
1999-11-30,41.5,41.5,40.0,40.5,6.07959929492,354100,0.0,1.0
1999-12-01,40.25,40.5,39.5,39.56,5.93849254585,264700,0.0,1.0
1999-12-02,39.81,40.56,39.56,39.63,5.94900049525,175500,0.0,1.0
1999-12-03,39.69,39.81,38.5,39.06,5.86343576443,418200,0.0,1.0
1999-12-06,39.88,40.44,39.56,39.84,5.98052434344,238800,0.0,1.0
1999-12-07,40.19,41.0,40.0,40.25,6.04207090421,303800,0.0,1.0
1999-12-08,40.0,40.19,39.19,40.0,6.0045425135,208500,0.0,1.0
1999-12-09,40.0,40.88,39.88,40.75,6.11712768563,351700,0.0,1.0
1999-12-10,40.75,41.44,40.75,41.13,6.1741708395,248700,0.0,1.0
1999-12-13,41.13,41.69,41.06,41.44,6.22070604398,149900,0.0,1.0
1999-12-14,41.44,41.75,40.94,41.31,6.20119128081,314900,0.0,1.0
1999-12-15,41.44,41.94,41.31,41.94,6.2957628254,379100,0.0,1.0
1999-12-16,41.94,43.06,41.69,43.0,6.45488320201,176500,0.0,1.0
1999-12-17,42.75,42.81,41.88,42.0,6.30476963917,185600,0.0,1.0
1999-12-20,42.5,42.5,41.06,41.38,6.21169923021,130100,0.0,1.0
1999-12-21,42.63,43.94,42.25,43.94,6.59598995108,290200,0.0,1.0
1999-12-22,43.94,46.69,43.94,45.5,6.8301671091,268600,0.0,1.0
