dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,27.25,27.5,27.06,27.38,10.1475314937,153100,0.0,1.0
1999-11-02,27.38,27.94,27.31,27.31,10.1215882065,506600,0.0,1.0
1999-11-03,27.31,27.56,27.19,27.56,10.2142428038,844600,0.0,1.0
1999-11-04,27.56,28.0,27.0,27.5,10.1920057004,688300,0.0,1.0
1999-11-05,27.5,27.94,27.5,27.81,10.3068974011,522400,0.0,1.0
1999-11-08,27.75,27.88,27.5,27.81,10.3068974011,713600,0.0,1.0
1999-11-09,27.75,27.81,27.06,27.19,10.0771139998,269600,0.0,1.0
1999-11-10,26.94,27.12,26.56,26.75,9.9140419086,398400,0.0,1.0
1999-11-11,26.56,26.75,26.25,26.5,9.82138731132,363000,0.0,1.0
1999-11-12,26.12,26.38,25.94,26.31,9.88995171331,1756200,0.375,1.0
1999-11-15,26.06,26.12,25.75,25.75,9.67944722986,680400,0.0,1.0
1999-11-16,25.94,26.19,25.75,26.0,9.77342244568,670900,0.0,1.0
1999-11-17,25.94,26.12,25.81,26.12,9.81853054928,756600,0.0,1.0
1999-11-18,26.0,26.25,25.69,25.94,9.75086839389,582800,0.0,1.0
1999-11-19,25.69,25.75,25.25,25.69,9.65689317806,1196400,0.0,1.0
1999-11-22,25.38,25.56,24.75,24.75,9.30354636656,740000,0.0,1.0
1999-11-23,24.62,24.81,24.25,24.5,9.20957115074,704900,0.0,1.0
1999-11-24,24.62,24.88,24.5,24.75,9.30354636656,423000,0.0,1.0
1999-11-26,24.56,24.56,24.31,24.31,9.13814998671,225100,0.0,1.0
1999-11-29,24.12,24.12,23.56,23.88,8.9765126155,797800,0.0,1.0
1999-11-30,23.94,24.94,23.88,24.81,9.32610041836,1628600,0.0,1.0
1999-12-01,24.69,24.81,24.38,24.81,9.32610041836,614000,0.0,1.0
1999-12-02,24.75,24.94,24.62,24.8,9.32234140973,522000,0.0,1.0
1999-12-03,24.75,25.06,24.38,24.5,9.20957115074,692700,0.0,1.0
1999-12-06,24.25,24.5,24.0,24.06,9.04417477089,474400,0.0,1.0
1999-12-07,23.88,24.12,23.62,23.75,8.92764550327,479200,0.0,1.0
1999-12-08,23.56,23.56,23.0,23.31,8.76224912342,1069800,0.0,1.0
1999-12-09,23.31,23.38,22.94,23.0,8.6457198558,515400,0.0,1.0
1999-12-10,23.0,23.44,23.0,23.44,8.81111623565,797400,0.0,1.0
1999-12-13,23.38,23.44,22.88,23.12,8.69082795939,921700,0.0,1.0
1999-12-14,23.0,23.44,22.88,23.06,8.6682739076,571700,0.0,1.0
1999-12-15,22.94,23.81,22.94,23.56,8.85622433924,821900,0.0,1.0
1999-12-16,23.56,23.62,23.19,23.25,8.73969507162,479800,0.0,1.0
1999-12-17,23.12,23.59,23.0,23.44,8.81111623565,1053400,0.0,1.0
1999-12-20,23.25,23.31,23.06,23.31,8.76224912342,561500,0.0,1.0
1999-12-21,23.06,23.69,23.0,23.31,8.76224912342,611400,0.0,1.0
1999-12-22,23.19,23.38,22.88,23.31,8.76224912342,509200,0.0,1.0
1999-12-23,23.44,23.56,23.31,23.44,8.81111623565,353400,0.0,1.0
1999-12-27,23.25,23.5,23.06,23.19,8.71714101982,329300,0.0,1.0
1999-12-28,23.06,23.31,23.06,23.12,8.69082795939,450800,0.0,1.0
