dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,52.5,52.88,49.38,50.19,39.0969453621,1882000,0.0,1.0
1999-11-02,50.0,52.94,50.0,51.0,39.7279181803,1329000,0.0,1.0
1999-11-03,51.19,51.94,50.5,50.75,39.5331734833,728100,0.0,1.0
1999-11-04,50.75,52.19,50.69,51.69,40.2654135439,1028300,0.0,1.0
1999-11-05,54.5,54.88,53.06,53.13,41.3871429984,2151800,0.0,1.0
1999-11-08,53.06,53.13,49.5,49.94,38.9022006651,2952500,0.0,1.0
1999-11-09,50.75,51.19,49.06,49.44,38.5127112712,1022400,0.0,1.0
1999-11-10,49.06,49.56,45.5,45.5,35.4435348471,1346200,0.0,1.0
1999-11-11,46.0,46.69,45.5,45.75,35.6382795441,2689400,0.0,1.0
1999-11-12,46.88,51.06,46.88,50.63,39.4396960288,1298300,0.0,1.0
1999-11-15,50.63,51.0,49.38,50.19,39.0969453621,815200,0.0,1.0
1999-11-16,50.5,52.56,50.5,51.81,40.3796585729,996800,0.0267,1.0
1999-11-17,51.63,51.63,49.19,49.38,38.4857660747,1016400,0.0,1.0
1999-11-18,50.0,50.25,48.69,49.88,38.8754558891,855700,0.0,1.0
1999-11-19,49.63,50.31,49.06,50.0,38.9689814446,604100,0.0,1.0
1999-11-22,50.0,50.0,47.75,48.06,37.4569849646,683400,0.0,1.0
1999-11-23,47.94,48.0,46.5,47.25,36.8256874651,673600,0.0,1.0
1999-11-24,46.88,47.25,46.31,47.06,36.6776053357,317800,0.0,1.0
1999-11-26,46.81,47.63,46.69,47.31,36.8724502429,207100,0.0,1.0
1999-11-29,47.06,47.06,45.44,45.88,35.7579373736,758800,0.0,1.0
1999-11-30,45.63,47.5,45.31,46.56,36.2879155212,1566700,0.0,1.0
1999-12-01,47.13,47.31,45.94,46.4,36.1632147806,1384700,0.0,1.0
1999-12-02,45.75,48.13,45.75,47.94,37.3634594091,1079400,0.0,1.0
1999-12-03,49.75,50.94,49.56,50.75,39.5535161663,1167600,0.0,1.0
1999-12-06,51.5,51.5,49.5,50.69,39.5067533885,1094200,0.0,1.0
1999-12-07,51.0,51.0,47.56,49.19,38.3376839452,1297600,0.0,1.0
1999-12-08,49.44,49.81,48.31,48.5,37.7999120013,564000,0.0,1.0
1999-12-09,49.38,50.19,46.94,48.25,37.605067094,1351300,0.0,1.0
1999-12-10,49.0,49.94,48.38,49.44,38.5325288524,1413000,0.0,1.0
1999-12-13,49.25,50.0,49.13,49.94,38.9222186669,729500,0.0,1.0
1999-12-14,49.75,50.0,47.69,48.38,37.7063864458,1569600,0.0,1.0
1999-12-15,48.38,48.5,46.81,46.94,36.5840797802,886500,0.0,1.0
1999-12-16,46.69,46.88,44.69,46.44,36.1943899657,1128700,0.0,1.0
1999-12-17,46.5,47.5,46.38,46.5,36.2411527435,912600,0.0,1.0
