dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,24.75,26.5,24.62,26.5,12.947304785,123000,0.0,1.0
1999-11-02,26.31,26.31,25.38,25.75,12.5808716307,73700,0.0,1.0
1999-11-03,26.44,26.44,25.75,25.88,12.6443867108,46100,0.0,1.0
1999-11-04,25.88,26.25,25.62,25.88,12.6443867108,59700,0.0,1.0
1999-11-05,26.0,26.69,26.0,26.12,12.7616453202,87500,0.0,1.0
1999-11-08,26.25,26.38,25.75,26.06,12.7323306679,51500,0.0,1.0
1999-11-09,25.94,26.81,25.94,26.69,13.0401345175,47900,0.0,1.0
1999-11-10,26.56,26.75,26.31,26.5,12.947304785,20200,0.0,1.0
1999-11-11,26.38,26.5,26.0,26.0,12.7030160155,12600,0.0,1.0
1999-11-12,26.19,26.19,25.81,25.81,12.6101862831,36600,0.0,1.0
1999-11-15,25.81,27.0,25.81,26.69,13.0401345175,53300,0.0,1.0
1999-11-16,26.81,27.0,26.75,26.94,13.1622789022,35900,0.0,1.0
1999-11-17,27.06,27.06,26.12,26.38,12.8886754804,39500,0.0,1.0
1999-11-18,26.38,26.38,25.75,26.25,12.8251604003,35400,0.0,1.0
1999-11-19,26.62,27.88,26.62,27.69,13.5287120565,116000,0.0,1.0
1999-11-22,27.81,28.12,27.38,28.0,13.6801710936,78300,0.0,1.0
1999-11-23,28.0,28.12,27.06,27.19,13.284423287,42600,0.0,1.0
1999-11-24,27.31,27.75,27.12,27.25,13.3137379393,37000,0.0,1.0
1999-11-26,27.31,27.31,26.75,26.94,13.1622789022,21600,0.0,1.0
1999-11-29,26.88,26.88,26.0,26.12,12.7616453202,39200,0.0,1.0
1999-11-30,26.0,26.0,25.25,25.25,12.3365828612,105800,0.0,1.0
1999-12-01,25.5,25.62,25.06,25.25,12.3365828612,84200,0.0,1.0
1999-12-02,25.25,25.44,24.94,25.0,12.2144384765,72100,0.0,1.0
1999-12-03,25.0,26.12,25.0,25.62,12.5173565507,64800,0.0,1.0
1999-12-06,25.62,26.06,25.31,25.38,12.4000979413,67300,0.0,1.0
1999-12-07,25.19,25.81,25.12,25.69,12.5515569784,74200,0.0,1.0
1999-12-08,25.94,27.81,25.88,26.94,13.1622789022,176400,0.0,1.0
1999-12-09,27.19,28.12,27.12,27.88,13.6215417889,101700,0.0,1.0
1999-12-10,27.94,29.69,27.94,29.44,14.3837227499,244100,0.0,1.0
1999-12-13,29.38,29.38,27.0,27.62,13.5042831796,153500,0.02,1.0
1999-12-14,27.56,28.12,27.06,27.88,13.6314053239,92700,0.0,1.0
1999-12-15,27.88,28.44,27.88,28.12,13.7487488418,100100,0.0,1.0
1999-12-16,28.06,28.06,27.56,27.81,13.5971801312,41600,0.0,1.0
