dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,46.56,46.69,45.88,46.25,8.91638615264,338150,0.0,1.0
1999-11-04,46.25,46.38,45.56,45.63,8.79685838151,413300,0.0,1.0
1999-11-05,45.63,45.81,44.69,45.13,8.7004650177,597750,0.0,1.0
1999-11-08,45.25,47.38,45.25,47.13,9.08603847295,585150,0.0,1.0
1999-11-09,47.5,48.25,47.5,47.94,9.24219572232,570750,0.0,1.0
1999-11-10,47.75,49.19,47.63,48.69,9.38678576804,479450,0.0,1.0
1999-11-11,48.75,49.31,48.44,49.06,9.45811685726,362050,0.0,1.0
1999-11-12,49.0,49.63,48.13,49.5,9.54294301742,418850,0.0,1.0
1999-11-15,49.88,49.88,49.38,49.75,9.59113969932,229650,0.0,1.0
1999-11-16,49.63,50.94,49.63,50.88,9.80898870154,713450,0.0,1.0
1999-11-17,51.44,51.88,51.19,51.38,9.90538206535,1073800,0.0,1.0
1999-11-18,51.5,51.5,50.0,50.06,9.65090358489,575200,0.0,1.0
1999-11-19,50.06,50.69,49.94,49.94,9.62776917757,685000,0.0,1.0
1999-11-22,49.75,50.5,48.81,48.94,9.43498244995,477450,0.0,1.0
1999-11-23,48.94,48.94,47.56,48.0,9.25376292598,780600,0.0,1.0
1999-11-24,48.19,48.56,47.69,47.94,9.24219572232,353350,0.0,1.0
1999-11-26,48.19,48.44,47.75,47.88,9.23062851866,224400,0.0,1.0
1999-11-29,47.88,48.06,47.38,48.06,9.26533012964,997600,0.0,1.0
1999-11-30,48.0,48.0,47.69,47.81,9.21713344773,2204850,0.0,1.0
1999-12-01,47.75,48.63,47.13,48.63,9.37521856438,454400,0.0,1.0
1999-12-02,48.63,48.94,47.56,47.88,9.23062851866,517850,0.0,1.0
1999-12-03,47.63,49.13,47.63,48.06,9.26533012964,576250,0.0,1.0
1999-12-06,47.81,47.94,47.44,47.88,9.23062851866,428650,0.0,1.0
1999-12-07,47.63,47.94,47.38,47.63,9.18243183676,908500,0.0,1.0
1999-12-08,47.63,49.94,47.63,48.36,9.32316614792,1589100,0.0,1.0
1999-12-09,48.88,49.31,48.13,48.63,9.37521856438,425150,0.0,1.0
1999-12-10,48.63,48.69,47.25,47.38,9.13423515485,669100,0.0,1.0
1999-12-13,47.13,48.19,46.88,47.75,9.20556624407,967950,0.0,1.0
1999-12-14,47.38,47.56,46.69,47.13,9.08603847295,453850,0.0,1.0
1999-12-15,47.63,48.5,47.5,47.94,9.24219572232,528250,0.0,1.0
1999-12-16,47.69,47.88,46.63,47.88,9.23062851866,680150,0.0,1.0
1999-12-17,48.5,48.5,46.88,47.13,9.08603847295,1656000,0.0,1.0
1999-12-20,46.56,46.75,45.38,46.25,8.91638615264,787200,0.0,1.0
1999-12-21,45.94,46.44,45.38,45.63,8.79685838151,547800,0.0,1.0
1999-12-22,45.5,45.63,44.88,45.5,8.77179610692,1381550,0.0,1.0
1999-12-23,45.75,46.25,45.5,45.75,8.81999278882,1135350,0.0,1.0
1999-12-27,46.0,46.13,45.63,45.75,8.81999278882,1233700,0.0,1.0
1999-12-28,45.31,46.38,45.31,46.31,8.92795335629,551700,0.0,1.0
1999-12-29,46.38,47.0,46.38,46.63,8.98964510913,344850,0.0,1.0
1999-12-30,46.63,47.31,46.31,47.06,9.07254340201,608900,0.0,1.0
1999-12-31,47.56,47.56,46.75,47.0,9.06097619835,293050,0.0,1.0
2000-01-03,46.5,46.63,45.25,45.31,8.73516662867,931100,0.0,1.0
2000-01-04,44.88,45.25,44.19,44.44,8.56744217564,736400,0.0,1.0
2000-01-05,44.69,44.94,43.19,43.63,8.41128492626,2037950,0.0,1.0
2000-01-06,43.75,45.63,43.25,45.13,8.7004650177,1359900,0.0,1.0
2000-01-07,45.5,45.81,45.0,45.13,8.7004650177,881350,0.0,1.0
2000-01-10,45.31,45.31,44.56,45.0,8.6754027431,752300,0.0,1.0
2000-01-11,45.0,45.25,44.5,44.94,8.66383553945,556950,0.0,1.0
2000-01-12,44.69,44.88,43.88,44.06,8.49418321914,1126550,0.0,1.0
2000-01-13,44.63,44.69,44.0,44.13,8.50767829007,968850,0.0,1.0
2000-01-14,44.13,44.13,43.0,43.75,8.43441933357,554850,0.0,1.0
2000-01-18,43.56,44.5,43.56,44.44,8.56744217564,768700,0.0,1.0
2000-01-19,44.81,44.81,43.63,44.06,8.49418321914,738100,0.0,1.0
2000-01-20,43.88,43.88,42.38,42.81,8.25319980961,610350,0.0,1.0
2000-01-21,43.19,43.69,42.25,42.69,8.23006540229,1663600,0.0,1.0
2000-01-24,43.06,43.19,41.5,41.75,8.04884587833,1152500,0.0,1.0
2000-01-25,42.06,42.56,41.19,42.25,8.14523924214,750050,0.0,1.0
2000-01-26,42.5,42.5,40.75,41.19,7.94088531086,1185300,0.0,1.0
2000-01-27,41.19,41.19,39.94,40.5,7.80786246879,710850,0.0,1.0
2000-01-28,40.44,40.69,39.25,39.88,7.68833469767,686950,0.0,1.0
2000-01-31,39.75,41.0,39.25,40.88,7.88112142529,1030250,0.0,1.0
2000-02-01,40.88,41.13,39.94,40.69,7.84449194704,843600,0.0,1.0
2000-02-02,40.5,41.38,39.81,40.13,7.73653137957,632900,0.0,1.0
2000-02-03,40.13,40.38,39.31,39.38,7.59194133385,1637200,0.0,1.0
2000-02-04,39.13,39.31,38.44,39.0,7.51868237736,952200,0.0,1.0
2000-02-07,40.0,40.13,39.56,40.0,7.71146910498,1630000,0.0,1.0
2000-02-08,40.56,40.56,38.63,39.0,7.51868237736,1091650,0.0,1.0
2000-02-09,39.75,39.75,37.88,38.13,7.35095792432,1006750,0.0,1.0
2000-02-10,38.19,39.38,37.81,38.0,7.32589564973,1462600,0.0,1.0
2000-02-11,38.25,38.31,37.06,37.44,7.21793508226,750600,0.0,1.0
2000-02-14,37.5,38.13,36.94,37.63,7.25456456051,1309250,0.0,1.0
2000-02-15,37.88,38.44,37.75,38.25,7.37409233164,1276350,0.0,1.0
