dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,80.94,83.63,80.75,81.31,28.4838709808,2344800,0.0,1.0
1999-11-04,82.56,83.94,81.13,81.38,28.5083928227,3217400,0.0,1.0
1999-11-05,82.25,85.63,82.25,85.5,29.9516783773,2590500,0.0,1.0
1999-11-08,84.5,86.5,83.63,86.5,30.3019904051,1799200,0.0,1.0
1999-11-09,85.94,85.94,84.13,85.25,29.8641003703,2587700,0.0,1.0
1999-11-10,85.19,86.88,83.0,85.19,29.8430816486,2411800,0.0,1.0
1999-11-11,85.19,89.5,85.13,89.5,31.3529264885,3338100,0.0,1.0
1999-11-12,90.0,90.63,88.75,88.88,31.1357330312,3856000,0.0,1.0
1999-11-15,88.69,89.0,86.75,87.25,30.5647244259,1658300,0.0,1.0
1999-11-16,87.75,88.0,86.31,87.06,30.4981651406,1695000,0.0,1.0
1999-11-17,86.81,87.38,85.25,86.06,30.1478531128,1594500,0.0,1.0
1999-11-18,86.06,86.06,85.0,86.0,30.1268343912,1177600,0.0,1.0
1999-11-19,85.63,85.69,83.81,85.38,29.9096409339,1253000,0.0,1.0
1999-11-22,85.44,85.5,82.75,82.81,29.0093390225,1392900,0.0,1.0
1999-11-23,83.38,87.38,83.25,85.84,30.0707844667,2563600,0.0,1.0
1999-11-24,85.5,87.5,85.31,87.13,30.5226869826,1098000,0.0,1.0
1999-11-26,87.13,88.94,87.0,88.5,31.0026144607,605100,0.0,1.0
1999-11-29,88.56,92.5,88.5,92.31,32.3373032866,2792700,0.0,1.0
1999-11-30,92.13,92.75,91.38,91.69,32.1201098294,1906300,0.0,1.0
1999-12-01,91.44,97.19,90.63,95.44,33.4337799336,3095600,0.0,1.0
1999-12-02,94.38,95.88,88.0,95.63,33.5003392189,5018800,0.0,1.0
1999-12-03,96.25,98.75,96.25,98.69,34.572294024,4081400,0.0,1.0
1999-12-06,98.06,98.69,96.19,98.0,34.3305787248,1621900,0.0,1.0
1999-12-07,97.63,98.44,94.88,95.5,33.4547986553,1598200,0.0,1.0
1999-12-08,95.06,95.25,91.63,92.19,32.2952658433,1348300,0.0,1.0
1999-12-09,94.5,94.63,90.38,91.94,32.2076878363,4239700,0.0,1.0
1999-12-10,92.25,92.75,90.75,91.75,32.141128551,1925400,0.0,1.0
1999-12-13,92.0,95.13,91.44,93.94,32.9083118919,3162100,0.0,1.0
1999-12-14,94.13,94.44,91.25,91.44,32.0325318224,1844600,0.0,1.0
1999-12-15,91.25,91.69,90.5,91.31,31.9869912588,2766300,0.0,1.0
1999-12-16,90.75,91.13,89.5,90.0,31.5280825024,1300200,0.0,1.0
1999-12-17,91.19,91.38,89.63,90.56,31.7242572379,3419100,0.0,1.0
1999-12-20,90.56,91.75,88.25,88.31,30.9360551754,1680600,0.0,1.0
1999-12-21,88.38,88.5,86.38,87.13,30.5226869826,3526200,0.0,1.0
1999-12-22,87.06,87.63,86.0,87.5,30.6523024329,1997000,0.0,1.0
1999-12-23,87.88,89.34,87.56,89.13,31.2233110382,2142900,0.0,1.0
1999-12-27,89.06,90.75,88.0,89.5,31.3529264885,2061000,0.0,1.0
1999-12-28,89.94,92.0,89.63,91.25,31.9659725371,2227200,0.0,1.0
1999-12-29,91.13,92.06,90.69,90.88,31.8363570868,795700,0.0,1.0
1999-12-30,91.44,91.56,90.88,91.31,31.9869912588,899300,0.0,1.0
1999-12-31,91.5,91.5,90.13,91.25,31.9659725371,581500,0.0,1.0
2000-01-03,91.06,91.06,87.94,89.0,31.1777704746,3028700,0.0,1.0
2000-01-04,88.94,89.13,83.94,84.13,29.4717508992,2861400,0.0,1.0
2000-01-05,84.44,85.69,83.69,85.56,29.9726970989,3863200,0.0,1.0
2000-01-06,86.63,89.13,86.5,87.28,30.5752337867,3610700,0.0,1.0
2000-01-07,86.88,93.25,86.81,93.06,32.6000373075,2582400,0.0,1.0
2000-01-10,93.06,95.06,91.81,95.0,33.2796426414,2227000,0.0,1.0
2000-01-11,94.25,95.13,91.5,91.63,32.0990911077,1477500,0.0,1.0
2000-01-12,93.13,94.5,89.88,91.5,32.0535505441,2343700,0.0,1.0
2000-01-13,92.56,96.13,90.88,94.94,33.2586239197,2875400,0.0,1.0
2000-01-14,48.13,50.25,48.0,49.06,34.3726161681,2285500,0.0,2.0
2000-01-18,48.75,51.75,48.25,51.25,35.9069828499,5932000,0.0,1.0
2000-01-19,51.94,53.13,50.13,51.88,36.348376005,4130500,0.0,1.0
2000-01-20,52.38,53.13,50.0,50.0,35.0312027804,5551900,0.0,1.0
2000-01-21,51.44,51.5,48.0,48.5,33.980266697,3520200,0.0,1.0
2000-01-24,48.19,51.25,46.5,47.0,32.9293306136,5005500,0.0,1.0
2000-01-25,47.56,49.75,45.75,49.69,34.8140093232,3730800,0.0,1.0
2000-01-26,49.13,52.0,48.69,50.44,35.3394773649,3782800,0.0,1.0
2000-01-27,50.56,51.38,46.5,48.94,34.2885412815,3109600,0.0,1.0
2000-01-28,48.63,49.75,45.88,46.0,32.228706558,2834600,0.0,1.0
2000-01-31,46.06,49.5,45.0,48.94,34.2885412815,3249700,0.0,1.0
2000-02-01,49.31,52.13,48.0,51.88,36.348376005,4530500,0.0,1.0
2000-02-02,52.0,54.0,51.0,54.0,37.8336990028,4945700,0.0,1.0
2000-02-03,54.0,55.0,53.25,54.19,37.9668175734,4640800,0.0,1.0
2000-02-04,54.75,55.0,52.63,53.0,37.1330749472,3273700,0.0,1.0
2000-02-07,52.0,52.25,51.0,51.25,35.9069828499,2566700,0.0,1.0
2000-02-08,51.94,53.75,51.75,53.06,37.1751123906,2440700,0.0,1.0
2000-02-09,52.0,53.0,51.44,52.88,37.0490000606,1466800,0.0,1.0
2000-02-10,52.81,52.88,51.88,52.13,36.5235320189,2761800,0.0,1.0
2000-02-11,52.13,52.31,51.0,51.69,36.2152574344,2071000,0.0,1.0
2000-02-14,51.56,51.63,50.0,50.75,35.5566708221,1856300,0.0,1.0
2000-02-15,50.06,50.5,48.5,49.38,34.5968158659,2675400,0.0,1.0
2000-02-16,49.19,49.31,46.38,47.75,33.4547986553,4231600,0.0,1.0
2000-02-17,48.0,48.0,43.5,44.0,30.8274584468,6955400,0.0,1.0
2000-02-18,43.75,45.94,41.88,44.94,31.486045059,6004200,0.0,1.0
2000-02-22,44.81,45.25,42.63,44.0,30.8274584468,3769600,0.0,1.0
2000-02-23,44.38,45.25,43.64,44.56,31.2198079179,4267300,0.0,1.0
2000-02-24,44.7,45.06,43.0,44.38,31.0936955879,3990500,0.0,1.0
2000-02-25,44.25,48.34,43.75,47.63,33.3707237686,7698400,0.0,1.0
2000-02-28,47.25,50.63,47.25,48.94,34.2885412815,6621300,0.0,1.0
2000-02-29,48.88,50.0,48.13,49.63,34.7719718798,3681800,0.0,1.0
2000-03-01,49.44,49.81,46.13,46.5,32.5790185858,4624400,0.0,1.0
2000-03-02,47.56,51.88,47.5,49.63,34.7719718798,7841800,0.0,1.0
2000-03-03,50.19,51.25,48.88,49.94,34.9891653371,2430500,0.0,1.0
2000-03-06,49.78,50.25,49.13,50.13,35.1222839076,3419200,0.0,1.0
2000-03-07,50.03,50.06,45.0,45.38,31.7943196435,7506100,0.0,1.0
2000-03-08,46.31,46.38,42.38,45.63,31.9694756574,6526600,0.0,1.0
2000-03-09,45.5,45.56,43.69,44.56,31.2198079179,4937300,0.0,1.0
2000-03-10,44.69,46.25,43.94,44.13,30.918539574,4934000,0.0,1.0
2000-03-13,44.0,45.0,42.38,43.0,30.1268343912,3747300,0.0,1.0
2000-03-14,43.5,45.5,43.13,43.31,30.3440278484,2097100,0.0,1.0
2000-03-15,43.19,50.5,43.0,49.81,34.8980842098,5515300,0.0,1.0
2000-03-16,48.88,56.06,48.25,55.95,39.1999159113,12820600,0.0,1.0
2000-03-17,54.75,54.88,52.25,53.94,37.7916615595,7765900,0.0,1.0
2000-03-20,53.75,53.94,51.0,52.31,36.6496443489,3873800,0.0,1.0
2000-03-21,52.13,53.25,52.0,52.19,36.5655694622,4335200,0.0,1.0
2000-03-22,52.31,55.0,52.13,52.88,37.0490000606,5072800,0.0,1.0
2000-03-23,52.75,54.0,52.0,53.63,37.5744681023,2929400,0.0,1.0
2000-03-24,53.81,55.06,53.31,53.88,37.7496241162,5254700,0.0,1.0
2000-03-27,53.25,54.63,52.75,53.44,37.4413495317,2459100,0.0,1.0
2000-03-28,53.25,55.69,50.25,51.13,35.8229079633,6036600,0.0,1.0
2000-03-29,51.19,51.19,49.44,50.5,35.3815148082,5350400,0.0,1.0
2000-03-30,50.28,52.31,49.75,50.25,35.2063587943,8942800,0.0,1.0
2000-03-31,51.31,52.75,49.5,52.56,36.8248003628,9953300,0.0,1.0
2000-04-03,51.5,53.25,49.94,52.5,36.7827629194,4199700,0.0,1.0
2000-04-04,53.94,55.25,49.75,54.06,37.8757364462,9565100,0.0,1.0
2000-04-05,53.94,55.0,53.0,53.5,37.483386975,2591700,0.0,1.0
2000-04-06,54.5,54.75,50.63,51.88,36.348376005,4240500,0.0,1.0
2000-04-07,51.25,54.44,50.75,52.81,36.9999563767,2588400,0.0,1.0
2000-04-10,52.25,55.13,51.13,54.25,38.0088550167,5795900,0.0,1.0
2000-04-11,53.5,57.63,52.5,57.44,40.2438457541,7303000,0.0,1.0
2000-04-12,57.06,60.5,54.75,55.06,38.5763605018,7751400,0.0,1.0
2000-04-13,56.25,58.75,54.5,54.63,38.2750921579,6418200,0.0,1.0
2000-04-14,54.13,54.13,50.38,50.88,35.6477519493,4131600,0.0,1.0
2000-04-17,49.5,50.25,46.31,49.13,34.421659852,7134400,0.0,1.0
2000-04-18,49.25,51.63,48.75,50.94,35.6897893927,5177100,0.0,1.0
2000-04-19,51.13,53.06,49.5,52.25,36.6076069055,3508700,0.0,1.0
2000-04-20,52.13,55.63,51.63,54.81,38.4012044879,4288000,0.0,1.0
2000-04-24,53.25,58.13,53.25,56.0,39.2349471141,5967100,0.0,1.0
2000-04-25,56.63,57.13,55.0,57.0,39.9355711697,3733300,0.0,1.0
2000-04-26,56.59,57.0,54.63,54.94,38.4922856151,3081000,0.0,1.0
2000-04-27,53.0,56.5,51.63,56.06,39.2769845574,5615600,0.0,1.0
2000-04-28,55.75,55.88,53.5,54.06,37.8757364462,3699000,0.0,1.0
2000-05-01,54.06,59.0,52.88,58.44,40.9444698097,3629500,0.0,1.0
2000-05-02,56.75,58.5,54.5,54.75,38.3591670446,3729600,0.0,1.0
2000-05-03,52.06,52.63,50.38,52.19,36.5655694622,7462700,0.0,1.0
2000-05-04,51.56,52.38,46.31,48.94,34.2885412815,9973900,0.0,1.0
2000-05-05,47.81,50.88,47.13,48.81,34.1974601542,4189400,0.0,1.0
2000-05-08,48.63,48.75,46.75,47.44,33.2376051981,3451500,0.0,1.0
2000-05-09,48.06,50.38,47.69,49.19,34.4636972954,2988400,0.0,1.0
2000-05-10,49.0,50.5,48.38,48.94,34.2885412815,3644300,0.0,1.0
2000-05-11,49.5,50.25,48.5,49.81,34.8980842098,2339900,0.0,1.0
2000-05-12,49.5,50.13,47.75,47.81,33.4968360986,2610000,0.0,1.0
2000-05-15,47.88,49.44,47.06,48.94,34.2885412815,3392900,0.0,1.0
2000-05-16,49.69,52.5,49.63,51.31,35.9490202933,2932400,0.0,1.0
2000-05-17,50.31,50.31,47.38,47.73,33.4407861742,4054800,0.0,1.0
2000-05-18,47.75,48.38,46.5,46.75,32.7541745997,3042200,0.0,1.0
2000-05-19,45.83,46.0,44.81,45.0,31.5280825024,4730400,0.0,1.0
2000-05-22,45.25,45.5,41.75,43.13,30.2179155184,8660100,0.0,1.0
2000-05-23,42.94,44.25,40.56,40.63,28.4663553794,8692300,0.0,1.0
2000-05-24,28.5,33.38,25.94,31.88,22.3358948928,40016500,0.0,1.0
2000-05-25,32.0,32.5,29.69,30.0,21.0187216682,33098200,0.0,1.0
2000-05-26,30.63,31.38,30.06,30.88,21.6352708372,15012800,0.0,1.0
2000-05-30,31.75,32.88,31.31,32.5,22.7702818073,28791800,0.0,1.0
2000-05-31,32.5,32.81,31.63,31.94,22.3779323361,16909700,0.0,1.0
2000-06-01,32.69,32.69,31.88,32.38,22.6862069206,15637200,0.0,1.0
2000-06-02,32.94,34.44,32.38,34.25,23.9963739046,12979600,0.0,1.0
2000-06-05,34.25,34.31,33.0,33.25,23.295749849,6547400,0.0,1.0
2000-06-06,33.0,33.06,31.75,31.75,22.2448137656,12969000,0.0,1.0
2000-06-07,32.06,33.5,32.0,32.75,22.9454378212,7443500,0.0,1.0
2000-06-08,32.81,32.88,31.94,32.06,22.4620072228,10472800,0.0,1.0
2000-06-09,32.38,32.69,31.75,32.31,22.6371632367,7604100,0.0,1.0
2000-06-12,32.25,32.25,31.31,31.44,22.0276203083,8322600,0.0,1.0
2000-06-13,31.44,34.69,31.25,32.13,22.5110509067,6943800,0.0,1.0
2000-06-14,32.5,33.5,32.0,32.56,22.8123192506,3403400,0.0,1.0
2000-06-15,32.88,33.56,32.0,33.19,23.2537124056,3251500,0.0,1.0
2000-06-16,33.38,33.44,32.25,32.5,22.7702818073,3507800,0.0,1.0
2000-06-19,32.25,32.94,31.94,32.0,22.4199697795,6770200,0.0,1.0
2000-06-20,32.56,32.63,31.38,31.63,22.1607388789,6683800,0.0,1.0
2000-06-21,31.63,33.0,31.5,32.38,22.6862069206,4953000,0.0,1.0
2000-06-22,32.44,33.36,31.94,32.0,22.4199697795,5329500,0.0,1.0
2000-06-23,32.06,32.06,31.5,32.0,22.4199697795,7073400,0.0,1.0
2000-06-26,32.19,32.25,31.75,31.88,22.3358948928,6453500,0.0,1.0
2000-06-27,31.88,33.19,31.81,33.0,23.1205938351,4771400,0.0,1.0
2000-06-28,33.0,33.13,32.06,32.31,22.6371632367,6008900,0.0,1.0
2000-06-29,32.19,32.44,31.94,32.06,22.4620072228,6545300,0.0,1.0
2000-06-30,32.13,33.44,32.0,33.0,23.1205938351,6764800,0.0,1.0
2000-07-03,33.0,34.25,32.88,34.19,23.9543364612,2559000,0.0,1.0
2000-07-05,34.38,34.38,32.94,33.25,23.295749849,3182200,0.0,1.0
2000-07-06,33.19,33.19,32.0,32.88,23.0365189484,4599900,0.0,1.0
