dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,45.06,45.81,44.63,45.75,24.5793313855,654400,0.0,1.0
1999-11-02,45.75,45.88,44.63,45.56,24.4772532879,923600,0.0,1.0
1999-11-03,45.56,46.31,45.13,46.31,24.8801931467,652500,0.0,1.0
1999-11-04,46.06,46.31,44.69,44.88,24.1119211493,320500,0.0,1.0
1999-11-05,44.81,45.44,44.56,44.81,24.0743134291,405500,0.0,1.0
1999-11-08,45.0,46.06,44.88,46.0,24.7136446717,466700,0.0,1.0
1999-11-09,45.63,45.75,44.56,45.0,24.1763915267,365200,0.0,1.0
1999-11-10,44.56,45.0,43.88,45.0,24.1763915267,524700,0.0,1.0
1999-11-11,44.75,44.94,44.38,44.69,24.0098430517,306200,0.0,1.0
1999-11-12,44.56,44.94,44.38,44.81,24.0743134291,275100,0.0,1.0
1999-11-15,44.81,45.06,43.94,44.63,23.977607863,390700,0.0,1.0
1999-11-16,46.0,47.0,45.75,46.38,24.9178008669,1535100,0.0,1.0
1999-11-17,46.06,47.0,45.75,46.5,24.9822712443,710000,0.0,1.0
1999-11-18,46.25,46.81,46.06,46.63,25.0521141531,428300,0.0,1.0
1999-11-19,46.31,46.31,45.5,45.88,24.6491742943,508100,0.0,1.0
1999-11-22,45.38,45.69,45.0,45.19,24.2784696243,376100,0.0,1.0
1999-11-23,45.0,45.44,44.69,45.25,24.310704813,297500,0.0,1.0
1999-11-24,45.19,45.88,44.56,45.44,24.4127829105,286800,0.0,1.0
1999-11-26,45.19,45.44,45.0,45.13,24.2462344356,123600,0.0,1.0
1999-11-29,44.5,44.81,43.94,44.81,24.0743134291,405000,0.0,1.0
1999-11-30,44.38,44.75,44.31,44.63,23.977607863,432500,0.0,1.0
1999-12-01,44.13,45.19,44.13,44.44,23.8755297655,459200,0.0,1.0
1999-12-02,44.44,44.94,44.19,44.38,23.8432945768,329300,0.0,1.0
1999-12-03,44.13,45.88,44.13,45.44,24.4127829105,484900,0.0,1.0
1999-12-06,45.5,46.0,45.25,45.81,24.6115665742,559100,0.0,1.0
1999-12-07,45.5,45.56,44.56,44.56,23.9400001429,399900,0.0,1.0
1999-12-08,44.44,44.63,42.56,42.88,23.0374148592,806100,0.0,1.0
1999-12-09,41.0,42.06,40.56,41.56,22.3282407078,1048900,0.0,1.0
