dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,40.38,40.75,39.81,40.38,1.48598338292,613100,0.0,1.0
1999-11-02,40.12,40.25,39.31,39.5,1.45359939637,406500,0.0,1.0
1999-11-03,39.25,39.25,38.62,39.0,1.43519940401,619900,0.0,1.0
1999-11-04,38.75,39.38,38.56,39.06,1.43740740309,558000,0.0,1.0
1999-11-05,39.19,39.38,38.25,39.0,1.43519940401,332900,0.0,1.0
1999-11-08,38.5,39.44,38.5,39.25,1.44439940019,411700,0.0,1.0
1999-11-09,40.0,40.56,40.0,40.56,1.49260738017,599100,0.0,1.0
1999-11-10,40.38,40.75,39.75,40.19,1.47899138582,516800,0.0,1.0
1999-11-11,40.19,40.94,40.0,40.5,1.49039938108,317900,0.0,1.0
1999-11-12,40.5,41.0,40.38,40.88,1.50438337528,207100,0.0,1.0
1999-11-15,40.5,41.37,40.5,41.13,1.51358337146,233800,0.0,1.0
1999-11-16,41.0,41.56,40.31,41.06,1.51100737253,190800,0.0,1.0
1999-11-17,40.56,40.62,39.19,39.69,1.46059139346,267000,0.0,1.0
1999-11-18,39.69,39.94,38.62,39.5,1.45359939637,237000,0.0,1.0
1999-11-19,39.94,39.94,39.12,39.25,1.44439940019,440200,0.0,1.0
1999-11-22,38.75,38.81,38.44,38.56,1.43004740615,579800,0.3,1.0
1999-11-23,38.5,38.5,37.81,37.81,1.40223268741,423900,0.0,1.0
1999-11-24,37.94,37.94,36.69,37.5,1.39073593699,229100,0.0,1.0
1999-11-26,36.87,37.44,36.81,37.12,1.37664314617,98500,0.0,1.0
1999-11-29,36.87,36.87,35.88,36.38,1.34919929034,363500,0.0,1.0
1999-11-30,36.63,37.5,35.44,35.56,1.31878853119,651300,0.0,1.0
1999-12-01,35.88,36.25,35.25,35.81,1.3280601041,445600,0.0,1.0
1999-12-02,35.88,36.12,35.13,35.19,1.30506660328,371200,0.0,1.0
1999-12-03,34.94,36.63,34.94,36.31,1.34660324993,488100,0.0,1.0
