dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,59.13,59.25,57.13,57.31,29.1467733642,650400,0.0,1.0
1999-11-04,57.19,57.81,55.75,56.94,28.9585984184,495000,0.0,1.0
1999-11-05,58.25,58.44,56.0,56.56,28.7653376632,716867,0.0,1.0
1999-11-08,56.5,57.0,56.38,56.56,28.7653376632,440800,0.0,1.0
1999-11-09,56.88,56.88,54.38,54.69,27.8142913154,689067,0.0,1.0
1999-11-10,54.38,54.88,53.0,53.81,27.3667400929,540667,0.0,1.0
1999-11-11,53.75,54.13,51.56,51.63,26.2580336554,737667,0.0,1.0
1999-11-12,51.75,53.88,51.0,53.88,27.4023407584,815600,0.0,1.0
1999-11-15,53.75,53.94,51.63,53.56,27.2395948593,465000,0.0,1.0
1999-11-16,53.44,53.88,52.88,53.88,27.4023407584,418600,0.0,1.0
1999-11-17,53.38,55.5,51.88,52.56,26.7310139246,881667,0.0,1.0
1999-11-18,53.06,54.0,52.0,53.13,27.0209050574,542467,0.0,1.0
1999-11-19,53.44,53.44,51.0,51.38,26.1308884218,760200,0.0,1.0
1999-11-22,51.63,51.63,49.88,50.03,25.44430416,541267,0.0,1.0
1999-11-23,50.19,50.38,49.06,50.0,25.429046732,769267,0.0,1.0
1999-11-24,50.13,50.25,49.0,50.13,25.4951622535,541467,0.0,1.0
1999-11-26,50.25,50.25,49.5,49.63,25.2408717861,131600,0.0,1.0
1999-11-29,49.31,49.31,46.0,46.44,23.6184986046,880200,0.0,1.0
1999-11-30,46.5,47.25,45.75,45.94,23.3642081373,1385867,0.0,1.0
1999-12-01,46.13,47.44,46.0,47.13,23.9694194495,583667,0.0,1.0
1999-12-02,47.38,48.19,47.0,48.13,24.4780003842,560667,0.0,1.0
1999-12-03,49.0,52.0,48.94,50.56,25.7138520554,762467,0.0,1.0
1999-12-06,50.41,51.5,50.25,51.13,26.0037431881,823800,0.0,1.0
1999-12-07,51.13,51.19,50.69,51.06,25.9681425227,765867,0.0,1.0
1999-12-08,50.5,50.75,49.81,50.19,25.5256771095,766067,0.0,1.0
