dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,57.09,57.13,50.38,52.5,1.03735216722,78700,0.0,1.0
1999-11-04,53.34,54.25,51.13,52.25,1.03241239499,48100,0.0,1.0
1999-11-05,57.75,57.94,51.88,54.75,1.08181011724,100200,0.0,1.0
1999-11-08,54.66,55.0,53.0,53.0,1.04723171167,86100,0.0,1.0
1999-11-09,52.25,52.38,47.25,48.69,0.962070038509,99300,0.0,1.0
1999-11-10,47.41,51.88,46.38,50.5,0.997833989417,147900,0.0,1.0
1999-11-11,52.47,53.75,51.0,53.25,1.05217148389,75800,0.0,1.0
1999-11-12,53.25,53.75,51.63,52.0,1.02747262277,59100,0.0,1.0
1999-11-15,51.31,52.0,51.13,51.13,1.01028221542,14700,0.0,1.0
1999-11-16,52.09,52.19,51.13,51.63,1.02016175987,34200,0.0,1.0
1999-11-17,51.44,51.69,47.63,47.75,0.943496494944,46400,0.0,1.0
1999-11-18,47.44,49.88,47.38,49.88,0.9855833543,57600,0.0,1.0
1999-11-19,49.91,51.5,49.81,51.13,1.01028221542,39600,0.0,1.0
1999-11-22,51.13,52.88,50.94,51.88,1.0251015321,53800,0.0,1.0
1999-11-23,52.56,58.5,52.0,56.0,1.10650897836,120000,0.0,1.0
1999-11-24,55.47,57.13,55.0,56.0,1.10650897836,67200,0.0,1.0
1999-11-26,56.25,57.25,54.63,57.13,1.12883674882,16100,0.0,1.0
1999-11-29,56.75,61.81,56.0,59.63,1.17823447107,75400,0.0,1.0
1999-11-30,60.22,60.25,56.13,59.94,1.18435978863,49400,0.0,1.0
1999-12-01,57.19,58.75,57.19,57.88,1.14365606549,21000,0.0,1.0
1999-12-02,57.63,62.13,57.63,61.88,1.22269242109,45200,0.0,1.0
1999-12-03,62.75,67.88,62.75,65.13,1.28690946001,73800,0.0,1.0
1999-12-06,66.13,69.63,65.0,68.88,1.36100604339,88900,0.0,1.0
1999-12-07,68.88,72.0,68.5,71.88,1.42028331009,52500,0.0,1.0
1999-12-08,73.0,79.8,72.25,79.0,1.56096802305,70400,0.0,1.0
1999-12-09,79.88,86.5,74.0,80.0,1.58072711195,190400,0.0,1.0
1999-12-10,80.19,80.63,74.75,78.75,1.55602825082,47000,0.0,1.0
1999-12-13,77.13,80.13,77.0,77.5,1.5313293897,82400,0.0,1.0
1999-12-14,77.75,79.5,77.0,79.5,1.5708475675,68600,0.0,1.0
1999-12-15,79.0,79.88,70.38,72.69,1.43628817209,104100,0.0,1.0
1999-12-16,72.88,75.0,71.44,73.0,1.44241348965,30700,0.0,1.0
1999-12-17,73.63,75.25,73.5,73.56,1.45347857944,22700,0.0,1.0
1999-12-20,75.25,76.5,70.13,70.13,1.38570490451,87000,0.0,1.0
1999-12-21,69.75,100.6,67.0,90.75,1.79313731762,208700,0.0,1.0
1999-12-22,105.0,120.0,99.5,117.0,2.31181340122,256000,0.0,1.0
1999-12-23,112.5,120.0,106.3,109.3,2.1596684167,76800,0.0,1.0
1999-12-27,105.4,107.6,96.13,98.38,1.94389916592,62500,0.0,1.0
1999-12-28,97.69,105.0,96.0,99.41,1.96425102748,61800,0.0,1.0
1999-12-29,98.75,103.6,98.75,101.9,2.01345115884,35300,0.0,1.0
1999-12-30,102.9,114.5,102.1,113.1,2.23475295452,146900,0.0,1.0
1999-12-31,117.0,117.0,108.4,109.3,2.1596684167,38100,0.0,1.0
2000-01-03,110.25,111.0,83.0,96.0,1.89687253434,82400,0.0,1.0
2000-01-04,94.06,98.13,89.13,92.75,1.83265549541,61900,0.0,1.0
2000-01-05,89.63,94.13,81.0,92.69,1.83146995008,59100,0.0,1.0
2000-01-06,97.5,98.0,92.88,92.88,1.83522417697,23900,0.0,1.0
2000-01-07,92.13,94.0,86.0,94.0,1.85735435654,27600,0.0,1.0
2000-01-10,99.0,106.6,95.0,95.81,1.89311830745,58100,0.0,1.0
2000-01-11,96.0,100.8,93.75,94.81,1.87335921855,43000,0.0,1.0
2000-01-12,94.44,94.88,88.19,90.75,1.79313731762,14400,0.0,1.0
2000-01-13,91.38,94.0,90.38,94.0,1.85735435654,18900,0.0,1.0
2000-01-14,98.0,99.44,90.0,91.25,1.80301686207,29100,0.0,1.0
2000-01-18,90.5,94.5,80.0,81.38,1.60799465463,48000,0.0,1.0
2000-01-19,81.38,90.75,80.88,87.88,1.73642873247,29400,0.0,1.0
2000-01-20,90.0,94.0,83.75,84.94,1.67833701111,47800,0.0,1.0
2000-01-21,83.94,85.63,79.63,82.0,1.62024528975,42300,0.0,1.0
2000-01-24,80.75,90.0,80.75,87.75,1.73386005092,59000,0.0,1.0
2000-01-25,87.94,89.94,85.88,89.75,1.77337822872,19100,0.0,1.0
2000-01-26,90.0,101.8,89.69,91.0,1.79807708984,53700,0.0,1.0
2000-01-27,93.44,97.25,91.0,91.0,1.79807708984,19000,0.0,1.0
2000-01-28,94.5,94.5,89.13,89.63,1.77100713805,6200,0.0,1.0
2000-01-31,87.69,93.0,73.0,75.25,1.48687143968,114400,0.0,1.0
2000-02-01,79.38,90.0,76.0,88.0,1.73879982314,63700,0.0,1.0
2000-02-02,91.0,94.0,89.25,92.0,1.81783617874,26100,0.0,1.0
2000-02-03,92.38,95.0,88.5,93.25,1.84253503986,41400,0.0,1.0
2000-02-04,97.75,97.75,93.13,96.75,1.91169185101,22900,0.0,1.0
2000-02-07,96.63,109.0,96.63,108.6,2.14583705447,104400,0.0,1.0
2000-02-08,118.2,128.6,112.3,123.6,2.44222338796,212800,0.0,1.0
2000-02-09,126.0,126.0,116.0,122.3,2.41653657239,78900,0.0,1.0
2000-02-10,121.0,124.7,116.1,123.8,2.44617520574,51100,0.0,1.0
2000-02-11,123.8,131.8,118.8,130.0,2.56868155692,207800,0.0,1.0
2000-02-14,134.8,134.9,124.0,129.1,2.55089837691,104600,0.0,1.0
2000-02-15,131.0,131.0,124.0,127.6,2.52125974356,26500,0.0,1.0
2000-02-16,126.8,128.0,124.0,124.0,2.45012702352,35600,0.0,1.0
2000-02-17,125.0,127.5,120.0,122.9,2.42839202573,118900,0.0,1.0
2000-02-18,122.9,122.9,115.6,115.6,2.28415067676,51600,0.0,1.0
