dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-29,29.9,29.9,27.66,28.5,27.4692077735,207765,0.0,1.0
2019-05-30,28.99,29.16,28.22,28.8,27.758357329,666050,0.0,1.0
2019-05-31,28.5,28.59,26.97,26.97,25.9945450404,853801,0.0,1.0
2019-06-03,26.54,27.0,24.37,24.81,23.9126682407,19259630,0.0,1.0
2019-06-04,24.35,27.94,24.35,27.75,26.7463338847,20135135,0.0,1.0
2019-06-05,27.54,28.22,26.46,28.01,26.9969301661,10740207,0.0,1.0
2019-06-06,27.69,27.69,26.23,26.9,25.9270768108,13986084,0.0,1.0
2019-06-07,26.17,26.93,25.715,26.31,25.3584160182,10049260,0.0,1.0
2019-06-10,26.07,26.74,25.12,25.31,24.3945841665,10247186,0.0,1.0
2019-06-11,25.01,25.36,24.53,24.95,24.0476046999,11641364,0.0,1.0
2019-06-12,25.11,25.45,24.48,25.07,24.1632645221,13392038,0.0,1.0
2019-06-13,25.06,25.19,24.7,24.97,24.066881337,9710759,0.0,1.0
2019-06-14,24.76,25.24,24.55,25.19,24.2789243443,7036775,0.0,1.0
2019-06-17,25.53,26.9,25.45,25.95,25.0114365516,13710322,0.0,1.0
2019-06-18,26.03,27.57,25.75,27.3,26.3126095514,14485407,0.0,1.0
2019-06-19,27.48,27.48,26.87,27.15,26.1680347737,10228757,0.0,1.0
2019-06-20,27.37,27.6,26.42,27.16,26.1776730922,7727962,0.0,1.0
2019-06-21,26.87,27.71,26.87,27.21,26.2258646848,12548904,0.0,1.0
2019-06-24,27.14,28.45,27.053,28.01,26.9969301661,6495057,0.0,1.0
2019-06-25,28.02,28.09,27.48,27.67,26.6692273366,6698570,0.0,1.0
2019-06-26,27.93,29.375,27.85,29.26,28.2017199808,6735131,0.0,1.0
2019-06-27,29.38,30.33,29.26,29.57,28.5005078548,5879610,0.0,1.0
2019-06-28,29.6,29.75,29.26,29.57,28.5005078548,15517796,0.0,1.0
2019-07-01,29.58,30.75,28.95,29.68,28.6065293585,5290363,0.0,1.0
2019-07-02,29.5,29.6,28.14,28.99,27.9414853808,5438576,0.0,1.0
2019-07-03,28.78,28.9,28.2,28.8,27.758357329,2234906,0.0,1.0
2019-07-05,28.45,29.32,28.26,28.64,27.6041442327,2888235,0.0,1.0
2019-07-08,28.39,28.39,27.64,27.77,26.7656105217,3478698,0.0,1.0
2019-07-09,27.47,27.77,26.83,26.99,26.0138216774,5286013,0.0,1.0
2019-07-10,26.81,27.0,26.44,26.5,25.5415440701,5133693,0.0,1.0
2019-07-11,26.55,26.8,25.96,26.43,25.4740758405,6066191,0.0,1.0
2019-07-12,26.42,27.73,26.26,27.6,26.6017591069,5154558,0.0,1.0
2019-07-15,27.41,28.27,27.4,28.08,27.0643983958,3443097,0.0,1.0
2019-07-16,27.93,28.5,27.715,27.86,26.8523553884,3735879,0.0,1.0
2019-07-17,27.6,27.71,26.85,26.88,25.9078001737,3999305,0.0,1.0
2019-07-18,26.58,26.98,26.413,26.65,25.6861188478,3035241,0.0,1.0
2019-07-19,26.79,27.48,26.64,27.39,26.3993544181,4694910,0.0,1.0
2019-07-22,27.34,27.85,27.21,27.76,26.7559722032,2546126,0.0,1.0
2019-07-23,27.65,28.48,27.45,28.12,27.1029516698,2921396,0.0,1.0
2019-07-24,27.77,28.52,27.63,28.32,27.2957180402,2311843,0.0,1.0
2019-07-25,28.1,28.4,27.75,28.02,27.0065684847,3532155,0.0,1.0
2019-07-26,27.72,28.525,27.65,28.48,27.4499311364,3052703,0.0,1.0
2019-07-29,28.36,28.95,28.32,28.78,27.7390806919,6245243,0.0,1.0
2019-07-30,28.0,29.29,27.8,29.13,28.2017199808,7142273,0.13,1.0
2019-07-31,29.1,30.15,28.71,29.5,28.559929263,7662047,0.0,1.0
2019-08-01,29.5,32.78,29.31,31.25,30.2541623549,11564155,0.0,1.0
2019-08-02,30.94,31.54,30.85,31.46,30.4574703259,7305783,0.0,1.0
2019-08-05,30.63,30.97,29.64,29.9,28.9471825412,5552538,0.0,1.0
2019-08-06,30.06,30.22,29.47,30.05,29.0924025205,5355879,0.0,1.0
2019-08-07,29.58,30.83,29.43,30.64,29.6636011058,4925218,0.0,1.0
2019-08-08,30.71,31.79,30.67,31.61,30.6026903053,3962550,0.0,1.0
2019-08-09,31.94,32.0,31.22,31.63,30.6220529692,4761614,0.0,1.0
2019-08-12,31.49,31.83,29.51,29.63,28.6857865784,8225347,0.0,1.0
2019-08-13,29.33,30.15,29.19,29.6,28.6567425826,6858183,0.0,1.0
2019-08-14,29.12,29.36,28.28,28.34,27.4368947564,4580051,0.0,1.0
2019-08-15,28.93,29.23,27.93,28.42,27.5143454121,3561576,0.0,1.0
2019-08-16,28.69,30.31,28.56,30.24,29.2763478276,4285068,0.0,1.0
2019-08-19,30.75,30.84,30.25,30.57,29.5958317821,4207252,0.0,1.0
2019-08-20,30.62,30.68,30.09,30.26,29.2957104915,3073736,0.0,1.0
2019-08-21,30.3,30.98,30.28,30.58,29.605513114,2815386,0.0,1.0
2019-08-22,30.78,30.95,30.21,30.29,29.3247544874,3351355,0.0,1.0
2019-08-23,29.8,30.16,28.81,29.05,28.1242693251,4222239,0.0,1.0
2019-08-26,29.35,29.475,28.67,29.02,28.0952253293,3479870,0.0,1.0
2019-08-27,29.15,29.43,28.535,28.73,27.8144667026,3528683,0.0,1.0
2019-08-28,28.48,29.53,28.31,29.17,28.2404453086,5077859,0.0,1.0
2019-08-29,29.55,30.228,29.52,29.71,28.7632372341,3135601,0.0,1.0
2019-08-30,30.0,30.03,29.26,29.32,28.3856652879,5270156,0.0,1.0
2019-09-03,28.99,29.1,28.0,28.23,27.3304001049,3307501,0.0,1.0
2019-09-04,28.62,28.84,28.17,28.43,27.524026744,2965192,0.0,1.0
2019-09-05,28.74,28.99,27.95,28.46,27.5530707399,4972729,0.0,1.0
2019-09-06,28.45,28.81,27.89,28.39,27.4853014162,5140041,0.0,1.0
2019-09-09,28.35,28.82,28.02,28.75,27.8338293665,4660973,0.0,1.0
2019-09-10,28.7,29.13,28.14,28.56,27.6498840594,3682943,0.0,1.0
2019-09-11,28.5,29.3,28.11,29.27,28.3372586281,3033500,0.0,1.0
2019-09-12,29.5,30.09,28.9,29.9,28.9471825412,7967629,0.0,1.0
2019-09-13,30.04,30.35,29.9,30.12,29.1601718442,4919487,0.0,1.0
2019-09-16,30.05,30.06,28.84,29.4,28.4631159435,3300655,0.0,1.0
2019-09-17,29.32,29.47,28.96,28.98,28.0565000015,5334173,0.0,1.0
