dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,89.94,89.94,88.38,89.06,19.9518168779,1224600,0.0,1.0
1999-11-04,89.06,89.13,87.94,88.25,19.7703552602,1256700,0.0,1.0
1999-11-05,88.75,89.0,85.5,85.5,19.1542818669,1564900,0.0,1.0
1999-11-08,86.19,89.38,86.19,89.38,20.0235054183,1447700,0.0,1.0
1999-11-09,89.63,90.31,88.5,89.25,19.9943819487,1214400,0.0,1.0
1999-11-10,89.31,91.88,89.31,91.56,20.5118835992,1708000,0.0,1.0
1999-11-11,91.5,91.5,89.81,90.5,20.2744153094,1524800,0.0,1.0
1999-11-12,90.25,92.44,89.25,91.38,20.4715587953,1450400,0.0,1.0
1999-11-15,91.38,91.94,90.56,91.38,20.4715587953,841900,0.0,1.0
1999-11-16,91.69,93.75,91.69,93.69,20.9890604457,1335700,0.0,1.0
1999-11-17,93.56,96.94,93.5,96.56,21.7776343892,2974400,0.65,1.0
1999-11-18,95.0,96.38,94.69,95.25,21.4821838812,2005100,0.0,1.0
1999-11-19,94.0,94.44,92.25,93.19,21.0175823191,1132300,0.0,1.0
1999-11-22,93.19,93.63,90.88,91.13,20.5529807569,1375400,0.0,1.0
1999-11-23,90.94,90.94,89.13,89.63,20.2146786486,1262400,0.0,1.0
1999-11-24,89.63,90.69,89.06,90.25,20.3545101867,1594800,0.0,1.0
1999-11-26,90.19,90.19,89.0,89.0,20.0725917631,676300,0.0,1.0
1999-11-29,88.38,89.19,87.81,88.56,19.9733564779,1349800,0.0,1.0
1999-11-30,87.25,90.5,87.19,88.56,19.9733564779,1262100,0.0,1.0
1999-12-01,88.75,92.5,87.88,92.5,20.8619633492,1414800,0.0,1.0
1999-12-02,91.88,92.44,90.0,90.94,20.5101291565,1364900,0.0,1.0
1999-12-03,91.75,92.75,90.06,90.94,20.5101291565,1001000,0.0,1.0
1999-12-06,90.31,91.69,90.31,91.0,20.5236612409,817700,0.0,1.0
1999-12-07,91.06,91.13,89.56,89.75,20.2417428172,1824900,0.0,1.0
1999-12-08,88.25,91.19,87.5,90.5,20.4108938714,1678700,0.0,1.0
1999-12-09,91.0,92.5,91.0,92.19,20.7920475802,1209300,0.0,1.0
1999-12-10,91.5,91.75,90.5,90.75,20.4672775561,1342600,0.0,1.0
1999-12-13,90.69,90.75,88.56,89.56,20.1988912168,1590900,0.0,1.0
1999-12-14,87.88,89.88,87.81,87.81,19.8042054237,1808300,0.0,1.0
1999-12-15,88.38,91.75,88.38,89.94,20.2845944176,1258300,0.0,1.0
1999-12-16,89.94,89.94,88.81,89.44,20.1718270482,1232800,0.0,1.0
1999-12-17,87.5,89.94,87.5,87.5,19.7342896547,2283400,0.0,1.0
1999-12-20,87.5,88.0,85.0,86.14,19.4275624098,1187900,0.0,1.0
1999-12-21,85.31,87.0,85.13,85.44,19.2696880925,1210300,0.0,1.0
1999-12-22,85.63,85.88,84.31,84.75,19.1140691227,1090800,0.0,1.0
1999-12-23,85.5,86.69,84.0,86.44,19.4952228314,876600,0.0,1.0
1999-12-27,85.5,86.44,83.94,84.63,19.087004954,1226900,0.0,1.0
