dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,48.25,48.5,48.25,48.44,9.78163341971,562600,0.0,1.0
1999-11-04,48.5,48.69,48.44,48.63,9.82000068539,652700,0.0,1.0
1999-11-05,48.88,49.38,48.5,48.5,9.79374939834,835500,0.0,1.0
1999-11-08,48.5,48.63,47.94,47.94,9.68066693106,980100,0.0,1.0
1999-11-09,48.13,48.13,47.81,47.88,9.66855095243,818500,0.0,1.0
1999-11-10,47.81,47.94,47.44,47.56,9.60393239969,468300,0.0,1.0
1999-11-11,47.44,47.88,47.38,47.75,9.64229966538,739300,0.0,1.0
1999-11-12,47.88,48.13,47.75,48.13,9.71903419675,612100,0.0,1.0
1999-11-15,47.88,48.06,47.75,48.0,9.6927829097,206800,0.0,1.0
1999-11-16,47.94,48.63,47.81,48.25,9.74326615402,429100,0.0,1.0
1999-11-17,48.5,48.69,48.31,48.56,9.80586537698,558800,0.0,1.0
1999-11-18,48.56,48.56,48.19,48.25,9.74326615402,438800,0.0,1.0
1999-11-19,48.13,48.19,47.94,47.94,9.68066693106,594800,0.0,1.0
1999-11-22,47.69,47.81,47.19,47.25,9.54133317674,1155000,0.0,1.0
1999-11-23,46.56,46.63,45.75,45.81,9.38079645979,875200,0.645,1.0
1999-11-24,45.81,46.25,45.56,45.94,9.40741736221,611400,0.0,1.0
1999-11-26,45.94,46.06,45.56,45.63,9.34393674875,158200,0.0,1.0
1999-11-29,45.63,45.69,44.63,44.69,9.15144714665,582900,0.0,1.0
1999-11-30,44.63,45.56,44.63,45.38,9.29274270564,801100,0.0,1.0
1999-12-01,45.25,45.31,44.94,45.0,9.21492776011,898500,0.0,1.0
1999-12-02,45.0,45.31,44.63,44.63,9.13916057631,1523700,0.0,1.0
1999-12-03,44.31,44.88,44.31,44.56,9.12482624424,1184600,0.0,1.0
1999-12-06,44.5,44.94,44.0,44.06,9.02243815801,509600,0.0,1.0
1999-12-07,44.0,44.5,43.75,44.13,9.03677249008,787000,0.0,1.0
1999-12-08,44.0,44.13,43.31,43.5,8.90776350144,516400,0.0,1.0
1999-12-09,43.5,43.5,43.19,43.19,8.84428288798,695000,0.0,1.0
1999-12-10,43.25,43.44,43.0,43.13,8.83199631764,690200,0.0,1.0
1999-12-13,43.0,43.06,42.75,42.93,8.79104108315,374100,0.0,1.0
1999-12-14,42.75,43.19,42.75,42.94,8.79308884487,282100,0.0,1.0
1999-12-15,43.13,43.19,42.69,42.94,8.79308884487,865800,0.0,1.0
1999-12-16,42.75,42.81,41.44,41.5,8.49821115655,701100,0.0,1.0
1999-12-17,41.5,41.62,41.0,41.0,8.39582307032,1032600,0.0,1.0
1999-12-20,41.06,41.44,40.56,40.94,8.38353649998,1144800,0.0,1.0
1999-12-21,40.94,41.63,40.94,40.94,8.38353649998,1235900,0.0,1.0
1999-12-22,41.0,41.0,40.56,40.56,8.30572155445,747500,0.0,1.0
1999-12-23,40.63,40.88,40.56,40.63,8.32005588652,848100,0.0,1.0
1999-12-27,40.75,40.88,40.31,40.31,8.25452751134,581600,0.0,1.0
1999-12-28,40.19,40.5,40.06,40.06,8.20333346822,522100,0.0,1.0
1999-12-29,40.06,40.13,39.5,39.75,8.13985285477,660000,0.0,1.0
1999-12-30,39.75,39.88,39.63,39.63,8.11527971407,662100,0.0,1.0
1999-12-31,39.63,39.63,39.25,39.25,8.03746476854,415800,0.0,1.0
2000-01-03,39.0,39.0,38.06,38.13,7.8081154554,1036700,0.0,1.0
2000-01-04,38.13,39.13,37.75,39.06,7.99855729578,1665400,0.0,1.0
2000-01-05,39.5,40.69,39.5,40.38,8.26886184341,3203300,0.0,1.0
2000-01-06,40.63,41.13,40.31,40.56,8.30572155445,2416800,0.0,1.0
2000-01-07,40.5,40.94,40.38,40.56,8.30572155445,1667600,0.0,1.0
2000-01-10,41.0,41.0,40.5,40.56,8.30572155445,1306200,0.0,1.0
2000-01-11,40.5,40.94,40.38,40.69,8.33234245687,1188300,0.0,1.0
2000-01-12,40.69,41.63,40.69,41.0,8.39582307032,1765000,0.0,1.0
2000-01-13,41.0,41.63,41.0,41.56,8.51049772689,2410000,0.0,1.0
2000-01-14,41.69,41.75,41.38,41.63,8.52483205897,1970400,0.0,1.0
2000-01-18,41.63,41.75,41.25,41.56,8.51049772689,1155400,0.0,1.0
2000-01-19,41.94,42.5,41.75,42.25,8.65179328588,1889900,0.0,1.0
2000-01-20,42.25,42.5,42.13,42.44,8.69070075865,1549900,0.0,1.0
2000-01-21,42.44,42.63,42.25,42.31,8.66407985623,2292100,0.0,1.0
2000-01-24,42.56,43.13,42.31,42.44,8.69070075865,395000,0.0,1.0
2000-01-25,42.44,42.63,41.75,42.0,8.60059924277,645000,0.0,1.0
2000-01-26,42.63,42.69,42.25,42.69,8.74189480176,552800,0.0,1.0
2000-01-27,42.69,42.69,42.5,42.56,8.71527389934,451500,0.0,1.0
2000-01-28,40.75,41.5,40.25,40.63,8.32005588652,2766400,0.0,1.0
2000-01-31,40.88,41.75,40.69,41.75,8.54940519966,1731000,0.0,1.0
2000-02-01,41.75,41.75,40.81,41.06,8.40810964067,1136600,0.0,1.0
2000-02-02,41.13,41.44,40.88,41.38,8.47363801585,667800,0.0,1.0
2000-02-03,42.25,42.44,41.88,41.94,8.58831267242,3297400,0.0,1.0
2000-02-04,42.06,42.25,41.19,41.19,8.43473054309,1842900,0.0,1.0
2000-02-07,41.38,41.5,40.75,40.88,8.37124992963,1194100,0.0,1.0
2000-02-08,40.75,41.31,40.69,40.81,8.35691559756,1492500,0.0,1.0
2000-02-09,40.88,40.94,40.56,40.69,8.33234245687,1070500,0.0,1.0
2000-02-10,41.38,41.38,40.69,40.81,8.35691559756,897100,0.0,1.0
2000-02-11,40.56,40.75,40.25,40.44,8.28114841375,732500,0.0,1.0
2000-02-14,40.25,40.94,40.06,40.31,8.25452751134,783800,0.0,1.0
2000-02-15,40.56,40.75,40.5,40.63,8.32005588652,1225200,0.0,1.0
2000-02-16,40.75,40.81,40.56,40.69,8.33234245687,1005900,0.0,1.0
2000-02-17,40.69,40.94,40.56,40.81,8.35691559756,819200,0.0,1.0
2000-02-18,40.75,40.94,40.38,40.69,8.33234245687,1121500,0.0,1.0
2000-02-22,40.63,40.69,40.44,40.63,8.32005588652,904800,0.0,1.0
2000-02-23,40.31,40.56,39.0,39.0,7.98627072543,1484800,0.0,1.0
2000-02-24,39.25,39.25,37.81,38.63,7.91050354163,979200,0.0,1.0
2000-02-25,38.63,38.63,37.13,37.13,7.60333928295,851800,0.0,1.0
2000-02-28,36.5,37.38,36.06,37.0,7.70879901177,2315900,0.645,1.0
2000-02-29,37.06,37.19,36.63,36.69,7.6442117768,702300,0.0,1.0
2000-03-01,36.69,36.69,34.81,36.06,7.51295384768,1040000,0.0,1.0
2000-03-02,36.06,37.38,35.56,36.63,7.63171102165,1065700,0.0,1.0
2000-03-03,37.0,37.25,36.75,36.75,7.65671253196,714300,0.0,1.0
2000-03-06,36.75,36.81,35.56,36.31,7.56504032749,776300,0.0,1.0
2000-03-07,36.31,37.06,36.31,36.44,7.59212529699,868600,0.0,1.0
2000-03-08,36.19,36.81,35.69,36.75,7.65671253196,1069600,0.0,1.0
2000-03-09,36.69,37.06,36.63,36.69,7.6442117768,891200,0.0,1.0
2000-03-10,36.69,36.69,36.06,36.31,7.56504032749,765500,0.0,1.0
2000-03-13,36.0,36.13,35.5,35.88,7.47545158222,357900,0.0,1.0
2000-03-14,35.69,35.75,34.94,35.13,7.31919214279,703700,0.0,1.0
2000-03-15,35.13,37.25,35.13,36.75,7.65671253196,892700,0.0,1.0
2000-03-16,37.0,39.31,37.0,38.75,8.07340437043,917600,0.0,1.0
2000-03-17,39.31,39.31,37.13,37.31,7.77338624673,1308300,0.0,1.0
2000-03-20,37.56,38.13,37.44,37.81,7.87755920635,835100,0.0,1.0
2000-03-21,37.94,38.0,37.44,37.81,7.87755920635,644900,0.0,1.0
2000-03-22,37.63,37.88,37.13,37.81,7.87755920635,673800,0.0,1.0
2000-03-23,37.38,38.38,37.31,38.19,7.95673065566,548500,0.0,1.0
2000-03-24,38.19,38.19,37.44,37.56,7.82547272654,937800,0.0,1.0
2000-03-27,37.19,38.38,37.19,37.83,7.88172612473,452400,0.0,1.0
2000-03-28,37.44,37.69,36.69,36.88,7.68379750146,566800,0.0,1.0
2000-03-29,36.75,37.81,36.69,37.0,7.70879901177,670600,0.0,1.0
2000-03-30,37.19,38.25,37.19,38.13,7.9442299005,804400,0.0,1.0
2000-03-31,38.25,38.75,37.19,38.44,8.00881713547,776400,0.0,1.0
2000-04-03,38.5,38.69,38.13,38.56,8.03381864577,684800,0.0,1.0
2000-04-04,38.75,40.25,38.06,39.69,8.26924953451,753900,0.0,1.0
2000-04-05,39.75,41.5,39.69,40.0,8.33383676948,668300,0.0,1.0
2000-04-06,39.88,39.94,39.13,39.38,8.20466229955,791700,0.0,1.0
2000-04-07,39.13,39.44,38.5,38.69,8.06090361528,405500,0.0,1.0
2000-04-10,38.94,40.5,38.5,40.25,8.38592324928,548300,0.0,1.0
2000-04-11,40.19,41.63,40.19,41.0,8.54218268871,538100,0.0,1.0
2000-04-12,41.13,43.56,41.13,42.44,8.84220081241,717300,0.0,1.0
2000-04-13,42.44,45.0,42.38,44.69,9.3109791307,1226300,0.0,1.0
2000-04-14,45.5,45.56,43.25,43.44,9.05054673165,1383800,0.0,1.0
2000-04-17,43.31,44.69,41.31,43.56,9.07554824196,1386000,0.0,1.0
2000-04-18,43.5,44.44,42.75,42.88,8.93387301688,609400,0.0,1.0
2000-04-19,42.69,42.81,41.25,42.44,8.84220081241,726100,0.0,1.0
2000-04-20,42.31,43.13,42.0,42.94,8.94637377203,1096900,0.0,1.0
2000-04-24,43.0,44.75,43.0,44.31,9.23180768139,605800,0.0,1.0
2000-04-25,44.88,45.94,43.25,45.81,9.54432656024,935600,0.0,1.0
2000-04-26,45.56,46.94,45.38,46.5,9.68808524452,1008300,0.0,1.0
2000-04-27,46.25,46.38,45.13,45.5,9.47973932528,643900,0.0,1.0
2000-04-28,45.13,45.31,44.25,45.0,9.37556636566,545900,0.0,1.0
2000-05-01,44.75,45.06,44.25,44.38,9.24639189573,776000,0.0,1.0
2000-05-02,44.13,44.75,43.13,43.19,8.99846025184,611900,0.0,1.0
2000-05-03,43.31,43.63,42.75,43.44,9.05054673165,506200,0.0,1.0
2000-05-04,43.5,45.0,43.06,44.5,9.27139340604,696700,0.0,1.0
2000-05-05,44.44,44.44,43.19,43.56,9.07554824196,404800,0.0,1.0
2000-05-08,43.69,45.94,43.56,43.88,9.14221893611,577400,0.0,1.0
2000-05-09,43.88,44.13,43.63,43.94,9.15471969127,352200,0.0,1.0
2000-05-10,44.19,46.19,44.13,45.94,9.57141152974,1146200,0.0,1.0
2000-05-11,45.94,47.06,45.75,46.69,9.72767096917,735000,0.0,1.0
2000-05-12,46.56,46.63,45.0,45.5,9.47973932528,602300,0.0,1.0
2000-05-15,45.5,46.75,45.5,46.0,9.5839122849,399000,0.0,1.0
2000-05-16,45.94,46.25,44.75,45.88,9.55891077459,501100,0.0,1.0
2000-05-17,45.63,45.63,43.81,44.19,9.20680617108,460500,0.0,1.0
2000-05-18,44.31,45.94,44.31,45.44,9.46723857012,693900,0.0,1.0
2000-05-19,45.44,46.56,44.63,46.19,9.62349800955,495400,0.0,1.0
2000-05-22,46.31,47.5,46.13,46.88,9.76725669383,490500,0.0,1.0
2000-05-23,46.88,46.94,45.13,45.5,9.47973932528,673800,0.0,1.0
2000-05-24,45.06,46.13,44.94,45.44,9.60162168803,1027700,0.645,1.0
2000-05-25,45.5,45.5,44.63,45.06,9.52132643624,515100,0.0,1.0
2000-05-26,45.06,46.38,45.06,46.06,9.73262973043,366800,0.0,1.0
2000-05-30,46.75,46.75,44.81,45.19,9.54879586448,548600,0.0,1.0
2000-05-31,45.56,46.19,45.31,45.75,9.66712570923,331900,0.0,1.0
2000-06-01,45.56,45.94,44.88,45.81,9.67980390688,571400,0.0,1.0
2000-06-02,45.56,45.56,44.75,45.0,9.50864823859,648300,0.0,1.0
2000-06-05,44.75,44.81,43.44,43.88,9.27198854909,497800,0.0,1.0
2000-06-06,43.75,44.81,43.5,44.25,9.35017076795,798000,0.0,1.0
2000-06-07,44.25,44.38,43.56,43.75,9.24451912085,386500,0.0,1.0
2000-06-08,43.56,43.88,43.0,43.88,9.27198854909,820500,0.0,1.0
2000-06-09,44.25,45.0,44.0,44.63,9.43046601974,1095100,0.0,1.0
2000-06-12,44.69,45.56,44.69,44.88,9.48329184329,390800,0.0,1.0
2000-06-13,45.0,45.38,44.63,44.88,9.48329184329,523600,0.0,1.0
2000-06-14,44.5,44.63,44.0,44.25,9.35017076795,513400,0.0,1.0
2000-06-15,44.31,45.19,44.31,44.63,9.43046601974,897300,0.0,1.0
2000-06-16,44.63,45.13,44.38,44.56,9.41567478914,766000,0.0,1.0
2000-06-19,44.44,44.81,43.5,43.56,9.20437149495,808600,0.0,1.0
2000-06-20,44.13,44.94,43.69,44.44,9.39031839384,1268100,0.0,1.0
2000-06-21,45.5,45.5,44.31,44.44,9.39031839384,1522000,0.0,1.0
2000-06-22,44.25,44.5,43.88,44.31,9.3628489656,858300,0.0,1.0
2000-06-23,44.13,44.94,44.0,44.31,9.3628489656,511800,0.0,1.0
2000-06-26,44.0,44.75,44.0,44.44,9.39031839384,543600,0.0,1.0
2000-06-27,44.38,44.44,43.25,43.69,9.2318409232,888400,0.0,1.0
2000-06-28,43.13,44.31,42.5,44.1,9.31847527382,1757700,0.0,1.0
2000-06-29,44.06,44.25,43.56,43.94,9.28466674675,771300,0.0,1.0
2000-06-30,43.56,45.5,42.44,42.88,9.0606852549,1061000,0.0,1.0
2000-07-03,42.88,44.44,42.88,43.63,9.21916272555,258900,0.0,1.0
2000-07-05,43.75,44.44,42.81,43.0,9.08604165021,727300,0.0,1.0
2000-07-06,43.13,44.19,43.0,44.19,9.33749257029,428100,0.0,1.0
2000-07-07,44.19,45.13,43.75,45.13,9.53611766683,705200,0.0,1.0
2000-07-10,45.0,45.88,45.0,45.75,9.66712570923,681300,0.0,1.0
2000-07-11,45.75,46.19,45.19,46.19,9.76009915868,666700,0.0,1.0
2000-07-12,46.19,46.25,45.0,46.13,9.74742096102,684000,0.0,1.0
2000-07-13,45.63,46.88,45.25,46.75,9.87842900342,731700,0.0,1.0
2000-07-14,46.75,47.69,46.75,47.06,9.94393302462,969000,0.0,1.0
2000-07-17,46.81,47.56,46.63,47.09,9.95027212345,397300,0.0,1.0
2000-07-18,47.19,47.81,47.0,47.44,10.0242282764,541300,0.0,1.0
2000-07-19,47.5,48.31,47.44,48.06,10.1552363188,846500,0.0,1.0
2000-07-20,47.88,48.19,47.75,47.88,10.1172017259,739300,0.0,1.0
2000-07-21,47.94,48.06,47.5,47.63,10.0643759023,355400,0.0,1.0
2000-07-24,47.38,47.69,46.81,47.13,9.95872425521,324400,0.0,1.0
2000-07-25,47.25,47.88,47.0,47.69,10.0770541,853300,0.0,1.0
2000-07-26,47.63,47.63,47.0,47.0,9.93125482697,536300,0.0,1.0
2000-07-27,47.0,48.0,46.75,47.0,9.93125482697,858000,0.0,1.0
2000-07-28,46.94,47.19,46.0,46.19,9.76009915868,685300,0.0,1.0
2000-07-31,46.38,46.88,45.31,45.44,9.60162168803,582900,0.0,1.0
2000-08-01,45.56,47.0,45.5,46.81,9.89110720107,561500,0.0,1.0
2000-08-02,46.81,48.06,46.56,47.75,10.0897322976,580300,0.0,1.0
2000-08-03,48.44,49.38,48.25,48.83,10.3179398553,679800,0.0,1.0
2000-08-04,48.88,49.75,47.69,49.63,10.4869824907,890600,0.0,1.0
2000-08-07,49.38,50.75,49.06,50.64,10.7003988178,627500,0.0,1.0
2000-08-08,50.5,50.88,49.19,50.88,10.7511116084,961000,0.0,1.0
2000-08-09,50.25,50.81,50.06,50.48,10.6665902908,653000,0.0,1.0
2000-08-10,49.63,50.38,49.63,50.08,10.5820689731,423000,0.0,1.0
2000-08-11,50.38,51.25,50.25,50.88,10.7511116084,551300,0.0,1.0
2000-08-14,50.81,52.19,50.31,51.88,10.9624149026,772200,0.0,1.0
2000-08-15,51.56,52.94,51.56,52.13,11.0152407262,911600,0.0,1.0
2000-08-16,51.63,52.5,51.63,51.75,10.9349454744,387600,0.0,1.0
2000-08-17,51.5,52.5,51.5,52.44,11.0807447474,877500,0.0,1.0
2000-08-18,52.19,52.44,51.38,51.81,10.947623672,534300,0.0,1.0
2000-08-21,51.75,51.88,51.06,51.56,10.8947978485,553600,0.0,1.0
2000-08-22,51.56,52.06,51.25,51.94,10.9750931003,423200,0.0,1.0
2000-08-23,51.5,52.44,51.19,52.38,11.2043571745,1487600,0.645,1.0
2000-08-24,52.13,52.56,51.44,51.69,11.0567625496,496800,0.0,1.0
2000-08-25,51.69,51.69,50.5,50.5,10.802215298,565800,0.0,1.0
2000-08-28,50.5,51.31,50.5,50.88,10.8834992943,518200,0.0,1.0
2000-08-29,50.81,51.31,50.44,50.69,10.8428572962,276900,0.0,1.0
2000-08-30,50.13,51.75,50.06,51.38,10.990451921,538600,0.0,1.0
2000-08-31,51.31,53.94,51.31,52.89,11.3134488537,1553500,0.0,1.0
2000-09-01,53.0,53.56,52.88,53.02,11.3412565367,459200,0.0,1.0
2000-09-05,52.5,54.19,52.0,53.94,11.5380493698,374900,0.0,1.0
2000-09-06,53.94,54.69,53.88,54.63,11.6856439947,762900,0.0,1.0
2000-09-07,54.69,55.69,54.5,55.44,11.85890725,558000,0.0,1.0
2000-09-08,55.5,57.25,55.13,57.15,12.2246852333,599200,0.0,1.0
2000-09-11,57.25,59.38,57.25,58.75,12.5669336388,1007800,0.0,1.0
2000-09-12,58.44,59.19,56.94,57.88,12.3808360683,1359200,0.0,1.0
2000-09-13,58.0,59.13,57.94,58.38,12.487788695,1173400,0.0,1.0
2000-09-14,58.0,58.5,56.75,58.25,12.4599810121,1137600,0.0,1.0
2000-09-15,58.88,59.75,58.25,58.89,12.5968803743,824600,0.0,1.0
2000-09-18,58.69,59.25,57.88,59.11,12.64393953,528600,0.0,1.0
2000-09-19,59.81,59.81,55.5,55.81,11.9380521937,1076100,0.0,1.0
2000-09-20,55.88,55.88,53.75,54.69,11.6984783099,988900,0.0,1.0
2000-09-21,55.25,56.0,53.94,54.56,11.6706706269,673100,0.0,1.0
2000-09-22,54.81,56.25,54.69,55.0,11.7647889384,657000,0.0,1.0
2000-09-25,54.38,55.25,54.06,55.0,11.7647889384,598300,0.0,1.0
2000-09-26,55.0,57.13,55.0,56.56,12.0984811338,725700,0.0,1.0
2000-09-27,56.5,57.38,55.31,57.14,12.2225461808,582400,0.0,1.0
2000-09-28,57.38,58.25,57.38,57.56,12.3123863872,709800,0.0,1.0
2000-09-29,57.81,59.0,57.81,58.08,12.423617119,560300,0.0,1.0
2000-10-02,57.94,57.94,56.25,57.19,12.2332414435,771400,0.0,1.0
2000-10-03,57.0,57.13,55.25,55.31,11.831099567,659500,0.0,1.0
2000-10-04,55.31,56.25,52.25,52.94,11.3241441164,1409500,0.0,1.0
2000-10-05,52.69,53.5,50.75,51.0,10.9091679247,1848200,0.0,1.0
2000-10-06,52.63,53.94,52.63,53.69,11.4845730565,1361800,0.0,1.0
2000-10-09,53.69,55.25,53.38,54.06,11.5637180002,497800,0.0,1.0
2000-10-10,54.5,56.44,54.44,55.63,11.8995492481,994700,0.0,1.0
2000-10-11,56.44,57.13,55.63,55.94,11.9658598767,876500,0.0,1.0
2000-10-12,56.0,57.5,55.06,56.0,11.9786941919,729100,0.0,1.0
2000-10-13,56.38,57.63,56.38,57.19,12.2332414435,572900,0.0,1.0
2000-10-16,57.25,58.31,57.13,58.25,12.4599810121,626800,0.0,1.0
2000-10-17,58.25,58.75,57.69,58.44,12.5006230102,636400,0.0,1.0
2000-10-18,58.63,59.13,56.94,57.06,12.2054337605,1057900,0.0,1.0
2000-10-19,57.06,58.13,56.19,58.0,12.4065046987,854400,0.0,1.0
2000-10-20,57.94,59.13,57.88,59.06,12.6332442674,1127500,0.0,1.0
2000-10-23,59.06,59.88,58.69,59.38,12.7016939485,566600,0.0,1.0
2000-10-24,59.5,60.0,58.5,59.06,12.6332442674,760100,0.0,1.0
2000-10-25,58.88,59.81,58.06,58.38,12.487788695,798900,0.0,1.0
2000-10-26,58.25,58.5,56.88,57.0,12.1925994453,1053000,0.0,1.0
2000-10-27,57.0,58.25,55.56,58.25,12.4599810121,907100,0.0,1.0
2000-10-30,58.25,59.94,58.25,59.88,12.8086465752,551700,0.0,1.0
2000-10-31,59.88,60.0,58.5,59.56,12.7401968941,514600,0.0,1.0
2000-11-01,59.75,61.19,59.5,60.56,12.9541021475,644600,0.0,1.0
2000-11-02,60.63,60.69,59.06,59.25,12.6738862655,367400,0.0,1.0
2000-11-03,58.75,60.0,57.25,58.0,12.4065046987,377500,0.0,1.0
2000-11-06,58.0,59.31,57.44,58.0,12.4065046987,396500,0.0,1.0
2000-11-07,57.75,58.25,56.81,58.06,12.4193390139,532300,0.0,1.0
2000-11-08,58.06,58.75,57.5,57.75,12.3530283854,780100,0.0,1.0
2000-11-09,57.75,58.19,57.19,58.06,12.4193390139,506300,0.0,1.0
2000-11-10,58.13,59.31,58.13,59.0,12.6204099522,730800,0.0,1.0
2000-11-13,59.0,60.75,59.0,59.69,12.768004577,567300,0.0,1.0
2000-11-14,59.63,59.63,57.94,58.5,12.5134573254,283200,0.0,1.0
2000-11-15,58.75,59.88,58.31,59.31,12.6867205807,400000,0.0,1.0
2000-11-16,59.75,60.75,59.38,60.75,12.9947441456,453300,0.0,1.0
2000-11-17,60.94,62.69,60.75,62.69,13.4097203373,939500,0.0,1.0
2000-11-20,63.44,63.69,62.31,62.88,13.4503623354,2117400,0.0,1.0
2000-11-21,59.88,60.13,59.31,59.5,12.8653314673,2671200,0.645,1.0
2000-11-22,59.5,60.63,59.38,60.0,12.9734434965,1275500,0.0,1.0
2000-11-24,60.13,60.44,59.63,60.31,13.0404729545,203500,0.0,1.0
2000-11-27,60.31,60.38,59.75,59.81,12.9323609254,656000,0.0,1.0
2000-11-28,60.06,60.19,59.06,59.88,12.9474966095,1330000,0.0,1.0
2000-11-29,59.38,60.75,59.38,60.44,13.0685820821,881700,0.0,1.0
2000-11-30,60.44,61.19,59.31,60.0,12.9734434965,1775200,0.0,1.0
2000-12-01,59.75,59.88,58.31,59.25,12.8112754528,727200,0.0,1.0
2000-12-04,59.5,60.75,59.31,60.13,13.001552624,890500,0.0,1.0
2000-12-05,59.88,59.88,58.31,58.56,12.6620808525,1219600,0.0,1.0
2000-12-06,59.5,59.94,58.56,58.75,12.7031634236,784800,0.0,1.0
2000-12-07,59.0,60.69,58.88,59.94,12.960470053,782000,0.0,1.0
2000-12-08,59.25,60.25,58.81,60.19,13.0145260675,753000,0.0,1.0
2000-12-11,60.19,60.25,59.19,60.06,12.98641694,689000,0.0,1.0
2000-12-12,60.56,60.81,60.0,60.19,13.0145260675,514700,0.0,1.0
2000-12-13,60.19,61.88,60.13,61.63,13.3258887114,897500,0.0,1.0
2000-12-14,61.75,61.75,60.75,61.0,13.1896675547,806500,0.0,1.0
2000-12-15,61.0,61.81,60.94,61.5,13.2977795839,1178800,0.0,1.0
2000-12-18,61.75,62.5,61.19,62.06,13.4188650565,621100,0.0,1.0
2000-12-19,62.88,63.06,61.88,62.06,13.4188650565,733400,0.0,1.0
2000-12-20,62.31,64.25,61.88,63.75,13.784283715,944300,0.0,1.0
2000-12-21,64.38,65.0,63.5,64.69,13.9875343298,788700,0.0,1.0
2000-12-22,64.5,65.56,64.13,65.38,14.13672893,469400,0.0,1.0
2000-12-26,65.75,67.38,65.75,67.25,14.541067919,330300,0.0,1.0
2000-12-27,67.0,67.94,66.38,67.13,14.515121032,496200,0.0,1.0
2000-12-28,67.25,67.25,65.88,66.94,14.4740384609,481400,0.0,1.0
2000-12-29,66.94,67.13,66.19,67.0,14.4870119044,428900,0.0,1.0
2001-01-02,65.75,66.13,64.56,65.56,14.1756492605,552200,0.0,1.0
2001-01-03,65.5,66.25,60.25,60.44,13.0685820821,1284600,0.0,1.0
2001-01-04,61.0,61.0,55.5,56.0,12.1085472634,2009600,0.0,1.0
2001-01-05,56.25,56.88,55.31,56.44,12.203685849,1649700,0.0,1.0
2001-01-08,57.5,58.88,57.31,58.69,12.6901899801,1683900,0.0,1.0
