dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,63.56,63.75,62.0,62.06,62.6651974212,2160200,0.0,1.0
1999-11-02,61.0,62.63,60.94,61.94,62.5440272039,2672800,0.0,1.0
1999-11-03,62.63,62.94,61.31,61.94,62.5440272039,2184600,0.0,1.0
1999-11-04,62.13,63.25,61.44,62.13,62.735880048,2273600,0.0,1.0
1999-11-05,62.88,63.75,62.44,62.63,63.2407559538,1661400,0.0,1.0
1999-11-08,61.69,61.94,60.38,60.56,61.150569704,2023200,0.0,1.0
1999-11-09,61.44,63.06,61.13,61.38,61.9785661894,3974600,0.0,1.0
1999-11-10,60.81,62.69,60.69,62.19,63.1498782907,1856300,0.35,1.0
1999-11-11,61.94,62.25,59.88,60.13,61.0580829976,2093600,0.0,1.0
1999-11-12,60.81,61.94,60.31,61.56,62.5101544875,2063200,0.0,1.0
1999-11-15,60.88,63.06,60.63,62.13,63.0889522143,1829600,0.0,1.0
1999-11-16,62.19,63.19,61.38,62.5,63.4646630193,2033500,0.0,1.0
1999-11-17,61.56,62.94,61.44,62.25,63.2108043672,2885800,0.0,1.0
1999-11-18,61.56,62.44,61.5,61.56,62.5101544875,1774100,0.0,1.0
1999-11-19,61.13,62.25,60.06,61.06,62.0024371834,2036700,0.0,1.0
1999-11-22,60.94,60.94,59.94,60.19,61.1190090741,2315800,0.0,1.0
1999-11-23,59.69,61.13,59.5,60.63,61.5658003018,2854400,0.0,1.0
1999-11-24,60.5,61.56,60.5,60.69,61.6267263783,3982000,0.0,1.0
1999-11-26,60.94,61.19,60.13,60.19,61.1190090741,621100,0.0,1.0
1999-11-29,59.94,60.0,58.69,59.13,60.0426483893,2350300,0.0,1.0
1999-11-30,58.44,62.0,58.44,59.44,60.3574331179,3765200,0.0,1.0
1999-12-01,59.38,60.75,59.31,60.0,60.9260764986,2034700,0.0,1.0
1999-12-02,60.0,60.69,60.0,60.06,60.9870025751,1766000,0.0,1.0
1999-12-03,60.94,61.63,60.75,60.81,61.7485785313,2628700,0.0,1.0
1999-12-06,60.81,62.0,60.75,61.69,62.6421609866,1920500,0.0,1.0
1999-12-07,61.0,61.94,60.19,61.25,62.1953697589,2713800,0.0,1.0
1999-12-08,60.75,60.94,59.0,59.5,60.4183591944,2376100,0.0,1.0
1999-12-09,59.13,59.13,58.06,59.0,59.9106418902,2199300,0.0,1.0
1999-12-10,59.0,60.25,58.69,60.06,60.9870025751,2662800,0.0,1.0
1999-12-13,59.88,62.44,59.75,61.63,62.5812349101,3389600,0.0,1.0
1999-12-14,61.88,65.81,61.44,64.88,65.8813973871,5252600,0.0,1.0
1999-12-15,65.44,66.25,64.56,65.04,66.0438669244,4565900,0.0,1.0
1999-12-16,64.25,65.31,63.56,65.31,66.3180342687,2526200,0.0,1.0
1999-12-17,65.31,69.44,65.19,68.56,69.6181967457,5730200,0.0,1.0
1999-12-20,68.44,68.69,64.06,64.63,65.627538735,2868200,0.0,1.0
1999-12-21,64.56,64.63,63.38,63.81,64.7948823562,2613200,0.0,1.0
1999-12-22,63.38,64.31,62.81,63.38,64.3582454746,2140500,0.0,1.0
1999-12-23,63.81,64.56,63.5,64.38,65.3736800829,1852100,0.0,1.0
1999-12-27,64.13,65.0,62.88,62.88,63.8505281705,1634700,0.0,1.0
1999-12-28,63.0,65.13,63.0,64.25,65.2416735839,2583300,0.0,1.0
1999-12-29,65.44,67.56,64.81,65.88,66.8968319954,1917000,0.0,1.0
1999-12-30,65.94,66.44,64.75,65.13,66.1352560392,1587600,0.0,1.0
1999-12-31,65.13,67.0,65.06,65.88,66.8968319954,889300,0.0,1.0
2000-01-03,66.0,66.5,65.0,65.0,66.0032495401,2792000,0.0,1.0
2000-01-04,64.5,66.0,64.5,65.0,66.0032495401,2673700,0.0,1.0
2000-01-05,65.94,68.38,65.94,67.81,68.8566207894,4741400,0.0,1.0
2000-01-06,67.56,72.75,67.25,71.5,72.6035744941,6612500,0.0,1.0
