dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2009-11-13,22.0,23.1,21.75,22.73,21.1583265329,22079100,0.0,1.0
2009-11-16,22.9,23.1,22.13,23.1,21.5027427589,2080000,0.0,1.0
2009-11-17,23.03,23.17,22.5,23.04,21.446891479,1328000,0.0,1.0
2009-11-18,23.0,23.02,22.5,22.55,20.9907726932,918300,0.0,1.0
2009-11-19,22.27,23.14,22.27,22.87,21.288646186,1031500,0.0,1.0
2009-11-20,22.5,23.33,22.5,23.21,21.6051367721,1080900,0.0,1.0
2009-11-23,23.7,23.98,23.18,23.4,21.7819991584,741100,0.0,1.0
2009-11-24,23.6,23.65,23.25,23.5,21.8750846249,633100,0.0,1.0
2009-11-25,23.0,23.8,22.99,23.74,22.0984897444,362600,0.0,1.0
2009-11-27,22.74,23.3,22.74,23.15,21.5492854922,141400,0.0,1.0
2009-11-30,23.12,23.12,22.62,23.0,21.4096572924,853000,0.0,1.0
2009-12-01,23.44,23.57,23.0,23.31,21.6982222385,803500,0.0,1.0
2009-12-02,23.29,23.75,23.25,23.6,21.9681700914,571300,0.0,1.0
2009-12-03,23.82,23.82,23.0,23.31,21.6982222385,410000,0.0,1.0
2009-12-04,23.47,23.98,23.3,23.85,22.2008837576,318100,0.0,1.0
2009-12-07,23.77,23.77,23.28,23.63,21.9960957313,271500,0.0,1.0
2009-12-08,23.5,23.75,23.0,23.63,21.9960957313,652900,0.0,1.0
2009-12-09,23.63,24.12,23.5,24.0,22.3405119573,609400,0.0,1.0
2009-12-10,24.77,24.77,23.39,23.7,22.0612555578,848400,0.0,1.0
2009-12-11,23.6,23.74,23.113,23.34,21.7261478785,600300,0.0,1.0
2009-12-14,23.29,23.33,22.75,22.8,21.2234863595,489100,0.0,1.0
2009-12-15,22.8,22.89,22.52,22.69,21.1210923463,700100,0.0,1.0
2009-12-16,22.84,23.05,22.55,22.73,21.1583265329,585400,0.0,1.0
2009-12-17,22.75,22.75,22.08,22.44,20.8883786801,634000,0.0,1.0
2009-12-18,22.61,22.61,22.11,22.57,21.0093897865,2105100,0.0,1.0
2009-12-21,22.5,22.61,22.17,22.6,21.0373154265,536400,0.0,1.0
2009-12-22,22.58,22.61,22.3,22.4,20.8511444935,766100,0.0,1.0
2009-12-23,23.22,23.25,22.4,22.41,20.8604530401,1103000,0.0,1.0
2009-12-24,22.46,22.5999,22.1,22.15,20.6184308273,254300,0.0,1.0
2009-12-28,22.15,22.68,22.15,22.62,21.0559325198,804300,0.0,1.0
2009-12-29,22.69,22.8,22.53,22.61,21.0466239731,123500,0.0,1.0
2009-12-30,22.52,22.8,22.52,22.61,21.0466239731,173300,0.0,1.0
2009-12-31,22.8,22.84,22.38,22.43,20.8790701334,156700,0.0,1.0
2010-01-04,22.55,23.4,22.4,23.08,21.4841256656,437200,0.0,1.0
2010-01-05,23.0,23.26,22.96,23.26,21.6516795053,283600,0.0,1.0
2010-01-06,23.6,23.9,23.41,23.58,21.9495529981,968100,0.0,1.0
2010-01-07,23.55,23.78,23.4,23.74,22.0984897444,360700,0.0,1.0
2010-01-08,23.64,24.15,23.32,23.87,22.2195008509,967300,0.0,1.0
2010-01-11,23.85,24.08,23.76,24.0,22.3405119573,253500,0.0,1.0
2010-01-12,23.85,24.0,23.56,23.95,22.2939692241,517700,0.0,1.0
2010-01-13,23.95,24.3981,23.81,24.3,22.6197683568,596300,0.0,1.0
2010-01-14,24.18,24.2,23.925,24.2,22.5266828903,201500,0.0,1.0
2010-01-15,24.44,24.5,24.1,24.36,22.6756196367,202100,0.0,1.0
2010-01-19,24.4,24.9,24.2301,24.55,22.852482023,679300,0.0,1.0
2010-01-20,24.51,24.8,24.25,24.51,22.8152478364,589800,0.0,1.0
2010-01-21,24.53,24.718,23.9001,23.98,22.321894864,203300,0.0,1.0
2010-01-22,23.99,24.04,22.77,23.34,21.7261478785,892700,0.0,1.0
2010-01-25,23.64,23.64,23.06,23.35,21.7354564251,119500,0.0,1.0
2010-01-26,23.4,23.68,23.32,23.53,21.9030102648,164800,0.0,1.0
2010-01-27,23.6,23.6,23.37,23.55,21.9216273581,175300,0.0,1.0
2010-01-28,23.79,24.12,23.39,23.84,22.1915752109,131400,0.0,1.0
2010-01-29,24.0,24.0,23.23,23.49,21.8657760782,337800,0.0,1.0
2010-02-01,23.68,23.68,23.13,23.37,21.7540735184,407500,0.0,1.0
2010-02-02,23.33,23.72,23.19,23.63,21.9960957313,208300,0.0,1.0
2010-02-03,23.6,23.86,23.41,23.84,22.1915752109,827700,0.0,1.0
2010-02-04,23.64,23.75,22.35,22.47,20.91630432,714000,0.0,1.0
2010-02-05,22.41,22.57,21.3,21.71,20.2088547747,1137100,0.0,1.0
2010-02-08,21.88,22.63,21.7601,22.39,20.8418359468,208100,0.0,1.0
2010-02-09,22.49,22.76,22.27,22.56,21.0000812399,220700,0.0,1.0
2010-02-10,22.38,22.38,21.87,22.05,20.5253453608,403900,0.0,1.0
2010-02-11,21.97,22.1799,21.945,22.06,20.5346539074,107600,0.0,1.0
2010-02-12,21.91,22.55,21.88,22.55,20.9907726932,125600,0.0,1.0
2010-02-16,22.65,23.07,22.27,23.03,21.4375829324,248000,0.0,1.0
2010-02-17,23.04,23.39,22.59,22.76,21.1862521729,189800,0.0,1.0
2010-02-18,22.64,23.5,22.5,23.28,21.6702965986,121400,0.0,1.0
2010-02-19,23.29,23.96,23.29,23.58,21.9495529981,187600,0.0,1.0
2010-02-22,23.5,23.52,23.09,23.24,21.633062412,155500,0.0,1.0
2010-02-23,23.2,23.73,23.1,23.64,22.005404278,134300,0.0,1.0
2010-02-24,23.81,24.35,23.75,24.16,22.4894487037,208400,0.0,1.0
2010-02-25,23.82,24.07,23.52,23.8,22.1543410243,258000,0.0,1.0
2010-02-26,23.91,23.96,23.51,23.89,22.2381179442,265000,0.0,1.0
2010-03-01,24.01,24.57,23.88,24.09,22.4242888772,271500,0.0,1.0
2010-03-02,24.13,24.3,23.77,24.04,22.3777461439,279500,0.0,1.0
2010-03-03,24.0,24.1076,23.82,23.99,22.3312034107,114700,0.0,1.0
2010-03-04,24.02,24.4,23.99,24.2,22.5266828903,149900,0.0,1.0
2010-03-05,24.25,24.74,24.18,24.52,22.8245563831,189900,0.0,1.0
2010-03-08,24.55,24.88,24.51,24.67,22.9641845828,144800,0.0,1.0
2010-03-09,24.55,25.24,24.5,25.12,23.383069182,185200,0.0,1.0
2010-03-10,25.11,25.18,24.91,25.06,23.3272179021,248200,0.0,1.0
2010-03-11,24.99,25.19,24.81,25.11,23.3737606353,99800,0.0,1.0
2010-03-12,25.14,25.25,24.98,25.13,23.3923777286,55300,0.0,1.0
2010-03-15,25.16,25.25,24.87,25.03,23.2992922622,195600,0.0,1.0
2010-03-16,25.02,25.2,24.86,25.12,23.383069182,109300,0.0,1.0
2010-03-17,25.11,26.51,24.94,25.82,24.0346674474,503500,0.0,1.0
2010-03-18,25.88,25.9299,25.23,25.24,23.4947717418,156700,0.0,1.0
2010-03-19,25.29,25.75,25.0,25.6,23.8298794211,741400,0.0,1.0
2010-03-22,25.56,25.7155,24.95,25.01,23.2806751689,234000,0.0,1.0
2010-03-23,25.0,25.25,24.9,25.18,23.4389204619,152500,0.0,1.0
2010-03-24,25.17,25.97,25.0,25.25,23.5040802884,1307200,0.0,1.0
2010-03-25,25.44,25.48,24.29,24.43,22.7407794632,367900,0.0,1.0
2010-03-26,24.59,25.18,24.3465,24.99,23.2620580756,793000,0.0,1.0
2010-03-29,25.23,25.6,25.16,25.35,23.5971657549,336700,0.0,1.0
2010-03-30,25.5,25.91,25.2,25.79,24.0067418075,553100,0.0,1.0
2010-03-31,26.4,26.4,24.85,25.25,23.5040802884,1212100,0.0,1.0
2010-04-01,25.35,25.8,25.29,25.52,23.7554110479,1232200,0.0,1.0
2010-04-05,25.73,25.8,25.39,25.8,24.0160503541,621500,0.0,1.0
2010-04-06,26.11,27.01,26.08,27.01,25.1423844986,716600,0.0,1.0
