dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,28.19,29.75,28.13,29.44,5.70631478058,241300,0.0,1.0
1999-11-02,29.38,29.88,29.06,29.19,5.65785762382,114500,0.0,1.0
1999-11-03,29.0,29.63,28.81,29.56,5.72957421583,38900,0.0,1.0
1999-11-04,31.0,31.63,30.69,30.94,5.99705772117,95300,0.0,1.0
1999-11-05,30.94,30.94,30.31,30.75,5.96023028203,77100,0.0,1.0
1999-11-08,30.63,31.0,30.5,30.81,5.97185999965,41100,0.0,1.0
1999-11-09,30.81,30.94,30.69,30.94,5.99705772117,46600,0.0,1.0
1999-11-10,30.94,30.94,30.0,30.0,5.81485881174,245400,0.0,1.0
1999-11-11,29.75,30.0,29.69,29.94,5.80322909411,50700,0.0,1.0
1999-11-12,29.94,30.25,29.88,30.0,5.81485881174,306100,0.0,1.0
1999-11-15,29.88,30.25,29.88,30.25,5.8633159685,120800,0.0,1.0
1999-11-16,30.13,31.0,30.13,30.38,5.88851369002,214300,0.0,1.0
1999-11-17,30.38,30.5,30.38,30.5,5.91177312526,105200,0.0,1.0
1999-11-18,30.63,31.0,30.63,31.0,6.00868743879,226900,0.0,1.0
1999-11-19,31.13,31.13,30.5,30.56,5.92340284289,217700,0.0,1.0
1999-11-22,30.56,31.06,30.56,30.88,5.98542800355,75400,0.0,1.0
1999-11-23,30.88,31.56,30.88,31.0,6.00868743879,125100,0.0,1.0
1999-11-24,30.88,31.38,29.88,30.25,5.8633159685,77600,0.0,1.0
1999-11-26,30.25,30.63,30.25,30.38,5.88851369002,46600,0.0,1.0
1999-11-29,30.44,30.69,30.38,30.38,5.88851369002,41200,0.0,1.0
1999-11-30,30.38,30.5,30.13,30.44,5.90014340764,31900,0.0,1.0
1999-12-01,30.88,32.94,30.88,31.25,6.05714459556,287200,0.0,1.0
1999-12-02,31.06,31.06,30.56,30.94,5.99705772117,141300,0.0,1.0
1999-12-03,31.06,31.44,30.69,30.75,5.96023028203,33200,0.0,1.0
1999-12-06,30.75,31.44,30.75,31.13,6.03388516031,85200,0.0,1.0
1999-12-07,31.25,31.5,31.13,31.31,6.06877431318,195000,0.0,1.0
1999-12-08,31.38,31.38,31.0,31.06,6.02031715642,74700,0.0,1.0
1999-12-09,31.19,31.38,30.94,31.13,6.03388516031,64000,0.0,1.0
1999-12-10,31.13,31.13,30.88,30.88,5.98542800355,66000,0.0,1.0
1999-12-13,31.13,31.31,30.94,31.19,6.04551487793,72600,0.0,1.0
1999-12-14,31.13,31.19,30.81,30.81,5.97185999965,96000,0.0,1.0
1999-12-15,30.81,30.81,30.31,30.38,5.88851369002,64000,0.0,1.0
1999-12-16,30.38,30.81,30.25,30.56,5.92340284289,20700,0.0,1.0
1999-12-17,30.44,30.5,28.94,29.5,5.71794449821,99400,0.0,1.0
1999-12-20,29.5,29.75,29.5,29.69,5.75477193735,95500,0.0,1.0
1999-12-21,29.69,29.88,29.63,29.75,5.76640165497,50000,0.0,1.0
1999-12-22,29.94,30.31,28.88,29.19,5.65785762382,85500,0.0,1.0
1999-12-23,29.25,29.56,28.88,29.25,5.66948734144,22000,0.0,1.0
1999-12-27,29.13,30.25,29.13,30.06,5.82648852936,81000,0.0,1.0
1999-12-28,30.0,30.0,29.72,29.88,5.79159937649,30800,0.0,1.0
1999-12-29,29.88,30.38,29.88,30.19,5.85168625088,29500,0.0,1.0
1999-12-30,30.13,30.44,30.06,30.38,5.88851369002,32200,0.0,1.0
1999-12-31,30.31,30.69,30.19,30.56,5.92340284289,15000,0.0,1.0
2000-01-03,30.81,30.94,29.75,30.0,5.81485881174,98700,0.0,1.0
2000-01-04,29.81,30.06,29.63,29.94,5.80322909411,231100,0.0,1.0
2000-01-05,30.0,30.0,29.5,29.69,5.75477193735,156000,0.0,1.0
2000-01-06,29.56,29.81,29.13,29.81,5.77803137259,112600,0.0,1.0
2000-01-07,29.81,31.06,29.69,31.0,6.00868743879,402100,0.0,1.0
2000-01-10,31.06,32.44,31.06,31.56,6.11723146995,155200,0.0,1.0
2000-01-11,31.38,31.88,31.19,31.5,6.10560175232,143900,0.0,1.0
2000-01-12,31.44,31.44,31.0,31.38,6.08234231708,169200,0.0,1.0
2000-01-13,31.56,32.81,31.56,32.56,6.311060097,175000,0.0,1.0
2000-01-14,32.63,32.63,31.13,31.13,6.03388516031,61200,0.0,1.0
