dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,14.06,14.06,13.75,13.94,3.13341779638,329067,0.0,1.0
1999-11-04,14.25,14.25,13.69,13.69,3.07722307263,367867,0.0,1.0
1999-11-05,14.25,14.81,14.25,14.5,3.25929397759,488567,0.0,1.0
1999-11-08,14.56,14.63,14.19,14.56,3.27278071129,319467,0.0,1.0
1999-11-09,14.81,14.81,13.69,13.69,3.07722307263,371767,0.0,1.0
1999-11-10,13.81,13.94,13.63,13.63,3.06373633893,350800,0.0,1.0
1999-11-11,13.81,14.06,13.69,13.81,3.10419654003,308967,0.0,1.0
1999-11-12,13.94,14.0,13.5,13.56,3.04800181628,308833,0.0,1.0
1999-11-15,13.94,13.94,13.56,13.88,3.11993106268,385467,0.0,1.0
1999-11-16,14.0,15.13,13.94,15.13,3.40090468144,426167,0.0,1.0
1999-11-17,15.19,15.19,14.44,14.75,3.31548870134,248800,0.0,1.0
1999-11-18,14.75,14.94,14.69,14.88,3.34470995769,246033,0.0,1.0
1999-11-19,14.94,15.13,14.69,15.13,3.40090468144,278800,0.0,1.0
1999-11-22,15.5,15.56,14.88,14.94,3.35819669139,236800,0.0,1.0
1999-11-23,15.0,15.0,14.13,14.31,3.21658598754,266800,0.0,1.0
1999-11-24,14.31,14.63,14.13,14.38,3.23232051019,210267,0.0,1.0
1999-11-26,14.25,14.56,14.25,14.44,3.24580724389,61200,0.0,1.0
1999-11-29,14.69,14.69,13.88,14.0,3.14690453008,310967,0.0,1.0
1999-11-30,14.06,14.13,13.56,13.75,3.09070980633,306833,0.0,1.0
1999-12-01,13.81,13.81,13.38,13.44,3.02102834888,303867,0.0,1.0
1999-12-02,13.5,13.69,13.38,13.69,3.07722307263,387233,0.0,1.0
1999-12-03,14.13,14.19,13.94,14.19,3.18961252013,319233,0.0,1.0
1999-12-06,14.25,14.44,14.13,14.38,3.23232051019,347200,0.0,1.0
1999-12-07,14.38,14.38,14.06,14.06,3.16039126378,156267,0.0,1.0
1999-12-08,14.44,14.56,13.56,13.63,3.06373633893,214000,0.0,1.0
1999-12-09,14.13,14.13,13.38,13.38,3.00754161518,141467,0.0,1.0
1999-12-10,13.44,13.44,12.69,13.0,2.92212563508,443067,0.0,1.0
1999-12-13,13.5,13.5,12.75,12.88,2.89515216768,244667,0.0,1.0
1999-12-14,12.56,13.06,12.44,12.44,2.79624945387,289767,0.0,1.0
1999-12-15,12.44,12.81,12.13,12.81,2.87941764503,307067,0.0,1.0
1999-12-16,12.69,12.88,12.06,12.13,2.72656799642,454667,0.0,1.0
1999-12-17,12.25,12.25,11.75,12.0,2.69734674007,432967,0.0,1.0
1999-12-20,12.06,12.5,12.0,12.25,2.75354146382,349233,0.0,1.0
1999-12-21,12.13,12.44,11.94,12.38,2.78276272017,390000,0.0,1.0
1999-12-22,12.44,12.44,11.88,11.94,2.68386000637,273767,0.0,1.0
1999-12-23,11.94,12.56,11.88,12.25,2.75354146382,359467,0.0,1.0
1999-12-27,12.88,12.88,12.5,12.5,2.80973618757,398667,0.0,1.0
1999-12-28,12.5,12.81,12.5,12.63,2.83895744393,254033,0.0,1.0
1999-12-29,12.63,13.06,12.56,12.94,2.90863890138,271867,0.0,1.0
1999-12-30,12.88,14.0,12.88,13.13,2.95134689143,251067,0.0,1.0
1999-12-31,13.38,14.0,13.31,13.81,3.10419654003,90267,0.0,1.0
2000-01-03,13.81,13.81,13.12,13.25,2.97832035883,280000,0.0,1.0
2000-01-04,13.38,13.38,12.25,12.75,2.86593091133,189467,0.0,1.0
2000-01-05,12.81,13.0,12.69,12.94,2.90863890138,167233,0.0,1.0
2000-01-06,12.88,12.88,12.25,12.25,2.75354146382,827767,0.0,1.0
2000-01-07,12.38,12.88,12.31,12.69,2.85244417763,228167,0.0,1.0
2000-01-10,12.69,12.94,12.44,12.94,2.90863890138,193867,0.0,1.0
2000-01-11,12.94,12.94,12.06,12.13,2.72656799642,976167,0.0,1.0
2000-01-12,12.13,12.25,11.94,12.0,2.69734674007,403367,0.0,1.0
2000-01-13,12.25,12.31,11.94,12.13,2.72656799642,394033,0.0,1.0
2000-01-14,12.19,12.69,11.88,12.69,2.85244417763,324000,0.0,1.0
2000-01-18,12.13,12.19,11.88,12.06,2.71083347377,294400,0.0,1.0
2000-01-19,12.25,12.25,11.63,11.75,2.64115201632,260967,0.0,1.0
2000-01-20,11.88,11.88,11.38,11.75,2.64115201632,417867,0.0,1.0
2000-01-21,11.75,11.75,11.31,11.63,2.61417854892,377200,0.0,1.0
2000-01-24,12.06,12.13,11.5,11.63,2.61417854892,594400,0.0,1.0
2000-01-25,11.75,11.75,10.88,11.0,2.47256784507,355200,0.0,1.0
2000-01-26,11.13,11.5,11.13,11.19,2.51527583512,389200,0.0,1.0
2000-01-27,11.25,11.63,11.25,11.31,2.54224930252,373633,0.0,1.0
2000-01-28,11.25,11.38,11.13,11.13,2.50178910142,354833,0.0,1.0
2000-01-31,12.0,12.0,11.38,11.63,2.61417854892,492033,0.0,1.0
2000-02-01,11.69,11.69,11.31,11.44,2.57147055887,342800,0.0,1.0
