dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-10-29,12.0,12.01,12.0,12.0,5.96039424439,5951800,0.0,1.0
2004-11-01,12.0,12.01,12.0,12.0,5.96039424439,764400,0.0,1.0
2004-11-02,12.0,12.01,12.0,12.0,5.96039424439,950100,0.0,1.0
2004-11-03,12.02,12.2,12.01,12.15,6.03489917244,433600,0.0,1.0
2004-11-04,12.18,12.18,12.05,12.06,5.99019621561,311200,0.0,1.0
2004-11-05,12.05,12.1,12.0,12.08,6.00013020602,391800,0.0,1.0
2004-11-08,12.13,12.13,12.0,12.01,5.96536123959,91100,0.0,1.0
2004-11-09,12.0,12.06,12.0,12.01,5.96536123959,97600,0.0,1.0
2004-11-10,12.0,12.04,12.0,12.01,5.96536123959,177500,0.0,1.0
2004-11-11,12.0,12.02,12.0,12.02,5.9703282348,92700,0.0,1.0
2004-11-12,12.01,12.38,12.01,12.29,6.1044371053,354900,0.0,1.0
2004-11-15,12.32,12.45,12.2,12.39,6.15410705733,268100,0.0,1.0
2004-11-16,12.49,12.65,12.31,12.5,6.20874400457,252500,0.0,1.0
2004-11-17,12.55,12.6,12.35,12.51,6.21371099978,425000,0.0,1.0
2004-11-18,12.5,12.74,12.5,12.72,6.31801789905,179700,0.0,1.0
2004-11-19,12.72,12.74,12.5,12.71,6.31305090385,202600,0.0,1.0
2004-11-22,12.61,12.73,12.51,12.63,6.27331494222,105200,0.0,1.0
2004-11-23,12.55,12.95,12.52,12.8,6.35775386068,204200,0.0,1.0
2004-11-24,12.75,12.95,12.7,12.79,6.35278686548,141700,0.0,1.0
2004-11-26,12.4,12.78,12.4,12.65,6.28324893263,42900,0.0,1.0
2004-11-29,12.65,12.75,12.55,12.68,6.29814991824,174200,0.0,1.0
2004-11-30,12.66,12.85,12.65,12.76,6.33788587987,148800,0.0,1.0
2004-12-01,12.66,13.17,12.66,13.15,6.53159869281,162500,0.0,1.0
2004-12-02,13.05,13.07,12.78,12.95,6.43225878874,212800,0.0,1.0
2004-12-03,12.9,13.2,12.9,13.15,6.53159869281,138300,0.0,1.0
2004-12-06,13.16,13.19,13.05,13.12,6.5166977072,126600,0.0,1.0
2004-12-07,13.06,13.2,13.0,13.0,6.45709376476,116200,0.0,1.0
2004-12-08,12.8,13.0,12.7,12.86,6.3875558319,112300,0.0,1.0
2004-12-09,12.86,12.95,12.5,12.85,6.3825888367,139200,0.0,1.0
2004-12-10,12.75,13.05,12.55,12.97,6.44219277914,186000,0.0,1.0
2004-12-13,12.87,13.04,12.7,12.91,6.41239080792,215700,0.0,1.0
2004-12-14,12.81,13.1,12.79,12.9,6.40742381272,169400,0.0,1.0
2004-12-15,13.0,13.14,12.89,13.05,6.48192874077,200300,0.0,1.0
2004-12-16,13.03,13.09,12.93,13.05,6.48192874077,230000,0.0,1.0
2004-12-17,13.05,13.55,12.94,13.4,6.6557735729,887700,0.0,1.0
2004-12-20,13.5,13.5,13.0,13.34,6.62597160168,222800,0.0,1.0
2004-12-21,13.4,13.5,13.29,13.45,6.68060854892,82700,0.0,1.0
2004-12-22,13.4,13.7,13.21,13.7,6.80478342901,194000,0.0,1.0
2004-12-23,13.7,14.1,13.65,13.94,6.9239913139,107900,0.0,1.0
2004-12-27,14.0,14.04,13.52,13.6,6.75511347697,112500,0.0,1.0
2004-12-28,13.68,13.77,13.47,13.53,6.72034451055,111100,0.0,1.0
2004-12-29,12.95,13.47,12.95,13.28,6.67381270608,109400,0.1563,1.0
2004-12-30,13.33,13.57,13.2,13.3,6.68386362883,48900,0.0,1.0
2004-12-31,13.29,13.69,13.29,13.47,6.76929647221,55500,0.0,1.0
2005-01-03,13.54,13.6,13.39,13.59,6.82960200871,189100,0.0,1.0
2005-01-04,13.61,13.77,13.55,13.65,6.85975477696,154400,0.0,1.0
2005-01-05,13.6,13.66,12.5,13.2,6.63360901508,302600,0.0,1.0
2005-01-06,13.1,13.65,13.0,13.39,6.72909278121,93300,0.0,1.0
2005-01-07,13.42,13.42,13.08,13.26,6.66376178333,124300,0.0,1.0
2005-01-10,13.2,13.74,13.1,13.3,6.68386362883,79800,0.0,1.0
2005-01-11,13.3,13.53,13.05,13.26,6.66376178333,136400,0.0,1.0
2005-01-12,13.27,13.4,13.2,13.3,6.68386362883,111600,0.0,1.0
2005-01-13,13.3,13.6,13.28,13.37,6.71904185846,77500,0.0,1.0
2005-01-14,13.38,13.77,13.38,13.59,6.82960200871,28100,0.0,1.0
2005-01-18,13.49,13.8,13.23,13.7,6.88488208383,185900,0.0,1.0
2005-01-19,13.7,13.87,13.5,13.65,6.85975477696,233600,0.0,1.0
2005-01-20,13.6,13.65,13.4,13.56,6.81452562458,42100,0.0,1.0
2005-01-21,13.6,13.64,13.46,13.6,6.83462747008,51400,0.0,1.0
2005-01-24,13.7,13.75,13.45,13.52,6.79442377908,48000,0.0,1.0
2005-01-25,13.5,13.66,13.5,13.5,6.78437285633,61100,0.0,1.0
2005-01-26,13.55,13.84,13.55,13.71,6.88990754521,105300,0.0,1.0
2005-01-27,13.63,13.8,13.57,13.7,6.88488208383,106000,0.0,1.0
2005-01-28,13.7,13.83,13.65,13.8,6.93513669759,48100,0.0,1.0
2005-01-31,13.85,14.0,13.79,13.8,6.93513669759,64800,0.0,1.0
2005-02-01,13.75,13.83,13.6,13.8,6.93513669759,102900,0.0,1.0
2005-02-02,13.85,14.03,13.84,13.95,7.01051861821,118100,0.0,1.0
2005-02-03,13.97,14.05,13.85,13.98,7.02559500234,51200,0.0,1.0
2005-02-04,13.98,14.05,13.93,13.96,7.01554407959,122900,0.0,1.0
2005-02-07,13.9,14.15,13.9,14.05,7.06077323196,48300,0.0,1.0
2005-02-08,13.95,14.09,13.93,14.0,7.03564592509,251800,0.0,1.0
2005-02-09,14.02,14.05,13.84,13.85,6.96026400446,122000,0.0,1.0
2005-02-10,13.9,14.22,13.9,14.11,7.09092600021,75400,0.0,1.0
2005-02-11,14.05,14.6,14.0,14.56,7.31707176209,125800,0.0,1.0
2005-02-14,14.6,14.63,14.4,14.5,7.28691899384,120600,0.0,1.0
2005-02-15,14.51,14.61,14.3,14.47,7.27184260971,89700,0.0,1.0
2005-02-16,14.4,14.55,14.4,14.5,7.28691899384,115600,0.0,1.0
2005-02-17,14.45,14.45,13.96,14.0,7.03564592509,70000,0.0,1.0
2005-02-18,14.05,14.1,13.92,14.0,7.03564592509,78800,0.0,1.0
2005-02-22,13.95,13.99,13.7,13.88,6.97534038859,47100,0.0,1.0
2005-02-23,13.88,13.95,13.8,13.85,6.96026400446,55400,0.0,1.0
2005-02-24,13.9,14.0,13.73,13.98,7.02559500234,25100,0.0,1.0
2005-02-25,14.0,14.07,14.0,14.05,7.06077323196,54000,0.0,1.0
2005-02-28,14.0,14.45,14.0,14.33,7.20148615046,66600,0.0,1.0
2005-03-01,14.35,14.35,13.74,14.25,7.16128245946,129900,0.0,1.0
2005-03-02,14.2,14.67,14.2,14.5,7.28691899384,57100,0.0,1.0
2005-03-03,14.55,14.75,14.3,14.41,7.24168984146,21300,0.0,1.0
2005-03-04,14.45,14.65,14.4,14.49,7.28189353246,181100,0.0,1.0
2005-03-07,14.5,14.7,14.45,14.52,7.29696991659,43300,0.0,1.0
2005-03-08,14.55,14.55,14.24,14.25,7.16128245946,16200,0.0,1.0
2005-03-09,14.15,14.38,14.0,14.26,7.16630792084,46300,0.0,1.0
2005-03-10,14.25,14.4,14.2,14.31,7.19143522771,61900,0.0,1.0
2005-03-11,14.16,14.21,13.92,13.98,7.14809062335,204300,0.2437,1.0
2005-03-14,14.03,14.64,13.98,14.64,7.48555412918,23900,0.0,1.0
2005-03-15,14.68,14.81,13.98,14.17,7.24523920836,111600,0.0,1.0
2005-03-16,14.22,14.22,13.96,14.0,7.1583167902,70400,0.0,1.0
2005-03-17,14.05,14.05,13.95,13.97,7.14297753993,32200,0.0,1.0
2005-03-18,14.05,14.1,13.91,14.1,7.20944762441,100100,0.0,1.0
2005-03-21,14.25,14.3,13.89,14.14,7.2298999581,112500,0.0,1.0
2005-03-22,14.1,14.15,13.75,13.91,7.1122990394,142000,0.0,1.0
2005-03-23,13.91,14.25,13.78,14.25,7.28614387574,60700,0.0,1.0
2005-03-24,14.29,14.71,14.29,14.51,7.4190840447,78200,0.0,1.0
2005-03-28,14.41,14.55,14.32,14.51,7.4190840447,44300,0.0,1.0
2005-03-29,14.52,14.6,14.43,14.5,7.41397096128,52200,0.0,1.0
2005-03-30,14.6,14.68,14.14,14.68,7.50600646286,62100,0.0,1.0
2005-03-31,14.67,14.73,14.24,14.37,7.34750087679,41100,0.0,1.0
2005-04-01,14.47,14.51,14.15,14.31,7.31682237627,88600,0.0,1.0
2005-04-04,14.35,14.38,13.86,14.32,7.32193545969,68300,0.0,1.0
2005-04-05,14.32,14.33,14.06,14.16,7.24012612494,127700,0.0,1.0
2005-04-06,14.25,14.6,14.2,14.6,7.46510179549,65100,0.0,1.0
