dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-07-13,14.0,14.1,13.49,13.5,6.46856110446,14964100,0.0,1.0
2004-07-14,13.5,13.55,12.91,13.44,6.43981194399,2801000,0.0,1.0
2004-07-15,13.45,13.85,13.35,13.84,6.63147301376,1276200,0.0,1.0
2004-07-16,13.87,13.9,13.51,13.83,6.62668148701,1488200,0.0,1.0
2004-07-19,13.8,13.8,13.35,13.52,6.47814415795,966200,0.0,1.0
2004-07-20,13.52,13.93,13.41,13.93,6.67459675445,719300,0.0,1.0
2004-07-21,13.94,13.94,13.5,13.6,6.5164763719,472300,0.0,1.0
2004-07-22,13.6,13.65,13.33,13.6,6.5164763719,218500,0.0,1.0
2004-07-23,13.4,13.62,13.4,13.56,6.49731026492,268500,0.0,1.0
2004-07-26,13.5,13.5,13.05,13.2,6.32481530214,236200,0.0,1.0
2004-07-27,13.2,13.2,12.4,12.75,6.10919659866,2668000,0.0,1.0
2004-07-28,12.85,13.12,12.84,13.03,6.24335934749,1028100,0.0,1.0
2004-07-29,13.1,13.78,13.1,13.78,6.60272385329,1015700,0.0,1.0
2004-07-30,13.72,13.9,13.55,13.9,6.66022217422,623000,0.0,1.0
2004-08-02,13.8,13.8,13.55,13.7,6.56439163934,329400,0.0,1.0
2004-08-03,13.7,14.08,13.7,13.94,6.6793882812,1557100,0.0,1.0
2004-08-04,14.04,14.04,13.88,13.9,6.66022217422,156300,0.0,1.0
2004-08-05,13.94,14.0,13.86,13.89,6.65543064748,188100,0.0,1.0
2004-08-06,13.82,14.0,13.7,13.8,6.61230690678,276300,0.0,1.0
2004-08-09,13.8,13.8,13.5,13.7,6.56439163934,212100,0.0,1.0
2004-08-10,13.7,13.85,13.65,13.79,6.60751538004,272400,0.0,1.0
2004-08-11,13.8,13.88,13.6,13.7,6.56439163934,166800,0.0,1.0
2004-08-12,13.65,13.75,13.58,13.63,6.53085095213,284700,0.0,1.0
2004-08-13,13.68,13.7,13.35,13.4,6.42064583702,104900,0.0,1.0
2004-08-16,13.4,13.55,13.4,13.48,6.45897805097,86400,0.0,1.0
2004-08-17,13.4,13.65,13.25,13.45,6.44460347074,161100,0.0,1.0
2004-08-18,13.52,13.64,13.35,13.61,6.52126789864,43000,0.0,1.0
2004-08-19,13.6,13.6,12.75,13.3,6.37273056958,124100,0.0,1.0
2004-08-20,13.25,13.64,13.1,13.64,6.53564247888,112300,0.0,1.0
2004-08-23,13.7,13.91,13.6,13.85,6.6362645405,442900,0.0,1.0
2004-08-24,13.75,13.8,13.45,13.8,6.61230690678,607400,0.0,1.0
2004-08-25,13.8,13.89,13.51,13.8,6.61230690678,307300,0.0,1.0
2004-08-26,13.9,13.9,13.7,13.7,6.56439163934,104300,0.0,1.0
2004-08-27,13.75,14.08,13.75,14.04,6.72730354864,880600,0.0,1.0
2004-08-30,14.0,14.15,13.9,14.02,6.71772049515,265000,0.0,1.0
2004-08-31,13.95,14.25,13.95,14.25,6.82792561026,401800,0.0,1.0
2004-09-01,14.25,14.59,14.25,14.45,6.92375614514,421400,0.0,1.0
2004-09-02,14.5,14.5,14.15,14.3,6.85188324398,273800,0.0,1.0
2004-09-03,14.05,14.2,13.75,14.0,6.70813744166,310100,0.0,1.0
2004-09-07,14.0,14.05,13.65,13.87,6.64584759399,329000,0.0,1.0
2004-09-08,13.77,13.87,13.7,13.79,6.60751538004,178000,0.0,1.0
2004-09-09,13.69,13.95,13.69,13.78,6.60272385329,163500,0.0,1.0
2004-09-10,14.15,14.37,13.9,14.37,6.88542393119,1073900,0.0,1.0
2004-09-13,14.3,14.5,14.27,14.35,6.8758408777,394400,0.0,1.0
2004-09-14,14.44,14.9,14.28,14.83,7.10583416142,500500,0.0,1.0
2004-09-15,15.0,15.37,14.9,15.22,7.29270370443,1045100,0.0,1.0
2004-09-16,15.22,15.5,15.22,15.48,7.41728339978,531000,0.0,1.0
2004-09-17,15.4,15.4,15.1,15.2,7.28312065095,270400,0.0,1.0
2004-09-20,15.2,15.48,15.15,15.25,7.30707828467,185700,0.0,1.0
2004-09-21,15.33,15.53,15.22,15.4,7.37895118583,241000,0.0,1.0
2004-09-22,15.25,15.35,14.8,15.11,7.23999691025,351900,0.0,1.0
2004-09-23,15.01,15.2,14.88,14.97,7.17291553583,181000,0.0,1.0
2004-09-24,15.05,15.2,14.85,15.04,7.20645622304,215900,0.0,1.0
2004-09-27,15.0,15.02,14.65,14.88,7.12979179514,344400,0.0,1.0
2004-09-28,14.8,15.25,14.62,15.25,7.30707828467,223500,0.0,1.0
2004-09-29,15.35,15.4,14.95,15.05,7.21124774979,757800,0.0,1.0
2004-09-30,15.05,15.11,14.7,14.7,7.04354431374,1354500,0.0,1.0
2004-10-01,14.8,14.85,14.25,14.6,6.9956290463,733500,0.0,1.0
2004-10-04,14.95,15.0,14.74,14.98,7.17770706258,319200,0.0,1.0
2004-10-05,14.9,15.47,14.66,15.32,7.34061897187,590600,0.0,1.0
2004-10-06,15.27,16.01,15.27,15.9,7.61852752303,808600,0.0,1.0
2004-10-07,15.97,16.15,15.55,15.91,7.62331904977,897900,0.0,1.0
2004-10-08,15.85,16.2,15.8,15.95,7.64248515675,537700,0.0,1.0
2004-10-11,16.0,16.25,15.87,16.0,7.66644279047,400500,0.0,1.0
2004-10-12,16.07,16.35,15.75,15.96,7.64727668349,618900,0.0,1.0
2004-10-13,16.05,16.19,16.0,16.16,7.74310721837,207400,0.0,1.0
2004-10-14,16.0,16.09,15.77,15.89,7.61373599628,387600,0.0,1.0
