dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,19.62,19.88,19.62,19.62,5.91152643788,162000,0.0,1.0
1999-11-02,19.75,20.0,19.62,19.62,5.91152643788,279400,0.0,1.0
1999-11-03,19.62,20.0,19.62,19.94,6.00794277122,508100,0.0,1.0
1999-11-04,19.88,19.94,19.75,19.75,5.9506955733,217200,0.0,1.0
1999-11-05,19.69,20.0,19.56,19.56,5.89344837537,258000,0.0,1.0
1999-11-08,19.81,20.0,19.75,19.81,5.9687736358,348800,0.0,1.0
1999-11-09,19.75,19.75,19.5,19.56,5.89344837537,129400,0.0,1.0
1999-11-10,19.75,19.75,18.94,19.5,5.87537031287,491900,0.0,1.0
1999-11-11,19.5,19.5,19.0,19.19,5.78196698995,201100,0.0,1.0
1999-11-12,19.25,19.5,18.88,18.94,5.70664172953,331400,0.0,1.0
1999-11-15,18.94,19.12,18.69,19.12,5.76087591703,317300,0.0,1.0
1999-11-16,19.06,19.38,18.88,19.31,5.81812311495,233900,0.0,1.0
1999-11-17,18.75,19.44,18.62,18.94,5.82414913579,268700,0.39,1.0
1999-11-18,18.88,19.0,18.69,18.75,5.76572314129,198000,0.0,1.0
1999-11-19,18.75,18.81,18.44,18.81,5.78417345534,3228900,0.0,1.0
1999-11-22,18.62,18.88,18.44,18.56,5.70729714679,250800,0.0,1.0
1999-11-23,18.5,18.62,18.31,18.56,5.70729714679,280600,0.0,1.0
1999-11-24,18.31,18.69,18.31,18.56,5.70729714679,262800,0.0,1.0
1999-11-26,18.62,18.69,18.25,18.44,5.67039651869,126700,0.0,1.0
1999-11-29,18.5,18.62,18.44,18.44,5.67039651869,341200,0.0,1.0
1999-11-30,18.38,18.69,18.38,18.56,5.70729714679,510500,0.0,1.0
1999-12-01,18.5,18.94,18.5,18.81,5.78417345534,428800,0.0,1.0
1999-12-02,18.75,18.81,18.44,18.44,5.67039651869,433300,0.0,1.0
1999-12-03,18.5,18.62,18.12,18.31,5.63042083824,514700,0.0,1.0
1999-12-06,18.31,18.44,18.12,18.19,5.59352021014,361200,0.0,1.0
1999-12-07,18.19,18.31,18.0,18.12,5.57199484374,377700,0.0,1.0
1999-12-08,18.31,18.56,17.69,17.75,5.45821790709,416400,0.0,1.0
