dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,33.19,34.25,33.06,33.81,10.9152658076,473100,0.0,1.0
1999-11-02,34.0,35.25,33.94,34.81,11.2381071506,1033700,0.0,1.0
1999-11-03,34.94,34.94,34.44,34.81,11.2381071506,526300,0.0,1.0
1999-11-04,35.0,35.0,33.88,34.13,11.0185750373,427200,0.0,1.0
1999-11-05,34.56,34.88,34.31,34.81,11.2381071506,465700,0.0,1.0
1999-11-08,34.63,34.88,34.44,34.81,11.2381071506,247600,0.0,1.0
1999-11-09,34.63,34.75,34.0,34.0,10.9766056627,1536900,0.0,1.0
1999-11-10,33.75,34.13,33.56,33.56,10.8345554718,454400,0.0,1.0
1999-11-11,33.06,33.81,33.06,33.69,10.8765248464,476300,0.0,1.0
1999-11-12,33.63,34.13,33.38,33.56,10.8345554718,458000,0.0,1.0
1999-11-15,33.56,33.75,33.19,33.38,10.7764440301,206500,0.0,1.0
1999-11-16,33.63,33.69,33.38,33.5,10.8151849912,259600,0.0,1.0
1999-11-17,33.56,33.63,33.38,33.5,10.8151849912,318300,0.0,1.0
1999-11-18,33.63,33.75,33.38,33.5,10.8151849912,263500,0.0,1.0
1999-11-19,33.31,33.5,33.06,33.25,10.7344746555,413600,0.0,1.0
1999-11-22,33.0,33.13,32.56,32.84,10.6021097048,354600,0.0,1.0
1999-11-23,32.44,32.5,32.0,32.06,10.3502934573,291200,0.0,1.0
1999-11-24,32.25,32.94,32.0,32.69,10.5536835034,772900,0.0,1.0
1999-11-26,33.31,33.31,32.81,32.81,10.5924244645,161400,0.0,1.0
1999-11-29,32.56,32.56,31.5,32.06,10.3502934573,397800,0.0,1.0
1999-11-30,32.06,33.06,32.0,33.06,10.6731348003,1157600,0.0,1.0
1999-12-01,33.0,33.06,32.5,32.63,10.5343130228,618800,0.0,1.0
1999-12-02,32.69,33.06,32.69,32.94,10.6343938391,108500,0.0,1.0
1999-12-03,33.19,33.75,33.19,33.44,10.7958145106,212600,0.0,1.0
1999-12-06,33.25,33.5,33.06,33.38,10.7764440301,473500,0.0,1.0
1999-12-07,33.38,33.75,33.38,33.5,10.8151849912,741400,0.0,1.0
1999-12-08,33.44,33.56,33.38,33.46,10.8022713375,419600,0.0,1.0
1999-12-09,33.44,33.63,33.38,33.44,10.7958145106,616700,0.0,1.0
1999-12-10,33.44,33.44,32.63,32.63,10.5343130228,450500,0.0,1.0
1999-12-13,32.88,32.88,32.25,32.31,10.431003793,490800,0.0,1.0
1999-12-14,32.38,32.44,32.0,32.38,10.453602687,385300,0.0,1.0
1999-12-15,32.38,32.69,32.13,32.31,10.431003793,6488600,0.0,1.0
1999-12-16,32.0,32.5,31.5,31.69,10.397105452,1359000,0.515,1.0
1999-12-17,31.56,31.56,31.56,31.56,10.3544540254,450400,0.0,1.0
1999-12-20,31.5,32.0,31.31,31.57,10.3577349044,327800,0.0,1.0
1999-12-21,31.88,32.44,31.5,32.19,10.5611494005,904900,0.0,1.0
1999-12-22,32.06,32.19,31.31,31.56,10.3544540254,379500,0.0,1.0
1999-12-23,31.69,32.19,31.56,32.06,10.5184979739,169900,0.0,1.0
1999-12-27,32.0,32.31,31.63,31.63,10.3774201782,330800,0.0,1.0
1999-12-28,31.56,32.06,31.56,31.75,10.4167907258,95700,0.0,1.0
1999-12-29,31.63,31.75,31.19,31.19,10.2330615036,120200,0.0,1.0
1999-12-30,31.44,31.56,31.25,31.38,10.295398204,236300,0.0,1.0
1999-12-31,31.75,31.75,31.06,31.63,10.3774201782,183900,0.0,1.0
2000-01-03,31.38,31.38,29.88,30.06,9.8623221801,572300,0.0,1.0
2000-01-04,29.56,30.13,29.56,30.13,9.88528833288,561200,0.0,1.0
2000-01-05,30.31,31.44,30.31,31.19,10.2330615036,378200,0.0,1.0
2000-01-06,31.0,31.38,30.69,30.94,10.1510395294,288500,0.0,1.0
2000-01-07,31.0,31.25,30.88,31.25,10.2527467774,567300,0.0,1.0
2000-01-10,31.94,32.13,31.31,31.44,10.3150834778,632800,0.0,1.0
2000-01-11,31.31,31.44,31.0,31.44,10.3150834778,359700,0.0,1.0
2000-01-12,31.31,31.94,31.25,31.56,10.3544540254,1021700,0.0,1.0
2000-01-13,31.69,31.75,31.19,31.5,10.3347687516,321400,0.0,1.0
2000-01-14,31.56,31.75,31.0,31.19,10.2330615036,409900,0.0,1.0
2000-01-18,31.19,31.31,30.5,30.81,10.1083881028,251200,0.0,1.0
2000-01-19,31.0,32.13,30.88,31.88,10.4594421524,581500,0.0,1.0
2000-01-20,32.0,34.06,31.88,33.88,11.1156179462,985800,0.0,1.0
2000-01-21,34.75,37.5,33.88,37.19,12.2015888848,1231300,0.0,1.0
2000-01-24,39.0,41.31,37.38,37.56,12.3229814067,1822600,0.0,1.0
2000-01-25,37.63,38.0,35.25,35.75,11.7291423133,773400,0.0,1.0
2000-01-26,35.81,35.88,35.38,35.88,11.7717937399,443300,0.0,1.0
2000-01-27,35.75,35.75,34.5,35.0,11.4830763907,963600,0.0,1.0
2000-01-28,34.5,34.69,33.25,33.25,10.9089225711,394300,0.0,1.0
2000-01-31,33.63,35.0,33.38,34.75,11.4010544165,906000,0.0,1.0
2000-02-01,34.88,35.31,34.69,34.75,11.4010544165,637000,0.0,1.0
2000-02-02,34.44,34.56,33.62,33.69,11.0532812458,386000,0.0,1.0
2000-02-03,33.69,34.56,33.69,34.25,11.237010468,623600,0.0,1.0
2000-02-04,34.31,34.38,33.13,33.25,10.9089225711,546600,0.0,1.0
2000-02-07,33.25,33.25,32.63,33.0,10.8269005969,372800,0.0,1.0
2000-02-08,33.19,33.25,32.94,33.0,10.8269005969,580600,0.0,1.0
2000-02-09,33.0,33.38,32.38,32.38,10.6234861009,521800,0.0,1.0
2000-02-10,32.63,32.69,31.88,32.19,10.5611494005,662500,0.0,1.0
2000-02-11,32.19,32.69,32.19,32.5,10.6628566485,327200,0.0,1.0
2000-02-14,32.75,33.38,32.44,32.69,10.7251933489,509800,0.0,1.0
