dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,56.44,56.44,55.88,56.13,17.6386344532,1172700,0.0,1.0
1999-11-02,56.63,57.0,56.56,56.75,17.8334670447,1414650,0.0,1.0
1999-11-03,56.81,56.81,56.06,56.44,17.7360507489,1363350,0.0,1.0
1999-11-04,56.31,56.38,54.63,55.44,17.4218046336,1338900,0.0,1.0
1999-11-05,56.0,56.19,55.13,55.31,17.3809526386,1433550,0.0,1.0
1999-11-08,55.06,55.94,55.06,55.38,17.4029498667,800550,0.0,1.0
1999-11-09,54.56,54.69,53.81,54.13,17.1829775859,2622300,0.55,1.0
1999-11-10,53.0,53.81,52.88,53.13,16.8655385025,2092950,0.0,1.0
1999-11-11,53.06,53.88,53.06,53.69,17.0433043892,1186800,0.0,1.0
1999-11-12,53.69,53.94,53.0,53.25,16.9036311925,1133250,0.0,1.0
1999-11-15,53.25,53.44,52.5,53.06,16.8433177667,754800,0.0,1.0
1999-11-16,52.88,53.5,52.56,53.13,16.8655385025,892050,0.0,1.0
1999-11-17,52.81,53.44,52.5,53.31,16.9226775375,931050,0.0,1.0
1999-11-18,53.31,53.44,52.5,52.63,16.7068189608,1220550,0.0,1.0
1999-11-19,52.38,53.06,52.19,52.44,16.6465055349,2031900,0.0,1.0
1999-11-22,52.44,52.44,52.0,52.0,16.5068323382,1379550,0.0,1.0
1999-11-23,52.13,52.25,51.44,51.5,16.3481127965,1887000,0.0,1.0
1999-11-24,51.75,51.88,51.31,51.31,16.2877993707,1120950,0.0,1.0
1999-11-26,51.75,51.75,51.25,51.44,16.3290664515,376800,0.0,1.0
1999-11-29,51.0,51.06,49.25,49.5,15.7132346297,2380650,0.0,1.0
1999-11-30,49.38,51.31,49.31,50.69,16.0909871389,2076900,0.0,1.0
1999-12-01,50.38,50.44,49.94,50.0,15.8719541714,1125750,0.0,1.0
1999-12-02,50.0,50.56,49.56,49.63,15.7545017105,1455750,0.0,1.0
1999-12-03,49.88,51.0,49.88,50.19,15.9322675972,1565850,0.0,1.0
1999-12-06,50.19,50.56,49.56,49.97,15.8624309989,991350,0.0,1.0
1999-12-07,50.0,50.25,48.63,48.81,15.4942016621,1666950,0.0,1.0
1999-12-08,49.0,49.13,47.75,48.2,15.3005638212,1650450,0.0,1.0
1999-12-09,48.75,48.81,47.56,47.75,15.1577162337,2240850,0.0,1.0
1999-12-10,48.13,48.38,47.75,48.0,15.2370760045,1230900,0.0,1.0
1999-12-13,48.0,48.0,46.75,47.06,14.9386832661,1426800,0.0,1.0
1999-12-14,46.75,48.0,46.75,47.88,15.1989833145,1995150,0.0,1.0
1999-12-15,47.81,49.31,47.81,48.63,15.4370626271,3013650,0.0,1.0
1999-12-16,48.75,48.75,47.56,48.0,15.2370760045,2476650,0.0,1.0
1999-12-17,48.5,50.63,48.38,49.75,15.7925944005,3915450,0.0,1.0
1999-12-20,49.25,49.75,49.25,49.44,15.6941882847,1559100,0.0,1.0
1999-12-21,49.19,50.88,49.0,50.44,16.0116273681,2023200,0.0,1.0
1999-12-22,50.31,50.44,49.81,50.0,15.8719541714,925200,0.0,1.0
1999-12-23,50.25,50.75,50.13,50.5,16.0306737131,778500,0.0,1.0
1999-12-27,50.5,50.88,50.0,50.0,15.8719541714,1014450,0.0,1.0
1999-12-28,50.0,50.81,50.0,50.63,16.0719407939,1048950,0.0,1.0
1999-12-29,50.63,50.63,50.0,50.38,15.9925810231,1415100,0.0,1.0
1999-12-30,50.0,50.88,50.0,50.63,16.0719407939,1085400,0.0,1.0
1999-12-31,50.38,50.44,49.88,50.13,15.9132212522,573000,0.0,1.0
2000-01-03,50.0,50.06,48.06,48.25,15.3164357754,1953000,0.0,1.0
