dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,39.0,39.13,38.81,38.88,14.3652800707,393300,0.0,1.0
1999-11-02,38.94,39.13,38.5,38.88,14.3652800707,537700,0.0,1.0
1999-11-03,39.13,39.63,38.63,38.69,14.2950793708,412700,0.0,1.0
1999-11-04,38.94,39.0,38.5,38.94,14.3874487128,128200,0.0,1.0
1999-11-05,38.94,39.0,38.0,38.19,14.1103406868,716800,0.0,1.0
1999-11-08,38.13,39.19,37.63,38.44,14.2027100288,455900,0.0,1.0
1999-11-09,38.88,39.5,38.69,39.06,14.431785997,313500,0.0,1.0
1999-11-10,39.56,41.0,39.5,39.81,14.7088940231,428200,0.0,1.0
1999-11-11,39.81,40.5,39.69,39.94,14.7569260809,706100,0.0,1.0
1999-11-12,40.38,40.38,39.25,39.63,14.6423880968,241400,0.0,1.0
1999-11-15,40.0,40.25,39.63,40.0,14.779094723,247600,0.0,1.0
1999-11-16,39.75,40.38,39.56,40.06,14.8012633651,706000,0.0,1.0
1999-11-17,40.19,41.63,40.19,41.31,15.2631100752,827800,0.0,1.0
1999-11-18,41.44,41.75,40.75,41.44,15.311142133,743600,0.0,1.0
1999-11-19,41.44,41.75,40.06,40.88,15.1042348069,393400,0.0,1.0
1999-11-22,40.88,40.88,38.88,39.25,14.5019866969,415900,0.0,1.0
1999-11-23,38.25,38.38,36.5,37.63,13.9034333607,1102100,0.0,1.0
1999-11-24,38.0,38.0,36.81,37.25,13.7630319608,380600,0.0,1.0
1999-11-26,37.25,37.25,37.0,37.13,13.7186946766,77300,0.0,1.0
1999-11-29,36.75,36.88,35.25,36.0,13.3011852507,728700,0.0,1.0
1999-11-30,35.69,35.75,34.81,35.25,13.0240772246,546400,0.0,1.0
1999-12-01,35.0,36.31,34.88,36.25,13.3935545927,451000,0.0,1.0
1999-12-02,36.44,36.63,35.44,36.31,13.4157232348,399400,0.0,1.0
1999-12-03,36.06,36.5,34.81,35.0,12.9317078826,368000,0.0,1.0
1999-12-06,34.94,34.94,32.5,32.94,12.1705845044,1028100,0.0,1.0
1999-12-07,32.88,32.88,30.38,31.25,11.5461677523,1296800,0.0,1.0
1999-12-08,31.25,32.25,29.5,31.63,11.6865691522,1012600,0.0,1.0
1999-12-09,31.63,32.13,30.0,30.94,11.4316297682,735200,0.0,1.0
1999-12-10,30.81,31.69,30.25,30.56,11.2912283684,713500,0.0,1.0
1999-12-13,30.25,33.25,30.25,32.56,12.0486569729,1066100,0.05,1.0
1999-12-14,32.25,32.31,31.5,31.63,11.7045153579,487100,0.0,1.0
1999-12-15,31.75,33.25,31.75,33.25,12.3039878486,326800,0.0,1.0
1999-12-16,33.81,34.63,33.38,34.13,12.6296272262,342100,0.0,1.0
1999-12-17,34.5,34.5,32.81,33.5,12.3964990354,407100,0.0,1.0
1999-12-20,33.25,33.5,32.0,33.5,12.3964990354,228000,0.0,1.0
1999-12-21,34.0,35.0,33.25,35.0,12.9515661564,502700,0.0,1.0
1999-12-22,34.75,35.0,33.63,33.69,12.4668075374,389400,0.0,1.0
1999-12-23,33.88,34.0,32.69,33.13,12.2595824789,316600,0.0,1.0
1999-12-27,33.0,33.44,32.13,32.5,12.0264542881,409600,0.0,1.0
1999-12-28,32.69,33.5,32.5,33.0,12.2114766617,354000,0.0,1.0
1999-12-29,32.75,34.25,32.75,34.13,12.6296272262,171700,0.0,1.0
1999-12-30,33.88,34.44,33.44,33.75,12.4890102222,176600,0.0,1.0
1999-12-31,34.0,34.19,32.88,32.88,12.1670712921,170300,0.0,1.0
2000-01-03,33.12,33.5,32.06,32.38,11.9820489184,358800,0.0,1.0
2000-01-04,32.69,32.69,31.38,31.69,11.7267180427,740100,0.0,1.0
2000-01-05,31.88,32.0,31.5,31.81,11.7711234124,427000,0.0,1.0
2000-01-06,31.88,34.5,31.75,33.88,12.5371160394,260500,0.0,1.0
2000-01-07,34.0,35.25,33.75,34.06,12.6037240939,272600,0.0,1.0
2000-01-10,34.13,34.25,32.94,33.63,12.4446048526,190900,0.0,1.0
2000-01-11,33.63,34.19,33.38,34.13,12.6296272262,270200,0.0,1.0
2000-01-12,34.0,34.0,33.5,33.63,12.4446048526,185400,0.0,1.0
2000-01-13,33.81,34.56,33.75,34.38,12.7221384131,403700,0.0,1.0
2000-01-14,34.38,34.75,33.5,34.56,12.7887464676,357200,0.0,1.0
2000-01-18,34.56,37.38,34.56,37.38,13.832272655,482300,0.0,1.0
