dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,80.63,84.53,80.63,82.31,20.4487475291,2452700,0.0,1.0
1999-11-02,82.44,82.44,78.63,79.25,19.6885340989,823500,0.0,1.0
1999-11-03,79.06,80.5,77.13,77.44,19.2388653706,941800,0.0,1.0
1999-11-04,77.56,79.5,77.5,79.25,19.6885340989,1264400,0.0,1.0
1999-11-05,80.38,82.0,79.38,81.88,20.3419201516,2016200,0.0,1.0
1999-11-08,81.88,84.25,81.69,83.0,20.6201682045,471300,0.0,1.0
1999-11-09,83.94,86.69,82.63,84.69,21.0400246414,722300,0.0,1.0
1999-11-10,83.5,88.25,83.38,87.81,21.8151442173,829900,0.0,1.0
1999-11-11,87.75,90.25,87.69,89.5,22.2350006542,1111000,0.0,1.0
1999-11-12,90.0,90.06,86.0,89.06,22.1256889192,926000,0.0,1.0
1999-11-15,89.25,90.5,88.38,88.56,22.0014710384,363400,0.0,1.0
1999-11-16,88.75,90.81,87.38,90.69,22.5306392104,898500,0.0,1.0
1999-11-17,90.63,91.13,87.88,87.94,21.8474408663,602800,0.0,1.0
1999-11-18,88.25,90.0,88.0,89.75,22.2971095946,608800,0.0,1.0
1999-11-19,90.25,94.5,89.88,92.0,22.856090058,1127600,0.0,1.0
1999-11-22,98.5,110.3,98.0,108.3,26.9055929704,5121600,0.0,1.0
1999-11-23,107.9,120.3,105.6,117.1,29.0918276716,2239000,0.0,1.0
1999-11-24,117.0,119.5,116.5,119.0,29.5638556185,2843500,0.0,1.0
1999-11-26,119.0,119.0,116.5,116.8,29.0172969432,636300,0.0,1.0
1999-11-29,116.4,119.0,114.1,116.1,28.8433919101,1094300,0.0,1.0
1999-11-30,115.9,115.9,104.8,104.9,26.0609113813,1730500,0.0,1.0
1999-12-01,106.9,107.9,99.88,101.6,25.2410733684,1558200,0.0,1.0
1999-12-02,102.3,111.0,99.25,107.4,26.6820007851,1179500,0.0,1.0
1999-12-03,109.4,110.1,105.4,109.6,27.2285594604,500800,0.0,1.0
1999-12-06,110.1,111.0,103.0,106.1,26.3590342951,562800,0.0,1.0
1999-12-07,107.0,108.8,103.8,108.6,26.9801236989,516100,0.0,1.0
1999-12-08,108.0,110.1,104.5,108.1,26.8559058181,978900,0.0,1.0
1999-12-09,109.3,114.4,105.1,106.5,26.4584085997,1045600,0.0,1.0
1999-12-10,107.9,114.4,107.9,114.2,28.3713639633,724000,0.0,1.0
1999-12-13,114.1,124.4,111.4,121.0,30.0607271415,981000,0.0,1.0
1999-12-14,120.6,120.6,114.3,115.0,28.5701125725,862100,0.0,1.0
1999-12-15,115.2,115.2,107.9,111.3,27.6509002549,1170200,0.0,1.0
1999-12-16,111.9,111.9,105.4,109.4,27.1788723081,2470000,0.0,1.0
1999-12-17,110.8,114.8,78.25,81.5,20.2475145622,11148200,0.0,1.0
1999-12-20,86.11,86.13,82.63,83.06,20.6350743502,6938600,0.0,1.0
1999-12-21,84.13,84.56,78.5,84.44,20.977915701,3222100,0.0,1.0
1999-12-22,84.44,86.63,81.0,83.13,20.6524648535,1892600,0.0,1.0
1999-12-23,84.25,86.5,81.38,84.81,21.0698369328,1276600,0.0,1.0
1999-12-27,85.0,86.5,79.88,82.06,20.3866385887,743000,0.0,1.0
1999-12-28,82.97,84.75,82.0,83.94,20.8536978203,584500,0.0,1.0
1999-12-29,84.0,84.88,82.13,84.63,21.0251184957,369600,0.0,1.0
1999-12-30,85.0,85.25,81.63,82.25,20.4338413834,344700,0.0,1.0
1999-12-31,82.81,84.5,81.63,84.0,20.868603966,391500,0.0,1.0
2000-01-03,85.0,115.1,83.38,101.1,25.1168554876,2260200,0.0,1.0
2000-01-04,95.0,98.0,89.25,89.38,22.2051883629,1582800,0.0,1.0
2000-01-05,88.0,97.5,86.06,86.19,21.4126782837,1268000,0.0,1.0
2000-01-06,88.25,90.5,79.38,80.0,19.87486092,1602100,0.0,1.0
